Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,12.83,12.9,12.62,12.74,40582,0
2014-02-10,17:00:00,12.72,12.72,12.49,12.51,100532,0
2014-02-10,18:00:00,12.5,12.75,12.46,12.71,74817,0
2014-02-10,19:00:00,12.71,12.73,12.67,12.69,41120,0
2014-02-10,20:00:00,12.69,12.76,12.68,12.72,114110,0
2014-02-10,21:00:00,12.72,12.79,12.69,12.76,137710,0
2014-02-10,22:00:00,12.76,12.76,12.68,12.71,121854,0
2014-02-11,16:00:00,12.7,12.71,12.59,12.64,40125,0
2014-02-11,17:00:00,12.64,12.69,12.61,12.65,60184,0
2014-02-11,18:00:00,12.65,12.66,12.59,12.62,105021,0
2014-02-11,19:00:00,12.62,12.63,12.57,12.59,82480,0
2014-02-11,20:00:00,12.59,12.61,12.57,12.59,80080,0
2014-02-11,21:00:00,12.59,12.6,12.57,12.59,138002,0
2014-02-11,22:00:00,12.59,12.59,12.48,12.5,407503,0
2014-02-12,16:00:00,12.53,12.65,12.53,12.57,33778,0
2014-02-12,17:00:00,12.6,12.62,12.5,12.5,54707,0
2014-02-12,18:00:00,12.5,12.72,12.48,12.72,253094,0
2014-02-12,19:00:00,12.73,12.87,12.71,12.73,103751,0
2014-02-12,20:00:00,12.75,12.76,12.72,12.73,49099,0
2014-02-12,21:00:00,12.75,12.76,12.6,12.62,63342,0
2014-02-12,22:00:00,12.62,12.66,12.6,12.66,112056,0
2014-02-13,16:00:00,12.55,12.6,12.44,12.57,34287,0
2014-02-13,17:00:00,12.59,12.71,12.59,12.7,25184,0
2014-02-13,18:00:00,12.7,12.77,12.69,12.73,28241,0
2014-02-13,19:00:00,12.74,12.85,12.74,12.85,27151,0
2014-02-13,20:00:00,12.86,13,12.86,12.99,60020,0
2014-02-13,21:00:00,13,13.01,12.93,12.96,58663,0
2014-02-13,22:00:00,12.97,12.98,12.88,12.91,136627,0
2014-02-14,16:00:00,12.93,12.93,12.63,12.72,28395,0
2014-02-14,17:00:00,12.73,12.82,12.69,12.7,71502,0
2014-02-14,18:00:00,12.67,12.78,12.65,12.75,27438,0
2014-02-14,19:00:00,12.74,12.79,12.73,12.76,33354,0
2014-02-14,20:00:00,12.76,12.79,12.74,12.78,30668,0
2014-02-14,21:00:00,12.78,12.79,12.76,12.78,27366,0
2014-02-14,22:00:00,12.78,12.8,12.73,12.73,83149,0
2014-02-18,16:00:00,12.82,12.97,12.8,12.9,14000,0
2014-02-18,17:00:00,12.88,12.96,12.71,12.96,58527,0
2014-02-18,18:00:00,12.96,13.18,12.95,12.97,111675,0
2014-02-18,19:00:00,12.97,12.99,12.87,12.88,27135,0
2014-02-18,20:00:00,12.88,12.89,12.82,12.85,52141,0
2014-02-18,21:00:00,12.86,12.88,12.81,12.85,66756,0
2014-02-18,22:00:00,12.85,12.86,12.74,12.76,384108,0
2014-02-19,16:00:00,12.73,12.88,12.73,12.82,16934,0
2014-02-19,17:00:00,12.83,12.83,12.64,12.64,83150,0
2014-02-19,18:00:00,12.65,12.75,12.64,12.68,65918,0
2014-02-19,19:00:00,12.67,12.69,12.59,12.67,30368,0
2014-02-19,20:00:00,12.67,12.73,12.65,12.67,24689,0
2014-02-19,21:00:00,12.66,12.73,12.58,12.64,72044,0
2014-02-19,22:00:00,12.65,12.67,12.5,12.6,214509,0
2014-02-20,16:00:00,12.7,12.75,12.66,12.7,9662,0
2014-02-20,17:00:00,12.69,12.85,12.68,12.74,80697,0
2014-02-20,18:00:00,12.74,12.75,12.62,12.66,22870,0
2014-02-20,19:00:00,12.66,12.67,12.61,12.64,11840,0
2014-02-20,20:00:00,12.64,12.69,12.64,12.67,16365,0
2014-02-20,21:00:00,12.66,12.74,12.63,12.74,31922,0
2014-02-20,22:00:00,12.74,12.87,12.74,12.78,175901,0
2014-02-21,16:00:00,12.78,12.89,12.75,12.79,16299,0
2014-02-21,17:00:00,12.8,12.99,12.77,12.97,80307,0
2014-02-21,18:00:00,12.98,12.98,12.92,12.94,34028,0
2014-02-21,19:00:00,12.95,12.95,12.79,12.8,29006,0
2014-02-21,20:00:00,12.81,12.83,12.78,12.81,11608,0
2014-02-21,21:00:00,12.81,12.82,12.76,12.78,37075,0
2014-02-21,22:00:00,12.77,12.77,12.68,12.69,109303,0
2014-02-24,16:00:00,12.7,12.88,12.66,12.88,35566,0
2014-02-24,17:00:00,12.91,12.94,12.83,12.86,33795,0
2014-02-24,18:00:00,12.86,12.92,12.86,12.91,94881,0
2014-02-24,19:00:00,12.91,12.95,12.89,12.9,35019,0
2014-02-24,20:00:00,12.89,12.91,12.8,12.84,34305,0
2014-02-24,21:00:00,12.85,12.89,12.81,12.86,52654,0
2014-02-24,22:00:00,12.85,12.87,12.81,12.81,291362,0
