Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,24.0618,24.0618,23.6255,23.6837,1857,0
2014-02-10,18:00:00,23.7224,23.7321,23.7224,23.7321,618,0
2014-02-10,19:00:00,23.9939,23.9939,23.7321,23.7321,825,0
2014-02-10,20:00:00,23.9939,23.9939,23.7321,23.8873,1361,0
2014-02-10,21:00:00,23.9842,23.9842,23.9842,23.9842,516,0
2014-02-10,22:00:00,23.7515,23.8291,23.674,23.8291,3491,0
2014-02-11,17:00:00,23.7806,23.9939,23.6837,23.9939,4277,0
2014-02-11,19:00:00,23.7031,23.7127,23.7031,23.7127,309,0
2014-02-11,22:00:00,23.7515,23.8,23.7127,23.8,4410,0
2014-02-12,19:00:00,24.25,24.25,24.25,24.25,1200,0
2014-02-12,21:00:00,24.25,24.25,23.75,23.75,700,0
2014-02-12,22:00:00,24.11,24.11,24.11,24.11,150,0
2014-02-13,16:00:00,23.91,23.91,23.91,23.91,1195,0
2014-02-13,19:00:00,24.15,24.43,24.15,24.43,358,0
2014-02-13,21:00:00,24.36,24.36,24.36,24.36,244,0
2014-02-14,18:00:00,24.3,24.3,24.3,24.3,120,0
2014-02-14,20:00:00,24.31,24.47,24.31,24.47,850,0
2014-02-14,21:00:00,24.47,24.47,24.27,24.27,674,0
2014-02-14,22:00:00,24.47,24.49,24.28,24.28,620,0
2014-02-18,17:00:00,24.29,24.29,24.29,24.29,1744,0
2014-02-18,18:00:00,24.37,24.37,24.28,24.28,2300,0
2014-02-18,19:00:00,24.25,24.47,24.25,24.47,7416,0
2014-02-18,22:00:00,24.44,24.45,24.44,24.45,306,0
2014-02-19,17:00:00,24.1,24.1,24.07,24.07,2254,0
2014-02-19,19:00:00,24.16,24.16,24.16,24.16,500,0
2014-02-19,21:00:00,24.42,24.43,24.42,24.43,300,0
2014-02-20,18:00:00,24.07,24.12,24.07,24.12,920,0
2014-02-20,21:00:00,24.09,24.19,24.08,24.19,800,0
2014-02-20,22:00:00,24.41,24.41,24.41,24.41,300,0
2014-02-21,16:00:00,24.1,24.1,24.1,24.1,100,0
2014-02-21,18:00:00,24.11,24.11,24.11,24.11,500,0
2014-02-21,22:00:00,24.2,24.2,24.2,24.2,561,0
2014-02-24,17:00:00,24.3,24.3,24.12,24.16,1620,0
2014-02-24,19:00:00,24.3,24.3,24.15,24.18,2044,0
2014-02-24,20:00:00,24.2,24.2,24.2,24.2,200,0
2014-02-24,21:00:00,24.3,24.3,24.3,24.3,400,0
2014-02-24,22:00:00,24.12,24.12,24.12,24.12,400,0
2014-02-25,19:00:00,24.27,24.27,24.27,24.27,1500,0
2014-02-25,20:00:00,24,24,23.97,23.97,2076,0
2014-02-25,22:00:00,24.01,24.01,23.98,23.98,500,0
2014-02-26,16:00:00,24.2,24.2,24.15,24.15,300,0
2014-02-26,17:00:00,24.2,24.2,24.15,24.15,2200,0
2014-02-26,18:00:00,24.15,24.15,24.15,24.15,200,0
2014-02-26,19:00:00,24.2,24.3,24.2,24.29,650,0
2014-02-26,20:00:00,24.2,24.3,24.17,24.3,7398,0
2014-02-26,21:00:00,24.25,24.54,24.25,24.54,5003,0
2014-02-27,18:00:00,24.22,24.22,24.22,24.22,300,0
2014-02-27,19:00:00,24.34,24.34,24.34,24.34,250,0
2014-02-27,21:00:00,24.39,24.63,24.38,24.63,1000,0
2014-02-28,16:00:00,24.5,24.51,24.5,24.51,1400,0
2014-02-28,18:00:00,24.51,24.51,24.51,24.51,1020,0
2014-03-03,18:00:00,24.45,24.47,24.45,24.47,500,0
2014-03-03,22:00:00,24.27,24.27,24.25,24.25,800,0
2014-03-04,17:00:00,24.24,24.28,24.24,24.28,747,0
2014-03-04,18:00:00,24.28,24.28,24.27,24.27,400,0
2014-03-04,19:00:00,24.28,24.28,24.19,24.19,900,0
2014-03-04,21:00:00,24.27,24.27,24.24,24.27,1400,0
2014-03-04,22:00:00,24.27,24.28,24.27,24.28,3400,0
2014-03-05,16:00:00,24.19,24.19,24.19,24.19,250,0
2014-03-05,18:00:00,24.2,24.2,24.2,24.2,300,0
2014-03-05,20:00:00,24.28,24.28,24.28,24.28,700,0
2014-03-05,21:00:00,24.24,24.24,24.24,24.24,1200,0
2014-03-05,22:00:00,24.38,24.38,24.38,24.38,1231,0
2014-03-06,16:00:00,24.34,24.34,24.34,24.34,300,0
2014-03-06,17:00:00,24.38,24.39,24.33,24.39,3100,0
2014-03-06,21:00:00,24.25,24.25,24.25,24.25,200,0
2014-03-06,22:00:00,24.22,24.22,24.2,24.2,500,0
2014-03-07,17:00:00,24.37,24.37,24.37,24.37,200,0
2014-03-07,18:00:00,24.37,24.39,24.21,24.21,975,0
2014-03-07,21:00:00,24.38,24.38,24.38,24.38,200,0
2014-03-10,16:00:00,24.48,24.51,24.48,24.51,1200,0
2014-03-10,17:00:00,24.51,24.51,24.51,24.51,700,0
2014-03-10,18:00:00,24.79,24.79,24.79,24.79,150,0
2014-03-10,20:00:00,24.6,24.7,24.6,24.7,445,0
2014-03-10,21:00:00,24.6,24.6,24.6,24.6,1468,0
2014-03-11,19:00:00,24.74,24.74,24.45,24.47,9671,0
2014-03-11,21:00:00,24.65,24.79,24.65,24.79,1300,0
2014-03-12,21:00:00,24.53,24.58,24.53,24.58,800,0
2014-03-13,16:00:00,24.8,24.8,24.8,24.8,261,0
2014-03-13,19:00:00,24.75,24.77,24.75,24.77,2200,0
2014-03-13,20:00:00,24.78,24.78,24.78,24.78,143,0
2014-03-13,21:00:00,24.8,24.8,24.8,24.8,400,0
