Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,76,76.04,76,76,1433,0
2014-02-10,17:00:00,76.01,76.01,76.01,76.01,1700,0
2014-02-10,18:00:00,76.15,76.15,75.81,75.81,930,0
2014-02-10,19:00:00,75.82,76.22,75.82,76.22,2200,0
2014-02-10,20:00:00,75.79,75.79,75.75,75.78,2240,0
2014-02-10,21:00:00,76.05,76.09,76,76.08,6290,0
2014-02-10,22:00:00,76.14,76.14,75.87,75.87,4805,0
2014-02-11,16:00:00,76.45,76.54,76.35,76.54,1700,0
2014-02-11,17:00:00,76.76,76.76,76.76,76.76,924,0
2014-02-11,18:00:00,76.42,76.42,76.42,76.42,1671,0
2014-02-11,19:00:00,76.79,77.04,76.79,77.04,2871,0
2014-02-11,20:00:00,77.04,77.19,77.04,77.13,3350,0
2014-02-11,21:00:00,77.04,77.29,77.04,77.29,3000,0
2014-02-11,22:00:00,77.31,77.4,77.13,77.13,7398,0
2014-02-12,16:00:00,75.97,76.31,75.97,76.31,4624,0
2014-02-12,17:00:00,76.11,76.26,76.11,76.11,2050,0
2014-02-12,18:00:00,75.87,76.08,75.87,76.08,1251,0
2014-02-12,19:00:00,76.1,76.18,75.71,75.84,4894,0
2014-02-12,20:00:00,75.74,76.05,75.69,75.7,3986,0
2014-02-12,21:00:00,75.69,76.06,75.69,75.98,1696,0
2014-02-12,22:00:00,76.09,76.25,76.06,76.25,6771,0
2014-02-13,16:00:00,75.57,75.57,75.57,75.57,1236,0
2014-02-13,17:00:00,75.3,75.47,75.23,75.23,4210,0
2014-02-13,18:00:00,75.5,75.5,75.24,75.47,2518,0
2014-02-13,19:00:00,75.37,75.74,75.2,75.74,2267,0
2014-02-13,20:00:00,75.3,75.76,75.3,75.55,6045,0
2014-02-13,21:00:00,75.62,76.03,75.62,76.03,2865,0
2014-02-13,22:00:00,76.23,76.23,75.62,76.08,6360,0
2014-02-14,16:00:00,73.89,74.21,73.89,73.89,946,0
2014-02-14,17:00:00,74.42,74.49,74.21,74.21,5657,0
2014-02-14,18:00:00,74.16,74.61,74.14,74.15,6940,0
2014-02-14,19:00:00,74.14,74.21,74.06,74.11,7460,0
2014-02-14,20:00:00,74.11,74.24,74.11,74.15,3880,0
2014-02-14,21:00:00,74.14,74.64,74.1,74.2,16112,0
2014-02-14,22:00:00,74.2,74.59,74.2,74.52,34368,0
2014-02-18,16:00:00,76.82,76.82,76.82,76.82,500,0
2014-02-18,17:00:00,76.57,76.81,76.48,76.81,2311,0
2014-02-18,18:00:00,76.57,76.93,76.49,76.93,4713,0
2014-02-18,19:00:00,76.85,76.89,76.76,76.79,32200,0
2014-02-18,20:00:00,77.02,77.02,76.93,76.98,3479,0
2014-02-18,21:00:00,76.8,77.06,76.79,76.79,1730,0
2014-02-18,22:00:00,76.85,77.29,76.82,76.84,10578,0
2014-02-19,16:00:00,76.93,76.93,76.7,76.7,320,0
2014-02-19,17:00:00,77.01,77.32,77.01,77.09,14592,0
2014-02-19,18:00:00,77.05,77.13,77.01,77.1,4141,0
2014-02-19,19:00:00,76.93,76.93,76.93,76.93,1600,0
2014-02-19,20:00:00,76.78,76.78,76.78,76.78,1540,0
2014-02-19,21:00:00,76.72,76.88,76.46,76.47,3800,0
2014-02-19,22:00:00,76.47,76.47,76.19,76.25,4412,0
2014-02-20,16:00:00,74.01,74.01,73.91,73.97,2475,0
2014-02-20,17:00:00,74.01,74.01,74.01,74.01,900,0
2014-02-20,18:00:00,74,74,73.9,73.9,2610,0
2014-02-20,19:00:00,73.81,74.11,73.81,74.11,2700,0
2014-02-20,20:00:00,74.11,74.31,74.11,74.31,2700,0
2014-02-20,21:00:00,74.12,74.12,74.12,74.12,800,0
2014-02-20,22:00:00,74.22,74.3,74.04,74.16,17581,0
