Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,24.0141,24.0141,24.0141,24.0141,103,0
2014-02-11,16:00:00,23.9657,23.9657,23.9657,23.9657,828,0
2014-02-11,18:00:00,24.0625,24.0625,24.0625,24.0625,103,0
2014-02-11,19:00:00,24.0625,24.0625,24.0625,24.0625,103,0
2014-02-11,22:00:00,24.0916,24.0916,24.0625,24.0625,3387,0
2014-02-12,16:00:00,24.31,24.32,24.3,24.32,525,0
2014-02-12,20:00:00,24.36,24.36,24.36,24.36,300,0
2014-02-12,21:00:00,24.16,24.29,24.16,24.29,200,0
2014-02-12,22:00:00,24.3,24.3,24.29,24.29,600,0
2014-02-14,16:00:00,24.07,24.07,24.06,24.06,700,0
2014-02-14,17:00:00,24.15,24.2,24.15,24.2,1400,0
2014-02-14,22:00:00,24.15,24.15,24.15,24.15,400,0
2014-02-18,16:00:00,24.19,24.2,24.19,24.2,500,0
2014-02-18,17:00:00,24.2,24.2,24.2,24.2,800,0
2014-02-18,18:00:00,24.2,24.2,24.2,24.2,200,0
2014-02-18,19:00:00,24.2,24.2,24.2,24.2,218,0
2014-02-18,20:00:00,24.15,24.15,24.06,24.07,3874,0
2014-02-18,21:00:00,24.06,24.09,24.06,24.09,651,0
2014-02-19,19:00:00,24.06,24.06,24.06,24.06,600,0
2014-02-19,22:00:00,24.06,24.2,24.05,24.2,1900,0
2014-02-20,16:00:00,24.2,24.5,24.2,24.21,4103,0
2014-02-21,19:00:00,24.2,24.25,24.2,24.25,200,0
2014-02-21,20:00:00,24.2,24.2,24.2,24.2,991,0
2014-02-21,21:00:00,24.27,24.27,24.25,24.27,400,0
2014-02-21,22:00:00,24.25,24.3,24.25,24.3,700,0
2014-02-24,16:00:00,24.5,24.5,24.5,24.5,200,0
2014-02-25,22:00:00,24.49,24.49,24.49,24.49,300,0
2014-02-26,21:00:00,24.41,24.41,24.4,24.4,400,0
2014-02-26,22:00:00,24.4,24.4,24.4,24.4,600,0
2014-03-03,21:00:00,24.23,24.23,24.23,24.23,218,0
2014-03-05,19:00:00,24.09,24.2,24.06,24.2,700,0
2014-03-07,18:00:00,24.12,24.12,24.12,24.12,144,0
2014-03-10,16:00:00,24.2,24.2,24.12,24.12,300,0
2014-03-11,18:00:00,24.39,24.49,24.39,24.49,1768,0
2014-03-11,21:00:00,24.39,24.39,24.2,24.2,771,0
2014-03-12,16:00:00,24.3,24.3,24.3,24.3,600,0
2014-03-12,17:00:00,24.23,24.23,24.23,24.23,443,0
2014-03-13,20:00:00,24.36,24.36,24.36,24.36,156,0
2014-03-18,20:00:00,24.37,24.38,24.37,24.38,522,0
2014-03-19,16:00:00,24.4,24.4,24.4,24.4,400,0
2014-03-20,16:00:00,24.5,24.5,24.49,24.49,1160,0
2014-03-20,21:00:00,24.5,24.5,24.5,24.5,990,0
2014-03-21,17:00:00,24.21,24.21,24.21,24.21,513,0
2014-03-24,18:00:00,24.49,26.07,24.3,25.29,10600,0
2014-03-24,19:00:00,25.32,25.8,25.29,25.35,2000,0
2014-03-24,20:00:00,25.12,25.24,24.93,24.93,2403,0
2014-03-25,15:00:00,25.2,25.2,25.2,25.2,200,0
2014-03-26,15:00:00,24.93,25.16,24.93,25.16,234,0
2014-03-26,17:00:00,25.19,25.19,25.19,25.19,230,0
2014-03-26,19:00:00,25.07,25.07,25.07,25.07,100,0
2014-03-27,15:00:00,25.7,25.7,25.19,25.19,900,0
2014-03-27,16:00:00,25.02,25.02,25.02,25.02,1796,0
2014-03-27,17:00:00,25.19,25.19,25.19,25.19,300,0
2014-03-27,18:00:00,25.19,25.19,25.19,25.19,200,0
2014-03-27,19:00:00,25.19,25.19,25.19,25.19,331,0
2014-03-31,17:00:00,25.03,25.03,25.03,25.03,170,0
2014-03-31,19:00:00,24.96,24.96,24.95,24.95,356,0
2014-03-31,21:00:00,25.15,25.24,25,25,1774,0
2014-03-31,22:00:00,25.24,25.24,25.24,25.24,408,0
2014-04-07,18:00:00,25.25,25.26,24.95,24.95,2400,0
2014-04-07,19:00:00,25.09,25.3,25.08,25.3,2900,0
2014-04-08,18:00:00,24.98,25.1,24.98,25.1,1546,0
2014-04-09,17:00:00,24.95,24.97,24.95,24.97,915,0
2014-04-09,18:00:00,24.95,24.96,24.95,24.95,773,0
2014-04-10,19:00:00,25.2,25.2,25.2,25.2,410,0
2014-04-14,18:00:00,24.98,25.02,24.97,25.01,1000,0
2014-04-14,22:00:00,25.05,25.16,25.05,25.16,200,0
2014-04-15,18:00:00,24.96,24.96,24.96,24.96,200,0
2014-04-15,19:00:00,24.95,24.97,24.95,24.97,626,0
2014-04-15,22:00:00,24.97,25,24.97,25,911,0
2014-04-16,18:00:00,25,25,25,25,400,0
2014-04-16,19:00:00,24.99,24.99,24.99,24.99,400,0
2014-04-17,17:00:00,25.01,25.01,24.95,25,653,0
2014-04-17,18:00:00,25.33,25.33,25.33,25.33,790,0
2014-04-17,20:00:00,25.33,25.33,25.33,25.33,200,0
2014-04-21,16:00:00,25,25,24.95,24.98,638,0
2014-04-21,21:00:00,25.04,25.04,25.04,25.04,255,0
2014-04-22,18:00:00,25.33,25.33,25.33,25.33,100,0
2014-04-28,20:00:00,24.95,24.95,24.95,24.95,113,0
2014-04-28,22:00:00,24.95,25,24.95,25,3116,0
2014-04-29,16:00:00,24.9,24.9,24.79,24.9,2200,0
2014-04-29,17:00:00,24.95,24.95,24.95,24.95,600,0
2014-04-29,19:00:00,25,25,25,25,294,0
2014-04-29,22:00:00,25.01,25.04,25.01,25.04,300,0
2014-04-30,19:00:00,25.04,25.09,25.04,25.09,1132,0
2014-04-30,21:00:00,25.04,25.04,25.04,25.04,700,0
2014-04-30,22:00:00,25.04,25.04,25.04,25.04,200,0
2014-05-01,17:00:00,25.05,25.05,25.02,25.02,439,0
2014-05-01,20:00:00,25.05,25.17,25.05,25.17,2600,0
2014-05-02,22:00:00,25.33,25.35,25.33,25.33,4544,0
2014-05-05,19:00:00,25.32,25.32,25.32,25.32,200,0
2014-05-05,20:00:00,25.08,25.08,25.08,25.08,597,0
2014-05-05,22:00:00,25.1,25.1,25.1,25.1,112,0
