Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,46.4815,46.5213,46.2625,46.2923,301580,0
2014-02-10,17:00:00,46.2923,46.3023,45.8941,45.9937,529167,0
2014-02-10,18:00:00,45.9937,46.1928,45.9439,46.0932,243570,0
2014-02-10,19:00:00,46.0932,46.1131,45.9837,46.0036,230358,0
2014-02-10,20:00:00,46.0036,46.0335,45.8543,46.0136,296151,0
2014-02-10,21:00:00,46.0235,46.1231,45.9937,46.0634,286196,0
2014-02-10,22:00:00,46.0634,46.2425,46.0534,46.2226,2049237,0
2014-02-11,16:00:00,46.3919,46.9394,46.3023,46.7602,594470,0
2014-02-11,17:00:00,46.7702,46.8299,46.5611,46.6208,625663,0
2014-02-11,18:00:00,46.6109,46.8697,46.581,46.8299,506573,0
2014-02-11,19:00:00,46.8399,46.9295,46.81,46.8797,279828,0
2014-02-11,20:00:00,46.8797,46.9892,46.8598,46.9792,311341,0
2014-02-11,21:00:00,46.9693,47.1186,46.9394,47.029,327224,0
2014-02-11,22:00:00,47.029,47.1385,47.0091,47.0489,1833313,0
2014-02-12,16:00:00,47.2381,47.9648,47.2381,47.8752,662837,0
2014-02-12,17:00:00,47.8752,48.1838,47.7657,48.0743,1492491,0
2014-02-12,18:00:00,48.0544,48.154,47.8852,47.9549,513114,0
2014-02-12,19:00:00,47.9549,48.1739,47.8752,48.0644,409104,0
2014-02-12,20:00:00,48.0743,48.1042,47.935,48.0146,423779,0
2014-02-12,21:00:00,48.0146,48.0544,47.8454,47.9648,493158,0
2014-02-12,22:00:00,47.9549,48.1042,47.8852,48.1042,1910390,0
2014-02-13,16:00:00,47.7856,48.1341,47.5566,48.1042,628943,0
2014-02-13,17:00:00,48.1241,48.363,47.9847,48.2336,493481,0
2014-02-13,18:00:00,48.2336,48.5621,48.1639,48.5223,652612,0
2014-02-13,19:00:00,48.5223,48.6916,48.4327,48.6916,584339,0
2014-02-13,20:00:00,48.6816,48.9106,48.6716,48.8907,604873,0
2014-02-13,21:00:00,48.8907,48.9106,48.7314,48.821,470347,0
2014-02-13,22:00:00,48.821,48.8409,48.6916,48.7314,1702646,0
2014-02-14,16:00:00,48.7812,48.7911,48.373,48.5422,334968,0
2014-02-14,17:00:00,48.5522,48.7413,48.3431,48.602,455516,0
2014-02-14,18:00:00,48.602,48.7314,48.5422,48.6418,299349,0
2014-02-14,19:00:00,48.6517,48.7115,48.5821,48.6517,262100,0
2014-02-14,20:00:00,48.6517,48.9504,48.6318,48.9205,409345,0
2014-02-14,21:00:00,48.9106,48.9902,48.8608,48.9205,491214,0
2014-02-14,22:00:00,48.9106,48.9404,48.7612,48.7812,1538489,0
2014-02-18,16:00:00,48.9205,49.0898,48.7115,48.7513,505511,0
2014-02-18,17:00:00,48.7314,49.0201,48.6418,48.9404,630033,0
2014-02-18,18:00:00,48.9404,48.9703,48.7812,48.8011,227253,0
2014-02-18,19:00:00,48.8011,48.8807,48.7911,48.8608,217314,0
2014-02-18,20:00:00,48.8708,48.9006,48.7712,48.8708,255718,0
2014-02-18,21:00:00,48.8708,49.0699,48.8409,49.04,365553,0
2014-02-18,22:00:00,49.05,49.1196,49.0002,49.05,869804,0
2014-02-19,16:00:00,49.0101,49.1595,48.9305,49.1495,326644,0
2014-02-19,17:00:00,49.1495,49.4283,49.0101,49.3187,485276,0
2014-02-19,18:00:00,49.3187,49.4183,49.269,49.2789,334577,0
2014-02-19,19:00:00,49.2789,49.4084,49.1694,49.2889,455669,0
2014-02-19,20:00:00,49.2789,49.488,49.269,49.3785,396372,0
2014-02-19,21:00:00,49.3785,49.6373,49.3486,49.4382,1015407,0
2014-02-19,22:00:00,49.4382,49.5179,49.0699,49.0798,2307798,0
2014-02-20,16:00:00,49.0798,49.2092,48.9305,49.0101,503015,0
2014-02-20,17:00:00,48.9803,49.3884,48.8508,49.3287,438458,0
2014-02-20,18:00:00,49.3387,49.5079,49.2889,49.498,376884,0
2014-02-20,19:00:00,49.488,49.6572,49.478,49.5676,249164,0
2014-02-20,20:00:00,49.5676,49.6373,49.5079,49.5477,271217,0
2014-02-20,21:00:00,49.5378,49.6473,49.4482,49.5378,338947,0
2014-02-20,22:00:00,49.5378,49.697,49.5179,49.6373,1290263,0
2014-02-21,16:00:00,49.7767,49.8265,49.5776,49.6572,472610,0
2014-02-21,17:00:00,49.6572,49.7767,49.488,49.7369,804269,0
2014-02-21,18:00:00,49.7468,49.7966,49.4283,49.5875,1293952,0
2014-02-21,19:00:00,49.5875,49.707,49.5179,49.5975,627631,0
2014-02-21,20:00:00,49.5975,49.6473,49.5278,49.5776,379985,0
2014-02-21,21:00:00,49.5875,49.5975,49.3486,49.5278,484090,0
2014-02-21,22:00:00,49.5378,49.5676,49.4482,49.498,1653587,0
2014-02-24,16:00:00,49.5676,49.7568,49.4581,49.7568,290227,0
2014-02-24,17:00:00,49.7568,49.7867,49.5477,49.7667,583178,0
2014-02-24,18:00:00,49.7767,50.0754,49.7369,50.0754,858781,0
2014-02-24,19:00:00,50.0754,50.1052,49.8663,49.8862,272264,0
2014-02-24,20:00:00,49.8862,49.9459,49.7269,49.7667,602342,0
2014-02-24,21:00:00,49.7667,49.8364,49.6871,49.6871,335166,0
2014-02-24,22:00:00,49.6871,49.6871,49.498,49.498,2646241,0
2014-02-25,16:00:00,49.6373,49.6373,49.2391,49.3685,280670,0
2014-02-25,17:00:00,49.3685,49.6871,49.269,49.6672,370075,0
2014-02-25,18:00:00,49.6672,49.8663,49.5577,49.5776,252025,0
2014-02-25,19:00:00,49.5875,49.6672,49.498,49.6174,178466,0
2014-02-25,20:00:00,49.6174,49.6473,49.5378,49.5378,251477,0
2014-02-25,21:00:00,49.5378,49.6174,49.498,49.498,529567,0
2014-02-25,22:00:00,49.498,49.5378,49.3785,49.498,1289786,0
2014-02-26,16:00:00,49.5975,49.8962,49.5378,49.5676,191352,0
2014-02-26,17:00:00,49.5875,49.8265,49.5278,49.7369,658978,0
2014-02-26,18:00:00,49.7369,49.8862,49.7369,49.8165,243037,0
2014-02-26,19:00:00,49.8066,50.0455,49.7966,50.0256,299069,0
2014-02-26,20:00:00,50.0156,50.0156,49.8464,49.8663,247109,0
2014-02-26,21:00:00,49.8763,49.9161,49.4581,49.6074,375021,0
2014-02-26,22:00:00,49.6074,49.717,49.5179,49.6771,732911,0
2014-02-27,16:00:00,49.5875,49.8265,49.4681,49.5477,149794,0
2014-02-27,17:00:00,49.5577,49.6473,49.2491,49.5278,566451,0
