Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,20.904,20.943,20.904,20.933,5583,0
2014-02-10,17:00:00,20.933,20.973,20.933,20.943,4873,0
2014-02-10,18:00:00,20.973,20.973,20.914,20.933,13547,0
2014-02-10,19:00:00,20.943,20.963,20.924,20.963,12803,0
2014-02-10,20:00:00,20.963,20.963,20.924,20.963,9907,0
2014-02-10,21:00:00,20.963,20.973,20.914,20.933,19487,0
2014-02-10,22:00:00,20.933,20.973,20.914,20.953,48246,0
2014-02-11,16:00:00,20.983,21.002,20.973,20.983,14649,0
2014-02-11,17:00:00,20.983,21.022,20.953,20.983,20127,0
2014-02-11,18:00:00,20.992,21.022,20.943,20.983,15842,0
2014-02-11,19:00:00,20.973,20.973,20.884,20.894,38173,0
2014-02-11,20:00:00,20.904,20.924,20.884,20.904,30317,0
2014-02-11,21:00:00,20.904,20.924,20.864,20.874,21813,0
2014-02-11,22:00:00,20.874,20.904,20.864,20.894,30544,0
2014-02-12,16:00:00,20.924,20.943,20.924,20.943,8315,0
2014-02-12,17:00:00,20.943,20.943,20.884,20.924,17069,0
2014-02-12,18:00:00,20.924,20.943,20.914,20.933,14298,0
2014-02-12,19:00:00,20.933,20.943,20.884,20.914,10674,0
2014-02-12,20:00:00,20.914,20.924,20.884,20.904,16910,0
2014-02-12,21:00:00,20.914,20.953,20.904,20.953,7635,0
2014-02-12,22:00:00,20.963,20.963,20.894,20.904,35219,0
2014-02-13,16:00:00,20.983,20.992,20.953,20.983,22514,0
2014-02-13,17:00:00,20.973,21.002,20.963,20.983,14804,0
2014-02-13,18:00:00,20.983,21.032,20.943,21.012,21880,0
2014-02-13,19:00:00,21.012,21.032,21.012,21.032,6188,0
2014-02-13,20:00:00,21.032,21.061,21.002,21.022,19924,0
2014-02-13,21:00:00,21.022,21.061,21.012,21.061,16324,0
2014-02-13,22:00:00,21.061,21.101,21.032,21.091,19882,0
2014-02-14,16:00:00,21.14,21.18,21.14,21.17,2842,0
2014-02-14,17:00:00,21.209,21.249,21.081,21.111,47608,0
2014-02-14,18:00:00,21.101,21.16,21.101,21.14,16256,0
2014-02-14,19:00:00,21.121,21.16,21.032,21.13,212952,0
2014-02-14,20:00:00,21.13,21.189,21.13,21.15,29226,0
2014-02-14,21:00:00,21.14,21.219,21.14,21.199,17479,0
2014-02-14,22:00:00,21.199,21.258,21.18,21.249,35760,0
2014-02-18,16:00:00,21.278,21.347,21.278,21.337,10304,0
2014-02-18,17:00:00,21.318,21.347,21.308,21.327,21133,0
2014-02-18,18:00:00,21.337,21.337,21.298,21.308,23258,0
2014-02-18,19:00:00,21.308,21.318,21.298,21.318,7512,0
2014-02-18,20:00:00,21.318,21.367,21.318,21.357,16750,0
2014-02-18,21:00:00,21.357,21.367,21.337,21.347,14862,0
2014-02-18,22:00:00,21.357,21.377,21.308,21.337,23117,0
2014-02-19,16:00:00,21.337,21.505,21.337,21.485,11897,0
2014-02-19,17:00:00,21.475,21.485,21.426,21.455,24093,0
2014-02-19,18:00:00,21.455,21.505,21.455,21.505,13841,0
2014-02-19,19:00:00,21.505,21.505,21.455,21.465,11180,0
2014-02-19,20:00:00,21.455,21.475,21.455,21.475,6685,0
2014-02-19,21:00:00,21.455,21.475,21.377,21.387,22408,0
2014-02-19,22:00:00,21.406,21.426,21.337,21.337,26115,0
2014-02-20,16:00:00,21.446,21.455,21.337,21.337,31924,0
2014-02-20,17:00:00,21.327,21.367,21.308,21.367,14542,0
2014-02-20,18:00:00,21.367,21.367,21.337,21.357,21082,0
2014-02-20,19:00:00,21.367,21.367,21.347,21.357,10077,0
2014-02-20,20:00:00,21.357,21.357,21.318,21.327,14904,0
2014-02-20,21:00:00,21.327,21.327,21.318,21.318,18619,0
2014-02-20,22:00:00,21.318,21.318,21.258,21.278,19452,0
2014-02-21,16:00:00,21.308,21.337,21.278,21.308,13857,0
2014-02-21,17:00:00,21.318,21.347,21.258,21.268,40080,0
2014-02-21,18:00:00,21.258,21.278,21.18,21.229,132777,0
2014-02-21,19:00:00,21.229,21.229,21.219,21.219,18905,0
2014-02-21,20:00:00,21.219,21.239,21.219,21.239,21804,0
2014-02-21,21:00:00,21.239,21.268,21.209,21.229,131260,0
2014-02-21,22:00:00,21.268,21.298,21.239,21.298,31337,0
2014-02-24,16:00:00,21.258,21.298,21.258,21.288,3840,0
2014-02-24,17:00:00,21.278,21.308,21.239,21.258,26952,0
2014-02-24,18:00:00,21.249,21.258,21.219,21.258,27052,0
2014-02-24,19:00:00,21.258,21.258,21.229,21.229,4213,0
2014-02-24,20:00:00,21.258,21.288,21.229,21.278,118752,0
2014-02-24,21:00:00,21.249,21.298,21.249,21.298,19216,0
2014-02-24,22:00:00,21.288,21.288,21.209,21.249,35791,0
2014-02-25,16:00:00,21.219,21.219,21.209,21.209,612,0
2014-02-25,17:00:00,21.239,21.258,21.17,21.219,25002,0
