Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,9.1029,9.1127,9.0931,9.1029,2242,0
2014-02-10,17:00:00,9.1029,9.1029,9.1029,9.1029,2345,0
2014-02-10,18:00:00,9.1029,9.1127,9.1029,9.1127,2112,0
2014-02-10,19:00:00,9.1127,9.1226,9.1029,9.1127,2447,0
2014-02-10,20:00:00,9.1127,9.1226,9.1029,9.1127,1427,0
2014-02-10,21:00:00,9.1029,9.1226,9.1029,9.1226,1905,0
2014-02-10,22:00:00,9.1226,9.1618,9.1127,9.1618,6293,0
2014-02-11,16:00:00,9.1323,9.1323,9.1323,9.1323,5081,0
2014-02-11,17:00:00,9.1422,9.152,9.1226,9.152,5640,0
2014-02-11,18:00:00,9.152,9.1618,9.152,9.1618,4323,0
2014-02-11,19:00:00,9.152,9.1618,9.1422,9.1618,10548,0
2014-02-11,20:00:00,9.1618,9.1618,9.152,9.1618,3874,0
2014-02-11,21:00:00,9.1716,9.1716,9.1618,9.1716,5523,0
2014-02-11,22:00:00,9.1716,9.2108,9.1716,9.2108,8727,0
2014-02-12,16:00:00,9.1716,9.1814,9.1618,9.1814,2125,0
2014-02-12,17:00:00,9.1912,9.1912,9.1618,9.1814,5563,0
2014-02-12,18:00:00,9.1814,9.1814,9.1716,9.1814,3805,0
2014-02-12,19:00:00,9.1716,9.1912,9.1422,9.1618,13112,0
2014-02-12,20:00:00,9.1814,9.1814,9.1618,9.1618,3302,0
2014-02-12,21:00:00,9.1814,9.1814,9.1814,9.1814,509,0
2014-02-12,22:00:00,9.1618,9.1618,9.152,9.152,1343,0
2014-02-13,16:00:00,9.152,9.152,9.152,9.152,826,0
2014-02-13,18:00:00,9.1618,9.1912,9.1618,9.1912,10652,0
2014-02-13,19:00:00,9.1716,9.1912,9.1716,9.1912,945,0
2014-02-13,20:00:00,9.1912,9.1912,9.1814,9.1814,1383,0
2014-02-13,21:00:00,9.1814,9.1814,9.1716,9.1814,1020,0
2014-02-13,22:00:00,9.1814,9.1912,9.1618,9.1618,3521,0
2014-02-14,16:00:00,9.1716,9.1814,9.1618,9.1618,511,0
2014-02-14,17:00:00,9.1814,9.2206,9.1716,9.2206,9463,0
2014-02-14,18:00:00,9.1912,9.201,9.1814,9.1912,1967,0
2014-02-14,19:00:00,9.2108,9.2108,9.2108,9.2108,359,0
2014-02-14,22:00:00,9.1912,9.1912,9.1912,9.1912,5373,0
2014-02-18,16:00:00,9.2307,9.2504,9.2208,9.2208,2404,0
2014-02-18,17:00:00,9.2208,9.2208,9.2011,9.2208,3723,0
2014-02-18,18:00:00,9.2208,9.2208,9.2011,9.2208,3047,0
2014-02-18,19:00:00,9.2208,9.2208,9.211,9.2208,2328,0
2014-02-18,20:00:00,9.211,9.2208,9.211,9.2208,6179,0
2014-02-18,21:00:00,9.2208,9.2208,9.2011,9.2208,4862,0
2014-02-18,22:00:00,9.211,9.2208,9.211,9.2208,3768,0
2014-02-19,16:00:00,9.2208,9.2208,9.2208,9.2208,304,0
2014-02-19,17:00:00,9.2208,9.2307,9.2208,9.2307,2767,0
2014-02-19,18:00:00,9.2208,9.2406,9.2208,9.2406,2938,0
2014-02-19,19:00:00,9.2307,9.2504,9.2208,9.2504,2073,0
2014-02-19,20:00:00,9.2307,9.2406,9.2307,9.2406,1824,0
2014-02-19,21:00:00,9.2406,9.2406,9.2307,9.2307,2161,0
2014-02-19,22:00:00,9.2406,9.2406,9.211,9.211,2228,0
2014-02-20,16:00:00,9.2307,9.2307,9.2307,9.2307,8004,0
2014-02-20,17:00:00,9.2307,9.2307,9.2208,9.2208,810,0
2014-02-20,18:00:00,9.2208,9.2307,9.211,9.2307,3377,0
2014-02-20,19:00:00,9.211,9.2208,9.211,9.2208,1516,0
2014-02-20,20:00:00,9.2208,9.2406,9.211,9.2307,4492,0
2014-02-20,21:00:00,9.2307,9.2406,9.2307,9.2307,1647,0
2014-02-20,22:00:00,9.2406,9.2406,9.2307,9.2307,1418,0
2014-02-21,17:00:00,9.2406,9.2406,9.2307,9.2406,16863,0
2014-02-21,18:00:00,9.2406,9.2504,9.2406,9.2504,2089,0
2014-02-21,20:00:00,9.2504,9.2504,9.2307,9.2406,5135,0
2014-02-21,21:00:00,9.2504,9.2603,9.2406,9.2603,1192,0
2014-02-21,22:00:00,9.2603,9.2603,9.2307,9.2406,17955,0
2014-02-24,16:00:00,9.211,9.2208,9.211,9.2208,912,0
2014-02-24,17:00:00,9.211,9.2307,9.211,9.2208,2914,0
2014-02-24,18:00:00,9.2208,9.2307,9.2208,9.2307,5368,0
2014-02-24,19:00:00,9.2307,9.2307,9.2307,9.2307,829,0
2014-02-24,20:00:00,9.2208,9.2307,9.2208,9.2307,1963,0
2014-02-24,21:00:00,9.2307,9.2307,9.2307,9.2307,709,0
2014-02-24,22:00:00,9.2208,9.2406,9.2208,9.2406,5850,0
2014-02-25,16:00:00,9.2504,9.2504,9.2307,9.2504,3161,0
2014-02-25,17:00:00,9.2504,9.2603,9.2406,9.2603,4164,0
2014-02-25,18:00:00,9.2504,9.2603,9.2406,9.2504,7200,0
2014-02-25,19:00:00,9.2504,9.2603,9.2504,9.2603,5721,0
2014-02-25,20:00:00,9.2603,9.2603,9.2603,9.2603,604,0
2014-02-25,21:00:00,9.2603,9.2603,9.2603,9.2603,202,0
2014-02-25,22:00:00,9.2603,9.2603,9.2406,9.2406,2763,0
2014-02-26,16:00:00,9.2504,9.2603,9.2406,9.2406,1092,0
2014-02-26,17:00:00,9.2307,9.2406,9.2307,9.2406,506,0
2014-02-26,18:00:00,9.2406,9.2406,9.2307,9.2307,1216,0
2014-02-26,19:00:00,9.2406,9.2406,9.2307,9.2406,912,0
2014-02-26,20:00:00,9.2504,9.2801,9.2504,9.2702,10517,0
2014-02-26,22:00:00,9.2603,9.2702,9.2603,9.2603,903,0
2014-02-27,16:00:00,9.2702,9.2801,9.2702,9.2801,1924,0
2014-02-27,17:00:00,9.2702,9.2899,9.2702,9.2801,23205,0
2014-02-27,18:00:00,9.2801,9.2998,9.2801,9.2998,5600,0
2014-02-27,19:00:00,9.2899,9.2899,9.2702,9.2702,4204,0
2014-02-27,20:00:00,9.2899,9.2998,9.2899,9.2998,1012,0
2014-02-27,21:00:00,9.2998,9.2998,9.2899,9.2998,2127,0
2014-02-27,22:00:00,9.2998,9.2998,9.2899,9.2899,2127,0
2014-02-28,16:00:00,9.2702,9.2998,9.2702,9.2801,22907,0
2014-02-28,17:00:00,9.2801,9.2899,9.2801,9.2801,4291,0
2014-02-28,18:00:00,9.2899,9.2899,9.2899,9.2899,1012,0
2014-02-28,19:00:00,9.2899,9.2899,9.2801,9.2801,1238,0
2014-02-28,20:00:00,9.2899,9.2899,9.2801,9.2899,4254,0
2014-02-28,21:00:00,9.2899,9.2899,9.2702,9.2801,4915,0
2014-02-28,22:00:00,9.2801,9.2899,9.2702,9.2801,4128,0
2014-03-03,16:00:00,9.2603,9.2603,9.2603,9.2603,2431,0
2014-03-03,17:00:00,9.2899,9.2899,9.2603,9.2801,6212,0
2014-03-03,18:00:00,9.2801,9.2899,9.2801,9.2899,3330,0
2014-03-03,19:00:00,9.2801,9.2899,9.2801,9.2899,4891,0
2014-03-03,20:00:00,9.2801,9.2801,9.2801,9.2801,5348,0
2014-03-03,21:00:00,9.2801,9.2899,9.2801,9.2801,2440,0
2014-03-03,22:00:00,9.2801,9.2801,9.2603,9.2702,5393,0
2014-03-04,16:00:00,9.2702,9.3097,9.2702,9.2899,12381,0
2014-03-04,17:00:00,9.2603,9.2899,9.2603,9.2801,17256,0
2014-03-04,18:00:00,9.2801,9.2899,9.2801,9.2801,3242,0
2014-03-04,19:00:00,9.2801,9.2801,9.2801,9.2801,4812,0
2014-03-04,20:00:00,9.2801,9.2899,9.2801,9.2801,2234,0
2014-03-04,21:00:00,9.2801,9.2899,9.2801,9.2899,1620,0
2014-03-04,22:00:00,9.2899,9.2899,9.2801,9.2801,3968,0
2014-03-05,17:00:00,9.2801,9.2801,9.2801,9.2801,5976,0
2014-03-05,18:00:00,9.2801,9.2801,9.2702,9.2801,4375,0
2014-03-05,19:00:00,9.2801,9.2801,9.2603,9.2702,7624,0
2014-03-05,20:00:00,9.2702,9.2702,9.2603,9.2702,4717,0
2014-03-05,21:00:00,9.2702,9.2702,9.2603,9.2603,5281,0
2014-03-05,22:00:00,9.2603,9.2702,9.2504,9.2702,19469,0
2014-03-06,16:00:00,9.2801,9.2801,9.2801,9.2801,153,0
2014-03-06,17:00:00,9.2603,9.2603,9.2504,9.2603,4862,0
