Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,76.05,76.18,74.74,75.34,52280,0
2014-02-10,17:00:00,75.34,75.99,75.25,75.27,68387,0
2014-02-10,18:00:00,75.34,75.74,75.33,75.4,32639,0
2014-02-10,19:00:00,75.4,75.46,75.21,75.39,45781,0
2014-02-10,20:00:00,75.37,75.61,75.36,75.6,18739,0
2014-02-10,21:00:00,75.61,75.79,75.53,75.79,51126,0
2014-02-10,22:00:00,75.8,75.82,75.56,75.71,108197,0
2014-02-11,16:00:00,75.85,75.85,75.44,75.51,35593,0
2014-02-11,17:00:00,75.55,76.22,75.47,76.12,78769,0
2014-02-11,18:00:00,76.18,76.55,76.18,76.55,75342,0
2014-02-11,19:00:00,76.56,76.63,76.42,76.47,76288,0
2014-02-11,20:00:00,76.46,76.57,76.39,76.42,61080,0
2014-02-11,21:00:00,76.41,76.99,76.39,76.96,116586,0
2014-02-11,22:00:00,76.94,77.01,76.78,76.89,199502,0
2014-02-12,16:00:00,76.74,76.9,76.7,76.81,25992,0
2014-02-12,17:00:00,76.76,76.81,76.6,76.6,86119,0
2014-02-12,18:00:00,76.64,76.73,76.32,76.32,37672,0
2014-02-12,19:00:00,76.31,76.48,76.25,76.3,32727,0
2014-02-12,20:00:00,76.35,76.56,76.28,76.53,65327,0
2014-02-12,21:00:00,76.58,76.58,76.32,76.39,42755,0
2014-02-12,22:00:00,76.4,76.43,76.28,76.31,77349,0
2014-02-13,16:00:00,76.01,76.7,76.01,76.54,17545,0
2014-02-13,17:00:00,76.6,76.77,76.46,76.54,70899,0
2014-02-13,18:00:00,76.53,76.55,76.14,76.14,59178,0
2014-02-13,19:00:00,76.17,76.36,76.13,76.2,51520,0
2014-02-13,20:00:00,76.17,76.3,76.01,76.03,63389,0
2014-02-13,21:00:00,76.05,76.13,75.82,75.86,64715,0
2014-02-13,22:00:00,75.89,75.89,75.7,75.78,112827,0
2014-02-14,16:00:00,75.99,76.23,75.95,75.99,46083,0
2014-02-14,17:00:00,75.99,76.1,75.69,75.69,99900,0
2014-02-14,18:00:00,75.7,75.82,75.4,75.42,64422,0
2014-02-14,19:00:00,75.4,75.7,75.35,75.51,83234,0
2014-02-14,20:00:00,75.55,75.72,75.47,75.53,72796,0
2014-02-14,21:00:00,75.51,75.68,75.46,75.61,55860,0
2014-02-14,22:00:00,75.6,75.73,75.55,75.73,150849,0
2014-02-18,16:00:00,75.67,75.69,75.25,75.57,102443,0
2014-02-18,17:00:00,75.64,75.9,75.61,75.77,82814,0
2014-02-18,18:00:00,75.74,75.91,75.65,75.76,129381,0
2014-02-18,19:00:00,75.76,75.82,75.7,75.76,89402,0
2014-02-18,20:00:00,75.74,75.76,75.48,75.53,77588,0
2014-02-18,21:00:00,75.55,75.61,75.42,75.49,80272,0
2014-02-18,22:00:00,75.49,75.59,75.44,75.55,197206,0
2014-02-19,16:00:00,74.71,75.15,74.34,74.99,202805,0
2014-02-19,17:00:00,74.99,75.15,74.85,75.04,146761,0
2014-02-19,18:00:00,75.04,75.12,74.69,74.69,122409,0
2014-02-19,19:00:00,74.68,74.99,74.68,74.89,35647,0
2014-02-19,20:00:00,74.89,74.92,74.52,74.61,63724,0
2014-02-19,21:00:00,74.63,74.77,74.47,74.59,95096,0
2014-02-19,22:00:00,74.62,74.67,74.45,74.65,186770,0
2014-02-20,16:00:00,74.55,74.7,74.3,74.5,69415,0
2014-02-20,17:00:00,74.35,74.72,74.3,74.49,86892,0
2014-02-20,18:00:00,74.52,74.57,74.12,74.17,87453,0
2014-02-20,19:00:00,74.19,74.4,74.16,74.4,56158,0
2014-02-20,20:00:00,74.37,74.39,74.2,74.34,85779,0
2014-02-20,21:00:00,74.34,74.49,74.14,74.4,83604,0
2014-02-20,22:00:00,74.4,74.45,74.32,74.33,136267,0
2014-02-21,16:00:00,74.35,74.7,74.18,74.7,65144,0
2014-02-21,17:00:00,74.7,74.72,74.23,74.27,115395,0
2014-02-21,18:00:00,74.3,74.31,74.13,74.18,64487,0
2014-02-21,19:00:00,74.22,74.41,74.07,74.15,62378,0
2014-02-21,20:00:00,74.1,74.21,74.06,74.21,33253,0
2014-02-21,21:00:00,74.2,74.21,73.89,73.99,87811,0
2014-02-21,22:00:00,74,74.15,73.95,74.06,141587,0
2014-02-24,16:00:00,71.9,72,70.44,70.65,942933,0
2014-02-24,17:00:00,70.64,71.75,70.57,71.5,652899,0
2014-02-24,18:00:00,71.5,71.85,71.31,71.53,344930,0
2014-02-24,19:00:00,71.51,71.6,70.26,70.59,385821,0
2014-02-24,20:00:00,70.59,70.83,70.35,70.75,170763,0
2014-02-24,21:00:00,70.76,71,70.41,70.9,227335,0
2014-02-24,22:00:00,70.87,70.9,70.51,70.65,373498,0
2014-02-25,16:00:00,70.56,71.4,70.55,71.33,117470,0
2014-02-25,17:00:00,71.33,71.71,70.93,71.64,179241,0
2014-02-25,18:00:00,71.63,72.21,71.46,71.91,174102,0
2014-02-25,19:00:00,71.96,72.34,71.91,71.92,137753,0
2014-02-25,20:00:00,71.9,71.92,71.43,71.7,166676,0
2014-02-25,21:00:00,71.68,72.08,71.51,72.08,164117,0
2014-02-25,22:00:00,72.1,72.55,72.05,72.3,233225,0
2014-02-26,16:00:00,72.4,72.52,71.63,71.82,57975,0
2014-02-26,17:00:00,71.87,72.14,71.56,71.65,100905,0
2014-02-26,18:00:00,71.65,71.81,71.51,71.57,74835,0
2014-02-26,19:00:00,71.55,71.55,71.19,71.42,79333,0
2014-02-26,20:00:00,71.42,71.54,71.21,71.54,116756,0
2014-02-26,21:00:00,71.54,71.74,71.4,71.63,136356,0
2014-02-26,22:00:00,71.66,71.8,71.46,71.59,162455,0
2014-02-27,16:00:00,71.6,71.61,71.37,71.37,72554,0
2014-02-27,17:00:00,71.4,71.48,70.81,70.89,96881,0
2014-02-27,18:00:00,70.9,71,70.6,70.62,120774,0
2014-02-27,19:00:00,70.58,70.63,70.29,70.37,175327,0
2014-02-27,20:00:00,70.34,70.47,70.25,70.36,175217,0
2014-02-27,21:00:00,70.33,70.47,70.32,70.41,258738,0
2014-02-27,22:00:00,70.4,70.45,70.22,70.39,429167,0
2014-02-28,16:00:00,70.31,70.32,70.06,70.19,37746,0
2014-02-28,17:00:00,70.22,70.29,70.08,70.18,125447,0
2014-02-28,18:00:00,70.16,70.26,70.14,70.25,119140,0
2014-02-28,19:00:00,70.25,70.26,70.09,70.11,117866,0
2014-02-28,20:00:00,70.09,70.11,69.9,69.97,179179,0
2014-02-28,21:00:00,69.97,70.07,69.73,69.78,143271,0
2014-02-28,22:00:00,69.79,69.86,69.54,69.8,473871,0
2014-03-03,16:00:00,69.63,69.83,69.51,69.73,111971,0
2014-03-03,17:00:00,69.86,69.9,69.19,69.54,126349,0
2014-03-03,18:00:00,69.49,69.59,69.17,69.35,220959,0
2014-03-03,19:00:00,69.34,69.75,69.24,69.72,86050,0
2014-03-03,20:00:00,69.72,70.01,69.6,70,130548,0
2014-03-03,21:00:00,70,70.08,69.84,70,106886,0
2014-03-03,22:00:00,69.97,69.97,69.56,69.82,153606,0
2014-03-04,16:00:00,70,70.21,69.77,70.12,43163,0
2014-03-04,17:00:00,70.02,70.24,69.85,69.85,69313,0
2014-03-04,18:00:00,69.87,70.14,69.87,70.12,49997,0
2014-03-04,19:00:00,70.1,70.18,69.91,70.01,80825,0
2014-03-04,20:00:00,70.01,70.3,69.96,70.2,67706,0
2014-03-04,21:00:00,70.22,70.44,70.17,70.41,111026,0
