Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,28.83,28.83,28.83,28.83,195,0
2014-02-10,17:00:00,28.9,28.9,28.8,28.8,7128,0
2014-02-10,18:00:00,28.95,29,28.93,28.93,800,0
2014-02-10,19:00:00,28.79,28.79,28.79,28.79,200,0
2014-02-10,21:00:00,28.89,28.89,28.89,28.89,200,0
2014-02-10,22:00:00,28.93,29.04,28.75,28.91,5152,0
2014-02-11,16:00:00,29.08,29.08,28.82,28.82,200,0
2014-02-11,17:00:00,28.77,29.56,28.77,29.26,4207,0
2014-02-11,18:00:00,28.99,29.35,28.99,29.34,1330,0
2014-02-11,19:00:00,29.33,29.59,29.33,29.45,3200,0
2014-02-11,20:00:00,29.5,29.57,29.39,29.44,5000,0
2014-02-11,21:00:00,29.48,29.5,29.26,29.46,4409,0
2014-02-11,22:00:00,29.47,29.5,29.2,29.2,3300,0
2014-02-12,16:00:00,28.85,29.25,28.85,29.25,500,0
2014-02-12,17:00:00,28.75,29.01,28.75,29.01,3600,0
2014-02-12,18:00:00,28.86,29.24,28.86,29.24,5498,0
2014-02-12,19:00:00,29.25,29.25,28.9,28.99,1900,0
2014-02-12,20:00:00,29,29,28.9,29,800,0
2014-02-12,21:00:00,29,29,28.78,28.99,2388,0
2014-02-12,22:00:00,28.99,28.99,28.76,28.81,3946,0
2014-02-13,16:00:00,28.68,28.68,28.68,28.68,400,0
2014-02-13,17:00:00,28.8,29.44,28.8,29.44,1933,0
2014-02-13,18:00:00,29.48,29.48,29,29.03,6449,0
2014-02-13,20:00:00,29.25,29.25,29.07,29.1,900,0
2014-02-13,21:00:00,29.05,30.04,29.05,30.04,73930,0
2014-02-13,22:00:00,29.97,30.23,29.65,29.79,4305,0
2014-02-14,17:00:00,29.81,29.82,29.79,29.82,1900,0
2014-02-14,18:00:00,29.79,30,29.75,29.87,4179,0
2014-02-14,19:00:00,29.74,29.74,29.67,29.67,400,0
2014-02-14,20:00:00,29.87,29.94,29.87,29.94,300,0
2014-02-14,21:00:00,29.95,30,29.92,29.99,1600,0
2014-02-14,22:00:00,29.98,30.17,29.47,30.15,21750,0
2014-02-18,16:00:00,30,30.08,30,30,500,0
2014-02-18,17:00:00,29.94,30.03,29.9,29.93,6714,0
2014-02-18,18:00:00,29.85,29.9,29.75,29.75,2780,0
2014-02-18,19:00:00,29.76,29.9,29.76,29.82,2000,0
2014-02-18,21:00:00,29.8,29.8,29.65,29.65,1115,0
2014-02-18,22:00:00,29.87,29.87,29.68,29.76,2761,0
2014-02-19,16:00:00,29.65,29.65,29.65,29.65,2562,0
2014-02-19,17:00:00,29.47,29.47,29.42,29.42,2000,0
2014-02-19,18:00:00,29.5,29.51,29.39,29.5,3900,0
2014-02-19,19:00:00,29.61,29.95,29.61,29.85,2800,0
2014-02-19,20:00:00,29.93,29.97,29.74,29.95,2858,0
2014-02-19,21:00:00,29.95,29.95,29.6,29.75,8200,0
2014-02-19,22:00:00,29.65,29.77,29.63,29.74,6978,0
2014-02-20,16:00:00,29.77,29.77,29.77,29.77,1700,0
2014-02-20,17:00:00,29.76,29.77,29.76,29.77,2700,0
2014-02-20,18:00:00,29.77,29.88,29.58,29.88,2676,0
2014-02-20,19:00:00,29.94,30.15,29.94,30.15,1700,0
2014-02-20,20:00:00,30,30,29.8,29.8,2200,0
2014-02-20,21:00:00,29.8,29.99,29.8,29.88,4200,0
2014-02-20,22:00:00,30,30,29.85,30,5039,0
2014-02-21,16:00:00,29.32,29.88,29.31,29.88,850,0
2014-02-21,17:00:00,29.94,30.01,29.64,29.96,3420,0
2014-02-21,18:00:00,30.01,30.01,29.89,29.9,2500,0
2014-02-21,19:00:00,30.01,30.01,29.83,30.01,2576,0
2014-02-21,20:00:00,30.1,30.1,29.97,29.97,1900,0
2014-02-21,21:00:00,29.97,30.12,29.97,30.1,2100,0
2014-02-21,22:00:00,30.1,30.11,29.96,30.11,6500,0
2014-02-24,16:00:00,29.95,30.25,29.84,29.84,3378,0
2014-02-24,17:00:00,30.24,30.25,30.16,30.24,2693,0
2014-02-24,18:00:00,30.24,30.66,30.24,30.63,3824,0
2014-02-24,19:00:00,30.74,30.8,30.69,30.8,1800,0
2014-02-24,20:00:00,30.5,30.6,30.5,30.6,1200,0
2014-02-24,21:00:00,30.62,30.62,30.46,30.46,5650,0
2014-02-24,22:00:00,30.44,30.5,30.02,30.33,16348,0
2014-02-25,16:00:00,30.21,30.21,30.16,30.16,304,0
2014-02-25,17:00:00,30.13,30.48,29.82,30.47,3985,0
2014-02-25,18:00:00,30.4,30.5,30.32,30.33,1702,0
2014-02-25,19:00:00,30.38,30.5,30.38,30.5,2100,0
2014-02-25,20:00:00,30.5,30.5,30.44,30.44,588,0
2014-02-25,21:00:00,30.44,30.45,30.25,30.25,2600,0
2014-02-25,22:00:00,30.35,30.37,30.09,30.37,6578,0
2014-02-26,16:00:00,30.24,30.24,30.24,30.24,300,0
2014-02-26,17:00:00,30.24,30.5,30.19,30.19,4964,0
2014-02-26,18:00:00,30.3,30.5,30.23,30.23,2392,0
2014-02-26,19:00:00,30.23,30.5,30.07,30.39,7289,0
2014-02-26,20:00:00,30.3,30.5,30.3,30.33,3476,0
2014-02-26,21:00:00,30.25,30.27,30.07,30.19,4200,0
2014-02-26,22:00:00,30.23,30.49,30.09,30.49,11215,0
2014-02-27,16:00:00,30.64,30.64,29.99,29.99,700,0
2014-02-27,17:00:00,30.27,30.48,30.24,30.43,2500,0
