Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,44.18,44.18,43.99,43.99,1516,0
2014-02-10,17:00:00,43.98,43.98,43.67,43.75,9855,0
2014-02-10,18:00:00,43.82,43.89,43.8,43.89,2200,0
2014-02-10,19:00:00,43.89,43.89,43.83,43.88,2348,0
2014-02-10,20:00:00,43.88,43.88,43.77,43.77,3647,0
2014-02-10,21:00:00,43.87,43.9,43.77,43.9,2924,0
2014-02-10,22:00:00,43.8,43.8,43.61,43.66,10055,0
2014-02-11,16:00:00,43.87,44.05,43.87,44.05,1626,0
2014-02-11,17:00:00,43.96,43.98,43.96,43.98,2000,0
2014-02-11,18:00:00,44.02,44.26,43.99,44.26,3562,0
2014-02-11,19:00:00,44.17,44.31,44.17,44.25,3061,0
2014-02-11,20:00:00,44.23,44.38,44.23,44.3,4108,0
2014-02-11,21:00:00,44.39,44.45,44.28,44.45,2290,0
2014-02-11,22:00:00,44.45,44.45,44.35,44.38,10186,0
2014-02-12,16:00:00,44.31,44.31,44.3,44.3,585,0
2014-02-12,17:00:00,44.31,44.31,44.22,44.24,1300,0
2014-02-12,18:00:00,44.24,44.25,44.12,44.21,2400,0
2014-02-12,19:00:00,44.2,44.27,44.19,44.22,1604,0
2014-02-12,20:00:00,44.24,44.31,44.24,44.3,1029,0
2014-02-12,21:00:00,44.18,44.25,44.18,44.25,1110,0
2014-02-12,22:00:00,44.2,44.39,44.2,44.39,5844,0
2014-02-13,16:00:00,43.64,43.64,43.64,43.64,3900,0
2014-02-13,17:00:00,43.87,43.87,43.74,43.81,2257,0
2014-02-13,18:00:00,43.81,43.97,43.76,43.91,4119,0
2014-02-13,19:00:00,43.91,44.13,43.85,43.95,9237,0
2014-02-13,20:00:00,44.02,44.17,44.02,44.12,1200,0
2014-02-13,21:00:00,44.29,44.39,44.29,44.39,3736,0
2014-02-13,22:00:00,44.3,44.43,44.23,44.38,7073,0
2014-02-14,16:00:00,43.81,43.85,43.76,43.76,1980,0
2014-02-14,17:00:00,43.76,43.87,43.75,43.86,2900,0
2014-02-14,18:00:00,43.88,44.11,43.88,44.05,8138,0
2014-02-14,19:00:00,44.05,44.05,44.02,44.05,4452,0
2014-02-14,20:00:00,44.05,44.17,44.05,44.17,6277,0
2014-02-14,21:00:00,44.2,44.23,44.1,44.2,7105,0
2014-02-14,22:00:00,44.21,44.22,44.03,44.1,15299,0
2014-02-18,16:00:00,44.92,44.92,44.81,44.81,2570,0
