Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,209,209.28,207.1,209.13,641993,0
2014-02-10,17:00:00,208.9,213,208.53,209,1209545,0
2014-02-10,18:00:00,208.91,210,208.04,208.49,610492,0
2014-02-10,19:00:00,208.54,208.73,207.42,207.79,383813,0
2014-02-10,20:00:00,207.92,208.22,207,208.2,404490,0
2014-02-10,21:00:00,208.22,209.79,208.04,208.41,468325,0
2014-02-10,22:00:00,208.39,208.51,206.81,207.33,917686,0
2014-02-11,16:00:00,207.87,208.98,206.28,207.19,626687,0
2014-02-11,17:00:00,207.24,207.24,205.08,205.12,1129394,0
2014-02-11,18:00:00,205.16,205.72,201.25,202.84,1259229,0
2014-02-11,19:00:00,202.95,203.53,201.07,203,851699,0
2014-02-11,20:00:00,203.06,203.98,201.28,201.3,518972,0
2014-02-11,21:00:00,201.36,203.5,200.19,203.41,1018012,0
2014-02-11,22:00:00,203.32,204.98,202.79,202.8,1725624,0
2014-02-12,16:00:00,202.41,204.4,200.5,201.95,527343,0
2014-02-12,17:00:00,202.15,202.22,198.4,198.42,1735479,0
2014-02-12,18:00:00,198.55,199.9,196.52,197.07,964515,0
2014-02-12,19:00:00,197.06,197.74,196.01,196.24,1050498,0
2014-02-12,20:00:00,196.26,196.29,192.25,192.9,1515981,0
2014-02-12,21:00:00,192.9,195.24,192.37,194.88,1664807,0
2014-02-12,22:00:00,194.8,195.15,192.24,192.34,4859947,0
2014-02-13,16:00:00,190.3,194.22,189.87,193.85,980959,0
2014-02-13,17:00:00,193.68,194.1,192.02,193.25,718437,0
2014-02-13,18:00:00,193.3,195,192.1,193.36,768472,0
2014-02-13,19:00:00,193.37,194,192.13,193.33,747275,0
2014-02-13,20:00:00,193.24,193.91,192.66,193.23,601037,0
2014-02-13,21:00:00,193.34,193.48,190.33,190.53,735183,0
2014-02-13,22:00:00,190.61,192.59,190.02,191.67,1598677,0
2014-02-14,16:00:00,191.79,192.46,188.6,189.76,665159,0
2014-02-14,17:00:00,189.76,191.42,189.07,189.47,695096,0
2014-02-14,18:00:00,189.41,189.74,188.46,188.78,660869,0
2014-02-14,19:00:00,188.78,189.58,187.71,188.19,724228,0
2014-02-14,20:00:00,188.1,188.75,186.45,187.05,696909,0
2014-02-14,21:00:00,187.11,187.54,186.15,186.99,909238,0
2014-02-14,22:00:00,187.02,187.37,185.73,186.13,3124781,0
2014-02-18,16:00:00,186.21,188.91,185.04,188.1,797677,0
2014-02-18,17:00:00,187.97,190.61,186.47,189.97,1139630,0
2014-02-18,18:00:00,189.98,190.74,188.3,188.3,533018,0
2014-02-18,19:00:00,188.31,188.82,186.38,186.79,550533,0
2014-02-18,20:00:00,186.82,189.55,186.8,189.21,559839,0
2014-02-18,21:00:00,189.3,190.5,189.21,190.22,536108,0
2014-02-18,22:00:00,190.35,191.99,189.82,191.92,1686265,0
2014-02-19,16:00:00,189.75,197.27,189.75,196.31,1500123,0
2014-02-19,17:00:00,196.4,198.69,195.61,197.27,1458384,0
2014-02-19,18:00:00,197.33,198.15,196.06,196.19,734498,0
