Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,15.232,15.232,15.232,15.232,128,0
2014-02-10,18:00:00,15.242,15.242,15.242,15.242,653,0
2014-02-10,19:00:00,15.232,15.232,15.232,15.232,668,0
2014-02-10,21:00:00,15.262,15.271,15.144,15.262,5254,0
2014-02-10,22:00:00,15.242,15.634,15.242,15.34,21053,0
2014-02-11,16:00:00,15.389,15.566,15.389,15.566,1173,0
2014-02-11,17:00:00,15.477,15.477,15.477,15.477,204,0
2014-02-11,18:00:00,15.36,15.497,15.36,15.497,1955,0
2014-02-11,19:00:00,15.468,15.468,15.468,15.468,181,0
2014-02-11,20:00:00,15.458,15.487,15.438,15.487,3948,0
2014-02-11,22:00:00,15.448,15.487,15.438,15.487,932,0
2014-02-12,17:00:00,15.419,15.419,15.419,15.419,383,0
2014-02-12,18:00:00,15.487,15.487,15.487,15.487,102,0
2014-02-12,19:00:00,15.487,15.487,15.487,15.487,816,0
2014-02-12,21:00:00,15.487,15.487,15.487,15.487,408,0
2014-02-13,18:00:00,15.526,15.536,15.507,15.536,3446,0
2014-02-13,19:00:00,15.438,15.477,15.419,15.477,2404,0
2014-02-13,20:00:00,15.507,15.507,15.507,15.507,1224,0
2014-02-13,21:00:00,15.507,15.536,15.507,15.526,5070,0
2014-02-13,22:00:00,15.526,15.536,15.428,15.438,2485,0
2014-02-14,17:00:00,15.585,15.605,15.33,15.33,467,0
2014-02-14,18:00:00,15.615,15.624,15.389,15.389,2239,0
2014-02-14,22:00:00,15.399,15.477,15.36,15.477,2397,0
2014-02-18,18:00:00,15.526,15.566,15.526,15.566,2157,0
2014-02-18,19:00:00,15.575,15.634,15.575,15.624,11156,0
2014-02-18,21:00:00,15.624,15.683,15.536,15.683,6965,0
2014-02-18,22:00:00,15.664,15.664,15.605,15.644,8092,0
2014-02-19,16:00:00,15.448,15.448,15.448,15.448,102,0
2014-02-19,17:00:00,15.536,15.536,15.526,15.526,2106,0
2014-02-19,18:00:00,15.448,15.468,15.448,15.458,816,0
2014-02-19,19:00:00,15.458,15.458,15.448,15.448,447,0
2014-02-19,21:00:00,15.477,15.487,15.399,15.487,2615,0
2014-02-19,22:00:00,15.487,15.487,15.487,15.487,2448,0
2014-02-20,17:00:00,15.546,15.585,15.546,15.585,3571,0
2014-02-20,18:00:00,15.546,15.546,15.546,15.546,1397,0
2014-02-20,19:00:00,15.566,15.575,15.566,15.575,475,0
2014-02-20,22:00:00,15.605,15.605,15.605,15.605,2193,0
2014-02-21,16:00:00,15.595,15.595,15.595,15.595,1020,0
2014-02-21,17:00:00,15.634,15.634,15.634,15.634,816,0
2014-02-21,18:00:00,15.605,15.634,15.585,15.595,18422,0
2014-02-21,19:00:00,15.673,15.683,15.644,15.644,816,0
2014-02-21,20:00:00,15.624,15.624,15.605,15.605,612,0
2014-02-21,21:00:00,15.634,15.634,15.634,15.634,1585,0
2014-02-21,22:00:00,15.595,15.595,15.585,15.585,330,0
2014-02-24,16:00:00,15.595,15.624,15.595,15.624,205,0
2014-02-24,17:00:00,15.605,15.605,15.595,15.595,408,0
2014-02-24,18:00:00,15.654,15.654,15.615,15.615,1071,0
2014-02-24,19:00:00,15.595,15.595,15.585,15.595,1020,0
