Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,21.332,21.401,21.145,21.184,7561,0
2014-02-10,17:00:00,21.303,21.362,21.194,21.322,4676,0
2014-02-10,18:00:00,21.322,21.352,21.293,21.293,6079,0
2014-02-10,19:00:00,21.303,21.381,21.283,21.332,2842,0
2014-02-10,20:00:00,21.352,21.381,21.332,21.381,3654,0
2014-02-10,21:00:00,21.381,21.519,21.372,21.5,16286,0
2014-02-10,22:00:00,21.411,21.628,21.391,21.431,10133,0
2014-02-11,16:00:00,21.48,21.519,21.372,21.519,5116,0
2014-02-11,17:00:00,21.608,21.608,21.48,21.49,11709,0
2014-02-11,18:00:00,21.49,21.529,20.879,21.106,28861,0
2014-02-11,19:00:00,21.106,21.618,21.076,21.618,15700,0
2014-02-11,20:00:00,21.529,21.628,21.45,21.529,17240,0
2014-02-11,21:00:00,21.608,21.933,21.559,21.864,25964,0
2014-02-11,22:00:00,21.874,21.963,21.559,21.648,44807,0
2014-02-12,16:00:00,21.352,21.441,20.061,20.14,81575,0
2014-02-12,17:00:00,20.15,20.298,20.012,20.199,167451,0
2014-02-12,18:00:00,20.199,20.376,20.032,20.268,164180,0
2014-02-12,19:00:00,20.248,20.347,20.061,20.17,145525,0
2014-02-12,20:00:00,20.16,20.179,20.091,20.15,31868,0
2014-02-12,21:00:00,20.15,20.189,20.12,20.16,39449,0
2014-02-12,22:00:00,20.16,20.189,19.155,19.608,342928,0
2014-02-13,16:00:00,19.45,19.775,19.194,19.332,24641,0
2014-02-13,17:00:00,19.233,20.022,19.233,19.854,34172,0
2014-02-13,18:00:00,19.933,20.396,19.854,20.258,38081,0
2014-02-13,19:00:00,20.258,20.298,19.953,20.022,32842,0
2014-02-13,20:00:00,20.002,20.091,19.894,20.022,24824,0
2014-02-13,21:00:00,20.012,20.278,19.805,20.278,69401,0
2014-02-13,22:00:00,20.298,20.416,20.15,20.15,148122,0
2014-02-14,16:00:00,19.864,20.337,19.785,19.805,2030,0
2014-02-14,17:00:00,19.923,20.189,19.795,19.913,21804,0
2014-02-14,18:00:00,19.992,20.17,19.923,20.002,228529,0
2014-02-14,19:00:00,20.061,20.78,19.963,20.367,110700,0
2014-02-14,20:00:00,20.465,20.465,20.101,20.307,25077,0
2014-02-14,21:00:00,20.357,20.357,20.022,20.022,19882,0
2014-02-14,22:00:00,20.081,20.15,19.933,20.041,38178,0
2014-02-18,16:00:00,19.835,19.835,19.835,19.835,101,0
2014-02-18,17:00:00,20.032,20.051,19.825,19.953,7851,0
2014-02-18,18:00:00,19.972,20.101,19.953,20.101,10115,0
2014-02-18,19:00:00,20.071,20.11,19.992,19.992,14209,0
2014-02-18,20:00:00,19.992,20.002,19.953,19.963,3248,0
2014-02-18,21:00:00,19.982,19.992,19.923,19.953,12409,0
2014-02-18,22:00:00,19.953,20.209,19.953,20.14,32643,0
2014-02-19,16:00:00,20.032,20.091,20.002,20.022,1472,0
2014-02-19,17:00:00,19.913,20.091,19.894,19.933,39646,0
2014-02-19,18:00:00,19.933,20.032,19.736,19.982,92358,0
2014-02-19,19:00:00,19.943,20.022,19.805,19.854,116430,0
2014-02-19,20:00:00,19.844,19.844,19.706,19.805,68400,0
2014-02-19,21:00:00,19.815,19.835,19.775,19.825,23577,0
2014-02-19,22:00:00,19.815,19.844,19.736,19.736,34897,0
2014-02-20,16:00:00,19.844,19.844,19.618,19.618,4890,0
2014-02-20,17:00:00,19.657,19.854,19.637,19.805,6318,0
2014-02-20,18:00:00,19.825,19.844,19.726,19.825,114749,0
2014-02-20,19:00:00,19.766,19.864,19.736,19.756,10200,0
2014-02-20,20:00:00,19.785,19.835,19.697,19.766,20907,0
2014-02-20,21:00:00,19.756,19.825,19.726,19.766,33456,0
2014-02-20,22:00:00,19.766,19.795,19.716,19.726,11931,0
