Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,5.6386,5.6484,5.6386,5.6484,7939,0
2014-02-10,17:00:00,5.6484,5.6484,5.6288,5.6386,8115,0
2014-02-10,18:00:00,5.6386,5.6386,5.6288,5.6288,2380,0
2014-02-10,19:00:00,5.6288,5.6386,5.6288,5.6386,5063,0
2014-02-10,20:00:00,5.6386,5.6386,5.6386,5.6386,4078,0
2014-02-10,21:00:00,5.6288,5.6288,5.6288,5.6288,409,0
2014-02-10,22:00:00,5.6386,5.6386,5.6288,5.6386,5914,0
2014-02-11,16:00:00,5.6288,5.6288,5.6288,5.6288,306,0
2014-02-11,17:00:00,5.6288,5.6288,5.6288,5.6288,608,0
2014-02-11,18:00:00,5.6386,5.6876,5.619,5.6484,17345,0
2014-02-11,19:00:00,5.6582,5.6582,5.6582,5.6582,1021,0
2014-02-11,20:00:00,5.6484,5.6484,5.6288,5.6288,9634,0
2014-02-11,21:00:00,5.6288,5.6288,5.6288,5.6288,3434,0
2014-02-11,22:00:00,5.6288,5.6288,5.6092,5.619,7398,0
2014-02-12,16:00:00,5.6288,5.6288,5.6288,5.6288,326,0
2014-02-12,17:00:00,5.6092,5.6288,5.5994,5.5994,2895,0
2014-02-12,18:00:00,5.5994,5.5994,5.5994,5.5994,3060,0
2014-02-12,19:00:00,5.5994,5.6092,5.5994,5.5994,3396,0
2014-02-12,20:00:00,5.5994,5.5994,5.5896,5.5896,7449,0
2014-02-12,21:00:00,5.5896,5.5994,5.5896,5.5896,3982,0
2014-02-12,22:00:00,5.5896,5.5994,5.5896,5.5896,9187,0
2014-02-13,17:00:00,5.5994,5.5994,5.5896,5.5896,3830,0
2014-02-13,18:00:00,5.5896,5.5896,5.5798,5.5798,4492,0
2014-02-13,19:00:00,5.5798,5.5896,5.5798,5.5798,4190,0
2014-02-13,20:00:00,5.5798,5.5798,5.5798,5.5798,4792,0
2014-02-13,21:00:00,5.5798,5.5896,5.57,5.57,6047,0
2014-02-13,22:00:00,5.5798,5.5896,5.57,5.57,21892,0
2014-02-14,16:00:00,5.5896,5.5896,5.5896,5.5896,3061,0
2014-02-14,17:00:00,5.5896,5.5896,5.5798,5.5798,2319,0
2014-02-14,18:00:00,5.5896,5.5896,5.5798,5.5798,2885,0
2014-02-14,19:00:00,5.5798,5.5896,5.5798,5.5798,6834,0
2014-02-14,20:00:00,5.5798,5.5896,5.5798,5.5798,3606,0
2014-02-14,21:00:00,5.5896,5.5896,5.5896,5.5896,1429,0
2014-02-14,22:00:00,5.5896,5.619,5.5896,5.619,22811,0
2014-02-18,16:00:00,5.6459,5.6459,5.6361,5.6361,10427,0
2014-02-18,17:00:00,5.6361,5.6361,5.6262,5.6262,5476,0
2014-02-18,18:00:00,5.6262,5.6361,5.6262,5.6262,9586,0
2014-02-18,19:00:00,5.6262,5.6262,5.6163,5.6163,6514,0
2014-02-18,20:00:00,5.6163,5.6361,5.6163,5.6262,9890,0
2014-02-18,21:00:00,5.6262,5.6262,5.6262,5.6262,9878,0
2014-02-18,22:00:00,5.6262,5.6262,5.6163,5.6262,20150,0
2014-02-19,16:00:00,5.6163,5.6558,5.6163,5.6459,8979,0
2014-02-19,17:00:00,5.6558,5.6558,5.6459,5.6459,8409,0
2014-02-19,18:00:00,5.6459,5.6558,5.6459,5.6459,11958,0
2014-02-19,19:00:00,5.6558,5.6657,5.6558,5.6558,7648,0
2014-02-19,20:00:00,5.6657,5.6657,5.6657,5.6657,2836,0
2014-02-19,21:00:00,5.6657,5.6854,5.6459,5.6459,22584,0
2014-02-19,22:00:00,5.6459,5.6657,5.6361,5.6361,21779,0
2014-02-20,16:00:00,5.6558,5.6558,5.6361,5.6361,2046,0
2014-02-20,17:00:00,5.6361,5.6361,5.6361,5.6361,506,0
2014-02-20,18:00:00,5.6262,5.6361,5.6262,5.6361,3036,0
2014-02-20,19:00:00,5.6361,5.6361,5.6262,5.6262,5631,0
2014-02-20,20:00:00,5.6361,5.6459,5.6361,5.6361,16407,0
2014-02-20,21:00:00,5.6361,5.6558,5.6361,5.6459,12742,0
2014-02-20,22:00:00,5.6459,5.6558,5.6459,5.6459,4373,0
2014-02-21,16:00:00,5.6163,5.6262,5.6163,5.6262,18099,0
2014-02-21,17:00:00,5.6262,5.6361,5.6262,5.6361,1196,0
2014-02-21,18:00:00,5.6262,5.6361,5.6163,5.6262,29193,0
2014-02-21,19:00:00,5.6361,5.6361,5.6262,5.6361,4366,0
2014-02-21,20:00:00,5.6262,5.6361,5.6262,5.6262,6666,0
2014-02-21,21:00:00,5.6262,5.6361,5.6262,5.6262,7715,0
2014-02-21,22:00:00,5.6262,5.6262,5.6163,5.6163,6383,0
2014-02-24,16:00:00,5.6262,5.6361,5.6262,5.6361,922,0
2014-02-24,17:00:00,5.6262,5.6361,5.6262,5.6262,8891,0
2014-02-24,18:00:00,5.6262,5.6262,5.6163,5.6163,5978,0
2014-02-24,19:00:00,5.6163,5.6262,5.6163,5.6163,13310,0
2014-02-24,20:00:00,5.6262,5.6262,5.6163,5.6163,3140,0
2014-02-24,21:00:00,5.6163,5.6262,5.6163,5.6262,3671,0
2014-02-24,22:00:00,5.6163,5.6262,5.6163,5.6163,9749,0
2014-02-25,16:00:00,5.6459,5.6459,5.6262,5.6262,2507,0
2014-02-25,17:00:00,5.6262,5.6361,5.6262,5.6361,2736,0
2014-02-25,18:00:00,5.6262,5.6361,5.6262,5.6361,4316,0
2014-02-25,19:00:00,5.6262,5.6361,5.6163,5.6163,16820,0
2014-02-25,20:00:00,5.6262,5.6262,5.6163,5.6163,4774,0
2014-02-25,21:00:00,5.6163,5.6262,5.6163,5.6262,19914,0
2014-02-25,22:00:00,5.6262,5.6361,5.6163,5.6361,9520,0
2014-02-26,16:00:00,5.6262,5.6361,5.6262,5.6361,10147,0
2014-02-26,17:00:00,5.6262,5.6361,5.6262,5.6361,13717,0
2014-02-26,18:00:00,5.6361,5.6361,5.6163,5.6262,10406,0
2014-02-26,19:00:00,5.6163,5.6262,5.6163,5.6163,6587,0
2014-02-26,20:00:00,5.6163,5.6361,5.6163,5.6361,18543,0
2014-02-26,21:00:00,5.6163,5.6361,5.6163,5.6262,5709,0
