Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,16.1289,16.1869,16.0612,16.1676,6950,0
2014-02-10,17:00:00,16.1676,16.2063,16.1676,16.1772,9878,0
2014-02-10,18:00:00,16.1676,16.2449,16.1482,16.2449,26186,0
2014-02-10,19:00:00,16.2449,16.2546,16.2256,16.2449,14868,0
2014-02-10,20:00:00,16.2546,16.361,16.2449,16.361,29976,0
2014-02-10,21:00:00,16.3706,16.419,16.3416,16.3997,31558,0
2014-02-10,22:00:00,16.39,16.4673,16.3803,16.3803,93403,0
2014-02-11,16:00:00,16.4093,16.4093,16.3126,16.332,5957,0
2014-02-11,17:00:00,16.332,16.3803,16.3029,16.332,15843,0
2014-02-11,18:00:00,16.3416,16.3997,16.3126,16.39,7187,0
2014-02-11,19:00:00,16.4093,16.477,16.3803,16.39,27713,0
2014-02-11,20:00:00,16.39,16.4383,16.332,16.4383,19447,0
2014-02-11,21:00:00,16.4383,16.4577,16.39,16.39,24537,0
2014-02-11,22:00:00,16.39,16.3997,16.3223,16.332,62226,0
2014-02-12,16:00:00,16.2836,16.419,16.2836,16.3706,7406,0
2014-02-12,17:00:00,16.3803,16.4867,16.3706,16.477,16242,0
2014-02-12,18:00:00,16.477,16.535,16.39,16.4093,17307,0
2014-02-12,19:00:00,16.4383,16.506,16.419,16.506,22065,0
2014-02-12,20:00:00,16.506,16.5254,16.477,16.4867,17622,0
2014-02-12,21:00:00,16.4963,16.5254,16.4867,16.5157,25587,0
2014-02-12,22:00:00,16.5157,16.5254,16.448,16.4963,30363,0
2014-02-13,16:00:00,16.5254,16.6511,16.477,16.6317,18066,0
2014-02-13,17:00:00,16.6511,16.6607,16.6124,16.6317,9570,0
2014-02-13,18:00:00,16.6511,16.7284,16.6124,16.6994,30073,0
2014-02-13,19:00:00,16.7188,16.7574,16.6897,16.7381,21585,0
2014-02-13,20:00:00,16.7381,16.7961,16.7381,16.7671,23350,0
2014-02-13,21:00:00,16.7768,16.7961,16.7381,16.7574,21714,0
2014-02-13,22:00:00,16.7671,16.7961,16.6607,16.6704,80352,0
2014-02-14,16:00:00,16.6511,16.7671,16.6414,16.7188,7785,0
2014-02-14,17:00:00,16.6994,16.7671,16.6801,16.7381,21294,0
2014-02-14,18:00:00,16.7188,16.8058,16.7188,16.7768,12324,0
2014-02-14,19:00:00,16.7671,16.7671,16.7091,16.7091,18605,0
2014-02-14,20:00:00,16.7188,16.7477,16.6994,16.7091,23682,0
2014-02-14,21:00:00,16.7188,16.7284,16.6801,16.6994,26416,0
2014-02-14,22:00:00,16.6994,16.7091,16.6607,16.6704,41288,0
2014-02-18,16:00:00,16.6317,16.7381,16.5447,16.7188,19342,0
2014-02-18,17:00:00,16.7477,16.8154,16.7284,16.8058,24287,0
2014-02-18,18:00:00,16.8154,16.9025,16.8154,16.8541,34744,0
2014-02-18,19:00:00,16.8541,16.8735,16.8444,16.8444,18769,0
2014-02-18,20:00:00,16.8541,16.8735,16.7961,16.7961,28494,0
2014-02-18,21:00:00,16.8154,16.8348,16.8058,16.8154,10265,0
2014-02-18,22:00:00,16.8251,16.9218,16.8154,16.9218,93190,0
2014-02-19,16:00:00,16.9025,17.1055,16.9025,17.0378,64832,0
2014-02-19,17:00:00,17.0475,17.0959,17.0088,17.0088,31264,0
2014-02-19,18:00:00,17.0088,17.0475,16.9218,16.9315,23520,0
2014-02-19,19:00:00,16.9315,16.9315,16.8638,16.8735,55834,0
2014-02-19,20:00:00,16.8638,16.9121,16.8348,16.8735,22020,0
2014-02-19,21:00:00,16.8541,16.8541,16.7961,16.8058,31279,0
2014-02-19,22:00:00,16.8058,16.8058,16.6994,16.6994,88976,0
2014-02-20,16:00:00,16.6801,16.7864,16.6511,16.7284,11478,0
2014-02-20,17:00:00,16.7284,16.7768,16.6607,16.7091,49386,0
2014-02-20,18:00:00,16.7091,16.7091,16.6317,16.6607,17497,0
2014-02-20,19:00:00,16.6704,16.7091,16.6607,16.6994,13961,0
2014-02-20,20:00:00,16.6994,16.7284,16.6801,16.6994,7963,0
2014-02-20,21:00:00,16.6897,16.7284,16.6704,16.6994,12863,0
2014-02-20,22:00:00,16.6994,16.7381,16.6897,16.6994,32851,0
2014-02-21,16:00:00,16.7574,16.8251,16.7574,16.8058,16747,0
2014-02-21,17:00:00,16.7574,16.8251,16.7188,16.8154,32836,0
2014-02-21,18:00:00,16.8348,16.8928,16.8154,16.8735,19128,0
2014-02-21,19:00:00,16.8735,16.8735,16.8348,16.8638,11097,0
2014-02-21,20:00:00,16.8638,16.8928,16.8541,16.8928,11114,0
2014-02-21,21:00:00,16.8928,16.8928,16.8444,16.8735,22332,0
2014-02-21,22:00:00,16.8735,16.8831,16.8251,16.8638,77089,0
2014-02-24,16:00:00,16.9412,16.9412,16.7961,16.8735,12688,0
2014-02-24,17:00:00,16.8735,16.9605,16.8348,16.9605,24617,0
2014-02-24,18:00:00,16.9605,16.9895,16.9121,16.9701,17989,0
2014-02-24,19:00:00,16.9798,16.9992,16.9605,16.9992,22258,0
2014-02-24,20:00:00,17.0088,17.0378,16.9895,17.0088,17374,0
2014-02-24,21:00:00,17.0088,17.0475,17.0088,17.0378,18973,0
2014-02-24,22:00:00,17.0088,17.0088,16.9218,16.9798,86787,0
2014-02-25,16:00:00,16.9508,17.0378,16.9412,16.9798,9769,0
2014-02-25,17:00:00,16.9701,17.0572,16.9605,17.0185,13596,0
2014-02-25,18:00:00,17.0088,17.0475,16.9895,17.0378,12761,0
2014-02-25,19:00:00,17.0475,17.0862,17.0088,17.0088,8496,0
2014-02-25,20:00:00,16.9992,16.9992,16.9412,16.9701,22130,0
2014-02-25,21:00:00,16.9605,16.9701,16.9412,16.9412,7811,0
2014-02-25,22:00:00,16.9412,16.9412,16.8735,16.9315,39542,0
2014-02-26,16:00:00,16.9895,17.0765,16.9895,17.0088,14241,0
2014-02-26,17:00:00,17.0088,17.0959,17.0088,17.0765,19566,0
2014-02-26,18:00:00,17.0669,17.0959,17.0572,17.0862,4945,0
2014-02-26,19:00:00,17.0862,17.0862,17.0282,17.0282,8713,0
2014-02-26,20:00:00,17.0282,17.0862,17.0282,17.0765,12257,0
2014-02-26,21:00:00,17.0669,17.0862,17.0282,17.0282,11256,0
2014-02-26,22:00:00,17.0282,17.0862,16.9798,17.0282,75842,0
2014-02-27,16:00:00,17.1829,17.4053,17.1829,17.386,67576,0
2014-02-27,17:00:00,17.386,17.4053,17.1442,17.1539,76542,0
2014-02-27,18:00:00,17.1732,17.2602,17.1732,17.2022,38317,0
2014-02-27,19:00:00,17.2119,17.3279,17.1829,17.2699,36886,0
2014-02-27,20:00:00,17.2796,17.3086,17.2312,17.2699,26367,0
2014-02-27,21:00:00,17.2699,17.3086,17.2602,17.2989,35562,0
2014-02-27,22:00:00,17.2989,17.3473,17.2892,17.3473,83239,0
2014-02-28,16:00:00,17.3086,17.5503,17.2989,17.5213,78563,0
2014-02-28,17:00:00,17.5213,17.6664,17.473,17.6567,73824,0
2014-02-28,18:00:00,17.6567,17.7437,17.6277,17.6954,61996,0
2014-02-28,19:00:00,17.705,17.8404,17.6954,17.8211,36312,0
2014-02-28,20:00:00,17.8114,17.8598,17.7147,17.7341,38637,0
2014-02-28,21:00:00,17.7631,17.7727,17.676,17.7244,34868,0
2014-02-28,22:00:00,17.7244,17.7631,17.6664,17.7341,117477,0
2014-03-03,16:00:00,17.647,17.7147,17.5503,17.6954,50179,0
2014-03-03,17:00:00,17.6954,17.7244,17.589,17.589,70012,0
2014-03-03,18:00:00,17.6277,17.6954,17.618,17.6567,40969,0
2014-03-03,19:00:00,17.647,17.7147,17.6374,17.7147,30363,0
2014-03-03,20:00:00,17.7147,17.7244,17.6664,17.6857,37595,0
2014-03-03,21:00:00,17.6954,17.6954,17.6567,17.676,34064,0
2014-03-03,22:00:00,17.676,17.6954,17.6277,17.6277,74436,0
2014-03-04,16:00:00,17.7147,17.7727,17.6277,17.7147,54115,0
2014-03-04,17:00:00,17.705,17.7631,17.676,17.7631,53975,0
2014-03-04,18:00:00,17.7437,17.8211,17.7341,17.7921,44539,0
