Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,6.15,6.15,6.09,6.09,3070,0
2014-02-10,19:00:00,6.15,6.15,6.09,6.09,1540,0
2014-02-10,20:00:00,6.13,6.13,6.09,6.09,700,0
2014-02-10,22:00:00,6.09,6.11,6.05,6.05,2200,0
2014-02-11,16:00:00,6.07,6.07,6.07,6.07,100,0
2014-02-11,17:00:00,6.07,6.12,6.07,6.12,725,0
2014-02-11,18:00:00,6.08,6.08,6.08,6.08,1400,0
2014-02-11,20:00:00,6.15,6.18,6.13,6.18,694,0
2014-02-11,21:00:00,6.15,6.18,6.12,6.18,1350,0
2014-02-11,22:00:00,6.18,6.2,6.18,6.18,5200,0
2014-02-12,16:00:00,6.11,6.11,5.92,6.09,3000,0
2014-02-12,17:00:00,6.14,6.19,6.05,6.15,1000,0
2014-02-12,18:00:00,6.19,6.19,6.15,6.15,536,0
2014-02-12,19:00:00,6.15,6.15,6.15,6.15,129,0
2014-02-12,20:00:00,6.15,6.15,6.08,6.08,3000,0
2014-02-12,21:00:00,6.13,6.13,6.13,6.13,1900,0
2014-02-12,22:00:00,6.12,6.16,6.12,6.16,323,0
2014-02-13,16:00:00,6.14,6.16,6.14,6.15,1500,0
2014-02-13,17:00:00,6.15,6.15,6.15,6.15,800,0
2014-02-13,19:00:00,6.15,6.15,6.04,6.04,469,0
2014-02-13,20:00:00,6.06,6.14,6.06,6.14,400,0
2014-02-13,22:00:00,6.15,6.15,6.08,6.08,500,0
2014-02-14,18:00:00,6.12,6.12,6.12,6.12,100,0
2014-02-14,19:00:00,6.17,6.17,6.17,6.17,3200,0
2014-02-14,21:00:00,6.16,6.16,6.12,6.12,769,0
2014-02-14,22:00:00,6.15,6.15,6.15,6.15,1300,0
2014-02-18,16:00:00,6.22,6.22,6.22,6.22,2000,0
2014-02-18,17:00:00,6.23,6.25,6.23,6.24,4900,0
2014-02-18,18:00:00,6.25,6.25,6.2,6.25,2400,0
2014-02-18,19:00:00,6.2,6.2,6.2,6.2,600,0
2014-02-18,21:00:00,6.22,6.22,6.21,6.21,426,0
2014-02-18,22:00:00,6.22,6.23,6.19,6.19,1100,0
2014-02-19,18:00:00,6.16,6.16,6.16,6.16,900,0
2014-02-19,19:00:00,6.21,6.21,6.21,6.21,1800,0
2014-02-19,21:00:00,6.15,6.15,6.15,6.15,200,0
2014-02-19,22:00:00,6.15,6.16,6.15,6.16,200,0
2014-02-20,17:00:00,6.16,6.16,6.16,6.16,600,0
2014-02-20,18:00:00,6.17,6.17,6.17,6.17,1695,0
2014-02-20,19:00:00,6.21,6.21,6.21,6.21,200,0
2014-02-20,20:00:00,6.1,6.19,5.99,6.17,8500,0
2014-02-20,21:00:00,6.22,6.22,6.02,6.12,34600,0
2014-02-20,22:00:00,6.15,6.15,6.13,6.13,5209,0
2014-02-21,17:00:00,6.13,6.18,6.13,6.18,977,0
2014-02-21,20:00:00,6.21,6.22,6.15,6.16,3000,0
2014-02-21,21:00:00,6.16,6.22,6.1,6.21,17871,0
2014-02-21,22:00:00,6.22,6.22,6.21,6.21,398,0
2014-02-24,16:00:00,6.25,6.29,6.25,6.25,585,0
2014-02-24,17:00:00,6.24,6.25,6.18,6.24,2015,0
2014-02-24,18:00:00,6.25,6.25,6.25,6.25,200,0
2014-02-24,19:00:00,6.21,6.21,6.21,6.21,500,0
2014-02-24,20:00:00,6.19,6.19,6.19,6.19,1000,0
2014-02-24,21:00:00,6.19,6.19,6.19,6.19,300,0
2014-02-24,22:00:00,6.18,6.19,6.08,6.08,1976,0
2014-02-25,16:00:00,6.14,6.14,6.14,6.14,400,0
2014-02-25,17:00:00,6.09,6.09,6,6.04,5057,0
2014-02-25,18:00:00,6.05,6.67,6,6.67,30566,0
2014-02-25,19:00:00,6.49,6.6,6.29,6.38,24575,0
2014-02-25,20:00:00,6.24,6.45,6.24,6.4,13690,0
2014-02-25,22:00:00,6.38,6.39,6.36,6.36,2100,0
2014-02-26,16:00:00,6.39,6.4,6.39,6.4,200,0
2014-02-26,17:00:00,6.4,6.4,6.4,6.4,400,0
2014-02-26,19:00:00,6.4,6.4,6.4,6.4,450,0
2014-02-26,21:00:00,6.4,6.4,6.4,6.4,125,0
2014-02-26,22:00:00,6.4,6.4,6.37,6.4,5100,0
2014-02-27,16:00:00,6.44,6.44,6.39,6.4,2056,0
2014-02-27,19:00:00,6.35,6.4,6.16,6.4,18231,0
2014-02-27,20:00:00,6.37,6.48,6.22,6.41,64092,0
2014-02-27,21:00:00,6.41,6.48,6.23,6.39,64870,0
2014-02-27,22:00:00,6.39,6.4,6.38,6.4,1100,0
2014-02-28,16:00:00,6.32,6.32,6.32,6.32,100,0
2014-02-28,17:00:00,6.31,6.37,6.31,6.36,2700,0
2014-02-28,19:00:00,6.38,6.38,6.37,6.37,1384,0
2014-02-28,20:00:00,6.37,6.38,6.37,6.38,200,0
2014-02-28,21:00:00,6.35,6.35,6.3,6.3,1270,0
2014-02-28,22:00:00,6.3,6.3,6.19,6.2,1670,0
2014-03-03,16:00:00,6.08,6.23,6.08,6.09,23495,0
2014-03-03,17:00:00,6.19,6.2,5.77,6.06,33554,0
2014-03-03,18:00:00,6.03,6.41,6.03,6.16,58541,0
2014-03-03,19:00:00,6.14,6.14,5.6,5.77,44569,0
2014-03-03,20:00:00,5.77,5.89,5.64,5.87,12981,0
2014-03-03,21:00:00,5.86,5.9,5.84,5.86,4640,0
2014-03-03,22:00:00,5.86,6.28,5.83,6.01,48429,0
2014-03-04,16:00:00,5.99,5.99,5.94,5.95,800,0
2014-03-04,17:00:00,5.94,6.11,5.94,6.06,1200,0
2014-03-04,18:00:00,6,6,5.84,5.84,1300,0
2014-03-04,19:00:00,5.85,5.94,5.84,5.85,3620,0
2014-03-04,20:00:00,5.84,5.94,5.84,5.94,1442,0
2014-03-04,21:00:00,5.84,5.95,5.84,5.95,3500,0
2014-03-04,22:00:00,5.86,5.94,5.85,5.93,6880,0
2014-03-05,16:00:00,5.96,5.96,5.63,5.72,13446,0
2014-03-05,17:00:00,5.73,6.46,5.68,6.45,47165,0
2014-03-05,18:00:00,6.37,6.5,6.24,6.33,45576,0
2014-03-05,19:00:00,6.38,6.39,6.11,6.11,29449,0
2014-03-05,20:00:00,6.15,6.25,5.99,6,10500,0
2014-03-05,21:00:00,5.95,6.05,5.77,6.02,19200,0
2014-03-05,22:00:00,6.07,6.38,6.07,6.13,16880,0
2014-03-06,17:00:00,6.18,6.18,6.03,6.03,4825,0
2014-03-06,18:00:00,6.12,6.12,6.12,6.12,100,0
2014-03-06,19:00:00,6.11,6.16,6.11,6.16,1400,0
2014-03-06,20:00:00,6.16,6.33,6.11,6.33,1000,0
2014-03-06,22:00:00,6.31,6.34,6.22,6.32,1200,0
2014-03-07,16:00:00,6,6.23,5.95,5.99,11080,0
2014-03-07,17:00:00,5.95,5.95,5.91,5.91,800,0
2014-03-07,18:00:00,5.97,5.97,5.92,5.92,200,0
2014-03-07,19:00:00,5.92,5.97,5.92,5.97,1700,0
2014-03-07,20:00:00,5.99,5.99,5.99,5.99,200,0
2014-03-07,21:00:00,5.99,6,5.99,6,614,0
