Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,15.884,15.884,15.775,15.775,16508,0
2014-02-10,17:00:00,15.745,15.824,15.676,15.785,5764,0
2014-02-10,18:00:00,15.795,15.973,15.686,15.686,18571,0
2014-02-10,19:00:00,15.676,15.844,15.676,15.844,6384,0
2014-02-10,20:00:00,15.824,15.844,15.686,15.686,9374,0
2014-02-10,21:00:00,15.686,15.913,15.676,15.864,7544,0
2014-02-10,22:00:00,15.785,15.933,15.785,15.884,20917,0
2014-02-11,16:00:00,15.814,15.993,15.814,15.993,1763,0
2014-02-11,17:00:00,15.844,15.844,15.775,15.795,4201,0
2014-02-11,18:00:00,15.804,15.844,15.755,15.824,8599,0
2014-02-11,19:00:00,15.775,15.844,15.775,15.834,2141,0
2014-02-11,20:00:00,15.795,15.884,15.765,15.765,11617,0
2014-02-11,21:00:00,15.804,15.824,15.795,15.795,4847,0
2014-02-11,22:00:00,15.824,15.824,15.745,15.795,25150,0
2014-02-12,16:00:00,15.775,15.884,15.775,15.785,5857,0
2014-02-12,17:00:00,15.804,15.844,15.785,15.785,3739,0
2014-02-12,18:00:00,15.804,15.864,15.785,15.824,10300,0
2014-02-12,19:00:00,15.834,15.834,15.785,15.795,2528,0
2014-02-12,20:00:00,15.795,15.854,15.795,15.814,3332,0
2014-02-12,21:00:00,15.814,15.844,15.785,15.804,8079,0
2014-02-12,22:00:00,15.804,15.834,15.795,15.795,26324,0
2014-02-13,16:00:00,15.527,15.834,15.141,15.488,8881,0
2014-02-13,17:00:00,15.468,15.656,15.27,15.28,14343,0
2014-02-13,18:00:00,15.28,15.28,14.824,14.834,22246,0
2014-02-13,19:00:00,14.844,14.893,14.577,14.596,28686,0
2014-02-13,20:00:00,14.596,14.676,14.428,14.497,38601,0
2014-02-13,21:00:00,14.487,14.616,14.448,14.606,137226,0
2014-02-13,22:00:00,14.606,14.695,14.309,14.349,96687,0
2014-02-14,16:00:00,14.379,14.408,14.309,14.329,20298,0
2014-02-14,17:00:00,14.339,14.359,14.289,14.309,27601,0
2014-02-14,18:00:00,14.289,14.369,14.289,14.359,52256,0
2014-02-14,19:00:00,14.369,14.487,14.319,14.418,98459,0
2014-02-14,20:00:00,14.478,14.992,14.478,14.983,23411,0
2014-02-14,21:00:00,14.963,15.171,14.913,15.131,11308,0
2014-02-14,22:00:00,15.052,15.587,15.042,15.567,48020,0
2014-02-18,16:00:00,16.032,16.032,15.339,15.339,6148,0
2014-02-18,17:00:00,15.389,15.418,15.21,15.21,16053,0
2014-02-18,18:00:00,15.181,15.309,15.171,15.24,9110,0
2014-02-18,19:00:00,15.24,15.27,15.062,15.082,17462,0
2014-02-18,20:00:00,15.052,15.052,14.864,14.884,14138,0
2014-02-18,21:00:00,14.913,15.022,14.864,14.973,24111,0
2014-02-18,22:00:00,14.973,15.072,14.963,15.072,45148,0
2014-02-19,16:00:00,14.923,14.983,14.893,14.983,14470,0
2014-02-19,17:00:00,14.943,14.963,14.854,14.864,18356,0
2014-02-19,18:00:00,14.864,14.903,14.834,14.884,21872,0
2014-02-19,19:00:00,14.893,14.893,14.824,14.854,10962,0
2014-02-19,20:00:00,14.854,14.903,14.854,14.903,15059,0
2014-02-19,21:00:00,14.893,14.933,14.874,14.874,31507,0
2014-02-19,22:00:00,14.864,14.953,14.854,14.913,58226,0
2014-02-20,16:00:00,14.854,14.963,14.844,14.933,6261,0
