Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,21:00:00,0.42,0.42,0.42,0.42,25000,0
2014-02-11,22:00:00,0.45,0.45,0.45,0.45,5500,0
2014-02-12,16:00:00,0.42,0.42,0.42,0.42,50500,0
2014-02-12,17:00:00,0.42,0.42,0.42,0.42,500,0
2014-02-12,18:00:00,0.42,0.42,0.42,0.42,2500,0
2014-02-12,21:00:00,0.4201,0.4201,0.42,0.42,150000,0
2014-02-12,22:00:00,0.42,0.421,0.42,0.421,52410,0
2014-02-14,16:00:00,0.41,0.41,0.41,0.41,43259,0
2014-02-14,19:00:00,0.4,0.4,0.4,0.4,600,0
2014-02-14,21:00:00,0.427,0.427,0.427,0.427,1815,0
2014-02-18,16:00:00,0.405,0.405,0.3948,0.3948,4191,0
2014-02-18,18:00:00,0.4028,0.4337,0.4,0.4286,66200,0
2014-02-19,17:00:00,0.4003,0.428,0.4003,0.428,2867,0
2014-02-19,22:00:00,0.4102,0.4102,0.4003,0.4003,400,0
2014-02-21,17:00:00,0.4001,0.4001,0.4001,0.4001,800,0
2014-02-21,22:00:00,0.4496,0.4496,0.4001,0.4001,8200,0
2014-02-25,17:00:00,0.4002,0.4002,0.4002,0.4002,600,0
2014-02-25,18:00:00,0.4002,0.4002,0.4002,0.4002,23874,0
2014-02-26,16:00:00,0.4002,0.4002,0.4002,0.4002,5000,0
2014-02-26,20:00:00,0.4002,0.4002,0.4002,0.4002,100,0
2014-02-27,17:00:00,0.4002,0.4002,0.4002,0.4002,2000,0
2014-03-03,16:00:00,0.4002,0.4002,0.4001,0.4001,15400,0
2014-03-03,20:00:00,0.4005,0.4005,0.4005,0.4005,200000,0
2014-03-03,22:00:00,0.4006,0.4006,0.4006,0.4006,150000,0
2014-03-04,16:00:00,0.405,0.405,0.405,0.405,200,0
2014-03-04,18:00:00,0.405,0.41,0.405,0.409,3870,0
2014-03-04,22:00:00,0.41,0.41,0.41,0.41,10000,0
2014-03-05,16:00:00,0.405,0.405,0.405,0.405,300,0
2014-03-05,18:00:00,0.406,0.406,0.406,0.406,1101,0
2014-03-06,16:00:00,0.41,0.41,0.406,0.406,42000,0
2014-03-06,17:00:00,0.41,0.41,0.41,0.41,5000,0
2014-03-07,16:00:00,0.445,0.445,0.445,0.445,5000,0
2014-03-07,19:00:00,0.4365,0.438,0.4365,0.438,1500,0
2014-03-10,16:00:00,0.4144,0.4144,0.407,0.407,600,0
2014-03-10,17:00:00,0.4144,0.4144,0.409,0.409,1500,0
2014-03-10,21:00:00,0.407,0.407,0.407,0.407,400,0
2014-03-11,17:00:00,0.445,0.445,0.445,0.445,394,0
2014-03-11,20:00:00,0.42,0.42,0.42,0.42,4000,0
2014-03-11,21:00:00,0.445,0.445,0.445,0.445,100,0
2014-03-12,16:00:00,0.4169,0.4169,0.41,0.41,4924,0
2014-03-12,18:00:00,0.4367,0.438,0.4367,0.438,400,0
2014-03-12,21:00:00,0.412,0.44,0.412,0.44,200,0
2014-03-13,21:00:00,0.39,0.4199,0.39,0.4199,1100,0
2014-03-14,18:00:00,0.396,0.41,0.3901,0.41,1600,0
2014-03-14,20:00:00,0.3901,0.3901,0.3901,0.3901,10000,0
2014-03-14,21:00:00,0.4138,0.4138,0.4138,0.4138,300,0
2014-03-17,19:00:00,0.4197,0.4197,0.4197,0.4197,2000,0
2014-03-18,16:00:00,0.4003,0.4003,0.4003,0.4003,17722,0
2014-03-18,18:00:00,0.4063,0.4063,0.4004,0.4004,4000,0
2014-03-18,19:00:00,0.4063,0.4063,0.4004,0.4004,600,0
2014-03-19,15:00:00,0.4005,0.4006,0.4005,0.4006,5100,0
2014-03-19,19:00:00,0.4047,0.4047,0.4047,0.4047,5000,0
2014-03-20,20:00:00,0.4066,0.4066,0.4011,0.4011,4000,0
2014-03-21,15:00:00,0.405,0.405,0.405,0.405,75000,0
2014-03-24,17:00:00,0.42,0.42,0.42,0.42,88950,0
2014-03-25,15:00:00,0.4021,0.4021,0.4021,0.4021,500,0
2014-03-25,17:00:00,0.4022,0.4022,0.4022,0.4022,4000,0
