Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.8,27.95,27.51,27.83,147678,0
2014-02-10,17:00:00,27.83,27.86,27.41,27.47,481054,0
2014-02-10,18:00:00,27.45,27.65,27.32,27.63,462495,0
2014-02-10,19:00:00,27.64,27.66,27.52,27.58,198162,0
2014-02-10,20:00:00,27.58,27.58,27.29,27.53,325986,0
2014-02-10,21:00:00,27.52,27.71,27.49,27.49,326734,0
2014-02-10,22:00:00,27.5,27.68,27.5,27.62,572556,0
2014-02-11,16:00:00,27.64,27.98,27.6,27.6,123750,0
2014-02-11,17:00:00,27.6,27.61,27.3,27.39,688171,0
2014-02-11,18:00:00,27.41,27.73,27.4,27.68,319168,0
2014-02-11,19:00:00,27.69,27.76,27.6,27.72,294932,0
2014-02-11,20:00:00,27.71,27.91,27.71,27.72,275598,0
2014-02-11,21:00:00,27.73,27.84,27.71,27.83,221448,0
2014-02-11,22:00:00,27.83,27.87,27.71,27.81,693925,0
2014-02-12,16:00:00,27.96,29.11,27.82,28.74,697499,0
2014-02-12,17:00:00,28.74,28.82,28.18,28.3,1058018,0
2014-02-12,18:00:00,28.32,28.59,28.32,28.49,330147,0
2014-02-12,19:00:00,28.48,28.72,28.38,28.41,317475,0
2014-02-12,20:00:00,28.4,28.48,28.25,28.42,384774,0
2014-02-12,21:00:00,28.41,28.64,28.34,28.38,287068,0
2014-02-12,22:00:00,28.38,28.49,28.32,28.36,692887,0
2014-02-13,16:00:00,28.08,28.19,27.87,27.99,162365,0
2014-02-13,17:00:00,28.01,28.67,27.99,28.66,450625,0
2014-02-13,18:00:00,28.66,28.72,28.58,28.59,359667,0
2014-02-13,19:00:00,28.6,28.75,28.54,28.71,447421,0
2014-02-13,20:00:00,28.71,28.84,28.7,28.83,221060,0
2014-02-13,21:00:00,28.84,28.96,28.74,28.77,306613,0
2014-02-13,22:00:00,28.77,28.84,28.72,28.77,757455,0
2014-02-14,16:00:00,28.84,28.91,28.59,28.71,110450,0
2014-02-14,17:00:00,28.73,28.81,28.58,28.76,336700,0
2014-02-14,18:00:00,28.77,28.99,28.69,28.9,232123,0
2014-02-14,19:00:00,28.9,29.25,28.87,28.94,655765,0
2014-02-14,20:00:00,28.94,29.15,28.9,29.03,248216,0
2014-02-14,21:00:00,29.03,29.16,29.02,29.14,291276,0
2014-02-14,22:00:00,29.12,29.16,29.03,29.07,896231,0
2014-02-18,16:00:00,29.17,29.45,29.04,29.15,217183,0
2014-02-18,17:00:00,29.13,29.31,28.96,29.29,698557,0
2014-02-18,18:00:00,29.28,29.48,29.21,29.43,219779,0
2014-02-18,19:00:00,29.43,29.56,29.42,29.55,322276,0
2014-02-18,20:00:00,29.55,29.56,29.43,29.55,328391,0
2014-02-18,21:00:00,29.56,29.56,29.26,29.43,468676,0
2014-02-18,22:00:00,29.43,29.61,29.36,29.53,601019,0
2014-02-19,16:00:00,29.33,29.53,29.01,29.42,502957,0
2014-02-19,17:00:00,29.45,29.47,29.01,29.06,456673,0
2014-02-19,18:00:00,29.05,29.3,29.01,29.16,239869,0
2014-02-19,19:00:00,29.15,29.17,28.9,29.12,264571,0
2014-02-19,20:00:00,29.11,29.32,29.1,29.28,190886,0
2014-02-19,21:00:00,29.28,29.4,29.13,29.19,234939,0
2014-02-19,22:00:00,29.19,29.2,29.01,29.07,949540,0
2014-02-20,16:00:00,28.85,29.39,28.8,29.26,204712,0
2014-02-20,17:00:00,29.1,29.78,29.05,29.77,575677,0
2014-02-20,18:00:00,29.76,30.14,29.76,30.03,702666,0
2014-02-20,19:00:00,30.03,30.27,29.89,30.13,685345,0
2014-02-20,20:00:00,30.13,30.3,30.01,30.3,338304,0
2014-02-20,21:00:00,30.3,30.7,30.21,30.63,876253,0
2014-02-20,22:00:00,30.62,30.7,30.36,30.54,2055566,0
2014-02-21,16:00:00,30.61,30.66,30.06,30.21,386714,0
2014-02-21,17:00:00,30.2,30.4,30.15,30.27,406992,0
2014-02-21,18:00:00,30.26,30.29,30.12,30.23,362772,0
2014-02-21,19:00:00,30.22,30.39,30.21,30.21,333213,0
