Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,7.12,7.55,7.03,7.53,695683,0
2014-02-10,17:00:00,7.53,7.53,7.24,7.43,759144,0
2014-02-10,18:00:00,7.44,7.44,7.3,7.3,265113,0
2014-02-10,19:00:00,7.31,7.34,7.23,7.26,223815,0
2014-02-10,20:00:00,7.26,7.4,7.2,7.4,357215,0
2014-02-10,21:00:00,7.4,7.4,7.23,7.23,265396,0
2014-02-10,22:00:00,7.24,7.38,7.24,7.35,785987,0
2014-02-11,16:00:00,7.35,7.35,7.24,7.27,116674,0
2014-02-11,17:00:00,7.27,7.3,7.25,7.28,157334,0
2014-02-11,18:00:00,7.28,7.37,7.28,7.31,377514,0
2014-02-11,19:00:00,7.32,7.37,7.27,7.34,228324,0
2014-02-11,20:00:00,7.34,7.35,7.32,7.32,162750,0
2014-02-11,21:00:00,7.32,7.37,7.3,7.34,118658,0
2014-02-11,22:00:00,7.34,7.42,7.34,7.41,493150,0
2014-02-12,16:00:00,7.4,7.48,7.38,7.44,164185,0
2014-02-12,17:00:00,7.45,7.46,7.37,7.39,199011,0
2014-02-12,18:00:00,7.39,7.46,7.36,7.41,163319,0
2014-02-12,19:00:00,7.4,7.48,7.4,7.47,165019,0
2014-02-12,20:00:00,7.46,7.47,7.43,7.43,83020,0
2014-02-12,21:00:00,7.44,7.45,7.37,7.4,162968,0
2014-02-12,22:00:00,7.4,7.42,7.38,7.41,254079,0
2014-02-13,16:00:00,7.35,7.41,7.26,7.38,51867,0
2014-02-13,17:00:00,7.4,7.41,7.32,7.37,115320,0
2014-02-13,18:00:00,7.37,7.4,7.36,7.38,69766,0
2014-02-13,19:00:00,7.38,7.43,7.36,7.41,71494,0
2014-02-13,20:00:00,7.41,7.48,7.41,7.48,132149,0
2014-02-13,21:00:00,7.48,7.55,7.47,7.54,263665,0
2014-02-13,22:00:00,7.54,7.55,7.47,7.49,514203,0
2014-02-14,16:00:00,7.48,7.5,7.32,7.4,48867,0
2014-02-14,17:00:00,7.4,7.49,7.4,7.43,76966,0
