Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.493,13.532,13.493,13.522,12785,0
2014-02-10,17:00:00,13.532,13.552,13.522,13.532,23240,0
2014-02-10,18:00:00,13.522,13.542,13.503,13.532,40870,0
2014-02-10,19:00:00,13.532,13.542,13.522,13.532,10368,0
2014-02-10,20:00:00,13.522,13.522,13.483,13.513,43588,0
2014-02-10,21:00:00,13.493,13.532,13.493,13.522,18976,0
2014-02-10,22:00:00,13.532,13.552,13.513,13.552,27559,0
2014-02-11,16:00:00,13.552,13.562,13.513,13.513,27146,0
2014-02-11,17:00:00,13.522,13.532,13.483,13.493,93200,0
2014-02-11,18:00:00,13.503,13.513,13.493,13.503,37168,0
2014-02-11,19:00:00,13.493,13.503,13.473,13.493,33081,0
2014-02-11,20:00:00,13.483,13.493,13.473,13.483,31258,0
2014-02-11,21:00:00,13.483,13.513,13.473,13.483,55052,0
2014-02-11,22:00:00,13.483,13.493,13.453,13.483,96757,0
2014-02-12,16:00:00,13.496,13.496,13.456,13.476,18415,0
2014-02-12,17:00:00,13.496,13.496,13.456,13.456,20459,0
2014-02-12,18:00:00,13.466,13.476,13.456,13.466,13047,0
2014-02-12,19:00:00,13.466,13.496,13.456,13.486,26301,0
2014-02-12,20:00:00,13.486,13.486,13.466,13.486,17185,0
2014-02-12,21:00:00,13.486,13.506,13.466,13.496,22031,0
2014-02-12,22:00:00,13.506,13.526,13.476,13.526,25543,0
2014-02-13,16:00:00,13.496,13.506,13.456,13.466,25988,0
2014-02-13,17:00:00,13.476,13.526,13.476,13.526,34667,0
2014-02-13,18:00:00,13.516,13.526,13.506,13.516,24835,0
2014-02-13,19:00:00,13.506,13.535,13.506,13.535,8581,0
2014-02-13,20:00:00,13.526,13.545,13.526,13.526,13557,0
2014-02-13,21:00:00,13.526,13.545,13.526,13.545,13944,0
2014-02-13,22:00:00,13.545,13.555,13.516,13.555,14764,0
2014-02-14,16:00:00,13.526,13.555,13.506,13.506,19840,0
2014-02-14,17:00:00,13.535,13.535,13.486,13.496,38055,0
2014-02-14,18:00:00,13.496,13.496,13.476,13.486,28474,0
2014-02-14,19:00:00,13.476,13.496,13.476,13.486,20467,0
2014-02-14,20:00:00,13.496,13.496,13.466,13.466,25686,0
2014-02-14,21:00:00,13.466,13.486,13.466,13.466,22214,0
2014-02-14,22:00:00,13.476,13.496,13.456,13.456,36949,0
2014-02-18,16:00:00,13.466,13.516,13.456,13.506,18362,0
2014-02-18,17:00:00,13.506,13.506,13.466,13.466,25080,0
2014-02-18,18:00:00,13.466,13.486,13.466,13.466,60140,0
2014-02-18,19:00:00,13.466,13.476,13.456,13.476,17651,0
2014-02-18,20:00:00,13.456,13.466,13.446,13.446,28344,0
2014-02-18,21:00:00,13.446,13.456,13.427,13.446,26146,0
2014-02-18,22:00:00,13.436,13.446,13.417,13.446,42936,0
2014-02-19,16:00:00,13.466,13.506,13.427,13.486,29943,0
2014-02-19,17:00:00,13.496,13.516,13.456,13.456,41849,0
2014-02-19,18:00:00,13.466,13.496,13.456,13.496,45018,0
2014-02-19,19:00:00,13.496,13.496,13.466,13.476,28695,0
2014-02-19,20:00:00,13.476,13.486,13.466,13.486,11004,0
2014-02-19,21:00:00,13.486,13.496,13.466,13.486,20280,0
2014-02-19,22:00:00,13.466,13.496,13.466,13.496,34523,0
2014-02-20,16:00:00,13.496,13.496,13.466,13.486,6570,0
2014-02-20,17:00:00,13.466,13.486,13.466,13.476,7931,0
2014-02-20,18:00:00,13.486,13.486,13.466,13.466,10369,0
2014-02-20,19:00:00,13.466,13.506,13.466,13.496,15915,0
2014-02-20,20:00:00,13.486,13.506,13.476,13.506,19183,0
2014-02-20,21:00:00,13.486,13.516,13.486,13.516,17373,0
2014-02-20,22:00:00,13.516,13.516,13.466,13.516,40376,0
2014-02-21,16:00:00,13.535,13.555,13.516,13.555,11841,0
2014-02-21,17:00:00,13.555,13.555,13.535,13.535,20556,0
2014-02-21,18:00:00,13.526,13.535,13.506,13.516,27442,0
2014-02-21,19:00:00,13.516,13.516,13.486,13.496,22929,0
2014-02-21,20:00:00,13.496,13.496,13.486,13.486,20269,0
2014-02-21,21:00:00,13.486,13.496,13.486,13.496,17435,0
2014-02-21,22:00:00,13.486,13.516,13.486,13.516,56533,0
2014-02-24,16:00:00,13.506,13.526,13.496,13.516,31264,0
2014-02-24,17:00:00,13.516,13.526,13.486,13.496,73336,0
2014-02-24,18:00:00,13.496,13.496,13.466,13.476,36848,0
2014-02-24,19:00:00,13.466,13.466,13.456,13.456,17901,0
2014-02-24,20:00:00,13.456,13.466,13.417,13.427,44170,0
2014-02-24,21:00:00,13.417,13.446,13.417,13.436,22819,0
2014-02-24,22:00:00,13.456,13.456,13.417,13.446,30790,0
2014-02-25,16:00:00,13.436,13.446,13.407,13.427,18290,0
2014-02-25,17:00:00,13.427,13.436,13.417,13.427,17244,0
2014-02-25,18:00:00,13.427,13.436,13.417,13.417,12766,0
2014-02-25,19:00:00,13.417,13.436,13.417,13.427,16383,0
2014-02-25,20:00:00,13.436,13.466,13.427,13.456,39463,0
2014-02-25,21:00:00,13.456,13.456,13.436,13.446,16302,0
2014-02-25,22:00:00,13.446,13.476,13.446,13.476,44111,0
2014-02-26,16:00:00,13.496,13.555,13.496,13.535,15499,0
2014-02-26,17:00:00,13.526,13.535,13.486,13.506,16196,0
2014-02-26,18:00:00,13.506,13.526,13.496,13.526,25981,0
2014-02-26,19:00:00,13.526,13.535,13.506,13.526,20623,0
2014-02-26,20:00:00,13.535,13.535,13.516,13.526,11917,0
2014-02-26,21:00:00,13.506,13.516,13.506,13.506,32441,0
2014-02-26,22:00:00,13.506,13.516,13.506,13.506,56597,0
2014-02-27,16:00:00,13.486,13.526,13.486,13.506,11289,0
2014-02-27,17:00:00,13.516,13.516,13.476,13.496,23411,0
2014-02-27,18:00:00,13.486,13.526,13.476,13.516,44388,0
2014-02-27,19:00:00,13.506,13.516,13.486,13.506,16366,0
2014-02-27,20:00:00,13.506,13.516,13.506,13.506,12393,0
2014-02-27,21:00:00,13.516,13.526,13.506,13.516,13517,0
2014-02-27,22:00:00,13.516,13.535,13.506,13.535,34959,0
2014-02-28,16:00:00,13.545,13.545,13.516,13.516,14001,0
2014-02-28,17:00:00,13.516,13.545,13.516,13.516,30236,0
2014-02-28,18:00:00,13.526,13.545,13.526,13.535,14073,0
2014-02-28,19:00:00,13.545,13.545,13.526,13.545,14271,0
2014-02-28,20:00:00,13.535,13.545,13.535,13.535,14975,0
2014-02-28,21:00:00,13.535,13.545,13.526,13.545,17659,0
2014-02-28,22:00:00,13.545,13.545,13.535,13.545,47315,0
2014-03-03,16:00:00,13.595,13.595,13.555,13.555,28352,0
2014-03-03,17:00:00,13.565,13.575,13.555,13.565,19570,0
2014-03-03,18:00:00,13.575,13.595,13.565,13.585,28605,0
2014-03-03,19:00:00,13.595,13.595,13.575,13.595,14495,0
2014-03-03,20:00:00,13.595,13.595,13.575,13.575,13804,0
2014-03-03,21:00:00,13.575,13.595,13.575,13.595,21985,0
2014-03-03,22:00:00,13.585,13.605,13.575,13.605,64916,0
2014-03-04,16:00:00,13.585,13.605,13.585,13.585,24041,0
2014-03-04,17:00:00,13.595,13.595,13.585,13.595,38608,0
2014-03-04,18:00:00,13.595,13.605,13.585,13.605,39374,0
2014-03-04,19:00:00,13.595,13.605,13.585,13.585,37500,0
2014-03-04,20:00:00,13.605,13.605,13.585,13.605,19987,0
2014-03-04,21:00:00,13.605,13.605,13.585,13.585,21123,0
2014-03-04,22:00:00,13.595,13.605,13.555,13.595,156522,0
2014-03-05,16:00:00,13.565,13.565,13.535,13.555,13134,0
2014-03-05,17:00:00,13.555,13.575,13.555,13.575,21654,0
2014-03-05,18:00:00,13.565,13.575,13.565,13.575,18752,0
2014-03-05,19:00:00,13.565,13.575,13.565,13.565,11671,0
2014-03-05,20:00:00,13.565,13.585,13.565,13.585,71742,0
2014-03-05,21:00:00,13.575,13.585,13.565,13.565,39378,0
2014-03-05,22:00:00,13.565,13.595,13.565,13.595,29459,0
2014-03-06,16:00:00,13.605,13.605,13.555,13.565,20014,0
2014-03-06,17:00:00,13.555,13.555,13.545,13.545,19252,0
2014-03-06,18:00:00,13.555,13.555,13.535,13.545,19205,0
2014-03-06,19:00:00,13.545,13.545,13.506,13.516,33537,0
2014-03-06,20:00:00,13.526,13.526,13.506,13.516,15669,0
2014-03-06,21:00:00,13.506,13.526,13.496,13.496,21995,0
2014-03-06,22:00:00,13.496,13.516,13.486,13.506,23357,0
2014-03-07,16:00:00,13.436,13.436,13.407,13.417,39380,0
2014-03-07,17:00:00,13.407,13.417,13.367,13.367,70862,0
2014-03-07,18:00:00,13.377,13.407,13.377,13.397,22000,0
2014-03-07,19:00:00,13.397,13.397,13.357,13.357,77369,0
2014-03-07,20:00:00,13.357,13.377,13.347,13.377,21666,0
2014-03-07,21:00:00,13.357,13.357,13.338,13.357,37970,0
2014-03-07,22:00:00,13.347,13.377,13.338,13.377,44148,0
2014-03-10,15:00:00,13.397,13.446,13.397,13.446,21782,0
2014-03-10,16:00:00,13.446,13.486,13.446,13.476,41914,0
2014-03-10,17:00:00,13.476,13.486,13.456,13.486,32070,0
2014-03-10,18:00:00,13.486,13.526,13.486,13.516,21848,0
2014-03-10,19:00:00,13.506,13.516,13.496,13.516,20742,0
2014-03-10,20:00:00,13.506,13.506,13.476,13.486,20430,0
2014-03-10,21:00:00,13.496,13.516,13.496,13.506,6199,0
2014-03-11,15:00:00,13.506,13.535,13.506,13.526,12205,0
2014-03-11,16:00:00,13.506,13.526,13.506,13.526,14752,0
2014-03-11,17:00:00,13.526,13.526,13.506,13.516,24504,0
2014-03-11,18:00:00,13.516,13.516,13.486,13.506,33820,0
2014-03-11,19:00:00,13.516,13.516,13.506,13.516,17996,0
2014-03-11,20:00:00,13.516,13.526,13.506,13.516,19031,0
2014-03-11,21:00:00,13.516,13.535,13.506,13.526,30511,0
2014-03-12,15:00:00,13.558,13.558,13.509,13.558,7359,0
2014-03-12,16:00:00,13.548,13.568,13.548,13.548,7710,0
2014-03-12,17:00:00,13.568,13.588,13.558,13.568,38433,0
2014-03-12,18:00:00,13.578,13.598,13.568,13.578,28017,0
2014-03-12,19:00:00,13.588,13.598,13.588,13.588,33178,0
2014-03-12,20:00:00,13.598,13.598,13.568,13.598,31053,0
2014-03-12,21:00:00,13.588,13.608,13.568,13.598,21456,0
2014-03-13,15:00:00,13.588,13.598,13.568,13.578,7100,0
2014-03-13,16:00:00,13.578,13.598,13.558,13.578,20422,0
2014-03-13,17:00:00,13.578,13.588,13.558,13.578,18257,0
2014-03-13,18:00:00,13.588,13.608,13.578,13.608,13594,0
2014-03-13,19:00:00,13.608,13.618,13.608,13.618,11510,0
2014-03-13,20:00:00,13.608,13.618,13.608,13.608,24653,0
2014-03-13,21:00:00,13.608,13.618,13.578,13.618,42820,0
2014-03-14,15:00:00,13.608,13.618,13.588,13.598,20792,0
2014-03-14,16:00:00,13.598,13.608,13.588,13.598,6498,0
2014-03-14,17:00:00,13.588,13.608,13.588,13.608,16185,0
2014-03-14,18:00:00,13.608,13.618,13.588,13.618,27608,0
2014-03-14,19:00:00,13.618,13.628,13.608,13.628,5540,0
2014-03-14,20:00:00,13.608,13.628,13.608,13.608,7678,0
2014-03-14,21:00:00,13.628,13.628,13.608,13.628,19925,0
2014-03-17,15:00:00,13.618,13.648,13.608,13.648,29529,0
2014-03-17,16:00:00,13.648,13.668,13.648,13.658,12807,0
2014-03-17,17:00:00,13.648,13.668,13.638,13.648,43417,0
2014-03-17,18:00:00,13.648,13.668,13.648,13.668,50836,0
2014-03-17,19:00:00,13.678,13.678,13.668,13.678,19594,0
2014-03-17,20:00:00,13.678,13.688,13.658,13.668,28345,0
2014-03-17,21:00:00,13.688,13.688,13.668,13.668,49174,0
2014-03-18,15:00:00,13.658,13.658,13.618,13.628,6404,0
2014-03-18,16:00:00,13.618,13.638,13.588,13.638,38503,0
2014-03-18,17:00:00,13.638,13.658,13.608,13.618,37011,0
2014-03-18,18:00:00,13.628,13.648,13.628,13.638,9152,0
2014-03-18,19:00:00,13.648,13.658,13.638,13.648,17695,0
2014-03-18,20:00:00,13.658,13.668,13.648,13.648,14250,0
2014-03-18,21:00:00,13.658,13.678,13.648,13.668,19489,0
2014-03-19,15:00:00,13.628,13.648,13.628,13.648,13872,0
2014-03-19,16:00:00,13.648,13.668,13.638,13.658,12915,0
2014-03-19,17:00:00,13.658,13.668,13.658,13.668,23891,0
2014-03-19,18:00:00,13.668,13.668,13.658,13.658,3611,0
2014-03-19,19:00:00,13.668,13.668,13.658,13.658,18206,0
2014-03-19,20:00:00,13.658,13.668,13.588,13.588,32803,0
2014-03-19,21:00:00,13.588,13.588,13.538,13.568,97079,0
2014-03-20,15:00:00,13.509,13.509,13.459,13.469,40397,0
2014-03-20,16:00:00,13.479,13.538,13.459,13.489,61227,0
2014-03-20,17:00:00,13.489,13.519,13.479,13.509,22258,0
2014-03-20,18:00:00,13.519,13.538,13.459,13.499,80016,0
2014-03-20,19:00:00,13.479,13.509,13.469,13.479,21416,0
2014-03-20,20:00:00,13.479,13.479,13.429,13.449,44724,0
2014-03-20,21:00:00,13.469,13.469,13.419,13.429,89871,0
2014-03-21,15:00:00,13.459,13.499,13.449,13.499,14748,0
2014-03-21,16:00:00,13.489,13.499,13.479,13.499,14442,0
2014-03-21,17:00:00,13.499,13.509,13.489,13.509,15916,0
2014-03-21,18:00:00,13.509,13.519,13.489,13.499,22964,0
2014-03-21,19:00:00,13.499,13.499,13.489,13.499,10152,0
2014-03-21,20:00:00,13.489,13.489,13.459,13.479,26776,0
2014-03-21,21:00:00,13.469,13.479,13.459,13.479,16782,0
2014-03-24,15:00:00,13.459,13.499,13.459,13.489,15146,0
2014-03-24,16:00:00,13.499,13.509,13.489,13.509,10712,0
2014-03-24,17:00:00,13.509,13.509,13.489,13.489,31793,0
2014-03-24,18:00:00,13.499,13.509,13.499,13.509,5846,0
2014-03-24,19:00:00,13.499,13.519,13.499,13.519,15911,0
2014-03-24,20:00:00,13.529,13.548,13.529,13.548,4659,0
2014-03-24,21:00:00,13.548,13.548,13.519,13.538,27201,0
2014-03-25,15:00:00,13.519,13.568,13.509,13.509,15762,0
2014-03-25,16:00:00,13.519,13.538,13.509,13.538,21212,0
2014-03-25,17:00:00,13.538,13.578,13.519,13.568,30410,0
2014-03-25,18:00:00,13.558,13.588,13.558,13.588,17325,0
2014-03-25,19:00:00,13.578,13.588,13.558,13.558,32574,0
2014-03-25,20:00:00,13.578,13.588,13.568,13.588,20756,0
2014-03-25,21:00:00,13.588,13.588,13.558,13.558,23081,0
2014-03-26,15:00:00,13.558,13.578,13.558,13.568,15231,0
2014-03-26,16:00:00,13.558,13.568,13.548,13.548,18064,0
2014-03-26,17:00:00,13.548,13.558,13.529,13.558,39803,0
2014-03-26,18:00:00,13.548,13.578,13.548,13.578,15785,0
2014-03-26,19:00:00,13.588,13.608,13.568,13.588,17212,0
2014-03-26,20:00:00,13.598,13.618,13.578,13.618,22347,0
2014-03-26,21:00:00,13.608,13.638,13.598,13.638,18459,0
2014-03-27,15:00:00,13.628,13.638,13.628,13.638,9981,0
2014-03-27,16:00:00,13.638,13.638,13.618,13.638,9168,0
2014-03-27,17:00:00,13.618,13.678,13.618,13.678,16551,0
2014-03-27,18:00:00,13.678,13.688,13.668,13.688,15597,0
2014-03-27,19:00:00,13.688,13.688,13.678,13.688,14680,0
2014-03-27,20:00:00,13.688,13.688,13.668,13.668,13201,0
2014-03-27,21:00:00,13.688,13.718,13.678,13.708,62836,0
2014-03-28,15:00:00,13.708,13.718,13.698,13.718,15766,0
2014-03-28,16:00:00,13.718,13.718,13.698,13.708,35558,0
2014-03-28,17:00:00,13.708,13.718,13.708,13.718,10363,0
2014-03-28,18:00:00,13.718,13.718,13.698,13.708,35433,0
2014-03-28,19:00:00,13.698,13.708,13.698,13.708,13372,0
2014-03-28,20:00:00,13.698,13.708,13.698,13.698,7307,0
2014-03-28,21:00:00,13.708,13.708,13.678,13.708,36589,0
2014-03-31,16:00:00,13.708,13.708,13.628,13.638,22007,0
2014-03-31,17:00:00,13.638,13.658,13.638,13.658,24217,0
2014-03-31,18:00:00,13.658,13.708,13.648,13.658,110608,0
2014-03-31,19:00:00,13.668,13.678,13.658,13.668,15131,0
2014-03-31,20:00:00,13.668,13.678,13.668,13.668,13853,0
2014-03-31,21:00:00,13.668,13.668,13.658,13.668,28734,0
2014-03-31,22:00:00,13.668,13.688,13.658,13.688,33565,0
2014-04-01,16:00:00,13.678,13.688,13.648,13.648,62626,0
2014-04-01,17:00:00,13.648,13.658,13.618,13.618,37481,0
2014-04-01,18:00:00,13.628,13.668,13.608,13.668,53035,0
2014-04-01,19:00:00,13.658,13.658,13.638,13.638,15830,0
2014-04-01,20:00:00,13.658,13.668,13.638,13.658,17530,0
2014-04-01,21:00:00,13.648,13.668,13.648,13.668,12139,0
2014-04-01,22:00:00,13.668,13.668,13.658,13.658,33517,0
2014-04-02,16:00:00,13.628,13.638,13.588,13.608,41142,0
2014-04-02,17:00:00,13.618,13.628,13.598,13.608,48481,0
2014-04-02,18:00:00,13.608,13.608,13.588,13.608,24047,0
2014-04-02,19:00:00,13.608,13.608,13.578,13.578,37090,0
2014-04-02,20:00:00,13.598,13.608,13.588,13.608,19918,0
2014-04-02,21:00:00,13.608,13.608,13.598,13.608,26989,0
2014-04-02,22:00:00,13.608,13.638,13.588,13.598,47740,0
2014-04-03,16:00:00,13.578,13.628,13.578,13.608,10014,0
2014-04-03,17:00:00,13.628,13.628,13.608,13.628,11943,0
2014-04-03,18:00:00,13.628,13.648,13.628,13.648,19431,0
2014-04-03,19:00:00,13.648,13.648,13.638,13.638,4896,0
2014-04-03,20:00:00,13.638,13.658,13.638,13.648,21776,0
2014-04-03,21:00:00,13.638,13.648,13.638,13.638,14441,0
