Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.27,8.34,8.19,8.27,15045,0
2014-02-10,17:00:00,8.24,8.24,8.05,8.09,16823,0
2014-02-10,18:00:00,8.09,8.15,8.06,8.14,31503,0
2014-02-10,19:00:00,8.14,8.23,8.1,8.17,26796,0
2014-02-10,20:00:00,8.2,8.21,8.15,8.15,24998,0
2014-02-10,21:00:00,8.16,8.21,8.14,8.17,17757,0
2014-02-10,22:00:00,8.18,8.19,8.14,8.17,18989,0
2014-02-11,16:00:00,8.2,8.23,8.18,8.2,5300,0
2014-02-11,17:00:00,8.18,8.2,8.13,8.13,7890,0
2014-02-11,18:00:00,8.14,8.23,8.05,8.22,27482,0
2014-02-11,19:00:00,8.23,8.23,8.2,8.21,9184,0
2014-02-11,20:00:00,8.2,8.27,8.18,8.21,42402,0
2014-02-11,21:00:00,8.22,8.26,8.19,8.26,10528,0
2014-02-11,22:00:00,8.25,8.27,8.18,8.19,39375,0
2014-02-12,16:00:00,8.18,8.39,8.18,8.27,10310,0
2014-02-12,17:00:00,8.31,8.31,8.2,8.24,4750,0
2014-02-12,18:00:00,8.23,8.24,8.11,8.2,29462,0
2014-02-12,19:00:00,8.18,8.25,8.18,8.21,4700,0
2014-02-12,20:00:00,8.21,8.27,8.21,8.22,7681,0
2014-02-12,21:00:00,8.22,8.26,8.19,8.22,13304,0
2014-02-12,22:00:00,8.22,8.23,8.19,8.22,25381,0
2014-02-13,16:00:00,8.16,8.28,8.16,8.26,7912,0
2014-02-13,17:00:00,8.25,8.28,8.2,8.23,5768,0
2014-02-13,18:00:00,8.25,8.29,8.24,8.27,14608,0
2014-02-13,19:00:00,8.27,8.29,8.25,8.27,19405,0
2014-02-13,20:00:00,8.29,8.34,8.27,8.31,14687,0
2014-02-13,21:00:00,8.31,8.38,8.29,8.29,20394,0
2014-02-13,22:00:00,8.3,8.35,8.28,8.33,65485,0
2014-02-14,16:00:00,8.33,8.33,8.22,8.29,13041,0
2014-02-14,17:00:00,8.3,8.36,8.27,8.31,8530,0
2014-02-14,18:00:00,8.33,8.35,8.32,8.35,10916,0
2014-02-14,19:00:00,8.34,8.37,8.31,8.33,14130,0
2014-02-14,20:00:00,8.33,8.36,8.3,8.33,9375,0
2014-02-14,21:00:00,8.34,8.35,8.31,8.33,9048,0
2014-02-14,22:00:00,8.32,8.34,8.3,8.32,18693,0
2014-02-18,16:00:00,8.31,8.32,8.28,8.28,3607,0
2014-02-18,17:00:00,8.28,8.38,8.28,8.35,16719,0
2014-02-18,18:00:00,8.36,8.38,8.29,8.31,44626,0
2014-02-18,19:00:00,8.3,8.37,8.27,8.35,39452,0
2014-02-18,20:00:00,8.34,8.36,8.34,8.34,11288,0
2014-02-18,21:00:00,8.35,8.38,8.34,8.35,30734,0
2014-02-18,22:00:00,8.35,8.37,8.34,8.35,97762,0
2014-02-19,16:00:00,8.34,8.36,8.31,8.35,12079,0
2014-02-19,17:00:00,8.36,8.37,8.31,8.34,33782,0
2014-02-19,18:00:00,8.34,8.34,8.32,8.33,20375,0
2014-02-19,19:00:00,8.31,8.34,8.29,8.33,24102,0
2014-02-19,20:00:00,8.34,8.34,8.32,8.34,14582,0
2014-02-19,21:00:00,8.33,8.41,8.33,8.34,43175,0
2014-02-19,22:00:00,8.34,8.35,8.31,8.32,43352,0
2014-02-20,16:00:00,8.34,8.41,8.34,8.35,4696,0
2014-02-20,17:00:00,8.34,8.36,8.31,8.36,35368,0
2014-02-20,18:00:00,8.36,8.39,8.35,8.36,30148,0
2014-02-20,19:00:00,8.35,8.37,8.35,8.37,20557,0
2014-02-20,20:00:00,8.38,8.38,8.36,8.38,26354,0
2014-02-20,21:00:00,8.39,8.39,8.36,8.37,34078,0
2014-02-20,22:00:00,8.36,8.37,8.34,8.36,66625,0
2014-02-21,16:00:00,8.37,8.37,8.32,8.35,3650,0
2014-02-21,17:00:00,8.35,8.35,8.26,8.3,21645,0
2014-02-21,18:00:00,8.3,8.3,8.28,8.3,5720,0
2014-02-21,19:00:00,8.3,8.3,8.25,8.27,16883,0
2014-02-21,20:00:00,8.27,8.34,8.27,8.34,22533,0
2014-02-21,21:00:00,8.33,8.35,8.3,8.35,32055,0
2014-02-21,22:00:00,8.35,8.35,8.3,8.35,61514,0
2014-02-24,16:00:00,8.35,8.35,8.31,8.32,10661,0
2014-02-24,17:00:00,8.32,8.35,8.32,8.35,53748,0
2014-02-24,18:00:00,8.36,8.38,8.33,8.35,47409,0
2014-02-24,19:00:00,8.35,8.35,8.34,8.35,17470,0
2014-02-24,20:00:00,8.35,8.35,8.31,8.32,23982,0
2014-02-24,21:00:00,8.31,8.31,8.16,8.19,48327,0
2014-02-24,22:00:00,8.18,8.27,8.15,8.25,197297,0
2014-02-25,16:00:00,8.25,8.9,8.25,8.48,139733,0
2014-02-25,17:00:00,8.51,8.57,8.35,8.42,88406,0
2014-02-25,18:00:00,8.41,8.49,8.3,8.43,42741,0
2014-02-25,19:00:00,8.42,8.42,8.3,8.4,34139,0
2014-02-25,20:00:00,8.4,8.41,8.33,8.39,12403,0
2014-02-25,21:00:00,8.4,8.4,8.27,8.38,32771,0
2014-02-25,22:00:00,8.4,8.41,8.34,8.4,64291,0
2014-02-26,16:00:00,8.42,8.47,8.29,8.31,12230,0
2014-02-26,17:00:00,8.32,8.58,8.32,8.55,34090,0
2014-02-26,18:00:00,8.56,8.56,8.45,8.49,23464,0
2014-02-26,19:00:00,8.48,8.53,8.46,8.5,20766,0
2014-02-26,20:00:00,8.5,8.53,8.48,8.5,30739,0
2014-02-26,21:00:00,8.49,8.5,8.39,8.42,17322,0
2014-02-26,22:00:00,8.42,8.51,8.42,8.5,91626,0
2014-02-27,16:00:00,8.53,8.57,8.42,8.54,27680,0
2014-02-27,17:00:00,8.52,8.53,8.33,8.52,26289,0
2014-02-27,18:00:00,8.51,8.54,8.47,8.47,32779,0
2014-02-27,19:00:00,8.5,8.53,8.48,8.49,8508,0
2014-02-27,20:00:00,8.49,8.52,8.47,8.5,17445,0
2014-02-27,21:00:00,8.5,8.52,8.37,8.43,17711,0
2014-02-27,22:00:00,8.43,8.55,8.4,8.5,93796,0
2014-02-28,16:00:00,8.5,8.55,8.47,8.5,13941,0
2014-02-28,17:00:00,8.51,8.56,8.49,8.53,76148,0
2014-02-28,18:00:00,8.53,8.54,8.51,8.53,21599,0
2014-02-28,19:00:00,8.52,8.54,8.51,8.54,12776,0
2014-02-28,20:00:00,8.54,8.54,8.49,8.49,27676,0
2014-02-28,21:00:00,8.49,8.52,8.42,8.44,14469,0
2014-02-28,22:00:00,8.43,8.43,8.32,8.39,81958,0
2014-03-03,16:00:00,8.33,8.54,8.3,8.48,14092,0
2014-03-03,17:00:00,8.48,8.54,8.47,8.49,28017,0
2014-03-03,18:00:00,8.49,8.53,8.41,8.41,15579,0
2014-03-03,19:00:00,8.4,8.46,8.37,8.42,27750,0
2014-03-03,20:00:00,8.43,8.5,8.43,8.47,13900,0
2014-03-03,21:00:00,8.46,8.49,8.44,8.47,18329,0
