Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,10.908,10.918,10.908,10.918,912,0
2014-02-10,18:00:00,10.967,10.977,10.967,10.967,8196,0
2014-02-10,19:00:00,10.987,11.076,10.977,11.076,4057,0
2014-02-10,20:00:00,11.066,11.086,11.036,11.086,1310,0
2014-02-10,21:00:00,11.086,11.086,11.076,11.086,4953,0
2014-02-10,22:00:00,11.086,11.254,11.076,11.214,6561,0
2014-02-11,16:00:00,11.145,11.362,11.105,11.234,2113,0
2014-02-11,17:00:00,11.362,11.629,11.264,11.629,8529,0
2014-02-11,18:00:00,11.362,11.659,11.343,11.343,2852,0
2014-02-11,19:00:00,11.343,11.343,11.264,11.264,1416,0
2014-02-11,20:00:00,11.491,11.501,11.362,11.501,1556,0
2014-02-11,21:00:00,11.372,11.481,11.372,11.481,302,0
2014-02-11,22:00:00,11.254,11.481,11.224,11.461,10969,0
2014-02-12,16:00:00,11.488,11.488,11.488,11.488,302,0
2014-02-12,17:00:00,11.389,11.478,11.3,11.399,5848,0
2014-02-12,18:00:00,11.32,11.478,11.32,11.478,6582,0
2014-02-12,19:00:00,11.359,11.528,11.359,11.528,3841,0
2014-02-12,20:00:00,11.528,11.528,11.33,11.33,3729,0
2014-02-12,21:00:00,11.379,11.379,11.379,11.379,1690,0
2014-02-12,22:00:00,11.528,11.528,11.349,11.369,2932,0
2014-02-13,16:00:00,11.558,11.558,11.548,11.548,2242,0
2014-02-13,17:00:00,11.548,11.548,11.498,11.498,2520,0
2014-02-13,18:00:00,11.508,11.508,11.508,11.508,706,0
2014-02-13,19:00:00,11.508,11.508,11.508,11.508,5040,0
2014-02-13,20:00:00,11.419,11.508,11.419,11.508,2549,0
2014-02-14,16:00:00,11.488,11.488,11.478,11.478,718,0
2014-02-14,17:00:00,11.468,11.478,11.429,11.468,1714,0
2014-02-14,18:00:00,11.478,11.478,11.459,11.478,1671,0
2014-02-14,19:00:00,11.478,11.578,11.459,11.578,5123,0
2014-02-14,20:00:00,11.578,11.597,11.558,11.578,4424,0
2014-02-14,21:00:00,11.597,11.607,11.597,11.597,806,0
2014-02-14,22:00:00,11.578,11.578,11.478,11.478,2556,0
2014-02-18,17:00:00,11.468,11.468,11.409,11.409,3342,0
2014-02-18,18:00:00,11.459,11.459,11.389,11.389,8538,0
2014-02-18,19:00:00,11.31,11.33,11.3,11.33,8568,0
2014-02-18,20:00:00,11.409,11.409,11.32,11.389,2318,0
2014-02-18,21:00:00,11.399,11.399,11.399,11.399,706,0
2014-02-18,22:00:00,11.399,11.399,11.369,11.379,1006,0
2014-02-19,16:00:00,11.389,11.399,11.379,11.379,504,0
2014-02-19,17:00:00,11.379,11.379,11.3,11.31,2210,0
2014-02-19,18:00:00,11.31,11.31,11.31,11.31,1108,0
2014-02-19,19:00:00,11.3,11.31,11.24,11.27,6802,0
2014-02-19,20:00:00,11.27,11.28,11.25,11.26,4620,0
2014-02-19,21:00:00,11.26,11.26,11.23,11.23,10685,0
2014-02-19,22:00:00,11.25,11.26,11.25,11.25,1210,0
2014-02-20,16:00:00,11.28,11.28,11.211,11.211,1108,0
2014-02-20,17:00:00,11.24,11.24,11.23,11.24,2218,0
2014-02-20,18:00:00,11.23,11.23,11.181,11.201,806,0
2014-02-20,19:00:00,11.211,11.211,11.201,11.201,302,0
2014-02-20,20:00:00,11.201,11.201,11.191,11.201,8052,0
2014-02-20,21:00:00,11.191,11.201,11.161,11.161,5673,0
2014-02-20,22:00:00,11.161,11.201,11.161,11.201,8142,0
2014-02-21,16:00:00,11.211,11.26,11.211,11.26,1714,0
2014-02-21,17:00:00,11.28,11.28,11.26,11.28,2016,0
2014-02-21,18:00:00,11.211,11.211,11.201,11.201,1881,0
2014-02-21,19:00:00,11.201,11.201,11.141,11.151,4894,0
2014-02-21,20:00:00,11.151,11.151,11.072,11.121,14454,0
2014-02-21,21:00:00,11.101,11.101,11.101,11.101,601,0
2014-02-21,22:00:00,11.082,11.091,11.072,11.082,1080,0
2014-02-24,16:00:00,11.111,11.111,11.111,11.111,100,0
2014-02-24,17:00:00,11.091,11.091,11.072,11.072,1814,0
2014-02-24,18:00:00,11.091,11.091,11.002,11.002,8755,0
2014-02-24,19:00:00,11.032,11.032,11.022,11.022,504,0
2014-02-24,20:00:00,11.022,11.022,10.982,11.012,3024,0
2014-02-24,21:00:00,11.002,11.012,10.982,10.982,6068,0
2014-02-24,22:00:00,11.002,11.002,11.002,11.002,100,0
2014-02-25,17:00:00,10.992,11.101,10.982,11.082,4928,0
2014-02-25,18:00:00,11.111,11.111,11.082,11.082,3439,0
2014-02-25,19:00:00,11.091,11.091,11.091,11.091,302,0
2014-02-25,20:00:00,11.082,11.101,11.082,11.091,2621,0
2014-02-25,21:00:00,11.091,11.091,11.072,11.072,880,0
2014-02-25,22:00:00,11.072,11.072,11.042,11.042,1360,0
2014-02-26,16:00:00,11.141,11.141,11.121,11.121,3018,0
2014-02-26,17:00:00,11.101,11.111,11.082,11.091,4334,0
2014-02-26,18:00:00,11.101,11.101,11.091,11.101,3353,0
2014-02-26,19:00:00,11.082,11.091,11.082,11.091,839,0
2014-02-26,20:00:00,11.091,11.091,11.091,11.091,604,0
2014-02-26,21:00:00,11.082,11.082,11.082,11.082,302,0
2014-02-26,22:00:00,11.082,11.091,11.082,11.091,19535,0
2014-02-27,17:00:00,11.121,11.131,11.121,11.121,1411,0
2014-02-27,18:00:00,11.062,11.062,10.982,10.982,4042,0
2014-02-27,19:00:00,11.032,11.032,11.032,11.032,975,0
2014-02-27,21:00:00,11.042,11.131,11.042,11.121,3670,0
2014-02-28,17:00:00,11.151,11.161,11.131,11.161,1220,0
2014-02-28,18:00:00,11.161,11.171,11.161,11.171,2022,0
2014-02-28,19:00:00,11.171,11.211,11.171,11.211,504,0
2014-02-28,20:00:00,11.131,11.141,11.131,11.141,4032,0
2014-02-28,22:00:00,11.141,11.141,11.121,11.121,2822,0
2014-03-03,16:00:00,11.181,11.211,11.131,11.211,6665,0
2014-03-03,17:00:00,11.211,11.211,11.201,11.211,1042,0
2014-03-03,18:00:00,11.211,11.211,11.211,11.211,875,0
2014-03-03,19:00:00,11.131,11.211,11.131,11.211,2250,0
2014-03-04,16:00:00,11.211,11.211,11.211,11.211,302,0
2014-03-04,17:00:00,11.24,11.24,11.121,11.171,18330,0
2014-03-04,19:00:00,11.211,11.211,11.211,11.211,202,0
2014-03-04,20:00:00,11.211,11.211,11.211,11.211,202,0
2014-03-04,21:00:00,11.211,11.211,11.121,11.121,1249,0
2014-03-04,22:00:00,11.191,11.201,11.151,11.151,1783,0
2014-03-05,16:00:00,11.24,11.24,11.171,11.171,806,0
2014-03-05,17:00:00,11.181,11.211,11.111,11.211,7384,0
2014-03-05,18:00:00,11.211,11.211,11.211,11.211,202,0
2014-03-05,19:00:00,11.211,11.22,11.211,11.22,202,0
2014-03-05,20:00:00,11.23,11.23,11.23,11.23,302,0
2014-03-05,21:00:00,11.23,11.23,11.23,11.23,100,0
2014-03-05,22:00:00,11.22,11.22,11.191,11.201,1684,0
2014-03-06,16:00:00,11.161,11.22,11.161,11.22,202,0
2014-03-06,17:00:00,11.211,11.211,11.191,11.191,806,0
2014-03-06,18:00:00,11.191,11.22,11.171,11.22,2241,0
2014-03-06,19:00:00,11.181,11.22,11.181,11.22,3460,0
2014-03-06,20:00:00,11.191,11.201,11.161,11.161,2762,0
2014-03-06,21:00:00,11.191,11.191,11.052,11.052,504,0
2014-03-06,22:00:00,11.052,11.082,11.052,11.072,604,0
2014-03-07,16:00:00,11.072,11.072,11.052,11.052,806,0
2014-03-07,17:00:00,11.052,11.082,10.913,10.913,4358,0
2014-03-07,18:00:00,10.963,11.002,10.943,10.943,2204,0
2014-03-07,19:00:00,10.933,10.933,10.913,10.913,669,0
2014-03-07,20:00:00,10.953,11.002,10.933,10.982,2779,0
2014-03-07,21:00:00,10.943,10.953,10.943,10.953,662,0
2014-03-07,22:00:00,10.943,10.972,10.923,10.963,6925,0
2014-03-10,15:00:00,10.982,11.022,10.953,10.953,4310,0
2014-03-10,16:00:00,10.982,11.052,10.982,11.032,12895,0
2014-03-10,17:00:00,11.032,11.032,11.022,11.022,4233,0
2014-03-10,18:00:00,11.042,11.042,11.032,11.032,1479,0
2014-03-10,19:00:00,11.042,11.042,11.022,11.042,908,0
2014-03-10,20:00:00,11.032,11.032,11.022,11.022,706,0
2014-03-10,21:00:00,11.022,11.042,10.953,10.953,3276,0
2014-03-11,15:00:00,11.002,11.002,11.002,11.002,100,0
2014-03-11,16:00:00,11.022,11.052,11.022,11.052,907,0
2014-03-11,18:00:00,11.022,11.022,11.022,11.022,1183,0
2014-03-11,19:00:00,11.012,11.012,11.012,11.012,302,0
2014-03-11,20:00:00,11.032,11.032,11.012,11.022,3864,0
2014-03-11,21:00:00,11.032,11.032,11.032,11.032,305,0
2014-03-12,15:00:00,11.077,11.077,11.057,11.057,1080,0
2014-03-12,16:00:00,11.037,11.067,10.967,11.067,4953,0
2014-03-12,20:00:00,11.077,11.137,11.077,11.097,5843,0
2014-03-12,21:00:00,11.137,11.137,11.047,11.077,6977,0
2014-03-13,15:00:00,11.147,11.147,11.137,11.137,301,0
2014-03-13,16:00:00,11.127,11.127,11.107,11.107,4379,0
2014-03-13,17:00:00,11.147,11.156,11.047,11.137,2250,0
2014-03-13,18:00:00,11.147,11.147,11.147,11.147,201,0
2014-03-13,19:00:00,11.137,11.137,11.127,11.127,301,0
2014-03-13,20:00:00,11.087,11.087,11.087,11.087,2594,0
2014-03-13,21:00:00,11.137,11.156,11.137,11.156,904,0
2014-03-14,15:00:00,11.176,11.216,11.176,11.216,843,0
2014-03-14,16:00:00,11.206,11.206,11.206,11.206,201,0
2014-03-14,17:00:00,11.196,11.196,11.186,11.186,3112,0
2014-03-14,18:00:00,11.186,11.186,11.176,11.176,803,0
2014-03-14,20:00:00,11.156,11.156,11.097,11.117,3137,0
2014-03-14,21:00:00,11.156,11.156,11.156,11.156,301,0
2014-03-17,15:00:00,11.316,11.336,11.246,11.246,5020,0
2014-03-17,16:00:00,11.326,11.326,11.216,11.266,1907,0
2014-03-17,17:00:00,11.266,11.266,11.246,11.246,301,0
2014-03-17,18:00:00,11.266,11.276,11.266,11.266,2886,0
2014-03-17,19:00:00,11.286,11.316,11.216,11.316,13653,0
2014-03-17,20:00:00,11.316,11.316,11.316,11.316,482,0
2014-03-18,18:00:00,11.266,11.266,11.266,11.266,887,0
2014-03-18,19:00:00,11.266,11.286,11.206,11.206,6525,0
2014-03-18,20:00:00,11.206,11.206,11.196,11.196,3614,0
2014-03-18,21:00:00,11.186,11.196,11.156,11.196,3773,0
2014-03-19,15:00:00,11.246,11.276,11.196,11.196,5416,0
2014-03-19,16:00:00,11.256,11.256,11.256,11.256,502,0
2014-03-19,17:00:00,11.226,11.256,11.186,11.186,16510,0
2014-03-19,18:00:00,11.216,11.296,11.216,11.296,18981,0
2014-03-19,19:00:00,11.206,11.216,11.206,11.216,2510,0
2014-03-19,21:00:00,11.186,11.196,11.186,11.186,4261,0
2014-03-20,15:00:00,11.087,11.087,11.087,11.087,100,0
2014-03-20,16:00:00,11.077,11.166,11.057,11.117,37082,0
2014-03-20,17:00:00,11.107,11.107,11.007,11.057,5823,0
2014-03-20,18:00:00,11.067,11.067,11.067,11.067,301,0
2014-03-20,19:00:00,11.087,11.087,11.087,11.087,201,0
2014-03-20,21:00:00,11.057,11.057,10.967,10.997,7887,0
2014-03-21,15:00:00,11.077,11.077,11.067,11.067,1506,0
2014-03-21,16:00:00,11.097,11.196,11.077,11.087,33753,0
2014-03-21,17:00:00,11.047,11.047,11.047,11.047,242,0
2014-03-21,18:00:00,11.057,11.087,11.057,11.087,755,0
2014-03-21,21:00:00,11.097,11.117,11.097,11.117,1568,0
2014-03-24,15:00:00,11.077,11.077,11.067,11.067,803,0
2014-03-24,16:00:00,11.117,11.196,11.067,11.107,28637,0
2014-03-24,17:00:00,11.166,11.176,11.147,11.176,2008,0
2014-03-24,20:00:00,11.176,11.176,11.176,11.176,201,0
2014-03-24,21:00:00,11.196,11.196,11.176,11.176,1005,0
2014-03-25,16:00:00,11.147,11.186,11.147,11.186,401,0
2014-03-25,17:00:00,11.147,11.196,11.107,11.117,9569,0
2014-03-25,21:00:00,11.107,11.107,11.087,11.097,12446,0
2014-03-26,15:00:00,11.166,11.166,11.097,11.097,1415,0
2014-03-26,17:00:00,11.087,11.137,11.087,11.137,1302,0
2014-03-26,18:00:00,11.127,11.286,11.107,11.137,32389,0
2014-03-26,19:00:00,11.147,11.196,11.147,11.186,500,0
2014-03-26,21:00:00,11.196,11.196,11.166,11.166,300,0
2014-03-27,15:00:00,11.117,11.236,11.107,11.236,643,0
2014-03-27,16:00:00,11.147,11.266,11.147,11.236,556,0
2014-03-27,17:00:00,11.226,11.226,11.226,11.226,300,0
2014-03-27,18:00:00,11.226,11.266,11.216,11.266,4009,0
2014-03-27,19:00:00,11.276,11.336,11.276,11.336,2100,0
2014-03-27,20:00:00,11.336,11.336,11.186,11.186,9221,0
2014-03-27,21:00:00,11.206,11.206,11.186,11.186,300,0
2014-03-28,15:00:00,11.196,11.196,11.097,11.097,12499,0
2014-03-28,16:00:00,11.107,11.256,11.107,11.127,44513,0
2014-03-28,17:00:00,11.196,11.196,11.196,11.196,502,0
2014-03-28,18:00:00,11.147,11.147,11.147,11.147,201,0
2014-03-28,20:00:00,11.127,11.176,11.107,11.117,1602,0
2014-03-28,21:00:00,11.107,11.117,11.097,11.107,1899,0
2014-03-31,16:00:00,11.127,11.276,11.107,11.127,25942,0
2014-03-31,17:00:00,11.196,11.196,11.107,11.107,3712,0
2014-03-31,18:00:00,11.166,11.206,11.156,11.166,5501,0
2014-03-31,20:00:00,11.186,11.206,11.186,11.186,2860,0
2014-03-31,21:00:00,11.147,11.166,11.087,11.147,27232,0
2014-03-31,22:00:00,11.117,11.117,11.097,11.107,900,0
2014-04-01,16:00:00,11.236,11.236,11.107,11.186,17897,0
2014-04-01,17:00:00,11.176,11.226,11.137,11.186,8304,0
