Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,21:00:00,10.004,10.004,9.974,9.994,3316,0
2014-02-12,17:00:00,10.006,10.006,10.006,10.006,2008,0
2014-02-12,18:00:00,10.016,10.016,10.016,10.016,100,0
2014-02-12,19:00:00,9.986,9.986,9.986,9.986,100,0
2014-02-13,21:00:00,9.996,9.996,9.996,9.996,402,0
2014-02-13,22:00:00,9.996,9.996,9.996,9.996,302,0
2014-02-14,17:00:00,10.026,10.026,9.996,9.996,9140,0
2014-02-14,18:00:00,10.036,10.036,9.996,10.006,4218,0
2014-02-20,19:00:00,10.006,10.016,9.986,10.006,5524,0
2014-02-24,17:00:00,9.986,9.986,9.986,9.986,704,0
2014-02-28,17:00:00,9.986,9.986,9.986,9.986,12468,0
2014-03-03,20:00:00,10.006,10.006,10.006,10.006,402,0
2014-03-04,20:00:00,10.006,10.006,10.006,10.006,2460,0
2014-03-06,19:00:00,10.006,10.006,10.006,10.006,7030,0
2014-03-06,20:00:00,10.006,10.006,10.006,10.006,2128,0
2014-03-07,17:00:00,9.996,9.996,9.996,9.996,100,0
2014-03-11,17:00:00,9.996,9.996,9.996,9.996,2110,0
2014-03-11,20:00:00,10.006,10.006,10.006,10.006,100,0
2014-03-11,21:00:00,10.016,10.016,10.016,10.016,395,0
2014-03-13,21:00:00,9.998,9.998,9.998,9.998,6013,0
2014-03-14,17:00:00,9.988,9.998,9.988,9.998,2004,0
2014-03-17,21:00:00,10.028,10.028,10.028,10.028,7015,0
2014-03-24,21:00:00,10.028,10.028,10.028,10.028,1002,0
2014-03-27,17:00:00,10.028,10.038,10.028,10.028,25643,0
2014-03-27,18:00:00,10.028,10.028,10.028,10.028,13730,0
2014-03-31,17:00:00,10.018,10.038,10.008,10.028,12004,0
2014-03-31,20:00:00,10.018,10.028,10.018,10.028,1100,0
2014-03-31,21:00:00,10.028,10.028,10.008,10.008,1002,0
2014-04-07,21:00:00,10.018,10.028,10.008,10.028,10122,0
2014-04-07,22:00:00,10.038,10.038,10.038,10.038,702,0
2014-04-09,18:00:00,10.008,10.008,10.008,10.008,1804,0
2014-04-09,20:00:00,10.008,10.008,10.008,10.008,1102,0
2014-04-10,18:00:00,10.018,10.018,10.018,10.018,725,0
2014-04-11,17:00:00,10.02,10.02,10.02,10.02,100,0
2014-04-11,21:00:00,10.03,10.03,10.03,10.03,1000,0
2014-04-11,22:00:00,10.03,10.03,10.03,10.03,1200,0
2014-04-21,16:00:00,10.02,10.02,10.02,10.02,5000,0
2014-04-21,20:00:00,10.03,10.03,10.03,10.03,100,0
2014-04-22,18:00:00,10.03,10.03,10.03,10.03,100,0
2014-04-23,19:00:00,10.04,10.04,10.04,10.04,1000,0
2014-04-25,17:00:00,10.04,10.05,10.04,10.05,980,0
2014-04-25,20:00:00,10.05,10.05,10.05,10.05,3700,0
2014-04-28,21:00:00,10.05,10.05,10.04,10.04,500,0
2014-04-29,21:00:00,10.05,10.05,10.05,10.05,1571,0
2014-04-30,17:00:00,10.03,10.03,10.03,10.03,1000,0
2014-04-30,22:00:00,10.03,10.03,10.03,10.03,100,0
2014-05-01,18:00:00,10.02,10.02,10.01,10.01,800,0
2014-05-02,17:00:00,10.02,10.02,10.02,10.02,200,0
2014-05-05,17:00:00,10.01,10.01,10.01,10.01,2000,0
2014-05-05,19:00:00,10.02,10.02,10.02,10.02,500,0
