Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.73,24.73,24.64,24.7,2300,0
2014-02-10,17:00:00,24.7,24.7,24.58,24.6,5811,0
2014-02-10,18:00:00,24.59,24.6,24.58,24.58,2700,0
2014-02-10,19:00:00,24.6,24.6,24.58,24.59,3800,0
2014-02-10,20:00:00,24.6,24.6,24.58,24.6,2927,0
2014-02-10,21:00:00,24.6,24.6,24.54,24.54,6705,0
2014-02-10,22:00:00,24.55,24.6,24.55,24.58,8670,0
2014-02-11,16:00:00,24.56,24.6,24.56,24.6,300,0
2014-02-11,17:00:00,24.6,24.6,24.6,24.6,600,0
2014-02-11,18:00:00,24.58,24.62,24.56,24.6,10554,0
2014-02-11,19:00:00,24.58,24.65,24.56,24.65,8089,0
2014-02-11,20:00:00,24.63,24.67,24.63,24.67,1200,0
2014-02-11,22:00:00,24.64,24.66,24.63,24.65,5760,0
2014-02-12,16:00:00,24.67,24.7,24.67,24.7,2700,0
2014-02-12,17:00:00,24.7,24.7,24.62,24.62,5050,0
2014-02-12,18:00:00,24.68,24.68,24.68,24.68,2200,0
2014-02-12,19:00:00,24.63,24.63,24.63,24.63,1200,0
2014-02-12,21:00:00,24.65,24.67,24.65,24.67,2762,0
2014-02-12,22:00:00,24.65,24.72,24.65,24.7,11278,0
2014-02-13,17:00:00,24.69,24.7,24.65,24.67,3837,0
2014-02-13,18:00:00,24.68,24.7,24.68,24.7,3200,0
2014-02-13,20:00:00,24.7,24.71,24.7,24.71,450,0
2014-02-13,21:00:00,24.68,24.7,24.68,24.7,1600,0
2014-02-13,22:00:00,24.7,24.77,24.68,24.77,15624,0
2014-02-14,16:00:00,24.75,24.76,24.75,24.76,1000,0
2014-02-14,17:00:00,24.76,24.84,24.75,24.82,17173,0
2014-02-14,18:00:00,24.81,24.81,24.78,24.81,600,0
2014-02-14,19:00:00,24.82,24.86,24.82,24.85,8622,0
2014-02-14,20:00:00,24.85,24.88,24.85,24.88,1295,0
2014-02-14,22:00:00,24.87,24.92,24.87,24.91,7900,0
2014-02-18,16:00:00,24.91,24.91,24.91,24.91,4950,0
2014-02-18,17:00:00,24.91,24.91,24.88,24.9,2244,0
2014-02-18,18:00:00,24.9,24.9,24.89,24.89,1800,0
2014-02-18,19:00:00,24.89,24.91,24.87,24.91,3700,0
2014-02-18,20:00:00,24.87,24.9,24.86,24.87,2771,0
2014-02-18,21:00:00,24.88,24.9,24.88,24.9,1440,0
2014-02-18,22:00:00,24.91,24.93,24.89,24.93,2370,0
2014-02-19,17:00:00,24.94,24.95,24.9,24.95,2354,0
2014-02-19,18:00:00,24.95,24.98,24.94,24.98,7900,0
2014-02-19,19:00:00,24.95,24.95,24.92,24.92,700,0
2014-02-19,20:00:00,24.98,24.98,24.96,24.98,2613,0
2014-02-19,21:00:00,24.98,25.04,24.98,25.03,5500,0
2014-02-19,22:00:00,25.01,25.01,24.97,24.97,2100,0
2014-02-20,16:00:00,24.94,25.01,24.94,25.01,1500,0
2014-02-20,17:00:00,24.96,25.01,24.95,25.01,3690,0
2014-02-20,18:00:00,25,25,25,25,1950,0
2014-02-20,19:00:00,24.98,25.01,24.98,25.01,700,0
2014-02-20,21:00:00,25.01,25.06,25.01,25.06,2894,0
2014-02-20,22:00:00,25.05,25.07,25.05,25.07,1200,0
2014-02-21,17:00:00,25.07,25.07,25.01,25.07,1600,0
2014-02-21,18:00:00,25.01,25.03,25.01,25.03,2200,0
2014-02-21,20:00:00,25.02,25.02,25,25,2152,0
2014-02-21,21:00:00,25.03,25.07,25.03,25.05,400,0
2014-02-21,22:00:00,25.07,25.07,25.02,25.02,2362,0
2014-02-24,18:00:00,25.05,25.08,25.05,25.08,1300,0
2014-02-24,20:00:00,25.05,25.06,25.04,25.04,4000,0
2014-02-24,21:00:00,25.03,25.03,25.03,25.03,1000,0
2014-02-24,22:00:00,25.04,25.04,24.98,25.04,6100,0
2014-02-25,16:00:00,25,25,25,25,2300,0
2014-02-25,18:00:00,25.05,25.05,25.01,25.01,2720,0
2014-02-25,19:00:00,25.04,25.05,25.04,25.05,3010,0
2014-02-25,20:00:00,25.06,25.08,25.05,25.08,1100,0
2014-02-25,21:00:00,25.05,25.07,25.04,25.05,3800,0
2014-02-25,22:00:00,25.07,25.07,25.07,25.07,1200,0
2014-02-26,17:00:00,25.06,25.06,25.06,25.06,2500,0
2014-02-26,18:00:00,25.05,25.05,25,25,4362,0
2014-02-26,19:00:00,24.99,25,24.99,24.99,5200,0
2014-02-26,20:00:00,24.99,24.99,24.94,24.95,1900,0
2014-02-26,22:00:00,24.95,25.01,24.9,24.9,5914,0
2014-02-27,16:00:00,24.95,25,24.95,25,842,0
2014-02-27,17:00:00,25,25.06,25,25.06,7724,0
2014-02-27,19:00:00,25.05,25.06,25.05,25.06,2000,0
2014-02-27,20:00:00,25.02,25.06,25.02,25.02,2538,0
2014-02-27,21:00:00,25.03,25.03,25.02,25.02,2784,0
2014-02-27,22:00:00,25.04,25.06,25.04,25.04,6136,0
2014-02-28,17:00:00,25.07,25.07,25.05,25.07,4925,0
2014-02-28,18:00:00,25.09,25.09,25.06,25.06,1301,0
2014-02-28,19:00:00,25.06,25.09,25.06,25.08,7600,0
2014-02-28,20:00:00,25.09,25.09,25.09,25.09,550,0
2014-02-28,22:00:00,25.09,25.09,24.98,25.09,29476,0
2014-03-03,16:00:00,25.05,25.05,25.05,25.05,1000,0
2014-03-03,17:00:00,25.03,25.03,25.02,25.02,1100,0
2014-03-03,18:00:00,25.03,25.03,25.03,25.03,2500,0
2014-03-03,19:00:00,25.02,25.03,25.02,25.03,1700,0
2014-03-03,20:00:00,25.04,25.04,25.04,25.04,400,0
2014-03-03,21:00:00,25.04,25.04,25.01,25.04,8495,0
2014-03-03,22:00:00,25.01,25.04,25.01,25.04,600,0
2014-03-04,16:00:00,25.09,25.09,25.08,25.08,1300,0
2014-03-04,17:00:00,25.08,25.13,25.08,25.1,3800,0
