Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.08,24.08,24.07,24.07,1400,0
2014-02-10,17:00:00,24.06,24.07,23.96,23.99,13500,0
2014-02-10,19:00:00,23.94,23.94,23.9,23.9,8365,0
2014-02-10,20:00:00,23.91,23.91,23.88,23.88,600,0
2014-02-10,21:00:00,23.9,24.03,23.9,23.99,16002,0
2014-02-10,22:00:00,23.98,23.98,23.93,23.95,1000,0
2014-02-11,16:00:00,24.05,24.05,23.95,24.03,4600,0
2014-02-11,17:00:00,24.03,24.14,24.03,24.14,2900,0
2014-02-11,18:00:00,24.1,24.16,24.1,24.16,3000,0
2014-02-11,19:00:00,24.17,24.19,24.17,24.19,3643,0
2014-02-11,20:00:00,24.17,24.17,24.17,24.17,2300,0
2014-02-11,21:00:00,24.16,24.16,24.16,24.16,600,0
2014-02-11,22:00:00,24.17,24.19,24.17,24.19,1532,0
2014-02-12,16:00:00,24.21,24.21,24.21,24.21,3800,0
2014-02-12,18:00:00,24.2,24.2,24.15,24.15,1700,0
2014-02-12,21:00:00,24.2,24.2,24.2,24.2,100,0
2014-02-12,22:00:00,24.24,24.24,24.12,24.12,566,0
2014-02-13,16:00:00,24.23,24.23,24.23,24.23,400,0
2014-02-13,17:00:00,24.23,24.23,24.22,24.22,400,0
2014-02-13,19:00:00,24.15,24.16,24.15,24.16,300,0
2014-02-13,21:00:00,24.2,24.2,24.2,24.2,3200,0
2014-02-13,22:00:00,24.2,24.35,24.2,24.35,21357,0
2014-02-14,16:00:00,24.34,24.37,24.34,24.37,2200,0
2014-02-14,17:00:00,24.37,24.46,24.37,24.45,18607,0
2014-02-14,18:00:00,24.44,24.49,24.44,24.49,8743,0
2014-02-14,19:00:00,24.47,24.54,24.45,24.51,7895,0
2014-02-14,20:00:00,24.51,24.51,24.48,24.48,10067,0
2014-02-14,22:00:00,24.54,24.54,24.49,24.49,600,0
2014-02-18,16:00:00,24.59,24.6,24.5,24.59,5606,0
2014-02-18,17:00:00,24.49,24.5,24.49,24.5,6400,0
2014-02-18,18:00:00,24.49,24.56,24.49,24.55,4100,0
2014-02-18,19:00:00,24.58,24.58,24.46,24.49,6800,0
