Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,22.916,23.16,22.721,22.721,8525,0
2014-02-10,17:00:00,22.936,22.936,22.662,22.897,1487,0
2014-02-10,18:00:00,22.74,23.062,22.74,22.828,4507,0
2014-02-10,19:00:00,22.809,23.072,22.809,23.072,3282,0
2014-02-10,20:00:00,22.848,22.994,22.848,22.994,1128,0
2014-02-10,21:00:00,22.906,22.906,22.906,22.906,1231,0
2014-02-10,22:00:00,22.867,22.867,22.828,22.858,1846,0
2014-02-11,16:00:00,22.916,23.101,22.887,23.101,3991,0
2014-02-11,17:00:00,23.111,23.248,23.023,23.14,6174,0
2014-02-11,18:00:00,23.16,23.16,22.916,22.994,5144,0
2014-02-11,19:00:00,22.994,23.092,22.916,22.975,6066,0
2014-02-11,20:00:00,22.975,23.101,22.916,23.004,3594,0
2014-02-11,21:00:00,23.014,23.111,22.955,23.014,7589,0
2014-02-11,22:00:00,23.111,23.16,22.867,22.867,8085,0
2014-02-12,16:00:00,22.828,23.004,22.828,23.004,308,0
2014-02-12,17:00:00,22.867,23.131,22.77,23.131,1948,0
2014-02-12,18:00:00,23.101,23.101,22.78,22.916,2256,0
2014-02-12,19:00:00,22.916,23.111,22.916,23.043,1134,0
2014-02-12,20:00:00,23.131,23.14,22.955,23.14,5956,0
2014-02-12,21:00:00,23.131,23.14,23.014,23.111,1231,0
2014-02-12,22:00:00,23.043,23.14,22.955,22.955,6194,0
2014-02-13,16:00:00,23.404,23.404,22.965,23.15,4101,0
2014-02-13,17:00:00,23.452,23.54,23.452,23.521,2042,0
2014-02-13,18:00:00,23.54,23.54,23.296,23.54,3226,0
2014-02-13,19:00:00,23.54,23.54,23.296,23.501,4221,0
2014-02-13,20:00:00,23.501,23.501,23.472,23.501,3916,0
2014-02-13,21:00:00,23.413,23.501,23.413,23.482,2256,0
2014-02-13,22:00:00,23.482,23.482,23.316,23.413,2687,0
2014-02-14,16:00:00,23.657,23.657,23.482,23.482,820,0
2014-02-14,17:00:00,23.618,23.735,23.296,23.735,1025,0
2014-02-14,18:00:00,23.745,23.745,23.404,23.404,4859,0
2014-02-14,20:00:00,23.716,23.716,23.423,23.443,5516,0
2014-02-14,21:00:00,23.696,23.696,23.696,23.696,1641,0
2014-02-14,22:00:00,23.462,23.716,23.462,23.589,4348,0
2014-02-18,16:00:00,23.716,23.833,23.404,23.784,9924,0
2014-02-18,17:00:00,23.784,23.872,23.618,23.872,1666,0
2014-02-18,18:00:00,23.872,23.872,23.774,23.872,2406,0
2014-02-18,19:00:00,23.862,23.862,23.716,23.823,2565,0
2014-02-18,20:00:00,23.872,23.872,23.569,23.872,4102,0
2014-02-18,21:00:00,23.872,23.891,23.813,23.842,2063,0
2014-02-18,22:00:00,23.833,23.842,23.413,23.735,9244,0
2014-02-19,17:00:00,23.647,23.647,23.335,23.384,3179,0
2014-02-19,18:00:00,23.491,23.881,23.491,23.813,14387,0
2014-02-19,19:00:00,23.716,23.833,23.608,23.647,4153,0
2014-02-19,20:00:00,23.794,23.794,23.647,23.647,2154,0
