Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-04,16:00:00,25,26,23.05,24.1,2059595,0
2014-04-04,17:00:00,24.15,24.44,23,23.95,1715403,0
2014-04-04,18:00:00,23.97,23.97,22.2,22.22,635201,0
2014-04-04,19:00:00,22.21,23.08,22.02,22.81,616089,0
2014-04-04,20:00:00,22.87,23.25,22.7,23.02,300181,0
2014-04-04,21:00:00,23.02,23.5,22.83,23.03,292316,0
2014-04-04,22:00:00,23.06,23.1,22.75,23,484283,0
2014-04-07,16:00:00,22.92,22.92,21.35,21.94,120427,0
2014-04-07,17:00:00,21.76,22.5,21.75,21.78,162813,0
2014-04-07,18:00:00,21.75,22.08,21.75,21.77,179079,0
2014-04-07,19:00:00,21.77,21.81,21.39,21.48,73961,0
2014-04-07,20:00:00,21.48,21.62,21.35,21.51,62515,0
2014-04-07,21:00:00,21.51,21.85,21.44,21.44,47390,0
2014-04-07,22:00:00,21.49,21.84,21.44,21.75,88766,0
2014-04-08,16:00:00,21.75,22.12,21,21.09,69566,0
2014-04-08,17:00:00,21.13,21.71,21,21.71,60236,0
2014-04-08,18:00:00,21.65,22.39,21.52,21.71,58446,0
2014-04-08,19:00:00,21.71,21.77,21.5,21.63,31900,0
2014-04-08,20:00:00,21.52,21.75,21.4,21.5,37164,0
2014-04-08,21:00:00,21.5,21.79,21.4,21.46,20450,0
2014-04-08,22:00:00,21.5,21.96,21.46,21.51,79346,0
2014-04-09,16:00:00,21.77,22.3,21.17,21.72,34767,0
2014-04-09,17:00:00,21.78,21.9,21.37,21.67,38558,0
2014-04-09,18:00:00,21.61,21.74,21.52,21.59,26555,0
2014-04-09,19:00:00,21.57,22.35,21.57,22.11,41446,0
2014-04-09,20:00:00,22.08,22.5,22,22.03,41358,0
2014-04-09,21:00:00,22.04,22.3,22,22.09,49579,0
2014-04-09,22:00:00,22.01,22.49,22,22.4,168669,0
2014-04-10,16:00:00,22.49,22.69,22.4,22.57,26576,0
2014-04-10,17:00:00,22.57,23.47,22.48,22.89,116254,0
2014-04-10,18:00:00,22.94,22.94,22.08,22.26,31002,0
2014-04-10,19:00:00,22.18,22.3,21.97,22,15724,0
2014-04-10,20:00:00,22.01,22.17,22,22,22450,0
2014-04-10,21:00:00,22,22.14,22,22.02,8640,0
2014-04-10,22:00:00,22.09,22.34,21.97,22.15,135487,0
2014-04-11,16:00:00,21.71,22.07,21.56,21.82,24129,0
2014-04-11,17:00:00,21.87,21.95,21.62,21.62,47684,0
2014-04-11,18:00:00,21.61,21.91,21.56,21.72,51131,0
2014-04-11,19:00:00,21.73,21.79,21.52,21.55,36327,0
2014-04-11,20:00:00,21.63,21.86,21.11,21.47,141869,0
2014-04-11,21:00:00,21.25,21.66,21.25,21.5,65363,0
2014-04-11,22:00:00,21.5,21.81,21.5,21.59,63970,0
2014-04-14,16:00:00,22.31,22.32,21.93,22.08,31870,0
2014-04-14,17:00:00,21.99,22.17,21.82,21.98,45442,0
2014-04-14,18:00:00,21.87,21.9,21.61,21.73,72344,0
2014-04-14,19:00:00,21.67,21.77,21.65,21.69,7082,0
2014-04-14,20:00:00,21.75,22.01,21.6,21.72,43256,0
2014-04-14,21:00:00,21.65,21.75,21.51,21.51,45745,0
2014-04-14,22:00:00,21.52,21.76,20.96,21.67,85891,0
2014-04-15,16:00:00,22.03,22.28,21.86,22.08,19733,0
2014-04-15,17:00:00,22.08,22.22,21.7,21.75,52680,0
2014-04-15,18:00:00,21.9,21.9,21.49,21.49,10467,0
2014-04-15,19:00:00,21.46,21.66,21.38,21.62,2900,0
2014-04-15,20:00:00,21.61,21.9,21.58,21.67,18980,0
2014-04-15,21:00:00,21.61,21.82,21.51,21.65,66398,0
2014-04-15,22:00:00,21.57,21.63,21.33,21.5,91042,0
2014-04-16,16:00:00,21.82,21.89,21.53,21.6,6600,0
2014-04-16,17:00:00,21.4,21.58,21.25,21.26,40350,0
2014-04-16,18:00:00,21.21,21.5,21.21,21.5,19350,0
2014-04-16,19:00:00,21.5,21.77,21.49,21.77,4251,0
2014-04-16,20:00:00,21.75,21.75,21.56,21.7,1525,0
2014-04-16,21:00:00,21.65,21.69,21.6,21.64,954,0
