Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,7.63,7.89,7.62,7.62,22400,0
2014-02-10,17:00:00,7.62,7.8,7.62,7.7,3736,0
2014-02-10,18:00:00,7.7,7.7,7.65,7.7,16897,0
2014-02-10,19:00:00,7.68,7.68,7.51,7.51,5375,0
2014-02-10,20:00:00,7.52,7.63,7.51,7.51,1976,0
2014-02-10,21:00:00,7.565,7.565,7.48,7.48,7400,0
2014-02-10,22:00:00,7.57,7.57,7.25,7.25,38089,0
2014-02-11,16:00:00,7.2,7.25,7.2,7.22,17135,0
2014-02-11,17:00:00,7.21,7.21,6.95,7,126223,0
2014-02-11,18:00:00,6.96,7.07,6.96,6.96,210885,0
2014-02-11,19:00:00,6.95,7.05,6.85,6.85,11418,0
2014-02-11,20:00:00,6.86,6.88,6.72,6.72,17022,0
2014-02-11,21:00:00,6.72,6.72,6.39,6.45,53844,0
2014-02-11,22:00:00,6.45,6.5,5.9,6,159937,0
2014-02-12,16:00:00,5.9,5.9,4.2,4.29,674521,0
2014-02-12,17:00:00,4.28,4.29,3.37,4.14,2936095,0
2014-02-12,18:00:00,4.14,4.43,3.9,4.26,704283,0
2014-02-12,19:00:00,4.29,4.4,4.2,4.23,443240,0
2014-02-12,20:00:00,4.22,4.7,4.22,4.5,273138,0
2014-02-12,21:00:00,4.5,4.75,4.4,4.75,251511,0
2014-02-12,22:00:00,4.77,4.92,4.5,4.74,338579,0
2014-02-13,16:00:00,4.55,5.82,4.55,5.28,1051210,0
2014-02-13,17:00:00,5.25,5.74,5.2,5.4,521114,0
2014-02-13,18:00:00,5.38,5.5,5.36,5.39,118142,0
2014-02-13,19:00:00,5.42,5.43,5.1,5.2,460531,0
2014-02-13,20:00:00,5.12,5.53,5,5.53,402400,0
2014-02-13,21:00:00,5.55,5.69,5.26,5.63,320508,0
2014-02-13,22:00:00,5.7,5.9,5.7,5.7,239178,0
2014-02-14,16:00:00,5.82,6.45,5.4,6.25,202694,0
2014-02-14,17:00:00,6.25,6.25,5.6,5.75,254016,0
2014-02-14,18:00:00,5.6,5.65,5.1,5.27,175122,0
2014-02-14,19:00:00,5.3,5.4,5.3,5.325,67743,0
2014-02-14,20:00:00,5.32,5.45,5.32,5.39,79500,0
2014-02-14,21:00:00,5.4,5.5,5.35,5.45,189534,0
2014-02-14,22:00:00,5.49,5.65,5.45,5.45,51502,0
2014-02-18,16:00:00,5.525,5.6,5.44,5.44,31113,0
2014-02-18,17:00:00,5.5,5.5,5.31,5.31,13343,0
2014-02-18,18:00:00,5.31,5.39,5.1,5.2,45660,0
2014-02-18,19:00:00,5.2,5.25,5.1,5.25,16650,0
2014-02-18,20:00:00,5.25,5.25,5.2,5.2,176700,0
2014-02-18,21:00:00,5.2,5.23,5.2,5.23,16598,0
2014-02-18,22:00:00,5.23,5.3,5.2,5.2,188725,0
2014-02-19,16:00:00,5.23,5.24,5.2,5.2,24213,0
2014-02-19,17:00:00,5.2,5.2,5.15,5.15,4557,0
2014-02-19,18:00:00,5.2,5.2,5.1,5.1,14050,0
2014-02-19,19:00:00,5.1,5.1,5.05,5.1,4735,0
2014-02-19,20:00:00,5.1,5.18,5.05,5.18,8044,0
2014-02-19,21:00:00,5.1,5.1,5.1,5.1,14259,0
2014-02-19,22:00:00,5.1,5.3,5,5.2,28634,0
2014-02-20,16:00:00,5.25,5.25,5.19,5.19,46760,0
2014-02-20,17:00:00,5.16,5.1959,5.16,5.19,179700,0
2014-02-20,18:00:00,5.23,5.3,5.23,5.27,51727,0
2014-02-20,19:00:00,5.27,5.37,5.27,5.37,4205,0
2014-02-20,20:00:00,5.28,5.325,5.28,5.28,5300,0
2014-02-20,21:00:00,5.37,5.37,5.3,5.3,1785,0
2014-02-20,22:00:00,5.3,5.3,5.25,5.3,42785,0
2014-02-21,16:00:00,5.25,5.25,5.2,5.2,5799,0
2014-02-21,17:00:00,5.15,5.25,5.15,5.2,11900,0
2014-02-21,18:00:00,5.25,5.3,5.2,5.25,20600,0
2014-02-21,19:00:00,5.225,5.25,5.2,5.2,10300,0
2014-02-21,20:00:00,5.15,5.175,5.15,5.175,11500,0
2014-02-21,21:00:00,5.15,5.23,5.15,5.16,20564,0
2014-02-21,22:00:00,5.16,5.16,5.1,5.15,9495,0
2014-02-24,16:00:00,5.1,5.1,5.1,5.1,3886,0
2014-02-24,17:00:00,5.11,5.25,5.1,5.2,24578,0
2014-02-24,18:00:00,5.25,5.4,5.2,5.4,21550,0
2014-02-24,19:00:00,5.39,5.39,5.39,5.39,15000,0
2014-02-24,20:00:00,5.4,5.45,5.39,5.4,22890,0
2014-02-24,21:00:00,5.35,5.45,5.35,5.35,16830,0
2014-02-24,22:00:00,5.35,5.39,5.35,5.35,3415,0
2014-02-25,16:00:00,5.39,5.39,5.2,5.2,144620,0
2014-02-25,17:00:00,5.27,5.4,5.25,5.25,291516,0
2014-02-25,18:00:00,5.25,5.3,5.25,5.3,210000,0
2014-02-25,19:00:00,5.35,5.35,5.35,5.35,1000,0
2014-02-25,20:00:00,5.31,5.31,5.3,5.3,67572,0
2014-02-25,21:00:00,5.3,5.3,5.27,5.27,17150,0
2014-02-25,22:00:00,5.27,5.3,5.27,5.3,3600,0
2014-02-26,17:00:00,5.3,5.45,5.3,5.45,26372,0
2014-02-26,18:00:00,5.45,5.48,5.4,5.4,19700,0
2014-02-26,19:00:00,5.4,5.4,5.35,5.35,3674,0
2014-02-26,20:00:00,5.4,5.4,5.31,5.35,292500,0
2014-02-26,21:00:00,5.35,5.75,5.31,5.65,229230,0
2014-02-26,22:00:00,5.59,5.6,5.45,5.6,339025,0
2014-02-27,16:00:00,5.95,5.95,5.7,5.7,12700,0
2014-02-27,17:00:00,5.76,5.77,5.75,5.75,800,0
2014-02-27,18:00:00,5.7,5.7,5.63,5.7,1249,0
2014-02-27,19:00:00,5.65,5.675,5.61,5.61,9714,0
2014-02-27,20:00:00,5.61,5.65,5.61,5.63,14200,0
2014-02-27,21:00:00,5.63,5.63,5.5,5.55,39211,0
2014-02-27,22:00:00,5.565,5.6,5.55,5.55,68250,0
2014-02-28,16:00:00,5.55,5.55,5.51,5.51,800,0
2014-02-28,17:00:00,5.51,5.55,5.5,5.55,36212,0
2014-02-28,18:00:00,5.55,5.6,5.55,5.6,159010,0
2014-02-28,19:00:00,5.55,5.7,5.55,5.65,390700,0
2014-02-28,20:00:00,5.6,5.85,5.6,5.85,135700,0
2014-02-28,21:00:00,5.8,5.87,5.775,5.87,181000,0
2014-02-28,22:00:00,5.85,5.85,5.77,5.8,13600,0
2014-03-03,16:00:00,5.69,5.73,5.69,5.69,4790,0
2014-03-03,17:00:00,5.73,5.75,5.69,5.7,88785,0
2014-03-03,18:00:00,5.69,5.69,5.65,5.65,51000,0
2014-03-03,20:00:00,5.69,5.69,5.68,5.69,2050,0
2014-03-03,21:00:00,5.69,5.7,5.69,5.7,20832,0
2014-03-03,22:00:00,5.72,5.72,5.7,5.7,12300,0
2014-03-04,16:00:00,5.7,5.75,5.7,5.75,17332,0
2014-03-04,17:00:00,5.7,5.7,5.7,5.7,103010,0
2014-03-04,18:00:00,5.73,5.8,5.73,5.8,10350,0
2014-03-04,19:00:00,5.96,6.15,5.96,6.04,5550,0
2014-03-04,20:00:00,6.04,6.04,6,6,2700,0
2014-03-04,21:00:00,5.95,5.95,5.95,5.95,500,0
2014-03-04,22:00:00,5.95,6,5.95,5.97,15750,0
2014-03-05,16:00:00,6,6,5.97,5.97,7954,0
2014-03-05,17:00:00,6,6,5.99,5.99,1073,0
2014-03-05,18:00:00,5.99,6,5.99,5.99,5992,0
2014-03-05,19:00:00,5.97,5.97,5.8,5.93,334365,0
2014-03-05,20:00:00,5.94,5.94,5.75,5.8,1950,0
2014-03-05,21:00:00,5.8,5.8,5.8,5.8,5187,0
2014-03-05,22:00:00,5.75,5.75,5.75,5.75,3968,0
2014-03-06,16:00:00,5.84,5.84,5.84,5.84,100,0
2014-03-06,17:00:00,5.8,5.8,5.75,5.8,4412,0
2014-03-06,18:00:00,5.8,5.8,5.75,5.75,2725,0
2014-03-06,19:00:00,5.75,5.76,5.65,5.76,222109,0
2014-03-06,20:00:00,5.67,5.7,5.6,5.6,13402,0
2014-03-06,21:00:00,5.5,5.75,5.5,5.75,56802,0
2014-03-06,22:00:00,5.8,6.27,5.52,6.27,446710,0
2014-03-07,16:00:00,6.45,6.8,6.45,6.65,10449,0
2014-03-07,17:00:00,6.725,6.75,6.5,6.51,312850,0
2014-03-07,18:00:00,6.5,6.5,6.3,6.3,1225,0
