Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,41.72,41.84,41.45,41.53,8220,0
2014-02-10,17:00:00,41.57,41.58,41.29,41.39,26928,0
2014-02-10,18:00:00,41.37,41.53,41.15,41.35,26312,0
2014-02-10,19:00:00,41.31,41.37,41.19,41.33,31567,0
2014-02-10,20:00:00,41.33,41.54,41.26,41.51,34261,0
2014-02-10,21:00:00,41.5,41.53,41.42,41.44,17324,0
2014-02-10,22:00:00,41.44,41.45,41.18,41.25,59310,0
2014-02-11,16:00:00,41.3,41.68,41.25,41.47,18798,0
2014-02-11,17:00:00,41.43,41.6,41.24,41.37,31549,0
2014-02-11,18:00:00,41.38,41.95,41.27,41.79,50098,0
2014-02-11,19:00:00,41.82,41.92,41.7,41.73,28077,0
2014-02-11,20:00:00,41.78,41.8,41.54,41.58,44418,0
2014-02-11,21:00:00,41.58,41.71,41.56,41.66,25878,0
2014-02-11,22:00:00,41.65,41.69,41.5,41.6,105965,0
2014-02-12,16:00:00,41.62,42.18,41.62,41.75,16999,0
2014-02-12,17:00:00,41.77,41.78,41.12,41.29,49725,0
2014-02-12,18:00:00,41.26,41.69,41.24,41.69,202746,0
2014-02-12,19:00:00,41.69,41.82,41.59,41.78,36642,0
2014-02-12,20:00:00,41.79,42.09,41.79,41.89,56318,0
2014-02-12,21:00:00,41.88,42.03,41.67,41.69,33646,0
2014-02-12,22:00:00,41.71,41.84,41.54,41.61,109649,0
2014-02-13,16:00:00,42.5,42.52,40.21,40.51,34409,0
2014-02-13,17:00:00,40.5,41.22,40.44,40.98,51075,0
2014-02-13,18:00:00,40.99,41.8,40.91,41.64,58164,0
2014-02-13,19:00:00,41.69,41.99,41.5,41.99,27459,0
2014-02-13,20:00:00,41.98,42.32,41.75,42.31,33710,0
2014-02-13,21:00:00,42.29,42.44,42.16,42.26,57574,0
2014-02-13,22:00:00,42.2,42.23,41.83,41.98,130693,0
2014-02-14,16:00:00,42.15,42.15,41.18,41.68,12123,0
2014-02-14,17:00:00,41.69,42.04,41.57,41.83,35837,0
2014-02-14,18:00:00,41.82,41.94,41.78,41.84,30410,0
2014-02-14,19:00:00,41.85,42.41,41.8,42.32,46364,0
2014-02-14,20:00:00,42.36,42.5,42.07,42.23,48217,0
2014-02-14,21:00:00,42.2,42.29,42,42.06,32515,0
2014-02-14,22:00:00,42.05,42.13,42,42.12,107483,0
2014-02-18,16:00:00,42.24,42.82,42.24,42.72,35364,0
2014-02-18,17:00:00,42.66,42.68,42.37,42.61,70835,0
2014-02-18,18:00:00,42.6,42.72,42.35,42.36,29919,0
2014-02-18,19:00:00,42.32,42.46,42.14,42.4,43209,0
2014-02-18,20:00:00,42.42,42.46,42.2,42.27,13790,0
2014-02-18,21:00:00,42.25,42.34,42.19,42.32,18918,0
2014-02-18,22:00:00,42.34,42.34,42.05,42.09,233428,0
2014-02-19,16:00:00,42,43.13,41.91,43,45538,0
2014-02-19,17:00:00,43.11,43.37,42.81,43.06,49089,0
2014-02-19,18:00:00,43.04,43.25,43.01,43.16,46412,0
2014-02-19,19:00:00,43.15,43.27,42.8,42.81,14585,0
2014-02-19,20:00:00,42.8,42.82,42.69,42.7,25039,0
2014-02-19,21:00:00,42.7,42.83,42.38,42.44,28620,0
2014-02-19,22:00:00,42.44,42.46,42.11,42.14,121246,0
2014-02-20,16:00:00,42.16,42.16,41.79,41.93,10229,0
2014-02-20,17:00:00,41.98,42.44,41.88,42.1,32082,0
2014-02-20,18:00:00,42.08,42.19,41.74,41.77,20584,0
2014-02-20,19:00:00,41.78,41.78,41.5,41.74,23383,0
2014-02-20,20:00:00,41.73,41.75,41.66,41.7,9904,0
2014-02-20,21:00:00,41.67,41.87,41.64,41.87,12289,0
2014-02-20,22:00:00,41.86,41.97,41.86,41.87,59189,0
2014-02-21,16:00:00,42,42.11,41.89,42.01,24372,0
2014-02-21,17:00:00,42.01,42.04,41.87,41.97,15742,0
2014-02-21,18:00:00,41.98,42.23,41.97,42.14,20700,0
2014-02-21,19:00:00,42.14,42.21,42.11,42.2,10831,0
2014-02-21,20:00:00,42.2,42.23,42.07,42.1,10962,0
2014-02-21,21:00:00,42.11,42.18,41.98,42.17,17218,0
2014-02-21,22:00:00,42.16,42.3,42.06,42.09,79130,0
2014-02-24,16:00:00,42.06,42.06,41.66,41.84,14896,0
2014-02-24,17:00:00,41.91,42.34,41.88,42.34,32162,0
2014-02-24,18:00:00,42.31,42.48,42.31,42.38,15266,0
2014-02-24,19:00:00,42.37,42.49,42.34,42.44,14901,0
2014-02-24,20:00:00,42.51,42.75,42.4,42.74,29132,0
2014-02-24,21:00:00,42.75,42.79,42.58,42.58,20867,0
2014-02-24,22:00:00,42.58,42.58,42.36,42.4,113030,0
2014-02-25,16:00:00,42.41,42.55,42.28,42.43,12648,0
2014-02-25,17:00:00,42.5,42.65,42.37,42.37,29855,0
2014-02-25,18:00:00,42.38,42.62,42.27,42.49,24950,0
2014-02-25,19:00:00,42.48,42.53,42.3,42.53,36341,0
2014-02-25,20:00:00,42.49,42.75,42.48,42.56,23558,0
2014-02-25,21:00:00,42.6,42.74,42.47,42.59,39453,0
2014-02-25,22:00:00,42.6,42.74,42.46,42.56,75879,0
2014-02-26,16:00:00,42.97,43.09,42.7,42.7,6566,0
2014-02-26,17:00:00,42.8,43.34,42.8,43.08,29787,0
2014-02-26,18:00:00,43.08,43.32,43.05,43.29,28266,0
2014-02-26,19:00:00,43.29,43.5,43.21,43.49,14358,0
2014-02-26,20:00:00,43.44,43.44,43.29,43.35,24428,0
2014-02-26,21:00:00,43.33,43.36,42.79,42.97,19092,0
2014-02-26,22:00:00,43.02,43.25,42.93,43.18,72370,0
2014-02-27,16:00:00,43.17,43.59,43.17,43.39,20758,0
2014-02-27,17:00:00,43.49,43.87,43.21,43.87,32783,0
2014-02-27,18:00:00,43.89,44.26,43.82,44.14,47263,0
2014-02-27,19:00:00,44.13,44.3,43.99,43.99,35926,0
2014-02-27,20:00:00,43.99,44.13,43.92,43.99,28934,0
2014-02-27,21:00:00,44,44.04,43.84,43.91,28198,0
2014-02-27,22:00:00,43.91,43.99,43.82,43.96,62011,0
2014-02-28,16:00:00,44.08,44.19,43.65,44.02,13524,0
2014-02-28,17:00:00,44.02,44.47,44.02,44.22,26196,0
2014-02-28,18:00:00,44.21,44.21,43.88,43.9,31053,0
