Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.52,8.52,8.31,8.42,18374,0
2014-02-10,17:00:00,8.4,8.5,8.36,8.38,27915,0
2014-02-10,18:00:00,8.38,8.4,8.35,8.38,23437,0
2014-02-10,19:00:00,8.37,8.46,8.37,8.42,26593,0
2014-02-10,20:00:00,8.42,8.46,8.4,8.42,25423,0
2014-02-10,21:00:00,8.43,8.47,8.4,8.4,32136,0
2014-02-10,22:00:00,8.41,8.45,8.39,8.45,118874,0
2014-02-11,16:00:00,8.45,8.62,8.41,8.57,30713,0
2014-02-11,17:00:00,8.58,8.6,8.4,8.43,45607,0
2014-02-11,18:00:00,8.45,8.58,8.4,8.55,51679,0
2014-02-11,19:00:00,8.56,8.62,8.54,8.61,42053,0
2014-02-11,20:00:00,8.61,8.68,8.61,8.65,27087,0
2014-02-11,21:00:00,8.65,8.82,8.65,8.82,133298,0
2014-02-11,22:00:00,8.82,8.84,8.7,8.72,194656,0
2014-02-12,16:00:00,8.97,9.2,8.97,9.16,258294,0
2014-02-12,17:00:00,9.16,9.32,9.07,9.21,189467,0
2014-02-12,18:00:00,9.21,9.24,9.14,9.15,94452,0
2014-02-12,19:00:00,9.16,9.19,9.14,9.16,49556,0
2014-02-12,20:00:00,9.17,9.19,9.14,9.18,46800,0
2014-02-12,21:00:00,9.18,9.19,9.12,9.16,75929,0
2014-02-12,22:00:00,9.16,9.17,9.08,9.1,247923,0
2014-02-13,16:00:00,9.1,9.1,8.91,8.96,43420,0
2014-02-13,17:00:00,8.97,9.5,8.97,9.48,252742,0
2014-02-13,18:00:00,9.5,9.85,9.48,9.65,607885,0
2014-02-13,19:00:00,9.65,9.75,9.57,9.65,114960,0
2014-02-13,20:00:00,9.65,9.73,9.64,9.64,103638,0
2014-02-13,21:00:00,9.66,9.72,9.61,9.7,106706,0
2014-02-13,22:00:00,9.7,9.73,9.6,9.71,442502,0
2014-02-14,16:00:00,9.79,9.8,9.61,9.71,47400,0
2014-02-14,17:00:00,9.72,9.75,9.57,9.62,134393,0
2014-02-14,18:00:00,9.62,9.65,9.58,9.59,69649,0
2014-02-14,19:00:00,9.6,9.66,9.59,9.64,53404,0
2014-02-14,20:00:00,9.65,9.7,9.59,9.68,80722,0
2014-02-14,21:00:00,9.69,9.7,9.64,9.65,112267,0
2014-02-14,22:00:00,9.64,9.68,9.6,9.63,207493,0
2014-02-18,16:00:00,9.65,9.73,9.59,9.66,50173,0
2014-02-18,17:00:00,9.67,9.72,9.66,9.69,123682,0
2014-02-18,18:00:00,9.71,9.82,9.7,9.82,97933,0
