Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,182.103,183.03,181.136,182.96,86308,0
2014-02-10,17:00:00,182.88,183.398,181.704,182.372,186160,0
2014-02-10,18:00:00,182.292,184.286,181.873,184.086,586809,0
2014-02-10,19:00:00,184.086,184.276,183.498,183.658,198376,0
2014-02-10,20:00:00,183.598,183.688,183.209,183.658,88229,0
2014-02-10,21:00:00,183.588,184.246,183.428,184.156,120479,0
2014-02-10,22:00:00,184.166,184.186,183.089,183.329,364306,0
2014-02-11,16:00:00,183.448,184.335,183.398,183.757,86461,0
2014-02-11,17:00:00,183.857,183.997,182.91,183.767,229662,0
2014-02-11,18:00:00,183.937,185.252,183.787,185.023,250009,0
2014-02-11,19:00:00,185.023,185.721,184.963,185.522,145245,0
2014-02-11,20:00:00,185.671,186.01,184.943,184.993,121166,0
2014-02-11,21:00:00,184.993,184.993,184.345,184.804,141042,0
2014-02-11,22:00:00,184.844,185.472,184.445,184.555,341924,0
2014-02-12,16:00:00,185.422,186.389,184.993,186.389,68117,0
2014-02-12,17:00:00,186.379,186.409,185.103,185.222,302297,0
2014-02-12,18:00:00,185.242,185.581,185.073,185.282,160086,0
2014-02-12,19:00:00,185.242,186.05,185.232,185.97,105214,0
2014-02-12,20:00:00,186.02,186.189,185.761,185.85,93632,0
2014-02-12,21:00:00,185.85,185.86,184.644,184.864,72580,0
2014-02-12,22:00:00,184.913,185.472,184.844,185.153,187818,0
2014-02-13,16:00:00,184.236,184.734,183.558,184.595,87018,0
2014-02-13,17:00:00,184.804,186.209,184.634,186.149,99249,0
2014-02-13,18:00:00,186.219,186.439,185.89,186.08,153107,0
2014-02-13,19:00:00,186.06,186.409,185.771,186.369,96650,0
2014-02-13,20:00:00,186.389,187.226,186.299,186.807,79883,0
2014-02-13,21:00:00,186.797,187.007,186.439,186.568,86395,0
2014-02-13,22:00:00,186.588,186.638,186.269,186.618,286899,0
2014-02-14,16:00:00,186.618,187.415,186.498,186.678,72358,0
2014-02-14,17:00:00,186.877,188.043,186.508,187.405,118368,0
2014-02-14,18:00:00,187.405,188.253,187.405,187.844,101352,0
2014-02-14,19:00:00,187.804,188.123,187.605,188.043,71640,0
2014-02-14,20:00:00,188.083,188.512,187.894,188.422,78684,0
2014-02-14,21:00:00,188.372,188.801,188.213,188.771,103149,0
2014-02-14,22:00:00,188.781,188.861,188.133,188.282,290731,0
2014-02-18,16:00:00,187.814,187.884,186.05,186.389,78428,0
2014-02-18,17:00:00,186.399,186.648,185.781,185.91,240255,0
2014-02-18,18:00:00,185.801,186.558,185.611,186,146115,0
2014-02-18,19:00:00,185.99,186.299,185.681,185.781,129564,0
2014-02-18,20:00:00,185.85,185.92,185.621,185.801,117688,0
2014-02-18,21:00:00,185.801,186.06,185.671,185.87,115381,0
2014-02-18,22:00:00,185.89,186.159,185.791,185.98,1780325,0
2014-02-19,16:00:00,185.65,187.73,185.65,187.73,129610,0
