Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,5.3238,5.3238,5.314,5.314,73519,0
2014-02-10,17:00:00,5.314,5.3238,5.314,5.3238,50623,0
2014-02-10,18:00:00,5.3238,5.3238,5.314,5.314,22618,0
2014-02-10,19:00:00,5.314,5.3238,5.314,5.314,9990,0
2014-02-10,20:00:00,5.314,5.3238,5.314,5.3238,11008,0
2014-02-10,21:00:00,5.314,5.3238,5.314,5.314,7965,0
2014-02-10,22:00:00,5.3238,5.3238,5.3041,5.3041,105758,0
2014-02-11,16:00:00,5.3041,5.314,5.3041,5.314,22618,0
2014-02-11,17:00:00,5.3238,5.3238,5.314,5.314,5962,0
2014-02-11,18:00:00,5.314,5.3337,5.314,5.3337,88698,0
2014-02-11,19:00:00,5.3337,5.3337,5.3337,5.3337,15990,0
2014-02-11,20:00:00,5.3337,5.3534,5.3337,5.3435,79656,0
2014-02-11,21:00:00,5.3435,5.3633,5.3435,5.3633,69772,0
2014-02-11,22:00:00,5.3534,5.3633,5.3435,5.3633,86293,0
2014-02-12,16:00:00,5.3534,5.3731,5.3435,5.3731,21471,0
2014-02-12,17:00:00,5.3731,5.3928,5.3633,5.383,110369,0
2014-02-12,18:00:00,5.383,5.3928,5.3731,5.383,57298,0
2014-02-12,19:00:00,5.3731,5.383,5.3731,5.3731,53565,0
2014-02-12,20:00:00,5.3731,5.383,5.3731,5.383,37759,0
2014-02-12,21:00:00,5.383,5.383,5.3731,5.383,72684,0
2014-02-12,22:00:00,5.383,5.383,5.3633,5.3731,99160,0
2014-02-13,16:00:00,5.3633,5.383,5.3633,5.3633,41915,0
2014-02-13,17:00:00,5.3633,5.3731,5.3534,5.3633,84734,0
2014-02-13,18:00:00,5.3633,5.3731,5.3534,5.3534,47733,0
2014-02-13,19:00:00,5.3534,5.3731,5.3534,5.3633,51597,0
2014-02-13,20:00:00,5.3633,5.3731,5.3633,5.3731,48723,0
2014-02-13,21:00:00,5.3731,5.3731,5.3633,5.3731,70443,0
2014-02-13,22:00:00,5.3731,5.3928,5.3633,5.3928,123026,0
2014-02-14,16:00:00,5.383,5.383,5.3731,5.3731,14903,0
2014-02-14,17:00:00,5.3731,5.383,5.3731,5.3731,28839,0
2014-02-14,18:00:00,5.3731,5.383,5.3731,5.3731,63406,0
2014-02-14,19:00:00,5.3731,5.383,5.3731,5.3731,48892,0
2014-02-14,20:00:00,5.3731,5.383,5.3731,5.3731,10665,0
2014-02-14,21:00:00,5.3731,5.3928,5.3731,5.383,60404,0
2014-02-14,22:00:00,5.383,5.3928,5.3731,5.3731,62022,0
2014-02-18,16:00:00,5.3731,5.383,5.3731,5.3731,10455,0
2014-02-18,17:00:00,5.3731,5.3928,5.3731,5.3928,55901,0
2014-02-18,18:00:00,5.3928,5.3928,5.383,5.3928,50261,0
2014-02-18,19:00:00,5.383,5.3928,5.383,5.383,58491,0
2014-02-18,20:00:00,5.3928,5.4027,5.383,5.3928,111268,0
2014-02-18,21:00:00,5.3928,5.4027,5.3928,5.3928,24110,0
2014-02-18,22:00:00,5.4027,5.4027,5.383,5.383,141944,0
2014-02-19,16:00:00,5.3731,5.3731,5.3731,5.3731,26510,0
2014-02-19,17:00:00,5.3731,5.3928,5.3731,5.3928,55769,0
2014-02-19,18:00:00,5.3928,5.4027,5.383,5.383,80712,0
2014-02-19,19:00:00,5.383,5.4027,5.383,5.3928,15580,0
2014-02-19,20:00:00,5.3928,5.4027,5.3928,5.3928,33494,0
2014-02-19,21:00:00,5.3928,5.4027,5.3928,5.3928,20246,0
2014-02-19,22:00:00,5.3928,5.4126,5.3928,5.4027,67722,0
2014-02-20,16:00:00,5.3987,5.3987,5.3888,5.3888,10314,0
2014-02-20,17:00:00,5.3888,5.4185,5.3888,5.4086,41521,0
2014-02-20,18:00:00,5.4086,5.4185,5.4086,5.4185,19788,0
2014-02-20,19:00:00,5.4185,5.4284,5.4086,5.4284,30821,0
2014-02-20,20:00:00,5.4185,5.4284,5.4185,5.4284,15211,0
2014-02-20,21:00:00,5.4284,5.4483,5.4185,5.4384,62388,0
2014-02-20,22:00:00,5.4384,5.4483,5.4284,5.4284,42323,0
2014-02-21,16:00:00,5.4284,5.4384,5.4284,5.4384,7041,0
2014-02-21,17:00:00,5.4384,5.4483,5.4284,5.4384,45276,0
2014-02-21,18:00:00,5.4384,5.4384,5.4284,5.4384,29978,0
2014-02-21,19:00:00,5.4384,5.4384,5.4284,5.4384,55690,0
2014-02-21,20:00:00,5.4384,5.4384,5.4284,5.4384,18475,0
2014-02-21,21:00:00,5.4384,5.4384,5.4284,5.4384,36796,0
2014-02-21,22:00:00,5.4384,5.4483,5.4284,5.4483,138025,0
2014-02-24,16:00:00,5.4384,5.4483,5.4284,5.4483,25914,0
2014-02-24,17:00:00,5.4483,5.4681,5.4384,5.4681,99270,0
2014-02-24,18:00:00,5.4582,5.4582,5.4284,5.4384,153144,0
2014-02-24,19:00:00,5.4384,5.4384,5.4284,5.4384,35809,0
2014-02-24,20:00:00,5.4384,5.4483,5.4284,5.4384,32904,0
2014-02-24,21:00:00,5.4384,5.4483,5.4384,5.4384,22698,0
2014-02-24,22:00:00,5.4384,5.4384,5.4284,5.4284,90517,0
2014-02-25,16:00:00,5.4284,5.4384,5.4284,5.4284,12326,0
2014-02-25,17:00:00,5.4384,5.4483,5.4284,5.4384,60796,0
2014-02-25,18:00:00,5.4384,5.4483,5.4384,5.4384,20073,0
2014-02-25,19:00:00,5.4384,5.4384,5.4384,5.4384,14070,0
2014-02-25,20:00:00,5.4384,5.4483,5.4384,5.4384,36183,0
2014-02-25,21:00:00,5.4384,5.4483,5.4384,5.4483,40894,0
2014-02-25,22:00:00,5.4483,5.4483,5.4284,5.4483,58226,0
2014-02-26,16:00:00,5.4483,5.4483,5.4284,5.4384,1312,0
2014-02-26,17:00:00,5.4284,5.4384,5.4284,5.4384,17264,0
2014-02-26,18:00:00,5.4284,5.4384,5.4284,5.4384,32868,0
2014-02-26,19:00:00,5.4284,5.4384,5.4284,5.4384,29995,0
2014-02-26,20:00:00,5.4384,5.4384,5.4284,5.4284,45597,0
2014-02-26,21:00:00,5.4284,5.4384,5.4284,5.4284,53252,0
2014-02-26,22:00:00,5.4384,5.4384,5.4284,5.4384,107450,0
2014-02-27,16:00:00,5.4284,5.4284,5.4185,5.4284,17521,0
2014-02-27,17:00:00,5.4284,5.4384,5.4284,5.4284,72534,0
2014-02-27,18:00:00,5.4284,5.4384,5.4284,5.4384,46898,0
2014-02-27,19:00:00,5.4284,5.4384,5.4284,5.4384,41040,0
2014-02-27,20:00:00,5.4384,5.4384,5.4284,5.4384,41918,0
2014-02-27,21:00:00,5.4384,5.4384,5.4284,5.4384,83390,0
2014-02-27,22:00:00,5.4384,5.4384,5.4284,5.4284,116059,0
2014-02-28,16:00:00,5.4384,5.4483,5.4284,5.4384,23149,0
2014-02-28,17:00:00,5.4384,5.4483,5.4384,5.4483,64429,0
2014-02-28,18:00:00,5.4483,5.4582,5.4483,5.4483,34934,0
2014-02-28,19:00:00,5.4483,5.4582,5.4483,5.4483,35598,0
