Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,21.917,21.917,21.917,21.917,3528,0
2014-02-10,17:00:00,21.917,21.917,21.877,21.907,5623,0
2014-02-10,18:00:00,21.887,22.005,21.887,21.995,4812,0
2014-02-10,19:00:00,21.956,22.025,21.936,21.966,10969,0
2014-02-10,20:00:00,21.966,22.005,21.966,22.005,2438,0
2014-02-10,21:00:00,22.015,22.015,21.966,22.005,5891,0
2014-02-10,22:00:00,22.005,22.005,21.995,21.995,778,0
2014-02-11,16:00:00,22.045,22.074,22.045,22.045,1422,0
2014-02-11,17:00:00,22.064,22.123,22.015,22.074,16807,0
2014-02-11,18:00:00,22.104,22.114,21.956,22.094,11246,0
2014-02-11,19:00:00,22.104,22.104,22.104,22.104,711,0
2014-02-11,20:00:00,22.064,22.084,22.005,22.045,7673,0
2014-02-11,21:00:00,22.035,22.074,22.035,22.074,1930,0
2014-02-11,22:00:00,22.045,22.074,21.936,21.946,13648,0
2014-02-12,16:00:00,22.005,22.005,21.917,21.956,2438,0
2014-02-12,17:00:00,22.005,22.015,21.966,22.015,3963,0
2014-02-12,18:00:00,22.005,22.005,21.976,21.986,3199,0
2014-02-12,19:00:00,22.005,22.035,22.005,22.035,3039,0
2014-02-12,20:00:00,22.035,22.035,22.025,22.025,3656,0
2014-02-12,21:00:00,21.976,22.035,21.976,22.035,3677,0
2014-02-12,22:00:00,22.025,22.035,21.946,21.966,4996,0
2014-02-13,16:00:00,21.976,22.005,21.976,22.005,3058,0
2014-02-13,17:00:00,22.005,22.123,21.976,22.123,9001,0
2014-02-13,18:00:00,22.015,22.123,22.015,22.055,10754,0
2014-02-13,19:00:00,22.114,22.114,22.104,22.114,12728,0
2014-02-13,20:00:00,22.153,22.153,22.064,22.064,3831,0
2014-02-13,21:00:00,22.094,22.094,22.005,22.035,4489,0
2014-02-13,22:00:00,22.025,22.074,22.015,22.074,4955,0
2014-02-14,16:00:00,22.055,22.094,22.015,22.094,4355,0
2014-02-14,17:00:00,22.094,22.192,22.094,22.173,6107,0
2014-02-14,18:00:00,22.114,22.123,22.104,22.104,5670,0
2014-02-14,19:00:00,22.114,22.114,22.055,22.055,5625,0
2014-02-14,20:00:00,22.064,22.064,22.064,22.064,3218,0
2014-02-14,21:00:00,22.114,22.114,22.064,22.104,4205,0
2014-02-14,22:00:00,22.114,22.114,22.055,22.064,3250,0
2014-02-18,16:00:00,22.114,22.379,22.114,22.212,6624,0
2014-02-18,17:00:00,22.232,22.281,22.232,22.281,2815,0
2014-02-18,18:00:00,22.261,22.271,22.143,22.173,7236,0
2014-02-18,19:00:00,22.251,22.251,22.232,22.232,2996,0
2014-02-18,20:00:00,22.251,22.301,22.192,22.271,6998,0
2014-02-18,21:00:00,22.251,22.36,22.251,22.34,2133,0
2014-02-18,22:00:00,22.35,22.35,22.34,22.34,4621,0
2014-02-19,16:00:00,22.33,22.419,22.301,22.35,2994,0
2014-02-19,17:00:00,22.389,22.517,22.389,22.517,4570,0
