Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,43.8583,44.0569,43.6001,43.7987,41907,0
2014-02-10,17:00:00,43.7987,43.908,43.6895,43.7391,42312,0
2014-02-10,18:00:00,43.7391,43.8384,43.6895,43.749,43578,0
2014-02-10,19:00:00,43.759,43.898,43.6795,43.8881,40482,0
2014-02-10,20:00:00,43.8782,43.9179,43.8086,43.8484,64317,0
2014-02-10,21:00:00,43.8484,43.898,43.7689,43.8782,71860,0
2014-02-10,22:00:00,43.8782,44.2655,43.8285,44.2556,125838,0
2014-02-11,16:00:00,43.9576,44.6727,43.9576,44.5634,68146,0
2014-02-11,17:00:00,44.5734,44.9408,44.5038,44.9408,139558,0
2014-02-11,18:00:00,44.9408,45.1196,44.9309,44.9905,53395,0
2014-02-11,19:00:00,44.9806,45.0203,44.9706,44.9905,32152,0
2014-02-11,20:00:00,44.9905,45.0501,44.9806,45.0004,20524,0
2014-02-11,21:00:00,45.0104,45.0203,44.911,44.911,48777,0
2014-02-11,22:00:00,44.911,45.0302,44.8812,44.9905,96461,0
2014-02-12,16:00:00,44.9806,45.4474,44.9806,45.4275,23385,0
2014-02-12,17:00:00,45.4871,45.5765,45.2686,45.2686,41649,0
2014-02-12,18:00:00,45.2785,45.3381,45.2289,45.3182,41055,0
2014-02-12,19:00:00,45.3083,45.348,45.2587,45.3282,84242,0
2014-02-12,20:00:00,45.3182,45.348,45.2884,45.2984,58412,0
2014-02-12,21:00:00,45.2884,45.6361,45.2884,45.5963,60491,0
2014-02-12,22:00:00,45.5864,45.8248,45.5864,45.8248,74959,0
2014-02-13,16:00:00,45.6162,45.9042,45.6162,45.8148,12740,0
2014-02-13,17:00:00,45.8446,46.1029,45.8248,45.9936,20884,0
2014-02-13,18:00:00,45.9936,46.1724,45.9241,46.1426,58724,0
2014-02-13,19:00:00,46.1624,46.1724,46.1128,46.1724,18373,0
2014-02-13,20:00:00,46.1922,46.3313,46.1922,46.2717,16274,0
2014-02-13,21:00:00,46.2915,46.371,46.1724,46.3611,30633,0
2014-02-13,22:00:00,46.3412,46.3511,46.1823,46.3412,84223,0
2014-02-14,16:00:00,46.4505,46.4505,46.2419,46.371,13722,0
2014-02-14,17:00:00,46.3809,46.7484,46.3214,46.6888,51243,0
2014-02-14,18:00:00,46.6789,46.8279,46.659,46.7981,41426,0
2014-02-14,19:00:00,46.7981,47.0066,46.7981,46.9371,58247,0
2014-02-14,20:00:00,46.947,47.0364,46.947,46.9967,33569,0
2014-02-14,21:00:00,46.9868,47.0563,46.9768,47.0265,32780,0
2014-02-14,22:00:00,47.0364,47.1655,46.9967,47.096,102457,0
2014-02-18,16:00:00,47.2549,47.5628,47.1457,47.3344,25348,0
2014-02-18,17:00:00,47.3741,47.5429,47.1953,47.4834,52463,0
2014-02-18,18:00:00,47.4834,47.9203,47.4337,47.6323,91136,0
2014-02-18,19:00:00,47.6323,47.7217,47.5429,47.6224,50720,0
2014-02-18,20:00:00,47.6224,47.7614,47.4834,47.4834,29578,0
2014-02-18,21:00:00,47.4734,47.7714,47.4635,47.7019,59149,0
2014-02-18,22:00:00,47.7118,47.7714,47.5827,47.7019,118647,0
2014-02-19,16:00:00,47.6721,47.682,47.3443,47.5727,12527,0
2014-02-19,17:00:00,47.5926,47.7714,47.5827,47.6522,22061,0
2014-02-19,18:00:00,47.6323,47.6323,47.4039,47.4039,114594,0
2014-02-19,19:00:00,47.3542,47.4436,47.2748,47.3344,24266,0
2014-02-19,20:00:00,47.3245,47.5131,47.2947,47.4337,24621,0
2014-02-19,21:00:00,47.4337,47.5727,47.3542,47.3741,28867,0
2014-02-19,22:00:00,47.3542,47.3642,46.9669,47.0563,73908,0
2014-02-20,16:00:00,47.1258,47.2251,46.9967,47.0563,32591,0
2014-02-20,17:00:00,47.0265,47.3145,46.8577,47.2748,29144,0
2014-02-20,18:00:00,47.2847,47.3642,47.1457,47.2152,27958,0
2014-02-20,19:00:00,47.2152,47.4039,47.2152,47.3741,16088,0
2014-02-20,20:00:00,47.3443,47.3741,47.2351,47.2748,30169,0
2014-02-20,21:00:00,47.2251,47.2947,47.1854,47.245,32860,0
2014-02-20,22:00:00,47.245,47.3344,47.2251,47.2947,113613,0
2014-02-21,16:00:00,46.0929,46.6094,45.785,45.8347,43806,0
2014-02-21,17:00:00,45.8446,46.808,45.8148,46.2915,131369,0
2014-02-21,18:00:00,46.2915,46.4306,46.083,46.1823,62823,0
2014-02-21,19:00:00,46.1724,46.2816,46.1724,46.1823,42412,0
2014-02-21,20:00:00,46.1724,46.2121,46.0035,46.0731,112614,0
2014-02-21,21:00:00,46.0731,46.1227,46.0135,46.0135,72775,0
2014-02-21,22:00:00,46.0035,46.1426,45.934,46.0234,216081,0
2014-02-24,16:00:00,46.0631,46.1029,45.7751,46.0234,67157,0
2014-02-24,17:00:00,46.0135,46.0433,45.7155,45.785,57510,0
2014-02-24,18:00:00,45.8049,46.1922,45.8049,46.1724,40834,0
2014-02-24,19:00:00,46.1724,46.1724,45.9837,46.1029,20744,0
2014-02-24,20:00:00,46.1227,46.1227,45.9539,45.9539,30960,0
2014-02-24,21:00:00,46.0135,46.0929,45.9439,46.0333,49056,0
2014-02-24,22:00:00,45.9837,46.0234,45.795,45.795,141188,0
2014-02-25,16:00:00,45.6857,45.7056,45.507,45.646,21254,0
2014-02-25,17:00:00,45.6261,45.7552,45.5665,45.7056,21241,0
2014-02-25,18:00:00,45.7155,45.795,45.6361,45.7652,36198,0
2014-02-25,19:00:00,45.785,45.8148,45.7155,45.7552,18259,0
2014-02-25,20:00:00,45.7552,45.8049,45.7155,45.7751,15425,0
2014-02-25,21:00:00,45.7652,45.7652,45.6559,45.6758,24464,0
2014-02-25,22:00:00,45.7354,45.7354,45.4076,45.4374,67338,0
2014-02-26,16:00:00,45.4772,45.6162,45.3083,45.4672,17101,0
2014-02-26,17:00:00,45.5268,45.6956,45.4573,45.5268,27808,0
2014-02-26,18:00:00,45.5169,45.5169,45.3083,45.3083,36202,0
2014-02-26,19:00:00,45.3282,45.6162,45.3282,45.5268,32059,0
2014-02-26,20:00:00,45.5367,45.5566,45.4672,45.497,22269,0
2014-02-26,21:00:00,45.497,45.5467,45.358,45.3878,28527,0
2014-02-26,22:00:00,45.4076,45.4275,45.2289,45.358,73166,0
2014-02-27,16:00:00,45.2487,45.4672,45.2289,45.2587,15632,0
2014-02-27,17:00:00,45.2686,45.2686,45.0501,45.07,24766,0
2014-02-27,18:00:00,45.06,45.0799,44.9905,45.0402,37544,0
2014-02-27,19:00:00,45.0402,45.0799,45.0203,45.0799,15707,0
2014-02-27,20:00:00,45.0799,45.1296,45.0501,45.0501,22489,0
2014-02-27,21:00:00,45.06,45.07,45.0203,45.07,32525,0
2014-02-27,22:00:00,45.06,45.1693,45.0402,45.1494,138327,0
2014-02-28,16:00:00,45.0898,45.4871,45.0898,45.2289,11876,0
2014-02-28,17:00:00,45.2587,45.4176,45.2587,45.2785,49081,0
2014-02-28,18:00:00,45.2884,45.3083,45.1494,45.1693,31966,0
2014-02-28,19:00:00,45.1891,45.2487,45.1494,45.209,33468,0
2014-02-28,20:00:00,45.1991,45.3977,45.1792,45.2884,31738,0
2014-02-28,21:00:00,45.3083,45.3381,45.0898,45.0898,49260,0
2014-02-28,22:00:00,45.0898,45.1593,44.9607,45.1494,140587,0
2014-03-03,16:00:00,44.8217,45.0898,44.7819,45.0402,31338,0
2014-03-03,17:00:00,45.0203,45.1296,44.9508,45.0998,30000,0
2014-03-03,18:00:00,45.0998,45.0998,44.8515,44.8713,74321,0
