Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.5797,24.5797,24.5403,24.5403,5691,0
2014-02-10,17:00:00,24.5502,24.5502,24.501,24.5108,24279,0
2014-02-10,18:00:00,24.5403,24.5502,24.5206,24.5502,4268,0
2014-02-10,19:00:00,24.5502,24.5502,24.5502,24.5502,4362,0
2014-02-10,20:00:00,24.5502,24.5502,24.5305,24.5502,9969,0
2014-02-10,21:00:00,24.5502,24.5895,24.5206,24.5403,14023,0
2014-02-10,22:00:00,24.5403,24.5502,24.5108,24.5502,9628,0
2014-02-11,16:00:00,24.5502,24.5895,24.5502,24.5502,4401,0
2014-02-11,17:00:00,24.5403,24.5698,24.5403,24.5698,16311,0
2014-02-11,18:00:00,24.56,24.5994,24.5403,24.5994,10495,0
2014-02-11,19:00:00,24.5994,24.5994,24.56,24.5895,6301,0
2014-02-11,20:00:00,24.5797,24.5994,24.5797,24.5797,10569,0
2014-02-11,21:00:00,24.5698,24.5994,24.5698,24.5895,9366,0
2014-02-11,22:00:00,24.5895,24.747,24.5797,24.747,12168,0
2014-02-12,16:00:00,24.7568,24.7568,24.7568,24.7568,610,0
2014-02-12,17:00:00,24.747,24.747,24.7371,24.747,2265,0
2014-02-12,18:00:00,24.7371,24.8749,24.7371,24.8454,4428,0
2014-02-12,19:00:00,24.7568,24.806,24.7273,24.806,1626,0
2014-02-12,20:00:00,24.8454,24.8454,24.806,24.8257,1829,0
2014-02-12,21:00:00,24.8454,24.9044,24.8454,24.9044,2158,0
2014-02-12,22:00:00,24.9142,24.9241,24.865,24.9241,2744,0
2014-02-13,16:00:00,24.9044,24.9044,24.865,24.865,526,0
2014-02-13,17:00:00,24.8946,24.9142,24.865,24.8749,2442,0
2014-02-13,19:00:00,24.865,24.865,24.865,24.865,610,0
2014-02-13,20:00:00,24.8749,24.9339,24.8749,24.9241,2419,0
2014-02-13,21:00:00,24.8946,24.9339,24.8946,24.9142,5905,0
2014-02-13,22:00:00,24.8946,24.9339,24.865,24.9339,5207,0
2014-02-14,16:00:00,24.9044,24.9536,24.8847,24.9536,2033,0
2014-02-14,17:00:00,24.9634,25.0323,24.9634,25.0225,2324,0
2014-02-14,18:00:00,25.0323,25.0618,25.0323,25.052,8435,0
2014-02-14,19:00:00,24.9634,24.9634,24.9634,24.9634,1821,0
2014-02-14,20:00:00,24.9438,24.9536,24.9438,24.9536,689,0
2014-02-14,21:00:00,24.9339,24.9339,24.9044,24.9044,3082,0
2014-02-14,22:00:00,24.9831,24.993,24.9831,24.9831,1423,0
2014-02-18,16:00:00,24.8946,25.0815,24.8946,25.0815,407,0
2014-02-18,17:00:00,25.0717,25.0815,25.0618,25.0618,7521,0
2014-02-18,18:00:00,25.0618,25.0815,25.0618,25.0815,1016,0
2014-02-18,19:00:00,25.052,25.052,25.052,25.052,6098,0
2014-02-18,20:00:00,25.0618,25.0618,25.0618,25.0618,3252,0
2014-02-18,21:00:00,25.0815,25.0815,25.0815,25.0815,10281,0
2014-02-19,16:00:00,25.0126,25.0815,25.0126,25.0717,2147,0
2014-02-19,17:00:00,25.0815,25.1012,25.0717,25.0914,6051,0
2014-02-19,18:00:00,25.0717,25.0717,25.0717,25.0717,2337,0
2014-02-19,19:00:00,25.0914,25.1799,25.0914,25.1701,3917,0
2014-02-19,20:00:00,25.1799,25.2193,25.1701,25.2193,3165,0
2014-02-19,21:00:00,25.2291,25.2389,25.1209,25.1307,2348,0
2014-02-19,22:00:00,25.1701,25.2783,25.1701,25.2685,10874,0
2014-02-20,16:00:00,25.1602,25.1602,25.1602,25.1602,553,0
2014-02-20,17:00:00,25.1996,25.2193,25.1602,25.2193,4108,0
2014-02-20,18:00:00,25.1996,25.2685,25.1701,25.2193,3926,0
2014-02-20,19:00:00,25.2291,25.2488,25.1996,25.2193,1524,0
2014-02-20,20:00:00,25.2389,25.2389,25.1897,25.1897,5234,0
2014-02-20,21:00:00,25.1897,25.2094,25.1897,25.2094,3575,0
2014-02-20,22:00:00,25.2488,25.2586,25.2193,25.2586,2521,0
2014-02-21,16:00:00,25.1799,25.2586,25.1799,25.2389,407,0
2014-02-21,17:00:00,25.3078,25.3078,25.2783,25.2783,1016,0
2014-02-21,18:00:00,25.2389,25.3177,25.1799,25.1799,12218,0
2014-02-21,19:00:00,25.2685,25.2685,25.1897,25.1897,610,0
2014-02-21,20:00:00,25.2193,25.2685,25.2193,25.2685,4222,0
2014-02-21,22:00:00,25.2389,25.298,25.1602,25.1602,11168,0
2014-02-24,16:00:00,25.1209,25.1897,25.0914,25.0914,2764,0
2014-02-24,17:00:00,25.2389,25.2389,25.1307,25.1307,3616,0
2014-02-24,18:00:00,25.2094,25.2094,25.0815,25.0914,7927,0
2014-02-24,19:00:00,25.0914,25.111,24.9438,24.9536,7419,0
2014-02-24,20:00:00,24.9536,25.0126,24.9536,25.0028,10297,0
2014-02-24,21:00:00,24.9634,24.9634,24.9536,24.9536,2277,0
