Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-02,16:00:00,24.92,24.94,24.89,24.92,53106,0
2014-05-02,17:00:00,24.92,24.96,24.9,24.93,206061,0
2014-05-02,18:00:00,24.93,24.94,24.91,24.94,63448,0
2014-05-02,19:00:00,24.94,24.96,24.92,24.95,217657,0
2014-05-02,20:00:00,24.96,24.98,24.96,24.96,44111,0
2014-05-02,21:00:00,24.97,24.98,24.96,24.97,82050,0
2014-05-02,22:00:00,24.97,24.97,24.94,24.95,87167,0
2014-05-05,16:00:00,24.95,24.95,24.9,24.93,21898,0
2014-05-05,17:00:00,24.91,24.95,24.91,24.91,477344,0
2014-05-05,18:00:00,24.92,24.94,24.91,24.93,79464,0
2014-05-05,19:00:00,24.93,24.95,24.91,24.94,88218,0
2014-05-05,20:00:00,24.95,24.95,24.94,24.95,13700,0
2014-05-05,21:00:00,24.95,24.97,24.94,24.95,64583,0
2014-05-05,22:00:00,24.95,24.99,24.95,24.97,113381,0
2014-05-06,16:00:00,24.97,24.97,24.95,24.97,42608,0
2014-05-06,17:00:00,24.97,24.98,24.96,24.97,108949,0
2014-05-06,18:00:00,24.96,24.98,24.96,24.97,54239,0
2014-05-06,19:00:00,24.97,24.98,24.96,24.97,82605,0
2014-05-06,20:00:00,24.97,24.97,24.96,24.96,79204,0
2014-05-06,21:00:00,24.96,24.97,24.96,24.96,44056,0
2014-05-06,22:00:00,24.97,24.97,24.96,24.97,27887,0
2014-05-07,16:00:00,24.97,24.97,24.92,24.93,37725,0
2014-05-07,17:00:00,24.93,24.95,24.93,24.93,102998,0
2014-05-07,18:00:00,24.94,24.96,24.92,24.94,138530,0
2014-05-07,19:00:00,24.94,24.98,24.93,24.98,137262,0
2014-05-07,20:00:00,24.98,25,24.96,24.96,68476,0
2014-05-07,21:00:00,24.96,24.99,24.96,24.98,48910,0
2014-05-07,22:00:00,24.97,24.99,24.95,24.96,796749,0
