Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.51,13.569,13.501,13.52,12532,0
2014-02-10,17:00:00,13.52,13.579,13.52,13.579,28936,0
2014-02-10,18:00:00,13.549,13.608,13.549,13.599,16791,0
2014-02-10,19:00:00,13.599,13.617,13.589,13.608,31706,0
2014-02-10,20:00:00,13.608,13.617,13.599,13.608,6426,0
2014-02-10,21:00:00,13.617,13.656,13.608,13.637,24606,0
2014-02-10,22:00:00,13.647,13.724,13.637,13.696,49912,0
2014-02-11,16:00:00,13.734,13.812,13.715,13.812,71396,0
2014-02-11,17:00:00,13.783,13.832,13.773,13.803,52345,0
2014-02-11,18:00:00,13.812,13.822,13.783,13.822,36864,0
2014-02-11,19:00:00,13.822,13.861,13.822,13.861,33661,0
2014-02-11,20:00:00,13.861,13.861,13.783,13.803,47940,0
2014-02-11,21:00:00,13.812,13.822,13.773,13.812,25517,0
2014-02-11,22:00:00,13.822,13.841,13.783,13.832,56720,0
2014-02-12,16:00:00,13.851,13.851,13.793,13.822,17310,0
2014-02-12,17:00:00,13.803,13.803,13.647,13.734,25692,0
2014-02-12,18:00:00,13.734,13.773,13.579,13.608,27538,0
2014-02-12,19:00:00,13.589,13.617,13.501,13.559,25218,0
2014-02-12,20:00:00,13.549,13.579,13.51,13.52,27999,0
2014-02-12,21:00:00,13.53,13.608,13.52,13.54,26860,0
2014-02-12,22:00:00,13.54,13.617,13.51,13.51,43210,0
2014-02-13,16:00:00,13.52,13.599,13.52,13.599,2585,0
2014-02-13,17:00:00,13.599,13.627,13.51,13.608,17020,0
2014-02-13,18:00:00,13.617,13.666,13.549,13.666,35192,0
2014-02-13,19:00:00,13.666,13.676,13.627,13.647,25486,0
2014-02-13,20:00:00,13.647,13.647,13.452,13.452,55208,0
2014-02-13,21:00:00,13.462,13.559,13.433,13.54,46259,0
2014-02-13,22:00:00,13.559,13.706,13.53,13.599,32516,0
2014-02-14,16:00:00,13.627,13.647,13.589,13.608,14777,0
2014-02-14,17:00:00,13.637,13.706,13.617,13.656,10411,0
2014-02-14,18:00:00,13.656,13.656,13.599,13.608,19174,0
2014-02-14,19:00:00,13.617,13.666,13.569,13.666,15680,0
2014-02-14,20:00:00,13.656,13.686,13.627,13.627,16459,0
2014-02-14,21:00:00,13.637,13.637,13.579,13.589,18414,0
2014-02-14,22:00:00,13.589,13.666,13.589,13.627,20383,0
