Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.33,11.34,11.2,11.27,7550,0
2014-02-10,17:00:00,11.26,11.32,11.2,11.24,9900,0
2014-02-10,18:00:00,11.26,11.29,11.21,11.25,6695,0
2014-02-10,19:00:00,11.24,11.39,11.21,11.31,20225,0
2014-02-10,20:00:00,11.31,11.37,11.31,11.36,3250,0
2014-02-10,21:00:00,11.34,11.39,11.31,11.33,8566,0
2014-02-10,22:00:00,11.35,11.38,11.31,11.37,15714,0
2014-02-11,16:00:00,11.33,11.39,11.32,11.35,5400,0
2014-02-11,17:00:00,11.38,11.39,11.33,11.35,5980,0
2014-02-11,18:00:00,11.37,11.43,11.36,11.4,6488,0
2014-02-11,19:00:00,11.4,11.5,11.4,11.5,8120,0
2014-02-11,20:00:00,11.51,11.62,11.5,11.56,7937,0
2014-02-11,21:00:00,11.54,11.57,11.5,11.5,14952,0
2014-02-11,22:00:00,11.5,11.54,11.46,11.5,29288,0
2014-02-12,16:00:00,11.51,11.55,11.47,11.48,3901,0
2014-02-12,17:00:00,11.46,11.46,11.27,11.29,13559,0
2014-02-12,18:00:00,11.27,11.3,11.2,11.23,10529,0
2014-02-12,19:00:00,11.24,11.3,11.23,11.26,9350,0
2014-02-12,20:00:00,11.25,11.26,11.22,11.23,5500,0
2014-02-12,21:00:00,11.21,11.26,11.21,11.25,21691,0
2014-02-12,22:00:00,11.26,11.36,11.26,11.35,56981,0
2014-02-13,16:00:00,11.31,11.49,11.31,11.49,4481,0
2014-02-13,17:00:00,11.46,11.64,11.46,11.57,20900,0
2014-02-13,18:00:00,11.59,11.61,11.53,11.58,14812,0
2014-02-13,19:00:00,11.61,11.74,11.61,11.74,8750,0
2014-02-13,20:00:00,11.74,11.87,11.74,11.85,9700,0
2014-02-13,21:00:00,11.84,11.95,11.84,11.93,32224,0
2014-02-13,22:00:00,11.93,11.96,11.85,11.96,43034,0
2014-02-14,16:00:00,11.92,11.93,11.8,11.92,9799,0
2014-02-14,17:00:00,11.9,11.91,11.64,11.8,34960,0
2014-02-14,18:00:00,11.77,11.91,11.77,11.9,21126,0
2014-02-14,19:00:00,11.9,11.93,11.89,11.9,14921,0
2014-02-14,20:00:00,11.91,11.92,11.9,11.9,5700,0
2014-02-14,21:00:00,11.91,11.92,11.9,11.91,5700,0
2014-02-14,22:00:00,11.9,11.91,11.9,11.91,23545,0
2014-02-18,16:00:00,11.99,12.05,11.99,12.05,7900,0
2014-02-18,17:00:00,12.01,12.08,12,12.07,9271,0
2014-02-18,18:00:00,12.05,12.08,12,12.03,11669,0
2014-02-18,19:00:00,12.03,12.03,12,12.03,7730,0
2014-02-18,20:00:00,12.03,12.05,12.03,12.04,12400,0
2014-02-18,21:00:00,12.05,12.08,11.99,12.06,44748,0
2014-02-18,22:00:00,12.04,12.1,11.97,12.09,70929,0
2014-02-19,16:00:00,11.96,12.17,11.96,12.01,4200,0
2014-02-19,17:00:00,12.03,12.11,12,12.11,3800,0
2014-02-19,18:00:00,12.11,12.11,11.97,11.97,11207,0
2014-02-19,19:00:00,11.95,12.02,11.92,12.01,15719,0
2014-02-19,20:00:00,11.99,12.07,11.99,12.02,3100,0
2014-02-19,21:00:00,12.01,12.01,11.99,11.99,3954,0
2014-02-19,22:00:00,11.99,12.05,11.98,12.01,39106,0
2014-02-20,16:00:00,11.92,12,11.92,12,1680,0
2014-02-20,17:00:00,11.96,11.98,11.93,11.95,29959,0
2014-02-20,18:00:00,11.97,11.99,11.92,11.92,14379,0
2014-02-20,19:00:00,11.92,12.03,11.92,12.03,29948,0
2014-02-20,20:00:00,12.03,12.33,12.03,12.17,48868,0
2014-02-20,21:00:00,12.16,12.22,12.12,12.12,10300,0
2014-02-20,22:00:00,12.1,12.16,12.05,12.11,85823,0
2014-02-21,16:00:00,12.11,12.12,12.08,12.12,15564,0
2014-02-21,17:00:00,12.14,12.14,12.06,12.13,10235,0
2014-02-21,18:00:00,12.15,12.21,12.13,12.2,6635,0
2014-02-21,19:00:00,12.19,12.21,12.16,12.18,3200,0
2014-02-21,20:00:00,12.22,12.29,12.22,12.25,3500,0
2014-02-21,21:00:00,12.22,12.3,12.19,12.3,10897,0
2014-02-21,22:00:00,12.31,12.45,12.29,12.35,46450,0
2014-02-24,16:00:00,12.35,12.4,12.34,12.4,9947,0
2014-02-24,17:00:00,12.38,12.5,12.36,12.47,19707,0
2014-02-24,18:00:00,12.47,12.47,12.31,12.34,10093,0
2014-02-24,19:00:00,12.33,12.33,12.24,12.24,9400,0
2014-02-24,20:00:00,12.23,12.25,12.16,12.16,9025,0
2014-02-24,21:00:00,12.17,12.19,12.1,12.11,25695,0
2014-02-24,22:00:00,12.12,12.17,12,12.03,85739,0
2014-02-25,16:00:00,10.95,11.64,10.53,11.46,121426,0
2014-02-25,17:00:00,11.42,11.44,11.27,11.36,58982,0
2014-02-25,18:00:00,11.36,11.57,11.35,11.51,85044,0
2014-02-25,19:00:00,11.52,11.73,11.51,11.51,52744,0
2014-02-25,20:00:00,11.51,11.57,11.51,11.54,49306,0
2014-02-25,21:00:00,11.54,11.54,11.31,11.43,61358,0
2014-02-25,22:00:00,11.44,11.54,11.43,11.5,97114,0
2014-02-26,16:00:00,11.37,11.38,11.05,11.09,22711,0
2014-02-26,17:00:00,11.06,11.26,10.96,11.24,39868,0
2014-02-26,18:00:00,11.23,11.29,11.22,11.26,25186,0
2014-02-26,19:00:00,11.25,11.28,11.2,11.2,79393,0
2014-02-26,20:00:00,11.21,11.31,11.2,11.2,26454,0
2014-02-26,21:00:00,11.21,11.25,11.05,11.13,54910,0
2014-02-26,22:00:00,11.12,11.13,11.01,11.02,113121,0
2014-02-27,16:00:00,10.97,11.29,10.81,11.25,36521,0
2014-02-27,17:00:00,11.27,11.33,11.22,11.29,33271,0
2014-02-27,18:00:00,11.28,11.38,11.28,11.35,29623,0
2014-02-27,19:00:00,11.35,11.39,11.3,11.35,27341,0
2014-02-27,20:00:00,11.35,11.37,11.35,11.36,10715,0
2014-02-27,21:00:00,11.37,11.47,11.35,11.47,28936,0
2014-02-27,22:00:00,11.45,11.56,11.42,11.54,69834,0
2014-02-28,16:00:00,11.58,11.99,11.58,11.86,37510,0
2014-02-28,17:00:00,11.86,11.9,11.6,11.71,179331,0
2014-02-28,18:00:00,11.71,11.71,11.58,11.66,41943,0
2014-02-28,19:00:00,11.64,11.65,11.36,11.39,54182,0
2014-02-28,20:00:00,11.38,11.53,11.36,11.5,42191,0
2014-02-28,21:00:00,11.5,11.55,11.47,11.49,18419,0
2014-02-28,22:00:00,11.48,11.57,11.42,11.55,69112,0
2014-03-03,16:00:00,11.42,11.42,11.12,11.18,23198,0
2014-03-03,17:00:00,11.2,11.21,11.11,11.17,27755,0
2014-03-03,18:00:00,11.16,11.16,11.04,11.11,14350,0
2014-03-03,19:00:00,11.13,11.18,11.06,11.1,15200,0
2014-03-03,20:00:00,11.09,11.2,11.09,11.2,7557,0
2014-03-03,21:00:00,11.18,11.43,11.17,11.37,40661,0
2014-03-03,22:00:00,11.37,11.37,11.11,11.17,57525,0
2014-03-04,16:00:00,11.39,11.49,11.38,11.47,4944,0
