Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,63.18,63.51,62.96,63.34,25905,0
2014-02-10,17:00:00,63.34,63.34,62.51,62.66,39012,0
2014-02-10,18:00:00,62.66,62.92,62.56,62.75,31598,0
2014-02-10,19:00:00,62.75,62.86,62.56,62.7,36699,0
2014-02-10,20:00:00,62.8,63.33,62.8,63.25,37684,0
2014-02-10,21:00:00,63.33,63.46,63.29,63.46,39385,0
2014-02-10,22:00:00,63.46,63.68,63.45,63.51,157088,0
2014-02-11,16:00:00,63.34,64.12,63.34,63.84,24334,0
2014-02-11,17:00:00,63.91,64.28,63.83,63.88,43030,0
2014-02-11,18:00:00,63.89,64.63,63.79,64.54,33973,0
2014-02-11,19:00:00,64.55,64.72,64.34,64.6,25565,0
2014-02-11,20:00:00,64.67,64.88,64.67,64.85,33783,0
2014-02-11,21:00:00,64.86,64.95,64.75,64.78,39166,0
2014-02-11,22:00:00,64.8,65,64.67,64.78,109354,0
2014-02-12,16:00:00,64.84,65.7,64.84,65.4,18209,0
2014-02-12,17:00:00,65.4,65.4,64.39,64.39,21961,0
2014-02-12,18:00:00,64.43,64.48,64.2,64.44,20000,0
2014-02-12,19:00:00,64.36,64.68,64.32,64.49,12494,0
2014-02-12,20:00:00,64.5,64.74,64.5,64.74,14088,0
2014-02-12,21:00:00,64.76,64.79,64.33,64.33,13066,0
2014-02-12,22:00:00,64.41,64.76,64.35,64.74,78116,0
2014-02-13,16:00:00,64.95,64.97,64.47,64.5,24062,0
2014-02-13,17:00:00,64.55,64.84,64.31,64.47,18408,0
2014-02-13,18:00:00,64.47,64.68,64.38,64.61,19706,0
2014-02-13,19:00:00,64.62,64.79,64.6,64.76,37200,0
2014-02-13,20:00:00,64.76,65.11,64.76,65.08,14965,0
2014-02-13,21:00:00,65.09,65.35,65.09,65.3,30844,0
2014-02-13,22:00:00,65.25,65.59,65.2,65.42,100148,0
2014-02-14,16:00:00,65.24,65.59,65.24,65.45,8116,0
2014-02-14,17:00:00,65.4,65.61,65.28,65.28,15259,0
2014-02-14,18:00:00,65.12,65.32,64.98,65.24,11451,0
2014-02-14,19:00:00,65.21,65.3,65.13,65.25,12460,0
2014-02-14,20:00:00,65.21,65.44,65.17,65.29,16382,0
2014-02-14,21:00:00,65.33,65.42,65.21,65.42,36984,0
2014-02-14,22:00:00,65.4,65.43,65.16,65.26,63076,0
2014-02-18,16:00:00,65.41,65.73,65.3,65.48,10914,0
2014-02-18,17:00:00,65.4,65.89,65.22,65.89,17897,0
2014-02-18,18:00:00,65.86,66.06,65.84,65.94,22428,0
2014-02-18,19:00:00,66.02,66.02,65.73,65.73,15300,0
2014-02-18,20:00:00,65.8,66.15,65.8,66.02,21505,0
2014-02-18,21:00:00,65.97,66.16,65.97,66.1,23136,0
2014-02-18,22:00:00,66.1,66.22,66.01,66.03,59286,0
2014-02-19,16:00:00,65.86,65.95,65.47,65.76,11550,0
2014-02-19,17:00:00,65.82,66.27,65.82,65.98,24830,0
2014-02-19,18:00:00,66.01,66.01,65.6,65.64,32059,0
2014-02-19,19:00:00,65.59,65.71,65.41,65.44,25908,0
2014-02-19,20:00:00,65.42,65.76,65.42,65.59,22574,0
2014-02-19,21:00:00,65.61,65.78,65.48,65.49,13983,0
2014-02-19,22:00:00,65.57,65.61,64.99,65.13,79524,0
2014-02-20,16:00:00,65.12,66,64.85,64.92,10400,0
2014-02-20,17:00:00,64.9,65.85,64.68,65.62,27570,0
2014-02-20,18:00:00,65.64,65.65,65.25,65.38,26508,0
2014-02-20,19:00:00,65.39,65.67,65.28,65.56,17100,0
2014-02-20,20:00:00,65.56,65.66,65.43,65.48,15938,0
2014-02-20,21:00:00,65.46,65.81,65.42,65.72,20547,0
2014-02-20,22:00:00,65.72,65.86,65.62,65.83,125167,0
2014-02-21,16:00:00,65.78,65.78,65.05,65.43,17064,0
2014-02-21,17:00:00,65.53,66.02,65.5,65.94,20984,0
2014-02-21,18:00:00,65.9,65.96,65.52,65.52,16582,0
2014-02-21,19:00:00,65.51,65.65,65.46,65.59,10880,0
2014-02-21,20:00:00,65.56,65.69,65.5,65.54,12498,0
2014-02-21,21:00:00,65.58,65.61,65.36,65.41,21923,0
2014-02-21,22:00:00,65.43,65.62,65.37,65.42,65505,0
2014-02-24,16:00:00,65.66,66.12,65.66,66.12,20930,0
2014-02-24,17:00:00,66.11,66.14,65.86,66.01,12736,0
2014-02-24,18:00:00,66.07,66.21,65.84,66.21,26032,0
2014-02-24,19:00:00,66.16,66.23,65.99,66.06,15100,0
2014-02-24,20:00:00,66.06,66.07,65.87,65.94,11189,0
2014-02-24,21:00:00,65.91,65.97,65.72,65.76,27332,0
2014-02-24,22:00:00,65.71,65.92,65.65,65.73,157836,0
2014-02-25,16:00:00,65.63,65.86,65.51,65.65,14595,0
2014-02-25,17:00:00,65.54,65.56,65.27,65.4,9218,0
2014-02-25,18:00:00,65.38,65.7,65.31,65.62,9845,0
2014-02-25,19:00:00,65.51,65.53,65.21,65.53,8004,0
2014-02-25,20:00:00,65.59,65.7,65.42,65.5,6100,0
2014-02-25,21:00:00,65.51,65.53,65.18,65.18,8492,0
2014-02-25,22:00:00,65.21,65.33,65.15,65.24,37686,0
2014-02-26,16:00:00,65.33,65.56,65.15,65.24,8536,0
2014-02-26,17:00:00,65.23,65.75,65.23,65.64,19506,0
2014-02-26,18:00:00,65.63,65.63,65.16,65.27,36239,0
2014-02-26,19:00:00,65.28,65.62,65.12,65.51,30618,0
2014-02-26,20:00:00,65.51,65.7,65.31,65.43,39068,0
2014-02-26,21:00:00,65.48,65.55,64.92,65.35,42818,0
2014-02-26,22:00:00,65.34,65.54,65.13,65.47,76696,0
2014-02-27,16:00:00,65.37,65.72,65.07,65.15,10624,0
2014-02-27,17:00:00,65.21,65.37,65.08,65.19,16614,0
2014-02-27,18:00:00,65.27,65.79,65.25,65.66,13269,0
2014-02-27,19:00:00,65.78,65.94,65.72,65.8,6908,0
2014-02-27,20:00:00,65.89,65.99,65.8,65.83,29983,0
2014-02-27,21:00:00,65.93,65.93,65.53,65.7,24255,0
2014-02-27,22:00:00,65.67,65.77,65.39,65.54,98571,0
2014-02-28,16:00:00,65.62,66.5,65.62,66.5,14671,0
2014-02-28,17:00:00,66.55,66.72,66.42,66.64,15347,0
2014-02-28,18:00:00,66.47,66.99,66.43,66.87,16366,0
2014-02-28,19:00:00,66.78,66.95,66.74,66.85,11392,0
2014-02-28,20:00:00,66.88,66.98,66.6,66.67,28526,0
2014-02-28,21:00:00,66.42,66.54,66,66.07,24659,0
2014-02-28,22:00:00,66.08,66.33,65.59,66.18,128858,0
2014-03-03,16:00:00,65.34,65.52,65.19,65.33,16000,0
2014-03-03,17:00:00,65.08,65.7,65.08,65.55,42256,0
2014-03-03,18:00:00,65.51,65.66,65.14,65.22,33271,0
