Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,26.785,26.874,26.657,26.854,15801,0
2014-02-10,17:00:00,26.874,26.903,26.805,26.903,32124,0
2014-02-10,18:00:00,26.913,26.923,26.844,26.913,14529,0
2014-02-10,19:00:00,26.894,26.923,26.834,26.913,16534,0
2014-02-10,20:00:00,26.923,26.992,26.884,26.962,11855,0
2014-02-10,21:00:00,26.943,27.071,26.923,27.071,31988,0
2014-02-10,22:00:00,27.071,27.071,26.923,26.953,56262,0
2014-02-11,16:00:00,26.923,26.953,26.844,26.953,10076,0
2014-02-11,17:00:00,26.933,26.972,26.834,26.923,28714,0
2014-02-11,18:00:00,26.923,27.081,26.894,27.081,29152,0
2014-02-11,19:00:00,27.051,27.238,26.982,27.218,14396,0
2014-02-11,20:00:00,27.189,27.238,27.179,27.199,5005,0
2014-02-11,21:00:00,27.159,27.209,27.081,27.169,21157,0
2014-02-11,22:00:00,27.169,27.346,27.169,27.317,162245,0
2014-02-12,16:00:00,27.405,27.602,27.405,27.602,10385,0
2014-02-12,17:00:00,27.602,27.612,27.464,27.504,263466,0
2014-02-12,18:00:00,27.533,27.573,27.445,27.504,27424,0
2014-02-12,19:00:00,27.514,27.76,27.514,27.72,19196,0
2014-02-12,20:00:00,27.73,27.77,27.711,27.73,60001,0
2014-02-12,21:00:00,27.73,27.77,27.524,27.573,55289,0
2014-02-12,22:00:00,27.563,27.691,27.543,27.691,60439,0
2014-02-13,16:00:00,27.563,27.701,27.455,27.553,34719,0
2014-02-13,17:00:00,27.573,27.868,27.573,27.799,59911,0
2014-02-13,18:00:00,27.809,27.809,27.583,27.632,29654,0
2014-02-13,19:00:00,27.612,27.711,27.583,27.671,17213,0
2014-02-13,20:00:00,27.681,27.75,27.671,27.711,75857,0
2014-02-13,21:00:00,27.701,27.878,27.701,27.868,120877,0
2014-02-13,22:00:00,27.858,27.937,27.858,27.907,143730,0
2014-02-14,16:00:00,27.848,27.947,27.819,27.947,12980,0
2014-02-14,17:00:00,27.927,28.006,27.878,27.996,31752,0
2014-02-14,18:00:00,27.996,28.026,27.819,27.898,46180,0
2014-02-14,19:00:00,27.898,27.907,27.848,27.878,27280,0
2014-02-14,20:00:00,27.888,27.917,27.858,27.868,17308,0
2014-02-14,21:00:00,27.868,27.947,27.848,27.917,45601,0
2014-02-14,22:00:00,27.907,27.996,27.907,27.937,68005,0
2014-02-18,16:00:00,27.927,28.035,27.858,27.888,48268,0
2014-02-18,17:00:00,27.898,28.006,27.878,28.006,36139,0
2014-02-18,18:00:00,28.006,28.035,27.898,27.986,53609,0
2014-02-18,19:00:00,28.006,28.035,27.858,27.957,38263,0
2014-02-18,20:00:00,27.947,27.967,27.947,27.957,22363,0
2014-02-18,21:00:00,27.957,28.016,27.957,27.976,25250,0
2014-02-18,22:00:00,27.986,28.016,27.967,28.006,71106,0
2014-02-19,16:00:00,27.917,27.957,27.809,27.947,61674,0
2014-02-19,17:00:00,27.957,28.006,27.819,27.927,46181,0
2014-02-19,18:00:00,27.996,28.006,27.888,27.888,34876,0
2014-02-19,19:00:00,27.888,27.996,27.878,27.976,36279,0
2014-02-19,20:00:00,27.996,28.026,27.967,28.006,15362,0
2014-02-19,21:00:00,27.976,27.996,27.858,27.898,45106,0
2014-02-19,22:00:00,27.907,27.957,27.858,27.957,126419,0
2014-02-20,16:00:00,27.957,28.026,27.947,27.976,22755,0
2014-02-20,17:00:00,27.976,28.35,27.888,28.291,212186,0
2014-02-20,18:00:00,28.291,28.35,28.085,28.144,27794,0
2014-02-20,19:00:00,28.193,28.203,28.055,28.085,15730,0
2014-02-20,20:00:00,28.094,28.094,27.996,28.006,21093,0
2014-02-20,21:00:00,28.016,28.055,27.986,28.055,22197,0
2014-02-20,22:00:00,28.055,28.144,27.986,28.035,82452,0
2014-02-21,16:00:00,28.104,28.154,27.957,28.065,25581,0
2014-02-21,17:00:00,28.075,28.104,28.045,28.085,19543,0
2014-02-21,18:00:00,28.075,28.085,27.996,28.035,31175,0
2014-02-21,19:00:00,28.035,28.055,27.996,28.006,18372,0
2014-02-21,20:00:00,28.006,28.035,27.996,28.026,23202,0
2014-02-21,21:00:00,28.035,28.055,27.888,28.045,45483,0
2014-02-21,22:00:00,28.045,28.055,27.986,27.986,85732,0
2014-02-24,16:00:00,27.957,28.085,27.937,28.055,42869,0
2014-02-24,17:00:00,28.055,28.114,28.006,28.065,37462,0
2014-02-24,18:00:00,28.055,28.075,28.016,28.026,19088,0
2014-02-24,19:00:00,28.026,28.075,27.996,28.026,12751,0
2014-02-24,20:00:00,28.026,28.085,28.006,28.035,15359,0
2014-02-24,21:00:00,28.035,28.094,28.016,28.026,41005,0
2014-02-24,22:00:00,28.026,28.026,27.878,27.878,101297,0
2014-02-25,16:00:00,27.848,28.006,27.839,27.996,43704,0
2014-02-25,17:00:00,27.967,28.006,27.967,28.006,24449,0
2014-02-25,18:00:00,28.006,28.055,27.976,28.026,25193,0
2014-02-25,19:00:00,28.006,28.035,27.937,27.957,12480,0
2014-02-25,20:00:00,27.967,28.035,27.947,28.016,37123,0
2014-02-25,21:00:00,28.035,28.055,27.976,27.986,12992,0
2014-02-25,22:00:00,28.006,28.006,27.839,27.878,54588,0
2014-02-26,16:00:00,27.907,28.055,27.907,28.055,12679,0
2014-02-26,17:00:00,28.055,28.055,28.026,28.045,44451,0
2014-02-26,18:00:00,28.055,28.203,28.035,28.085,40720,0
2014-02-26,19:00:00,28.075,28.075,27.976,27.996,24111,0
2014-02-26,20:00:00,27.996,28.035,27.957,27.957,20436,0
2014-02-26,21:00:00,27.957,27.996,27.917,27.957,19336,0
2014-02-26,22:00:00,27.957,27.957,27.858,27.907,75866,0
2014-02-27,16:00:00,27.888,27.967,27.868,27.947,28908,0
2014-02-27,17:00:00,27.957,27.967,27.858,27.878,50361,0
2014-02-27,18:00:00,27.888,27.957,27.858,27.888,17270,0
2014-02-27,19:00:00,27.888,27.907,27.809,27.868,18658,0
2014-02-27,20:00:00,27.868,27.947,27.809,27.927,23873,0
2014-02-27,21:00:00,27.937,27.957,27.888,27.888,29686,0
2014-02-27,22:00:00,27.907,28.035,27.898,27.976,136001,0
2014-02-28,16:00:00,27.996,28.085,27.976,28.065,25131,0
2014-02-28,17:00:00,28.055,28.232,28.035,28.173,24036,0
2014-02-28,18:00:00,28.163,28.213,28.114,28.193,16355,0
2014-02-28,19:00:00,28.193,28.203,28.144,28.163,24579,0
2014-02-28,20:00:00,28.173,28.528,28.134,28.508,724091,0
2014-02-28,21:00:00,28.508,29.128,28.508,28.941,117686,0
2014-02-28,22:00:00,28.941,28.941,28.685,28.695,184545,0
2014-03-03,16:00:00,28.537,28.705,28.537,28.597,23552,0
2014-03-03,17:00:00,28.537,28.616,28.478,28.498,21765,0
2014-03-03,18:00:00,28.488,28.665,28.439,28.518,10118,0
2014-03-03,19:00:00,28.518,28.725,28.488,28.715,11324,0
2014-03-03,20:00:00,28.695,28.754,28.646,28.754,13310,0
2014-03-03,21:00:00,28.784,28.803,28.744,28.784,10975,0
2014-03-03,22:00:00,28.793,28.862,28.715,28.862,68898,0
2014-03-04,16:00:00,29.118,29.256,29.04,29.187,27938,0
2014-03-04,17:00:00,29.187,29.217,29.089,29.089,24389,0
2014-03-04,18:00:00,29.108,29.128,29.01,29.079,15974,0
2014-03-04,19:00:00,29.069,29.079,28.98,29.04,31624,0
2014-03-04,20:00:00,29.04,29.069,29.02,29.04,16914,0
2014-03-04,21:00:00,29.03,29.069,28.98,29.059,25875,0
2014-03-04,22:00:00,29.049,29.118,28.99,29.049,85133,0
2014-03-05,16:00:00,29.108,29.108,28.931,29.079,25173,0
2014-03-05,17:00:00,29.079,29.118,29.04,29.059,17356,0
2014-03-05,18:00:00,29.059,29.059,28.892,28.912,9854,0
2014-03-05,19:00:00,28.912,28.98,28.912,28.961,11497,0
2014-03-05,20:00:00,28.961,29.01,28.951,28.961,16670,0
2014-03-05,21:00:00,28.941,28.971,28.931,28.971,20861,0
2014-03-05,22:00:00,28.971,29.158,28.951,29.158,52513,0
2014-03-06,16:00:00,29.138,29.148,29.04,29.108,11529,0
2014-03-06,17:00:00,29.118,29.325,29.099,29.266,25737,0
2014-03-06,18:00:00,29.286,29.305,29.236,29.266,27807,0
2014-03-06,19:00:00,29.266,29.315,29.177,29.177,49152,0
2014-03-06,20:00:00,29.187,29.246,29.187,29.207,29019,0
2014-03-06,21:00:00,29.207,29.256,29.187,29.227,158200,0
2014-03-06,22:00:00,29.236,29.266,29.227,29.266,47147,0
2014-03-07,16:00:00,29.256,29.266,29.099,29.217,56682,0
2014-03-07,17:00:00,29.227,29.266,29.217,29.227,99680,0
2014-03-07,18:00:00,29.207,29.227,29.158,29.177,322793,0
2014-03-07,19:00:00,29.177,29.187,29.049,29.059,155917,0
2014-03-07,20:00:00,29.059,29.108,29.02,29.049,139051,0
2014-03-07,21:00:00,29.049,29.099,29.04,29.079,36469,0
2014-03-07,22:00:00,29.089,29.158,29.049,29.069,268535,0
2014-03-10,15:00:00,29.059,29.128,29.03,29.04,24740,0
2014-03-10,16:00:00,29.03,29.049,29.03,29.04,63217,0
2014-03-10,17:00:00,29.04,29.04,28.921,29.03,85177,0
2014-03-10,18:00:00,29.03,29.04,28.951,28.951,64024,0
2014-03-10,19:00:00,28.951,28.951,28.764,28.774,12393,0
2014-03-10,20:00:00,28.764,28.803,28.734,28.803,12824,0
2014-03-10,21:00:00,28.803,28.912,28.793,28.912,107627,0
2014-03-11,15:00:00,28.872,29.04,28.872,28.99,3454,0
2014-03-11,16:00:00,28.98,29.04,28.872,28.902,53880,0
2014-03-11,17:00:00,28.902,29.04,28.872,29.04,73807,0
2014-03-11,18:00:00,29.04,29.049,28.941,28.941,53352,0
2014-03-11,19:00:00,28.921,28.98,28.902,28.971,6321,0
2014-03-11,20:00:00,28.961,28.971,28.892,28.941,13137,0
2014-03-11,21:00:00,28.941,28.99,28.892,28.99,57452,0
2014-03-12,15:00:00,28.852,29.03,28.754,29.01,20021,0
2014-03-12,16:00:00,29.01,29.01,28.862,28.862,32051,0
2014-03-12,17:00:00,28.852,28.862,28.715,28.744,21426,0
2014-03-12,18:00:00,28.734,28.784,28.685,28.715,21511,0
2014-03-12,19:00:00,28.725,28.744,28.626,28.636,23215,0
2014-03-12,20:00:00,28.626,28.705,28.606,28.626,41549,0
2014-03-12,21:00:00,28.626,28.685,28.537,28.665,120168,0
2014-03-13,15:00:00,28.675,28.744,28.587,28.587,57893,0
2014-03-13,16:00:00,28.636,28.636,28.567,28.616,29872,0
2014-03-13,17:00:00,28.616,28.685,28.616,28.675,24637,0
2014-03-13,18:00:00,28.685,28.685,28.616,28.636,26585,0
2014-03-13,19:00:00,28.646,28.665,28.616,28.636,25092,0
2014-03-13,20:00:00,28.626,28.626,28.547,28.547,25173,0
2014-03-13,21:00:00,28.547,28.577,28.478,28.478,114534,0
2014-03-14,15:00:00,28.498,28.99,28.498,28.99,5900,0
2014-03-14,16:00:00,28.961,28.961,28.597,28.597,11124,0
2014-03-14,17:00:00,28.597,28.646,28.547,28.597,14840,0
2014-03-14,18:00:00,28.606,28.646,28.606,28.636,8037,0
2014-03-14,19:00:00,28.626,28.656,28.587,28.616,11581,0
2014-03-14,20:00:00,28.616,28.616,28.547,28.547,20718,0
