Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,16.01,16.06,16,16.05,8094,0
2014-02-10,17:00:00,16,16.02,15.96,15.97,6008,0
2014-02-10,18:00:00,16,16.01,16,16.01,15400,0
2014-02-10,19:00:00,16.02,16.02,15.99,16,16259,0
2014-02-10,20:00:00,16.01,16.02,16,16.02,7382,0
2014-02-10,21:00:00,16.01,16.02,16.01,16.02,1840,0
2014-02-10,22:00:00,16.01,16.02,15.99,15.99,4802,0
2014-02-11,16:00:00,16.06,16.06,15.99,16,3460,0
2014-02-11,17:00:00,16.01,16.01,16.01,16.01,2100,0
2014-02-11,18:00:00,16.05,16.1,16.05,16.07,3156,0
2014-02-11,19:00:00,16.07,16.09,16.07,16.09,4800,0
2014-02-11,20:00:00,16.09,16.12,16.08,16.12,4250,0
2014-02-11,21:00:00,16.1,16.15,16.09,16.12,3791,0
2014-02-11,22:00:00,16.12,16.12,16.08,16.08,12278,0
2014-02-12,16:00:00,16.07,16.08,16.07,16.07,3163,0
2014-02-12,17:00:00,16.07,16.08,16.07,16.08,1957,0
2014-02-12,18:00:00,16.08,16.13,16.08,16.1,27179,0
2014-02-12,19:00:00,16.1,16.1,16.08,16.08,10651,0
2014-02-12,20:00:00,16.09,16.09,16.05,16.05,2084,0
2014-02-12,21:00:00,16.07,16.09,16.04,16.07,21898,0
2014-02-12,22:00:00,16.07,16.07,16.04,16.05,15704,0
2014-02-13,16:00:00,16,16,15.99,15.99,1128,0
2014-02-13,17:00:00,15.96,15.98,15.95,15.97,5802,0
2014-02-13,18:00:00,16.05,16.05,15.98,16,15628,0
2014-02-13,19:00:00,16.05,16.05,16.01,16.01,16125,0
2014-02-13,20:00:00,16.03,16.05,16.01,16.05,5200,0
2014-02-13,21:00:00,16.05,16.06,16.04,16.06,1000,0
2014-02-13,22:00:00,16.01,16.06,15.99,15.99,8315,0
2014-02-14,17:00:00,15.95,15.95,15.95,15.95,185,0
2014-02-14,18:00:00,16.03,16.08,16.03,16.08,200,0
2014-02-14,19:00:00,16.08,16.11,16.07,16.11,15243,0
2014-02-14,20:00:00,16.11,16.12,16.03,16.12,11100,0
2014-02-14,21:00:00,16.11,16.15,16.11,16.14,1600,0
2014-02-14,22:00:00,16.15,16.15,16,16.04,6419,0
2014-02-18,16:00:00,16.12,16.12,16.12,16.12,4000,0
2014-02-18,17:00:00,16.1,16.1,16.1,16.1,800,0
2014-02-18,19:00:00,16.09,16.1,16.06,16.1,19681,0
2014-02-18,20:00:00,16.08,16.08,16.05,16.06,2342,0
2014-02-18,21:00:00,16.1,16.1,16.09,16.09,1000,0
2014-02-18,22:00:00,16.1,16.1,16.09,16.09,6400,0
2014-02-19,17:00:00,16.12,16.12,16.1,16.1,2600,0
2014-02-19,18:00:00,16.09,16.09,16.09,16.09,1112,0
2014-02-19,19:00:00,16.08,16.08,16.07,16.08,4280,0
2014-02-19,20:00:00,16.08,16.09,16.07,16.08,10200,0
2014-02-19,21:00:00,16.08,16.1,16.08,16.09,7345,0
2014-02-19,22:00:00,16.08,16.08,16.05,16.07,8025,0
2014-02-20,16:00:00,16,16.01,16,16,1700,0
2014-02-20,17:00:00,15.99,15.99,15.99,15.99,270,0
2014-02-20,18:00:00,16.04,16.04,15.97,15.98,8045,0
2014-02-20,19:00:00,15.99,16.04,15.99,16.04,20406,0
2014-02-20,20:00:00,16.05,16.07,16.04,16.05,6878,0
2014-02-20,21:00:00,16.05,16.05,16.03,16.03,858,0
2014-02-20,22:00:00,15.98,16.03,15.98,15.99,9482,0
2014-02-21,16:00:00,15.99,15.99,15.99,15.99,12975,0
2014-02-21,17:00:00,15.99,15.99,15.95,15.99,4595,0
2014-02-21,18:00:00,16,16.03,15.99,16,5553,0
2014-02-21,19:00:00,16,16.01,15.99,16.01,31145,0
2014-02-21,20:00:00,16.02,16.04,16.01,16.04,8885,0
