Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,25.3027,25.3027,25.2831,25.2831,8862,0
2014-02-10,18:00:00,25.4402,25.4402,25.3911,25.3911,4285,0
2014-02-10,19:00:00,25.3322,25.4402,25.3125,25.4205,3202,0
2014-02-10,20:00:00,25.3518,25.3518,25.342,25.342,5050,0
2014-02-10,21:00:00,25.3813,25.3813,25.342,25.342,3570,0
2014-02-10,22:00:00,25.3616,25.4303,25.2929,25.4303,1019,0
2014-02-11,17:00:00,25.3322,25.4696,25.2831,25.3322,3005,0
2014-02-11,19:00:00,25.3813,25.3813,25.3616,25.3714,816,0
2014-02-11,20:00:00,25.3616,25.3616,25.3027,25.3027,1326,0
2014-02-11,21:00:00,25.3027,25.3813,25.3027,25.3813,2657,0
2014-02-11,22:00:00,25.3322,25.3813,25.3322,25.3813,5772,0
2014-02-12,16:00:00,25.38,25.38,25.34,25.34,3200,0
2014-02-12,18:00:00,25.35,25.45,25.35,25.4,2200,0
2014-02-12,20:00:00,25.4,25.45,25.4,25.45,2192,0
2014-02-12,21:00:00,25.45,25.45,25.45,25.45,1500,0
2014-02-12,22:00:00,25.45,25.5,25.45,25.5,2142,0
2014-02-13,16:00:00,25.41,25.41,25.41,25.41,22,0
2014-02-13,17:00:00,25.46,25.62,25.46,25.62,1034,0
2014-02-13,19:00:00,25.54,25.59,25.54,25.59,2675,0
2014-02-13,20:00:00,25.52,25.52,25.52,25.52,4100,0
2014-02-13,21:00:00,25.43,25.56,25.43,25.56,6884,0
2014-02-13,22:00:00,25.43,25.43,25.43,25.43,3100,0
2014-02-14,16:00:00,25.51,25.53,25.51,25.51,1300,0
2014-02-14,17:00:00,25.59,25.59,25.58,25.59,1816,0
2014-02-14,18:00:00,25.68,25.68,25.6,25.6,800,0
2014-02-14,19:00:00,25.6,25.61,25.6,25.61,1300,0
2014-02-14,20:00:00,25.57,25.57,25.57,25.57,139,0
2014-02-14,21:00:00,25.67,25.67,25.57,25.57,3105,0
2014-02-14,22:00:00,25.6,25.6,25.6,25.6,600,0
2014-02-18,17:00:00,25.72,25.72,25.6,25.6,6236,0
2014-02-18,18:00:00,25.76,25.76,25.76,25.76,300,0
2014-02-18,19:00:00,25.76,25.76,25.65,25.65,5070,0
2014-02-18,21:00:00,25.79,25.79,25.79,25.79,1248,0
2014-02-19,16:00:00,25.7,25.85,25.7,25.85,3048,0
2014-02-19,17:00:00,25.84,25.99,25.84,25.97,15582,0
2014-02-19,19:00:00,25.94,26.08,25.94,26.08,826,0
2014-02-19,20:00:00,25.88,25.89,25.88,25.88,514,0
2014-02-19,21:00:00,26.08,26.08,25.88,25.88,2470,0
2014-02-19,22:00:00,25.88,25.88,25.76,25.76,6565,0
2014-02-20,16:00:00,25.89,25.89,25.89,25.89,700,0
2014-02-20,17:00:00,25.8,25.8,25.73,25.76,5001,0
2014-02-20,18:00:00,25.76,25.77,25.7,25.77,1550,0
2014-02-20,19:00:00,25.77,25.77,25.77,25.77,400,0
2014-02-20,20:00:00,25.71,25.71,25.66,25.66,800,0
2014-02-20,21:00:00,25.63,25.63,25.47,25.5,5001,0
2014-02-20,22:00:00,25.6,25.6,25.48,25.6,6554,0
2014-02-21,16:00:00,25.41,25.41,25.41,25.41,354,0
2014-02-21,17:00:00,25.6,25.6,25.6,25.6,900,0
2014-02-21,18:00:00,25.45,25.47,25.45,25.45,3700,0
2014-02-21,19:00:00,25.4,25.45,25.35,25.43,4200,0
2014-02-21,20:00:00,25.42,25.42,25.41,25.41,6425,0
2014-02-21,22:00:00,25.45,25.45,25.45,25.45,5500,0
2014-02-24,16:00:00,25.3,25.3,25.18,25.18,652,0
2014-02-24,17:00:00,25.3,25.3,25.3,25.3,426,0
2014-02-24,18:00:00,25.34,25.58,25.34,25.5,1880,0
2014-02-24,19:00:00,25.32,25.47,25.32,25.47,1700,0
2014-02-24,20:00:00,25.49,25.5,25.49,25.5,3781,0
2014-02-24,21:00:00,25.47,25.47,25.39,25.43,9488,0
2014-02-24,22:00:00,25.45,25.45,25.44,25.44,1500,0
2014-02-25,16:00:00,25.57,25.57,25.4,25.4,842,0
2014-02-25,17:00:00,25.53,25.58,25.38,25.45,10901,0
2014-02-25,18:00:00,25.5,25.5,25.45,25.45,3140,0
2014-02-25,19:00:00,25.46,25.5,25.46,25.5,1005,0
2014-02-25,20:00:00,25.5,25.5,25.5,25.5,7628,0
2014-02-25,21:00:00,25.5,25.56,25.5,25.55,7220,0
2014-02-25,22:00:00,25.6,25.68,25.6,25.68,4100,0
2014-02-26,16:00:00,25.69,25.69,25.69,25.69,1000,0
2014-02-26,18:00:00,25.7,25.7,25.45,25.45,1634,0
2014-02-26,19:00:00,25.69,25.69,25.69,25.69,4350,0
2014-02-26,20:00:00,25.66,25.66,25.66,25.66,800,0
2014-02-26,21:00:00,25.64,25.64,25.5,25.5,1600,0
2014-02-26,22:00:00,25.47,25.52,25.47,25.49,1157,0
2014-02-27,17:00:00,25.48,25.48,25.44,25.44,1830,0
2014-02-27,20:00:00,25.46,25.47,25.46,25.46,1286,0
2014-02-27,21:00:00,25.51,25.53,25.47,25.47,2137,0
2014-02-28,16:00:00,25.39,25.4,25.39,25.4,7456,0
2014-02-28,21:00:00,25.6,25.66,25.6,25.65,2492,0
2014-02-28,22:00:00,25.5,25.67,25.45,25.67,4675,0
2014-03-03,16:00:00,25.66,25.76,25.66,25.76,2158,0
2014-03-03,17:00:00,25.78,25.78,25.78,25.78,1008,0
2014-03-03,18:00:00,25.46,25.85,25.46,25.82,7458,0
2014-03-03,19:00:00,25.83,26.04,25.83,25.96,6656,0
2014-03-03,22:00:00,25.84,25.88,25.84,25.88,2116,0
2014-03-04,16:00:00,25.82,25.82,25.8,25.8,1600,0
2014-03-04,17:00:00,25.93,25.93,25.85,25.85,3364,0
2014-03-04,18:00:00,25.93,25.93,25.82,25.82,1698,0
2014-03-04,19:00:00,25.66,25.66,25.66,25.66,2376,0
2014-03-04,20:00:00,25.84,25.84,25.64,25.64,3174,0
2014-03-04,21:00:00,25.84,25.85,25.76,25.81,45896,0
2014-03-04,22:00:00,25.67,25.67,25.67,25.67,3200,0
2014-03-05,16:00:00,25.82,25.82,25.61,25.65,4720,0
2014-03-05,17:00:00,25.66,25.73,25.66,25.73,2168,0
2014-03-05,18:00:00,25.66,25.86,25.66,25.66,2600,0
2014-03-05,19:00:00,25.85,25.85,25.65,25.68,6528,0
2014-03-05,20:00:00,25.65,25.66,25.65,25.66,1749,0
2014-03-05,21:00:00,25.68,25.8,25.59,25.78,5604,0
2014-03-06,18:00:00,25.76,25.82,25.76,25.82,2300,0
2014-03-06,20:00:00,25.84,25.84,25.84,25.84,2100,0
2014-03-06,21:00:00,25.85,25.85,25.8,25.8,15583,0
2014-03-06,22:00:00,25.86,25.86,25.85,25.85,12086,0
2014-03-07,17:00:00,25.75,25.75,25.75,25.75,1640,0
2014-03-07,18:00:00,25.58,25.74,25.58,25.6,4500,0
2014-03-07,19:00:00,25.61,25.61,25.61,25.61,4800,0
2014-03-07,21:00:00,25.56,25.56,25.56,25.56,1350,0
2014-03-07,22:00:00,25.57,25.57,25.54,25.56,2276,0
2014-03-10,15:00:00,25.5,25.5,25.34,25.34,992,0
2014-03-10,16:00:00,25.46,25.46,25.45,25.45,1700,0
2014-03-10,17:00:00,25.55,25.55,25.55,25.55,900,0
2014-03-10,19:00:00,25.64,25.65,25.6,25.63,19400,0
2014-03-10,20:00:00,25.61,25.61,25.58,25.58,400,0
2014-03-10,21:00:00,25.65,25.65,25.5,25.63,1207,0
2014-03-11,16:00:00,25.48,25.49,25.48,25.48,5436,0
2014-03-11,18:00:00,25.57,25.59,25.57,25.57,1308,0
2014-03-11,19:00:00,25.57,25.6,25.57,25.6,4046,0
2014-03-11,20:00:00,25.55,25.58,25.47,25.5,6703,0
2014-03-11,21:00:00,25.5,25.5,25.46,25.46,3400,0
2014-03-12,15:00:00,25.45,25.45,25.45,25.45,1600,0
2014-03-12,16:00:00,25.5,25.5,25.31,25.5,8550,0
2014-03-12,19:00:00,25.5,25.5,25.5,25.5,4000,0
2014-03-12,20:00:00,25.5,25.54,25.4,25.5,5400,0
2014-03-12,21:00:00,25.49,25.5,25.4,25.5,3151,0
2014-03-13,16:00:00,25.6,25.6,25.56,25.6,6570,0
2014-03-13,17:00:00,25.6,25.6,25.58,25.58,3186,0
2014-03-13,19:00:00,25.58,25.58,25.58,25.58,4603,0
2014-03-13,21:00:00,25.5,25.58,25.5,25.58,6488,0
2014-03-14,15:00:00,25.66,25.66,25.66,25.66,1500,0
2014-03-14,18:00:00,25.63,25.68,25.58,25.68,2639,0
2014-03-14,19:00:00,25.49,25.49,25.49,25.49,400,0
2014-03-14,20:00:00,25.7,25.7,25.53,25.53,1900,0
2014-03-14,21:00:00,25.69,25.69,25.5,25.5,3336,0
2014-03-17,16:00:00,25.75,25.75,25.74,25.74,3856,0
2014-03-17,17:00:00,25.74,25.75,25.62,25.74,3825,0
2014-03-17,18:00:00,25.67,25.82,25.67,25.82,9648,0
2014-03-18,15:00:00,25.8,26.28,25.78,26.28,3608,0
2014-03-18,16:00:00,26.27,26.27,26.05,26.17,3500,0
2014-03-18,17:00:00,26.17,26.17,26.08,26.15,4861,0
2014-03-18,18:00:00,26.15,26.26,26.09,26.26,4198,0
2014-03-18,19:00:00,26.2,26.2,25.96,25.96,1404,0
2014-03-18,20:00:00,26.18,26.26,26.18,26.24,3282,0
2014-03-18,21:00:00,26.3,26.31,26.25,26.25,5836,0
2014-03-19,15:00:00,26.24,26.24,26.24,26.24,1504,0
2014-03-19,16:00:00,26.24,26.3,26.24,26.26,3616,0
2014-03-19,17:00:00,26.27,26.27,26.26,26.27,2200,0
2014-03-19,18:00:00,26.27,26.27,26.27,26.27,1000,0
2014-03-19,19:00:00,26.25,26.25,26.1,26.1,2178,0
2014-03-19,20:00:00,26.14,26.14,26.02,26.02,2600,0
2014-03-19,21:00:00,26.08,26.1,26,26.09,8220,0
2014-03-20,16:00:00,26,26,25.88,26,2200,0
2014-03-20,17:00:00,26,26,25.9,25.9,2100,0
2014-03-20,18:00:00,26,26,25.82,25.82,2454,0
2014-03-20,19:00:00,25.94,25.94,25.94,25.94,300,0
2014-03-20,20:00:00,25.95,25.95,25.92,25.92,4730,0
2014-03-20,21:00:00,25.92,25.92,25.92,25.92,4305,0
2014-03-21,15:00:00,25.94,25.94,25.91,25.91,400,0
2014-03-21,16:00:00,25.8,25.9,25.76,25.76,1300,0
2014-03-21,17:00:00,25.84,25.84,25.76,25.8,400,0
2014-03-21,18:00:00,25.76,25.86,25.69,25.75,19392,0
2014-03-21,19:00:00,25.75,25.75,25.75,25.75,1800,0
2014-03-21,20:00:00,25.8,25.8,25.77,25.77,2050,0
2014-03-21,21:00:00,25.8,25.8,25.77,25.77,500,0
2014-03-24,15:00:00,25.87,25.87,25.87,25.87,1200,0
2014-03-24,16:00:00,25.91,25.91,25.75,25.75,3028,0
2014-03-24,17:00:00,25.79,25.85,25.79,25.84,1498,0
2014-03-24,18:00:00,25.81,25.81,25.81,25.81,2200,0
2014-03-24,19:00:00,25.71,25.73,25.71,25.73,2550,0
2014-03-24,20:00:00,25.77,25.8,25.77,25.8,15792,0
2014-03-26,15:00:00,25.88,25.88,25.7,25.7,234,0
2014-03-26,16:00:00,25.8,25.8,25.71,25.72,69,0
2014-03-26,17:00:00,25.69,25.7,25.68,25.68,28,0
2014-03-26,18:00:00,25.78,25.78,25.69,25.69,98,0
2014-03-26,19:00:00,25.69,25.8,25.69,25.71,666,0
2014-03-26,20:00:00,25.8,25.88,25.71,25.74,11834,0
2014-03-26,21:00:00,25.76,25.76,25.67,25.75,3634,0
2014-03-27,15:00:00,25.47,25.82,25.47,25.82,300,0
2014-03-27,16:00:00,25.85,25.85,25.52,25.66,2900,0
2014-03-27,17:00:00,25.75,25.83,25.67,25.82,4886,0
2014-03-27,19:00:00,25.65,25.65,25.61,25.62,2485,0
