Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.73,24.92,24.59,24.8,170711,0
2014-02-10,17:00:00,24.79,24.97,24.77,24.81,295319,0
2014-02-10,18:00:00,24.81,24.84,24.68,24.8,277530,0
2014-02-10,19:00:00,24.8,24.93,24.79,24.91,383405,0
2014-02-10,20:00:00,24.91,24.94,24.83,24.87,165812,0
2014-02-10,21:00:00,24.87,24.87,24.75,24.82,269081,0
2014-02-10,22:00:00,24.82,24.85,24.73,24.79,393814,0
2014-02-11,16:00:00,24.83,24.92,24.74,24.79,159975,0
2014-02-11,17:00:00,24.79,24.95,24.78,24.94,432348,0
2014-02-11,18:00:00,24.95,25.17,24.93,25.15,250792,0
2014-02-11,19:00:00,25.16,25.17,24.94,25.14,282374,0
2014-02-11,20:00:00,25.13,25.31,25.13,25.26,281707,0
2014-02-11,21:00:00,25.25,25.34,25.24,25.31,217511,0
2014-02-11,22:00:00,25.32,25.36,25.16,25.16,638980,0
2014-02-12,16:00:00,25.64,25.64,25.3,25.44,164042,0
2014-02-12,17:00:00,25.46,25.46,25.18,25.18,231862,0
2014-02-12,18:00:00,25.18,25.35,25.13,25.28,185172,0
2014-02-12,19:00:00,25.27,25.45,25.23,25.37,141319,0
2014-02-12,20:00:00,25.37,25.4,25.24,25.3,115128,0
2014-02-12,21:00:00,25.3,25.42,25.27,25.41,395715,0
2014-02-12,22:00:00,25.41,25.42,25.29,25.36,640213,0
2014-02-13,16:00:00,24.35,24.46,23.61,24.03,1067253,0
2014-02-13,17:00:00,24.04,24.08,23.7,23.82,913833,0
2014-02-13,18:00:00,23.81,23.96,23.74,23.91,728688,0
2014-02-13,19:00:00,23.91,23.93,23.71,23.75,669789,0
2014-02-13,20:00:00,23.75,23.87,23.69,23.83,341799,0
2014-02-13,21:00:00,23.84,23.84,23.68,23.74,485034,0
2014-02-13,22:00:00,23.73,23.87,23.67,23.68,1043215,0
2014-02-14,16:00:00,23.7,23.76,23.5,23.71,588370,0
2014-02-14,17:00:00,23.71,23.78,23.6,23.68,671172,0
2014-02-14,18:00:00,23.68,23.71,23.44,23.47,525193,0
2014-02-14,19:00:00,23.47,23.75,23.42,23.75,413314,0
2014-02-14,20:00:00,23.75,23.91,23.7,23.86,370781,0
2014-02-14,21:00:00,23.86,23.96,23.73,23.9,358239,0
2014-02-14,22:00:00,23.91,23.92,23.86,23.88,590700,0
2014-02-18,16:00:00,24.06,24.06,23.61,23.71,585852,0
2014-02-18,17:00:00,23.69,23.83,23.67,23.77,506850,0
2014-02-18,18:00:00,23.78,23.79,23.67,23.76,348931,0
2014-02-18,19:00:00,23.76,23.76,23.66,23.73,252232,0
2014-02-18,20:00:00,23.73,23.75,23.69,23.7,162799,0
2014-02-18,21:00:00,23.7,23.71,23.64,23.67,309903,0
2014-02-18,22:00:00,23.67,23.68,23.62,23.66,307449,0
2014-02-19,16:00:00,23.48,23.61,23.42,23.58,209748,0
2014-02-19,17:00:00,23.59,23.72,23.42,23.43,950817,0
2014-02-19,18:00:00,23.43,23.51,23.4,23.41,518550,0
2014-02-19,19:00:00,23.4,23.5,23.3,23.5,589169,0
2014-02-19,20:00:00,23.5,23.64,23.44,23.55,489993,0
2014-02-19,21:00:00,23.55,23.59,23.34,23.44,512484,0
2014-02-19,22:00:00,23.44,23.46,23.26,23.32,574681,0
2014-02-20,16:00:00,23.31,23.47,23.25,23.42,199024,0
2014-02-20,17:00:00,23.4,23.5,23.34,23.48,226373,0
2014-02-20,18:00:00,23.48,23.48,23.27,23.27,256775,0
2014-02-20,19:00:00,23.28,23.39,23.27,23.28,160109,0
2014-02-20,20:00:00,23.28,23.41,23.28,23.38,174614,0
2014-02-20,21:00:00,23.38,23.5,23.36,23.45,214125,0
2014-02-20,22:00:00,23.46,23.5,23.38,23.39,751814,0
2014-02-21,16:00:00,23.3,23.36,22.8,22.98,848354,0
2014-02-21,17:00:00,22.98,23.4,22.93,23.3,725995,0
2014-02-21,18:00:00,23.31,23.37,23.15,23.24,295413,0
2014-02-21,19:00:00,23.24,23.27,23.16,23.23,108121,0
2014-02-21,20:00:00,23.23,23.31,23.22,23.25,185829,0
2014-02-21,21:00:00,23.25,23.29,23.21,23.27,178308,0
2014-02-21,22:00:00,23.28,23.29,23.15,23.17,564704,0
2014-02-24,16:00:00,23.21,23.22,23.02,23.05,165076,0
2014-02-24,17:00:00,23.08,23.21,22.85,23.16,247393,0
2014-02-24,18:00:00,23.16,23.21,23.11,23.18,106990,0
2014-02-24,19:00:00,23.19,23.19,23.02,23.07,136870,0
2014-02-24,20:00:00,23.08,23.13,22.99,23,106108,0
2014-02-24,21:00:00,23,23.08,22.89,22.9,195456,0
2014-02-24,22:00:00,22.9,22.9,22.58,22.6,843989,0
2014-02-25,16:00:00,22.52,22.53,22.1,22.14,289018,0
2014-02-25,17:00:00,22.14,22.16,22.01,22.03,429664,0
2014-02-25,18:00:00,22.03,22.11,22,22.01,386081,0
2014-02-25,19:00:00,22.01,22.08,21.94,22.04,438780,0
2014-02-25,20:00:00,22.06,22.13,22.06,22.1,284212,0
2014-02-25,21:00:00,22.1,22.27,22.07,22.18,485623,0
2014-02-25,22:00:00,22.18,22.19,22.1,22.13,1181314,0
2014-02-26,16:00:00,22.15,22.29,22.07,22.12,229525,0
2014-02-26,17:00:00,22.14,22.29,22.05,22.15,317522,0
2014-02-26,18:00:00,22.15,22.22,22.13,22.13,246780,0
2014-02-26,19:00:00,22.13,22.18,22.12,22.13,88112,0
2014-02-26,20:00:00,22.13,22.24,22.11,22.2,279653,0
2014-02-26,21:00:00,22.21,22.23,22.04,22.2,202079,0
2014-02-26,22:00:00,22.19,22.21,22.07,22.18,592415,0
2014-02-27,16:00:00,22.2,22.33,22.09,22.32,293513,0
2014-02-27,17:00:00,22.31,22.37,22.2,22.34,513560,0
2014-02-27,18:00:00,22.34,22.41,22.27,22.3,207248,0
2014-02-27,19:00:00,22.3,22.35,22.18,22.34,233461,0
2014-02-27,20:00:00,22.35,22.35,22.26,22.27,115392,0
2014-02-27,21:00:00,22.26,22.3,22.18,22.3,202545,0
2014-02-27,22:00:00,22.29,22.38,22.25,22.36,638683,0
2014-02-28,16:00:00,22.45,22.47,22.23,22.4,141936,0
2014-02-28,17:00:00,22.41,22.41,22.21,22.27,182190,0
2014-02-28,18:00:00,22.28,22.34,22.23,22.33,106791,0
2014-02-28,19:00:00,22.32,22.38,22.25,22.38,134322,0
2014-02-28,20:00:00,22.38,22.39,22.33,22.36,96751,0
2014-02-28,21:00:00,22.36,22.4,22.26,22.26,147366,0
2014-02-28,22:00:00,22.26,22.31,22.21,22.23,440717,0
2014-03-03,16:00:00,22.05,22.15,21.85,21.96,407053,0
2014-03-03,17:00:00,21.96,21.97,21.82,21.88,284091,0
2014-03-03,18:00:00,21.88,21.9,21.8,21.82,204243,0
2014-03-03,19:00:00,21.81,21.81,21.7,21.75,220088,0
2014-03-03,20:00:00,21.75,21.85,21.75,21.84,131632,0
2014-03-03,21:00:00,21.85,21.92,21.82,21.82,209729,0
2014-03-03,22:00:00,21.83,21.95,21.81,21.94,506590,0
2014-03-04,16:00:00,22.17,22.22,21.97,22.15,288050,0
2014-03-04,17:00:00,22.13,22.3,22.06,22.23,302098,0
2014-03-04,18:00:00,22.23,22.34,22.23,22.28,195773,0
2014-03-04,19:00:00,22.27,22.31,22.25,22.28,111990,0
2014-03-04,20:00:00,22.29,22.29,22.18,22.21,165420,0
2014-03-04,21:00:00,22.21,22.23,22.13,22.17,210190,0
2014-03-04,22:00:00,22.17,22.26,22.17,22.25,399824,0
2014-03-05,16:00:00,22.28,22.28,22.08,22.12,212169,0
2014-03-05,17:00:00,22.13,22.26,22.09,22.17,299601,0
2014-03-05,18:00:00,22.17,22.25,22.15,22.15,172951,0
2014-03-05,19:00:00,22.15,22.21,22.09,22.17,110241,0
2014-03-05,20:00:00,22.16,22.22,22.14,22.21,206156,0
2014-03-05,21:00:00,22.2,22.22,22.15,22.18,141344,0
2014-03-05,22:00:00,22.18,22.29,22.17,22.27,292625,0
2014-03-06,16:00:00,22.49,22.7,22.42,22.67,310755,0
2014-03-06,17:00:00,22.68,22.95,22.68,22.94,539284,0
2014-03-06,18:00:00,22.94,23.19,22.94,23.18,365750,0
2014-03-06,19:00:00,23.18,23.25,23.08,23.13,231265,0
2014-03-06,20:00:00,23.14,23.16,22.97,22.97,179342,0
