Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,56.4,56.42,55.46,55.63,49337,0
2014-02-10,17:00:00,55.63,55.81,55.15,55.3,88580,0
2014-02-10,18:00:00,55.27,55.53,55.14,55.41,69511,0
2014-02-10,19:00:00,55.42,55.68,55.31,55.6,26141,0
2014-02-10,20:00:00,55.63,55.69,55.5,55.59,30234,0
2014-02-10,21:00:00,55.62,55.9,55.59,55.82,62223,0
2014-02-10,22:00:00,55.81,55.84,55.6,55.7,133067,0
2014-02-11,16:00:00,55.77,56.55,55.56,56.07,25140,0
2014-02-11,17:00:00,56.1,56.23,55.63,55.84,76212,0
2014-02-11,18:00:00,55.97,56.58,55.79,56.55,111917,0
2014-02-11,19:00:00,56.57,56.75,56.45,56.7,43069,0
2014-02-11,20:00:00,56.73,56.85,56.6,56.81,54913,0
2014-02-11,21:00:00,56.8,56.97,56.76,56.97,75820,0
2014-02-11,22:00:00,56.96,57.04,56.89,56.93,267794,0
2014-02-12,16:00:00,57.04,57.7,57.04,57.45,48493,0
2014-02-12,17:00:00,57.44,57.64,57.07,57.26,163040,0
2014-02-12,18:00:00,57.19,57.4,57.05,57.18,35592,0
2014-02-12,19:00:00,57.2,57.41,57.15,57.27,28836,0
2014-02-12,20:00:00,57.26,57.3,57.17,57.26,38337,0
2014-02-12,21:00:00,57.27,57.33,57.09,57.16,55068,0
2014-02-12,22:00:00,57.18,57.23,57.04,57.23,162497,0
2014-02-13,16:00:00,56.58,57.14,56.58,57.09,41573,0
2014-02-13,17:00:00,57.17,57.97,57.09,57.83,63813,0
2014-02-13,18:00:00,57.89,57.96,57.78,57.9,37077,0
2014-02-13,19:00:00,57.89,58.07,57.86,58.04,28746,0
2014-02-13,20:00:00,58.05,58.3,58.05,58.3,40040,0
2014-02-13,21:00:00,58.35,58.46,58.23,58.26,50085,0
2014-02-13,22:00:00,58.32,58.4,58.22,58.32,351986,0
2014-02-14,16:00:00,58.47,58.79,57.92,58.68,54031,0
2014-02-14,17:00:00,58.71,58.9,58.39,58.68,84378,0
2014-02-14,18:00:00,58.67,58.69,58.44,58.67,151741,0
2014-02-14,19:00:00,58.7,58.89,58.68,58.82,52299,0
2014-02-14,20:00:00,58.83,58.93,58.79,58.91,37060,0
2014-02-14,21:00:00,58.89,58.91,58.73,58.8,34698,0
2014-02-14,22:00:00,58.78,58.92,58.77,58.89,262824,0
2014-02-18,16:00:00,59.22,59.53,58.8,58.91,105297,0
2014-02-18,17:00:00,58.84,59.2,58.38,58.81,129422,0
2014-02-18,18:00:00,58.82,58.85,58.52,58.54,65735,0
2014-02-18,19:00:00,58.52,59.18,58.51,59.18,54836,0
2014-02-18,20:00:00,59.17,59.27,58.98,59.06,69241,0
2014-02-18,21:00:00,59.07,59.1,58.85,58.95,99359,0
2014-02-18,22:00:00,58.95,59.29,58.95,59.14,214830,0
2014-02-19,16:00:00,58.86,59.42,58.86,59.25,74687,0
2014-02-19,17:00:00,59.26,59.69,59.03,59.45,101079,0
2014-02-19,18:00:00,59.45,59.71,59.33,59.39,44522,0
2014-02-19,19:00:00,59.35,59.39,59.12,59.29,29397,0
2014-02-19,20:00:00,59.29,59.6,59.26,59.52,37985,0
2014-02-19,21:00:00,59.47,59.72,59.34,59.39,42642,0
2014-02-19,22:00:00,59.43,59.47,58.86,58.9,152596,0
2014-02-20,16:00:00,59.24,59.51,59.16,59.3,45084,0
2014-02-20,17:00:00,59.23,59.76,59.08,59.69,124040,0
2014-02-20,18:00:00,59.72,59.82,59.39,59.47,78713,0
2014-02-20,19:00:00,59.49,59.68,59.44,59.67,39164,0
2014-02-20,20:00:00,59.67,59.86,59.61,59.73,62328,0
2014-02-20,21:00:00,59.72,59.9,59.6,59.8,80495,0
2014-02-20,22:00:00,59.82,60.1,59.81,60.04,192778,0
2014-02-21,16:00:00,60.12,60.33,59.8,59.91,63545,0
2014-02-21,17:00:00,59.94,60.21,59.74,60.21,39695,0
2014-02-21,18:00:00,60.2,60.51,60.12,60.48,56337,0
2014-02-21,19:00:00,60.49,60.74,60.49,60.7,77549,0
2014-02-21,20:00:00,60.72,60.76,60.56,60.71,56962,0
2014-02-21,21:00:00,60.7,60.74,60.33,60.57,74108,0
2014-02-21,22:00:00,60.57,60.85,60.55,60.69,332245,0
