Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,55.9239,56.0826,55.7452,56.0727,750002,0
2014-02-10,17:00:00,56.0727,56.2117,55.8842,56.0429,1056391,0
2014-02-10,18:00:00,56.0429,56.1323,55.9834,56.0132,698428,0
2014-02-10,19:00:00,56.0132,56.1323,55.9834,56.0628,744422,0
2014-02-10,20:00:00,56.0628,56.2613,56.0429,56.162,675054,0
2014-02-10,21:00:00,56.162,56.172,56.0628,56.162,584368,0
2014-02-10,22:00:00,56.172,56.172,56.0429,56.0826,1873813,0
2014-02-11,16:00:00,56.2315,56.6186,56.1223,56.3704,785896,0
2014-02-11,17:00:00,56.3704,56.7674,56.3704,56.6483,1175745,0
2014-02-11,18:00:00,56.6483,56.9262,56.6483,56.8865,715651,0
2014-02-11,19:00:00,56.8865,56.9163,56.6384,56.7575,878774,0
2014-02-11,20:00:00,56.7674,56.8468,56.6781,56.6781,1060372,0
2014-02-11,21:00:00,56.688,56.9262,56.6483,56.9262,1064390,0
2014-02-11,22:00:00,56.9262,56.9461,56.6285,56.7079,2982576,0
2014-02-12,16:00:00,56.7377,56.7377,56.3208,56.3605,621490,0
2014-02-12,17:00:00,56.3704,56.4796,56.1918,56.2514,1143149,0
2014-02-12,18:00:00,56.2414,56.4498,56.2117,56.4002,1012418,0
2014-02-12,19:00:00,56.3903,56.5193,56.3109,56.3804,969251,0
2014-02-12,20:00:00,56.3704,56.43,56.3506,56.3903,1065750,0
2014-02-12,21:00:00,56.4002,56.4796,56.3506,56.4598,884511,0
2014-02-12,22:00:00,56.4598,56.5292,56.3307,56.5193,2541059,0
2014-02-13,16:00:00,56.3704,56.79,56.0231,56.72,1088859,0
2014-02-13,17:00:00,56.71,56.86,56.3804,56.6781,1242973,0
2014-02-13,18:00:00,56.688,56.9262,56.6186,56.827,1134025,0
2014-02-13,19:00:00,56.827,56.8369,56.6682,56.7178,783113,0
2014-02-13,20:00:00,56.7178,56.7377,56.5987,56.6086,738807,0
2014-02-13,21:00:00,56.6086,56.6186,56.4101,56.4995,1277202,0
2014-02-13,22:00:00,56.5094,56.5193,56.3109,56.43,2538021,0
2014-02-14,16:00:00,56.69,56.69,55.76,56.31,1640918,0
2014-02-14,17:00:00,56.3,56.47,56.2,56.44,1304534,0
2014-02-14,18:00:00,56.43,56.51,56.21,56.29,902430,0
2014-02-14,19:00:00,56.29,56.39,56.21,56.25,771682,0
2014-02-14,20:00:00,56.26,56.35,56.21,56.29,826624,0
2014-02-14,21:00:00,56.29,56.33,56.22,56.27,819370,0
2014-02-14,22:00:00,56.28,56.31,56.03,56.06,3727769,0
2014-02-18,16:00:00,56.43,56.5,56.17,56.36,845712,0
2014-02-18,17:00:00,56.35,56.64,56.27,56.43,1298431,0
2014-02-18,18:00:00,56.44,56.52,56.3,56.43,798782,0
2014-02-18,19:00:00,56.43,56.59,56.4,56.52,658055,0
2014-02-18,20:00:00,56.52,56.56,56.43,56.5,567602,0
2014-02-18,21:00:00,56.49,56.63,56.47,56.5,699181,0
2014-02-18,22:00:00,56.5,56.52,56.36,56.39,2271403,0
2014-02-19,16:00:00,56.36,56.75,56.32,56.74,792531,0
2014-02-19,17:00:00,56.74,57.82,56.68,57.66,2190618,0
2014-02-19,18:00:00,57.67,57.72,57.17,57.34,1633938,0
2014-02-19,19:00:00,57.34,57.59,57.28,57.42,942837,0
2014-02-19,20:00:00,57.42,57.68,57.19,57.19,940907,0
2014-02-19,21:00:00,57.2,57.38,57.1,57.29,916189,0
2014-02-19,22:00:00,57.3,57.34,57.25,57.31,2260958,0
2014-02-20,16:00:00,57.4,57.4,56.5,56.81,1259255,0
2014-02-20,17:00:00,56.78,56.87,56.41,56.48,1691026,0
2014-02-20,18:00:00,56.48,56.69,56.45,56.62,1967627,0
2014-02-20,19:00:00,56.62,56.85,56.57,56.79,1320471,0
2014-02-20,20:00:00,56.78,56.8,56.59,56.61,809206,0
2014-02-20,21:00:00,56.62,56.71,56.52,56.67,819865,0
2014-02-20,22:00:00,56.67,56.67,56.6,56.62,3991854,0
2014-02-21,16:00:00,56.72,56.8,56.57,56.61,708211,0
2014-02-21,17:00:00,56.62,56.75,56.57,56.66,1397644,0
2014-02-21,18:00:00,56.66,56.68,56.5,56.65,787343,0
2014-02-21,19:00:00,56.64,56.69,56.54,56.58,776257,0
2014-02-21,20:00:00,56.58,56.6,56.35,56.42,597522,0
2014-02-21,21:00:00,56.41,56.43,56.25,56.28,970229,0
2014-02-21,22:00:00,56.27,56.4,56.15,56.24,3223306,0
2014-02-24,16:00:00,56.19,56.24,55.54,55.6,2083027,0
2014-02-24,17:00:00,55.6,55.85,55.44,55.78,2202936,0
