Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.82,24.82,24.45,24.7,169732,0
2014-02-10,17:00:00,24.74,24.78,24.57,24.63,28498,0
2014-02-10,18:00:00,24.63,24.65,24.5,24.65,24418,0
2014-02-10,19:00:00,24.64,24.72,24.6,24.69,17625,0
2014-02-10,20:00:00,24.7,24.75,24.65,24.71,56557,0
2014-02-10,21:00:00,24.71,24.84,24.61,24.69,67580,0
2014-02-10,22:00:00,24.72,24.78,24.64,24.74,78534,0
2014-02-11,16:00:00,24.63,24.78,24.62,24.68,17411,0
2014-02-11,17:00:00,24.68,24.77,24.66,24.71,36523,0
2014-02-11,18:00:00,24.72,24.79,24.68,24.73,49972,0
2014-02-11,19:00:00,24.75,24.77,24.69,24.73,14062,0
2014-02-11,20:00:00,24.74,24.79,24.7,24.71,41848,0
2014-02-11,21:00:00,24.7,24.78,24.66,24.78,17598,0
2014-02-11,22:00:00,24.76,24.92,24.54,24.72,237069,0
2014-02-12,16:00:00,24.75,24.85,24.7,24.75,8189,0
2014-02-12,17:00:00,24.72,24.79,24.61,24.61,9454,0
2014-02-12,18:00:00,24.62,24.7,24.52,24.6,6527,0
2014-02-12,19:00:00,24.58,24.74,24.58,24.72,5400,0
2014-02-12,20:00:00,24.74,24.77,24.66,24.71,21569,0
2014-02-12,21:00:00,24.7,24.71,24.49,24.52,10878,0
2014-02-12,22:00:00,24.53,24.55,24.45,24.5,85942,0
2014-02-13,16:00:00,24.35,24.45,24.25,24.34,12447,0
2014-02-13,17:00:00,24.34,24.6,24.34,24.46,33919,0
2014-02-13,18:00:00,24.55,24.57,24.43,24.53,30709,0
2014-02-13,19:00:00,24.5,24.71,24.5,24.66,20104,0
2014-02-13,20:00:00,24.64,24.71,24.58,24.65,20131,0
2014-02-13,21:00:00,24.69,24.71,24.53,24.63,25009,0
2014-02-13,22:00:00,24.62,24.75,24.57,24.68,81304,0
2014-02-14,16:00:00,24.68,24.68,24.5,24.52,9978,0
2014-02-14,17:00:00,24.61,24.75,24.52,24.55,14366,0
2014-02-14,18:00:00,24.51,24.75,24.5,24.72,14590,0
2014-02-14,19:00:00,24.74,24.76,24.67,24.74,11086,0
2014-02-14,20:00:00,24.73,24.76,24.72,24.72,14842,0
2014-02-14,21:00:00,24.74,24.76,24.73,24.75,8453,0
2014-02-14,22:00:00,24.75,24.76,24.68,24.74,31055,0
2014-02-18,16:00:00,24.77,24.98,24.71,24.73,14158,0
2014-02-18,17:00:00,24.74,24.78,24.62,24.72,16740,0
2014-02-18,18:00:00,24.74,24.84,24.72,24.72,28220,0
2014-02-18,19:00:00,24.75,24.87,24.72,24.87,41944,0
2014-02-18,20:00:00,24.87,24.87,24.75,24.78,17968,0
2014-02-18,21:00:00,24.82,25.01,24.78,24.93,19772,0
2014-02-18,22:00:00,24.93,24.99,24.9,24.93,77430,0
2014-02-19,16:00:00,24.91,24.94,24.84,24.86,6521,0
2014-02-19,17:00:00,24.85,24.92,24.85,24.91,7782,0
2014-02-19,18:00:00,24.9,24.92,24.71,24.75,51932,0
2014-02-19,19:00:00,24.68,24.74,24.54,24.73,10314,0
2014-02-19,20:00:00,24.7,24.82,24.7,24.73,62700,0
2014-02-19,21:00:00,24.73,24.82,24.64,24.68,10557,0
2014-02-19,22:00:00,24.65,24.67,24.51,24.56,43000,0
2014-02-20,16:00:00,24.54,24.56,24.4,24.46,9090,0
2014-02-20,17:00:00,24.5,24.72,24.48,24.72,34568,0
2014-02-20,18:00:00,24.72,24.77,24.68,24.74,15098,0
2014-02-20,19:00:00,24.74,24.78,24.54,24.75,30314,0
2014-02-20,20:00:00,24.75,24.75,24.69,24.71,6767,0
2014-02-20,21:00:00,24.69,24.84,24.69,24.79,16130,0
2014-02-20,22:00:00,24.79,24.88,24.79,24.82,87123,0
2014-02-21,16:00:00,24.7,24.86,24.53,24.6,3194,0
2014-02-21,17:00:00,24.6,24.6,24.52,24.59,2900,0
2014-02-21,18:00:00,24.63,24.65,24.51,24.58,6802,0
2014-02-21,19:00:00,24.61,24.64,24.49,24.53,34846,0
2014-02-21,20:00:00,24.52,24.58,24.5,24.58,5142,0
2014-02-21,21:00:00,24.53,24.56,24.45,24.49,19685,0
2014-02-21,22:00:00,24.48,24.49,24.33,24.38,64124,0
2014-02-24,16:00:00,24.34,24.55,24.34,24.55,2668,0
2014-02-24,17:00:00,24.56,24.62,24.52,24.6,14693,0
2014-02-24,18:00:00,24.6,24.66,24.5,24.6,39685,0
2014-02-24,19:00:00,24.56,24.6,24.49,24.56,13920,0
2014-02-24,20:00:00,24.53,24.6,24.46,24.48,8800,0
2014-02-24,21:00:00,24.45,24.53,24.38,24.53,11322,0
2014-02-24,22:00:00,24.5,24.65,24.5,24.59,67131,0
2014-02-25,16:00:00,24.51,24.64,24.4,24.46,32684,0
2014-02-25,17:00:00,24.46,24.58,24.44,24.44,15170,0
2014-02-25,18:00:00,24.49,24.63,24.48,24.51,9900,0
2014-02-25,19:00:00,24.48,24.56,24.41,24.56,23339,0
2014-02-25,20:00:00,24.55,24.55,24.46,24.51,21075,0
2014-02-25,21:00:00,24.52,24.52,24.37,24.43,11963,0
2014-02-25,22:00:00,24.41,24.44,24.23,24.44,45189,0
2014-02-26,16:00:00,24.39,24.39,24.32,24.33,2200,0
2014-02-26,17:00:00,24.38,24.45,24.32,24.39,33001,0
2014-02-26,18:00:00,24.39,24.39,24.3,24.33,6796,0
2014-02-26,19:00:00,24.34,24.34,24.25,24.34,67495,0
2014-02-26,20:00:00,24.33,24.34,24.29,24.3,5880,0
2014-02-26,21:00:00,24.26,24.26,24.12,24.24,2600,0
2014-02-26,22:00:00,24.22,24.29,24.17,24.26,46278,0
2014-02-27,16:00:00,24.27,24.27,24,24.06,6302,0
2014-02-27,17:00:00,24.1,24.3,24.08,24.28,8135,0
2014-02-27,18:00:00,24.27,24.47,24.25,24.4,40103,0
2014-02-27,19:00:00,24.45,24.56,24.42,24.55,46676,0
2014-02-27,20:00:00,24.55,24.57,24.41,24.42,26933,0
2014-02-27,21:00:00,24.45,24.5,24.33,24.4,15985,0
2014-02-27,22:00:00,24.39,24.46,24.29,24.44,59737,0
2014-02-28,16:00:00,24.43,24.43,24.31,24.38,5800,0
