Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.55,11.57,11.53,11.55,16015,0
2014-02-10,17:00:00,11.52,11.54,11.5,11.53,16238,0
2014-02-10,18:00:00,11.53,11.54,11.49,11.49,1875,0
2014-02-10,19:00:00,11.52,11.54,11.48,11.52,27214,0
2014-02-10,20:00:00,11.48,11.51,11.47,11.47,15484,0
2014-02-10,21:00:00,11.47,11.5,11.47,11.49,11908,0
2014-02-10,22:00:00,11.49,11.53,11.48,11.5,18935,0
2014-02-11,16:00:00,11.34,11.38,11.32,11.35,12017,0
2014-02-11,17:00:00,11.37,11.54,11.35,11.48,27179,0
2014-02-11,18:00:00,11.48,11.54,11.48,11.54,10600,0
2014-02-11,19:00:00,11.52,11.54,11.5,11.54,4047,0
2014-02-11,20:00:00,11.5,11.53,11.5,11.51,7751,0
2014-02-11,21:00:00,11.51,11.55,11.51,11.54,8351,0
2014-02-11,22:00:00,11.55,11.55,11.5,11.55,20837,0
2014-02-12,16:00:00,11.57,11.62,11.55,11.59,2461,0
2014-02-12,17:00:00,11.6,11.6,11.49,11.52,14720,0
2014-02-12,18:00:00,11.53,11.57,11.53,11.57,13367,0
2014-02-12,19:00:00,11.54,11.57,11.52,11.55,3674,0
2014-02-12,20:00:00,11.55,11.58,11.55,11.58,5098,0
2014-02-12,21:00:00,11.57,11.57,11.53,11.55,4174,0
2014-02-12,22:00:00,11.56,11.63,11.56,11.63,10881,0
2014-02-13,16:00:00,11.55,11.65,11.55,11.58,30176,0
2014-02-13,17:00:00,11.58,11.68,11.58,11.63,33058,0
2014-02-13,18:00:00,11.65,11.65,11.62,11.64,2560,0
2014-02-13,19:00:00,11.65,11.67,11.64,11.67,13175,0
2014-02-13,20:00:00,11.68,11.68,11.63,11.67,3300,0
2014-02-13,21:00:00,11.67,11.68,11.66,11.68,3425,0
2014-02-13,22:00:00,11.68,11.72,11.66,11.72,23019,0
2014-02-14,16:00:00,11.6,11.62,11.59,11.6,2764,0
2014-02-14,17:00:00,11.61,11.62,11.59,11.59,2800,0
2014-02-14,18:00:00,11.6,11.64,11.53,11.56,7465,0
2014-02-14,19:00:00,11.56,11.61,11.51,11.58,8409,0
2014-02-14,20:00:00,11.57,11.61,11.55,11.55,5593,0
2014-02-14,21:00:00,11.56,11.61,11.56,11.6,3446,0
2014-02-14,22:00:00,11.58,11.62,11.55,11.62,9483,0
2014-02-18,16:00:00,11.91,11.93,11.88,11.9,30605,0
2014-02-18,17:00:00,11.89,11.95,11.88,11.95,11802,0
2014-02-18,18:00:00,11.95,11.96,11.87,11.95,22378,0
2014-02-18,19:00:00,11.94,11.98,11.92,11.93,16246,0
2014-02-18,20:00:00,11.94,11.97,11.93,11.93,10676,0
2014-02-18,21:00:00,11.94,11.97,11.92,11.94,7443,0
2014-02-18,22:00:00,11.94,11.98,11.91,11.98,17741,0
2014-02-19,16:00:00,11.78,11.83,11.76,11.83,7833,0
2014-02-19,17:00:00,11.82,11.85,11.8,11.84,13049,0
2014-02-19,18:00:00,11.84,11.84,11.77,11.78,7110,0
2014-02-19,19:00:00,11.76,11.78,11.73,11.76,4782,0
2014-02-19,20:00:00,11.76,11.78,11.75,11.78,2916,0
2014-02-19,21:00:00,11.74,11.77,11.69,11.72,13078,0
2014-02-19,22:00:00,11.74,11.74,11.6,11.7,29290,0
2014-02-20,16:00:00,11.71,11.77,11.71,11.71,11311,0
2014-02-20,17:00:00,11.72,11.81,11.72,11.81,2250,0
2014-02-20,18:00:00,11.79,11.87,11.79,11.84,8215,0
2014-02-20,19:00:00,11.8,11.82,11.79,11.82,2000,0
2014-02-20,20:00:00,11.84,11.84,11.82,11.83,1990,0
2014-02-20,21:00:00,11.83,11.86,11.82,11.82,2669,0
2014-02-20,22:00:00,11.85,11.87,11.83,11.86,6747,0
2014-02-21,16:00:00,11.96,12.08,11.96,12.06,12049,0
2014-02-21,17:00:00,12.06,12.06,11.99,12.01,69984,0
2014-02-21,18:00:00,12.01,12.01,11.88,11.88,66387,0
2014-02-21,19:00:00,11.89,11.92,11.89,11.92,11961,0
2014-02-21,20:00:00,11.92,11.94,11.91,11.94,4700,0
2014-02-21,21:00:00,11.94,11.94,11.87,11.88,5362,0
2014-02-21,22:00:00,11.88,11.89,11.83,11.83,3738,0
2014-02-24,16:00:00,11.88,11.9,11.86,11.87,3600,0
2014-02-24,17:00:00,11.86,11.9,11.82,11.89,9634,0
2014-02-24,18:00:00,11.88,11.97,11.84,11.94,20759,0
2014-02-24,19:00:00,11.95,11.96,11.95,11.95,2646,0
2014-02-24,20:00:00,11.95,11.96,11.93,11.96,27908,0
2014-02-24,21:00:00,11.96,11.96,11.94,11.95,4337,0
2014-02-24,22:00:00,11.94,11.95,11.91,11.95,12028,0
2014-02-25,16:00:00,11.89,11.9,11.83,11.85,11507,0
2014-02-25,17:00:00,11.84,11.91,11.83,11.87,7283,0
2014-02-25,18:00:00,11.89,12,11.89,11.94,9408,0
2014-02-25,19:00:00,11.95,12,11.95,11.96,22863,0
2014-02-25,20:00:00,11.96,11.99,11.96,11.98,14161,0
2014-02-25,21:00:00,11.98,11.99,11.98,11.99,44145,0
2014-02-25,22:00:00,11.99,12.01,11.95,12.01,22399,0
2014-02-26,16:00:00,11.76,11.78,11.72,11.72,3200,0
2014-02-26,17:00:00,11.72,11.74,11.61,11.67,9260,0
2014-02-26,18:00:00,11.61,11.63,11.56,11.56,16288,0
2014-02-26,19:00:00,11.6,11.61,11.57,11.6,35800,0
2014-02-26,20:00:00,11.59,11.6,11.56,11.58,29911,0
2014-02-26,21:00:00,11.57,11.58,11.52,11.52,9475,0
2014-02-26,22:00:00,11.52,11.57,11.51,11.57,38503,0
2014-02-27,16:00:00,11.13,11.2,11.08,11.1,27432,0
2014-02-27,17:00:00,11.09,11.16,11.08,11.08,16736,0
2014-02-27,18:00:00,11.09,11.2,11.09,11.16,11193,0
2014-02-27,19:00:00,11.16,11.17,11.15,11.15,20483,0
2014-02-27,20:00:00,11.16,11.18,11.15,11.18,9201,0
2014-02-27,21:00:00,11.18,11.21,11.17,11.19,24218,0
2014-02-27,22:00:00,11.18,11.23,11.18,11.23,30777,0
2014-02-28,16:00:00,11.25,11.27,11.22,11.26,3243,0
2014-02-28,17:00:00,11.29,11.33,11.29,11.31,7320,0
2014-02-28,18:00:00,11.3,11.36,11.29,11.34,8421,0
2014-02-28,19:00:00,11.36,11.36,11.35,11.35,400,0
2014-02-28,20:00:00,11.37,11.37,11.33,11.36,4276,0
2014-02-28,21:00:00,11.34,11.38,11.34,11.37,16208,0
2014-02-28,22:00:00,11.35,11.35,11.3,11.35,8369,0
2014-03-03,16:00:00,11.01,11.05,10.98,11,46512,0
2014-03-03,17:00:00,11.02,11.02,10.95,11,13138,0
2014-03-03,18:00:00,10.97,10.97,10.9,10.92,23450,0
2014-03-03,19:00:00,10.92,10.92,10.87,10.88,14901,0
2014-03-03,20:00:00,10.88,10.93,10.87,10.93,2556,0
2014-03-03,21:00:00,10.92,10.95,10.91,10.95,12061,0
2014-03-03,22:00:00,10.95,10.98,10.92,10.98,61856,0
2014-03-04,16:00:00,11.44,11.52,11.44,11.52,9991,0
2014-03-04,17:00:00,11.53,11.54,11.49,11.53,9072,0
2014-03-04,18:00:00,11.53,11.55,11.5,11.55,15721,0
2014-03-04,19:00:00,11.55,11.55,11.5,11.51,11574,0
2014-03-04,20:00:00,11.52,11.53,11.51,11.51,4740,0
2014-03-04,21:00:00,11.52,11.53,11.49,11.52,8985,0
2014-03-04,22:00:00,11.52,11.52,11.44,11.44,19983,0
2014-03-05,16:00:00,11.62,11.67,11.61,11.65,12646,0
2014-03-05,17:00:00,11.65,11.77,11.65,11.75,30443,0
2014-03-05,18:00:00,11.75,11.76,11.69,11.72,7330,0
2014-03-05,19:00:00,11.7,11.71,11.68,11.69,2300,0
2014-03-05,20:00:00,11.69,11.72,11.68,11.7,6596,0
2014-03-05,21:00:00,11.71,11.72,11.7,11.72,2975,0
2014-03-05,22:00:00,11.73,11.75,11.7,11.75,26494,0
2014-03-06,16:00:00,11.64,11.64,11.58,11.61,4070,0
2014-03-06,17:00:00,11.6,11.61,11.57,11.6,16914,0
2014-03-06,18:00:00,11.61,11.61,11.53,11.59,23322,0
2014-03-06,19:00:00,11.59,11.62,11.55,11.59,7862,0
2014-03-06,20:00:00,11.59,11.59,11.56,11.58,3480,0
2014-03-06,21:00:00,11.56,11.6,11.56,11.59,3410,0
2014-03-06,22:00:00,11.59,11.72,11.59,11.63,112224,0
2014-03-07,16:00:00,11.47,11.48,11.3,11.33,81526,0
2014-03-07,17:00:00,11.34,11.42,11.34,11.36,24888,0
2014-03-07,18:00:00,11.31,11.33,11.24,11.24,22830,0
2014-03-07,19:00:00,11.25,11.33,11.25,11.33,12754,0
2014-03-07,20:00:00,11.32,11.33,11.28,11.31,15012,0
2014-03-07,21:00:00,11.31,11.31,11.27,11.28,37679,0
2014-03-07,22:00:00,11.27,11.31,11.26,11.31,24871,0
2014-03-10,15:00:00,11.32,11.35,11.31,11.35,3122,0
2014-03-10,16:00:00,11.31,11.37,11.3,11.37,35543,0
2014-03-10,17:00:00,11.33,11.4,11.33,11.36,5879,0
2014-03-10,18:00:00,11.37,11.45,11.36,11.41,11227,0
2014-03-10,19:00:00,11.41,11.45,11.4,11.4,14504,0
2014-03-10,20:00:00,11.4,11.43,11.4,11.42,4651,0
2014-03-10,21:00:00,11.42,11.48,11.41,11.48,12655,0
2014-03-11,15:00:00,11.35,11.36,11.29,11.32,8330,0
2014-03-11,16:00:00,11.32,11.36,11.3,11.35,10357,0
2014-03-11,17:00:00,11.33,11.34,11.3,11.32,27333,0
2014-03-11,18:00:00,11.32,11.39,11.29,11.3,20381,0
2014-03-11,19:00:00,11.33,11.33,11.29,11.31,4070,0
2014-03-11,20:00:00,11.31,11.32,11.3,11.31,2840,0
2014-03-11,21:00:00,11.3,11.33,11.26,11.32,13636,0
2014-03-12,15:00:00,11.19,11.19,11.13,11.15,5093,0
2014-03-12,16:00:00,11.15,11.17,11.09,11.13,8495,0
2014-03-12,17:00:00,11.11,11.2,11.11,11.15,11095,0
2014-03-12,18:00:00,11.14,11.19,11.12,11.18,6402,0
2014-03-12,19:00:00,11.17,11.18,11.14,11.14,13691,0
2014-03-12,20:00:00,11.15,11.17,11.14,11.17,10417,0
2014-03-12,21:00:00,11.17,11.21,11.14,11.21,17255,0
2014-03-13,15:00:00,11.26,11.26,11.24,11.26,7977,0
2014-03-13,16:00:00,11.26,11.28,11.22,11.24,6685,0
2014-03-13,17:00:00,11.24,11.26,11.21,11.21,11272,0
2014-03-13,18:00:00,11.21,11.24,11.09,11.09,5224,0
2014-03-13,19:00:00,11.11,11.14,11.06,11.06,11090,0
2014-03-13,20:00:00,11.06,11.06,11.02,11.03,54548,0
2014-03-13,21:00:00,11.04,11.06,10.97,10.97,32401,0
2014-03-14,15:00:00,10.99,11.02,10.98,11.02,3200,0
2014-03-14,16:00:00,11,11.07,11,11.04,8405,0
2014-03-14,17:00:00,11.05,11.05,10.95,11.04,14079,0
2014-03-14,18:00:00,11.05,11.06,10.97,11.01,14967,0
2014-03-14,19:00:00,11.01,11.01,10.97,10.97,8534,0
2014-03-14,20:00:00,10.97,10.99,10.97,10.98,2733,0
2014-03-14,21:00:00,10.98,10.98,10.91,10.91,11451,0
2014-03-17,15:00:00,11.33,11.37,11.33,11.37,1925,0
2014-03-17,16:00:00,11.39,11.39,11.31,11.31,7215,0
2014-03-17,17:00:00,11.33,11.37,11.31,11.37,6200,0
2014-03-17,18:00:00,11.37,11.4,11.34,11.35,2240,0
2014-03-17,19:00:00,11.39,11.42,11.35,11.41,12589,0
2014-03-17,20:00:00,11.39,11.41,11.38,11.38,21920,0
2014-03-17,21:00:00,11.38,11.4,11.31,11.31,15910,0
2014-03-18,15:00:00,11.53,11.56,11.53,11.54,2870,0
2014-03-18,16:00:00,11.53,11.55,11.48,11.48,8286,0
2014-03-18,17:00:00,11.48,11.52,11.45,11.52,4500,0
2014-03-18,18:00:00,11.52,11.62,11.52,11.56,19673,0
2014-03-18,19:00:00,11.58,11.61,11.57,11.57,4481,0
2014-03-18,20:00:00,11.57,11.61,11.57,11.61,10294,0
2014-03-18,21:00:00,11.61,11.61,11.55,11.55,4620,0
2014-03-19,15:00:00,11.67,11.67,11.55,11.55,8421,0
2014-03-19,16:00:00,11.59,11.59,11.47,11.48,5760,0
2014-03-19,17:00:00,11.49,11.51,11.48,11.49,2941,0
2014-03-19,18:00:00,11.49,11.57,11.46,11.52,15632,0
2014-03-19,19:00:00,11.51,11.51,11.49,11.51,8666,0
2014-03-19,20:00:00,11.5,11.5,11.39,11.41,12482,0
2014-03-19,21:00:00,11.4,11.41,11.29,11.39,16433,0
2014-03-20,15:00:00,11.34,11.35,11.3,11.3,2200,0
2014-03-20,16:00:00,11.32,11.38,11.3,11.3,5607,0
2014-03-20,17:00:00,11.32,11.34,11.3,11.34,4668,0
2014-03-20,18:00:00,11.32,11.37,11.27,11.31,3995,0
2014-03-20,19:00:00,11.31,11.32,11.28,11.3,4900,0
2014-03-20,20:00:00,11.31,11.32,11.28,11.29,6113,0
2014-03-20,21:00:00,11.29,11.36,11.27,11.36,7282,0
2014-03-21,15:00:00,11.28,11.3,11.27,11.27,2347,0
2014-03-21,16:00:00,11.28,11.3,11.23,11.26,6930,0
2014-03-21,17:00:00,11.3,11.35,11.3,11.3,11868,0
2014-03-21,18:00:00,11.3,11.3,11.17,11.19,3400,0
2014-03-21,19:00:00,11.18,11.18,11.14,11.14,1200,0
2014-03-21,20:00:00,11.14,11.14,11.09,11.12,7500,0
2014-03-21,21:00:00,11.12,11.15,11.1,11.15,16557,0
2014-03-24,15:00:00,11.13,11.13,11.13,11.13,900,0
2014-03-24,16:00:00,11.09,11.09,11,11.04,4046,0
2014-03-24,17:00:00,11.02,11.05,11.01,11.02,8834,0
2014-03-24,18:00:00,11.02,11.03,11,11.02,5085,0
2014-03-24,19:00:00,10.99,11.07,10.97,11.05,5468,0
2014-03-24,20:00:00,11.05,11.08,11.04,11.08,1800,0
2014-03-24,21:00:00,11.08,11.15,11.06,11.15,10966,0
2014-03-25,15:00:00,11.11,11.12,11.05,11.06,5800,0
2014-03-25,16:00:00,11.07,11.07,11.02,11.04,5246,0
2014-03-25,17:00:00,11.05,11.08,11.03,11.04,8385,0
2014-03-25,18:00:00,11.05,11.09,11.04,11.07,6689,0
2014-03-25,19:00:00,11.13,11.15,11.07,11.13,48591,0
