Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,22:00:00,18.63,18.63,18.63,18.63,100,0
2014-02-11,22:00:00,18.75,18.75,18.75,18.75,339,0
2014-02-12,16:00:00,18.89,18.91,18.89,18.9,1400,0
2014-02-12,19:00:00,18.82,18.82,18.81,18.82,800,0
2014-02-13,16:00:00,18.67,18.69,18.66,18.66,102625,0
2014-02-13,18:00:00,18.66,18.66,18.66,18.66,100,0
2014-02-13,20:00:00,18.7,18.88,18.7,18.86,5000,0
2014-02-13,21:00:00,18.97,18.97,18.92,18.92,2900,0
2014-02-13,22:00:00,18.82,18.82,18.71,18.71,3500,0
2014-02-14,20:00:00,18.87,18.91,18.86,18.9,3160,0
2014-02-14,21:00:00,18.94,18.94,18.94,18.94,200,0
2014-02-18,16:00:00,18.93,18.93,18.86,18.92,5058,0
2014-02-18,17:00:00,18.93,19.01,18.93,19.01,3485,0
2014-02-18,22:00:00,18.96,18.96,18.92,18.93,2100,0
2014-02-19,16:00:00,19.33,19.33,18.82,18.82,550,0
2014-02-19,17:00:00,18.82,18.95,18.82,18.82,1575,0
2014-02-19,18:00:00,18.83,18.83,18.83,18.83,400,0
2014-02-19,22:00:00,18.86,18.86,18.81,18.82,900,0
2014-02-20,21:00:00,18.83,18.84,18.83,18.84,200,0
2014-02-20,22:00:00,18.76,18.83,18.75,18.75,1482,0
2014-02-21,16:00:00,18.89,18.91,18.89,18.91,900,0
2014-02-21,17:00:00,18.88,19.37,18.8,18.98,40840,0
2014-02-21,19:00:00,19.28,19.28,19.28,19.28,100,0
2014-02-21,20:00:00,19.27,19.27,19.25,19.25,900,0
2014-02-21,21:00:00,19.1,19.1,19.1,19.1,200,0
2014-02-24,17:00:00,18.9,18.91,18.76,18.76,2686,0
2014-02-24,18:00:00,18.88,18.91,18.85,18.91,1502,0
2014-02-24,19:00:00,18.87,18.89,18.87,18.87,1300,0
2014-02-25,16:00:00,19.13,19.13,19.13,19.13,100,0
2014-02-25,18:00:00,18.75,18.75,18.75,18.75,300,0
2014-02-25,22:00:00,18.73,18.73,18.71,18.72,1540,0
2014-02-26,16:00:00,18.81,18.81,18.81,18.81,1293,0
2014-02-26,17:00:00,18.95,18.95,18.95,18.95,400,0
2014-02-27,16:00:00,19.08,19.08,19.08,19.08,100,0
2014-02-27,21:00:00,19.05,19.05,19.05,19.05,100,0
2014-02-27,22:00:00,19.05,19.06,18.95,19.01,3162,0
2014-02-28,16:00:00,18.95,18.95,18.95,18.95,100,0
2014-02-28,18:00:00,18.83,18.88,18.83,18.88,1547,0
2014-02-28,21:00:00,18.94,18.96,18.94,18.94,1352,0
2014-02-28,22:00:00,18.94,18.94,18.89,18.91,1904,0
2014-03-03,17:00:00,18.71,18.71,18.65,18.66,4050,0
2014-03-03,19:00:00,18.7,18.7,18.65,18.66,520,0
2014-03-03,22:00:00,18.64,18.66,18.62,18.66,1015,0
2014-03-04,19:00:00,18.8,18.86,18.8,18.86,664,0
2014-03-05,16:00:00,18.88,18.88,18.88,18.88,100,0
2014-03-05,17:00:00,18.86,18.86,18.86,18.86,300,0
2014-03-05,18:00:00,18.84,18.85,18.77,18.77,716,0
2014-03-05,20:00:00,18.82,18.82,18.8,18.8,500,0
2014-03-05,22:00:00,18.81,18.83,18.81,18.83,1050,0
2014-03-06,17:00:00,19.01,19.01,19.01,19.01,1000,0
2014-03-06,19:00:00,19.07,19.07,19.03,19.03,400,0
2014-03-06,22:00:00,19.02,19.02,19.02,19.02,100,0
2014-03-07,17:00:00,19.1,19.1,19.1,19.1,200,0
2014-03-07,19:00:00,19.06,19.06,19.06,19.06,300,0
2014-03-07,20:00:00,19.06,19.06,19.01,19.01,800,0
2014-03-10,15:00:00,18.75,18.75,18.73,18.73,500,0
2014-03-10,16:00:00,18.74,18.78,18.73,18.73,4250,0
2014-03-10,17:00:00,18.74,18.75,18.74,18.75,323,0
2014-03-10,20:00:00,18.85,18.87,18.84,18.86,1100,0
2014-03-10,21:00:00,18.82,18.82,18.79,18.82,1224,0
2014-03-11,16:00:00,18.92,18.92,18.85,18.85,1000,0
2014-03-11,17:00:00,18.89,18.89,18.87,18.87,700,0
2014-03-11,20:00:00,18.86,18.89,18.85,18.85,1800,0
2014-03-11,21:00:00,18.86,18.87,18.85,18.85,1100,0
2014-03-12,16:00:00,18.73,18.73,18.73,18.73,448,0
2014-03-12,18:00:00,18.74,18.74,18.73,18.73,200,0
2014-03-12,20:00:00,18.75,18.75,18.75,18.75,300,0
2014-03-13,15:00:00,18.5,18.87,17.97,18.82,2000,0
2014-03-13,16:00:00,18.8,18.8,18.71,18.73,300,0
2014-03-13,17:00:00,18.74,18.79,18.72,18.73,12645,0
2014-03-13,18:00:00,18.72,18.77,18.72,18.75,2623,0
2014-03-13,19:00:00,18.72,18.73,18.72,18.72,1705,0
2014-03-13,20:00:00,18.72,18.72,18.72,18.72,1698,0
2014-03-14,16:00:00,18.75,18.75,18.44,18.59,2200,0
2014-03-14,17:00:00,18.58,18.62,18.58,18.62,200,0
2014-03-14,19:00:00,18.69,18.69,18.66,18.66,600,0
2014-03-17,16:00:00,18.66,18.66,18.66,18.66,100,0
2014-03-18,20:00:00,18.73,18.73,18.73,18.73,100,0
2014-03-19,15:00:00,18.69,18.69,18.66,18.68,600,0
2014-03-19,16:00:00,18.69,18.73,18.68,18.73,3200,0
2014-03-19,18:00:00,18.7,18.74,18.69,18.72,24099,0
2014-03-19,19:00:00,18.74,18.75,18.73,18.73,700,0
2014-03-19,20:00:00,18.69,18.69,18.69,18.69,100,0
2014-03-19,21:00:00,18.69,18.69,18.65,18.65,2929,0
2014-03-20,15:00:00,18.43,18.44,18.35,18.35,1400,0
2014-03-20,16:00:00,18.36,18.37,18.35,18.37,9998,0
2014-03-20,17:00:00,18.37,18.38,18.37,18.38,800,0
2014-03-20,18:00:00,18.38,18.38,18.37,18.37,200,0
2014-03-20,20:00:00,18.43,18.44,18.43,18.44,702,0
2014-03-20,21:00:00,18.51,18.51,18.51,18.51,1082,0
2014-03-21,15:00:00,18.44,18.57,18.44,18.57,400,0
2014-03-21,16:00:00,18.47,18.48,18.47,18.48,300,0
2014-03-21,19:00:00,18.48,18.53,18.47,18.47,2612,0
2014-03-21,20:00:00,18.49,18.52,18.47,18.52,1144,0
2014-03-21,21:00:00,18.44,18.5,18.42,18.5,900,0
2014-03-24,16:00:00,18.46,18.46,18.46,18.46,1300,0
2014-03-24,17:00:00,18.46,18.46,18.46,18.46,100,0
2014-03-24,18:00:00,18.51,18.51,18.46,18.46,500,0
2014-03-24,19:00:00,18.49,18.49,18.49,18.49,300,0
2014-03-24,21:00:00,18.48,18.48,18.48,18.48,300,0
2014-03-25,15:00:00,18.56,18.56,18.56,18.56,100,0
2014-03-25,16:00:00,18.61,18.61,18.56,18.56,1800,0
2014-03-25,17:00:00,18.59,18.59,18.57,18.57,275,0
2014-03-25,18:00:00,18.57,18.58,18.52,18.52,14861,0
2014-03-25,21:00:00,18.61,18.63,18.61,18.62,1700,0
2014-03-26,16:00:00,18.76,18.76,18.76,18.76,1000,0
2014-03-26,19:00:00,18.73,18.87,18.71,18.78,13281,0
2014-03-26,21:00:00,18.76,18.78,18.76,18.78,600,0
