Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,45.45,45.84,44.97,45.05,261288,0
2014-02-10,17:00:00,45.05,45.05,44.55,44.77,468235,0
2014-02-10,18:00:00,44.78,45.06,44.7,44.81,339004,0
2014-02-10,19:00:00,44.82,44.86,44.46,44.8,244722,0
2014-02-10,20:00:00,44.81,44.99,44.79,44.89,267102,0
2014-02-10,21:00:00,44.9,45.16,44.85,45.16,360838,0
2014-02-10,22:00:00,45.16,45.2,44.94,45.11,1062406,0
2014-02-11,16:00:00,45.29,45.43,43.77,43.9,593673,0
2014-02-11,17:00:00,43.87,44.1,43.35,43.37,1428484,0
2014-02-11,18:00:00,43.37,44.18,43.3,44.14,1475781,0
2014-02-11,19:00:00,44.13,44.31,43.87,44.24,624624,0
2014-02-11,20:00:00,44.23,44.47,44.14,44.25,608087,0
2014-02-11,21:00:00,44.27,44.36,44.09,44.34,462024,0
2014-02-11,22:00:00,44.33,44.41,43.9,44.01,1656408,0
2014-02-12,16:00:00,44.02,44.07,43.35,43.46,503579,0
2014-02-12,17:00:00,43.47,44.29,43.36,43.92,955819,0
2014-02-12,18:00:00,43.92,44.03,43.76,44.01,721629,0
2014-02-12,19:00:00,44.02,44.1,43.86,44.01,356559,0
2014-02-12,20:00:00,44.01,44.28,43.96,44.28,665752,0
2014-02-12,21:00:00,44.28,44.72,44.27,44.56,684107,0
2014-02-12,22:00:00,44.56,44.66,44.4,44.49,1539277,0
2014-02-13,16:00:00,43.99,44.58,43.73,44.24,293246,0
2014-02-13,17:00:00,44.21,44.25,43.92,44.2,332211,0
2014-02-13,18:00:00,44.2,44.22,43.72,43.75,308953,0
2014-02-13,19:00:00,43.75,44.17,43.68,44.17,305390,0
2014-02-13,20:00:00,44.17,44.93,44.14,44.9,1101640,0
2014-02-13,21:00:00,44.9,44.99,44.75,44.97,580451,0
2014-02-13,22:00:00,44.96,45.14,44.86,45.1,839395,0
2014-02-14,16:00:00,44.97,45.07,44.74,44.87,147407,0
2014-02-14,17:00:00,44.89,44.97,44.32,44.38,402543,0
2014-02-14,18:00:00,44.38,44.66,44.3,44.31,449134,0
2014-02-14,19:00:00,44.3,44.57,44.18,44.52,269286,0
2014-02-14,20:00:00,44.51,44.72,44.51,44.6,234957,0
2014-02-14,21:00:00,44.61,44.79,44.55,44.6,386427,0
2014-02-14,22:00:00,44.6,44.78,44.49,44.5,2590312,0
2014-02-18,16:00:00,44.49,44.81,43.91,44.13,218165,0
2014-02-18,17:00:00,44.12,44.12,43.63,43.94,705054,0
2014-02-18,18:00:00,43.94,44.03,43.81,43.95,349415,0
2014-02-18,19:00:00,43.95,44,43.81,43.91,267849,0
2014-02-18,20:00:00,43.91,43.95,43.68,43.79,347004,0
2014-02-18,21:00:00,43.79,43.95,43.78,43.87,458736,0
2014-02-18,22:00:00,43.88,43.88,43.58,43.66,4529518,0
2014-02-19,16:00:00,43.5,43.79,43.07,43.28,346425,0
2014-02-19,17:00:00,43.31,43.66,43.13,43.58,715022,0
2014-02-19,18:00:00,43.58,43.78,43.55,43.56,435457,0
2014-02-19,19:00:00,43.56,43.63,43.28,43.55,474000,0
2014-02-19,20:00:00,43.55,43.84,43.5,43.5,403286,0
2014-02-19,21:00:00,43.49,43.73,43.35,43.65,444001,0
2014-02-19,22:00:00,43.64,43.64,43.24,43.28,1286582,0
2014-02-20,16:00:00,43.33,44.45,43.33,43.99,537517,0
2014-02-20,17:00:00,43.98,45.09,43.93,44.86,1165722,0
2014-02-20,18:00:00,44.85,45.1,44.83,44.86,498981,0
2014-02-20,19:00:00,44.87,45.28,44.85,45.22,594502,0
2014-02-20,20:00:00,45.22,45.7,45.22,45.39,699520,0
2014-02-20,21:00:00,45.39,45.62,45.05,45.61,587329,0
2014-02-20,22:00:00,45.61,45.85,45.52,45.69,1466450,0
2014-02-21,16:00:00,45.46,46.73,45.46,46.6,897856,0
2014-02-21,17:00:00,46.59,46.6,45.45,45.53,784376,0
2014-02-21,18:00:00,45.51,45.78,45.49,45.7,483163,0
2014-02-21,19:00:00,45.71,46.09,45.7,45.8,431256,0
2014-02-21,20:00:00,45.8,45.82,45.5,45.54,413157,0
2014-02-21,21:00:00,45.54,45.58,45.36,45.52,370008,0
2014-02-21,22:00:00,45.52,45.7,45.48,45.6,618889,0
2014-02-24,16:00:00,45.6,45.82,45.25,45.41,316061,0
2014-02-24,17:00:00,45.44,45.79,45.35,45.61,523424,0
2014-02-24,18:00:00,45.62,46,45.49,46,442068,0
2014-02-24,19:00:00,46,46.53,45.98,46.37,532310,0
2014-02-24,20:00:00,46.36,46.49,46.33,46.45,305986,0
2014-02-24,21:00:00,46.44,46.54,46.26,46.28,340814,0
2014-02-24,22:00:00,46.29,46.32,46.07,46.1,1115336,0
2014-02-25,16:00:00,46.89,47.53,46.65,47.25,555638,0
2014-02-25,17:00:00,47.23,48.26,47.19,48.04,1456448,0
2014-02-25,18:00:00,48.07,48.45,47.76,47.89,801372,0
2014-02-25,19:00:00,47.9,48.1,47.64,47.96,1209367,0
2014-02-25,20:00:00,47.96,48,47.56,47.65,475945,0
2014-02-25,21:00:00,47.64,47.69,47.34,47.44,387449,0
2014-02-25,22:00:00,47.44,47.48,47.01,47.26,1756151,0
2014-02-26,16:00:00,47.24,47.36,46.77,46.8,366667,0
2014-02-26,17:00:00,46.79,47.24,46.72,47.13,768900,0
2014-02-26,18:00:00,47.13,47.3,47.13,47.25,488621,0
2014-02-26,19:00:00,47.24,47.54,47.08,47.09,436781,0
2014-02-26,20:00:00,47.09,47.3,46.93,46.94,259272,0
2014-02-26,21:00:00,46.94,46.99,46.42,46.66,1040694,0
2014-02-26,22:00:00,46.66,46.9,46.57,46.81,1025411,0
2014-02-27,16:00:00,46.81,47.35,46.8,46.92,162183,0
2014-02-27,17:00:00,46.93,47.18,46.6,47.06,598814,0
2014-02-27,18:00:00,47.08,47.32,46.92,46.99,427257,0
2014-02-27,19:00:00,46.98,47,46.68,46.71,203968,0
2014-02-27,20:00:00,46.71,46.88,46.65,46.79,295686,0
2014-02-27,21:00:00,46.78,46.85,46.63,46.84,416238,0
2014-02-27,22:00:00,46.84,46.85,46.42,46.51,1200808,0
2014-02-28,16:00:00,45.22,45.5,44.91,45.1,1443626,0
2014-02-28,17:00:00,45.13,45.95,44.88,45.92,1461864,0
2014-02-28,18:00:00,45.92,45.93,45.51,45.55,574652,0
2014-02-28,19:00:00,45.53,45.6,45.01,45.48,583643,0
2014-02-28,20:00:00,45.48,45.6,45.16,45.18,622373,0
2014-02-28,21:00:00,45.18,45.21,44.83,44.85,1396623,0
2014-02-28,22:00:00,44.85,45.1,44.74,44.96,10462519,0
2014-03-03,16:00:00,44.16,44.19,43.39,44.12,635497,0
2014-03-03,17:00:00,44.14,44.23,43.89,43.96,761920,0
2014-03-03,18:00:00,43.96,44.03,43.78,43.81,567905,0
2014-03-03,19:00:00,43.8,43.81,43.38,43.58,722636,0
2014-03-03,20:00:00,43.59,43.87,43.49,43.79,364301,0
2014-03-03,21:00:00,43.79,44.22,43.7,44.11,464657,0
2014-03-03,22:00:00,44.11,44.18,43.86,44.01,940564,0
2014-03-04,16:00:00,44.77,45.46,44.77,45.16,491692,0
2014-03-04,17:00:00,45.15,45.43,44.8,45.37,639237,0
2014-03-04,18:00:00,45.36,45.41,45.06,45.12,656365,0
2014-03-04,19:00:00,45.13,45.39,45.03,45.38,226399,0
2014-03-04,20:00:00,45.39,45.5,45.22,45.39,447323,0
2014-03-04,21:00:00,45.38,45.39,45.1,45.19,353242,0
2014-03-04,22:00:00,45.2,45.39,45.19,45.24,1118080,0
2014-03-05,16:00:00,45.36,46.74,45.36,46.6,830837,0
2014-03-05,17:00:00,46.62,47.38,46.51,47.04,1522426,0
2014-03-05,18:00:00,47.04,47.21,46.59,46.81,668370,0
