Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,24.9882,24.9882,24.9392,24.9392,791,0
2014-02-10,18:00:00,24.9392,24.9882,24.9392,24.9686,2760,0
2014-02-10,19:00:00,24.9588,24.9882,24.9392,24.9784,2786,0
2014-02-10,20:00:00,24.9882,24.9882,24.9588,24.9686,816,0
2014-02-10,21:00:00,24.9882,24.9882,24.949,24.949,2040,0
2014-02-10,22:00:00,24.9784,24.9784,24.9392,24.9392,1604,0
2014-02-11,16:00:00,25.0372,25.0372,25.0372,25.0372,102,0
2014-02-11,18:00:00,24.9784,24.998,24.9294,24.998,4388,0
2014-02-11,20:00:00,24.9686,24.9882,24.9588,24.9882,1498,0
2014-02-11,21:00:00,24.9882,25.0764,24.9588,25.047,2841,0
2014-02-11,22:00:00,24.998,24.998,24.9882,24.9882,3265,0
2014-02-12,17:00:00,25.0274,25.1156,24.9882,25.0764,18813,0
2014-02-12,19:00:00,25.047,25.047,25.047,25.047,204,0
2014-02-12,20:00:00,25.047,25.047,25.0372,25.047,3564,0
2014-02-12,21:00:00,25.047,25.047,25.047,25.047,1224,0
2014-02-12,22:00:00,25.047,25.1744,25.0176,25.1744,4484,0
2014-02-13,16:00:00,25.24,25.41,25.24,25.41,7000,0
2014-02-13,17:00:00,25.13,25.39,25.13,25.39,619,0
2014-02-13,18:00:00,25.27,25.29,25.27,25.29,300,0
2014-02-13,19:00:00,25.29,25.29,25.29,25.29,100,0
2014-02-13,20:00:00,25.27,25.27,25.25,25.25,1562,0
2014-02-13,21:00:00,25.2,25.3,25.2,25.2,5500,0
2014-02-13,22:00:00,25.25,25.25,25.22,25.22,200,0
2014-02-14,19:00:00,25.17,25.26,25.15,25.26,3524,0
2014-02-14,20:00:00,25.24,25.24,25.24,25.24,600,0
2014-02-14,21:00:00,25.33,25.33,25.33,25.33,100,0
2014-02-14,22:00:00,25.13,25.35,25.13,25.35,1145,0
2014-02-18,17:00:00,25.49,25.49,25.44,25.44,1000,0
2014-02-18,19:00:00,25.32,25.32,25.16,25.16,4700,0
2014-02-18,20:00:00,25.23,25.23,25.23,25.23,400,0
2014-02-18,21:00:00,25.23,25.23,25.23,25.23,400,0
2014-02-18,22:00:00,25.23,25.25,25.2,25.2,400,0
2014-02-19,16:00:00,25.35,25.35,25.23,25.23,1154,0
2014-02-19,17:00:00,25.36,25.41,25.36,25.41,1446,0
2014-02-19,18:00:00,25.28,25.28,25.28,25.28,2000,0
2014-02-19,20:00:00,25.29,25.32,25.29,25.32,1500,0
2014-02-19,22:00:00,25.32,25.32,25.27,25.27,475,0
2014-02-20,18:00:00,25.39,25.39,25.39,25.39,2600,0
2014-02-21,18:00:00,25.36,25.37,25.34,25.37,4679,0
2014-02-21,19:00:00,25.32,25.32,25.3,25.3,1080,0
2014-02-21,20:00:00,25.3,25.3,25.3,25.3,100,0
2014-02-21,21:00:00,25.39,25.39,25.35,25.35,2500,0
2014-02-21,22:00:00,25.35,25.42,25.35,25.42,2888,0
2014-02-24,18:00:00,25.41,25.41,25.41,25.41,100,0
2014-02-24,19:00:00,25.35,25.35,25.35,25.35,700,0
2014-02-24,20:00:00,25.38,25.38,25.38,25.38,2000,0
2014-02-24,21:00:00,25.4,25.4,25.31,25.31,2000,0
2014-02-24,22:00:00,25.32,25.32,25.32,25.32,300,0
2014-02-25,17:00:00,25.44,25.44,25.44,25.44,300,0
2014-02-25,18:00:00,25.39,25.39,25.37,25.37,1300,0
2014-02-25,21:00:00,25.32,25.41,25.32,25.41,950,0
2014-02-25,22:00:00,25.44,25.44,25.28,25.28,2250,0
2014-02-26,16:00:00,25.38,25.38,25.38,25.38,195,0
2014-02-26,17:00:00,25.35,25.41,25.35,25.41,1100,0
2014-02-26,18:00:00,25.39,25.39,25.39,25.39,1848,0
2014-02-26,19:00:00,25.44,25.55,25.44,25.55,1300,0
2014-02-27,16:00:00,25.55,25.55,25.55,25.55,200,0
2014-02-27,17:00:00,25.55,25.55,25.55,25.55,200,0
2014-02-27,18:00:00,25.4,25.4,25.4,25.4,600,0
2014-02-27,20:00:00,25.45,25.45,25.45,25.45,900,0
2014-02-27,21:00:00,25.5,25.5,25.5,25.5,750,0
2014-02-27,22:00:00,25.46,25.46,25.46,25.46,150,0
2014-02-28,18:00:00,25.53,25.53,25.53,25.53,100,0
2014-02-28,21:00:00,25.54,25.54,25.54,25.54,300,0
2014-02-28,22:00:00,25.51,25.51,25.51,25.51,338,0
2014-03-03,19:00:00,25.5,25.5,25.5,25.5,1300,0
2014-03-03,21:00:00,25.46,25.46,25.4,25.4,1975,0
2014-03-04,17:00:00,25.4,25.4,25.4,25.4,1000,0
2014-03-04,18:00:00,25.55,25.55,25.45,25.45,2600,0
2014-03-04,19:00:00,25.29,25.29,25.29,25.29,400,0
2014-03-04,20:00:00,25.4,25.4,25.4,25.4,445,0
2014-03-04,21:00:00,25.46,25.46,25.46,25.46,300,0
2014-03-04,22:00:00,25.5,25.5,25.5,25.5,4000,0
2014-03-05,20:00:00,25.47,25.47,25.46,25.46,4900,0
2014-03-05,21:00:00,25.5,25.5,25.5,25.5,1000,0
2014-03-05,22:00:00,25.5,25.5,25.5,25.5,2000,0
2014-03-06,18:00:00,25.55,25.55,25.5,25.5,1000,0
2014-03-06,22:00:00,25.55,25.55,25.55,25.55,800,0
2014-03-07,16:00:00,25.48,25.48,25.48,25.48,200,0
2014-03-07,17:00:00,25.42,25.5,25.42,25.5,500,0
2014-03-07,18:00:00,25.45,25.5,25.45,25.49,2781,0
2014-03-07,19:00:00,25.5,25.5,25.5,25.5,2152,0
2014-03-07,21:00:00,25.45,25.45,25.45,25.45,400,0
2014-03-07,22:00:00,25.48,25.49,25.45,25.49,800,0
2014-03-10,17:00:00,25.54,25.54,25.54,25.54,200,0
2014-03-10,19:00:00,25.57,25.57,25.55,25.55,200,0
2014-03-10,20:00:00,25.55,25.55,25.55,25.55,400,0
2014-03-10,21:00:00,25.57,25.57,25.54,25.54,620,0
2014-03-11,18:00:00,25.59,25.69,25.59,25.69,3328,0
2014-03-11,19:00:00,25.59,25.59,25.59,25.59,950,0
2014-03-11,20:00:00,25.59,25.59,25.59,25.59,1000,0
2014-03-11,21:00:00,25.49,25.49,25.49,25.49,100,0
2014-03-12,20:00:00,25.54,25.54,25.54,25.54,900,0
2014-03-12,21:00:00,25.54,25.54,25.54,25.54,300,0
2014-03-13,15:00:00,25.47,25.48,25.47,25.48,400,0
2014-03-13,16:00:00,25.5,25.5,25.5,25.5,1750,0
2014-03-13,18:00:00,25.62,25.63,25.62,25.63,550,0
2014-03-13,20:00:00,25.7,25.7,25.66,25.66,200,0
2014-03-13,21:00:00,25.7,25.7,25.65,25.65,2644,0
2014-03-14,17:00:00,25.5,25.5,25.5,25.5,100,0
2014-03-14,20:00:00,25.56,25.57,25.56,25.57,500,0
2014-03-14,21:00:00,25.56,25.6,25.56,25.6,591,0
2014-03-17,18:00:00,25.56,25.56,25.55,25.55,1067,0
2014-03-17,19:00:00,25.55,25.6,25.54,25.6,1961,0
2014-03-18,16:00:00,25.63,25.63,25.63,25.63,586,0
2014-03-18,19:00:00,25.64,25.71,25.64,25.71,1769,0
2014-03-18,21:00:00,25.65,25.65,25.65,25.65,2000,0
2014-03-19,18:00:00,25.58,25.58,25.58,25.58,500,0
2014-03-19,19:00:00,25.61,25.62,25.61,25.62,5233,0
2014-03-19,20:00:00,25.6,25.64,25.6,25.64,3500,0
