Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,80.44,80.56,79.27,80.48,158212,0
2014-02-10,17:00:00,80.45,80.56,79.12,79.39,234858,0
2014-02-10,18:00:00,79.33,79.36,79.01,79.21,237740,0
2014-02-10,19:00:00,79.21,79.21,78.8,78.99,127010,0
2014-02-10,20:00:00,78.97,79.3,78.92,79.14,180366,0
2014-02-10,21:00:00,79.15,79.19,78.9,78.91,131381,0
2014-02-10,22:00:00,78.91,79.19,78.73,79.18,373359,0
2014-02-11,16:00:00,79.47,81.17,79.47,80.27,196405,0
2014-02-11,17:00:00,80.38,81.04,80.04,80.85,240632,0
2014-02-11,18:00:00,80.85,81.05,80.63,81.01,212283,0
2014-02-11,19:00:00,81.03,81.44,80.84,81.37,168540,0
2014-02-11,20:00:00,81.39,82.34,81.39,82,286863,0
2014-02-11,21:00:00,82,82.12,81.36,82.06,313067,0
2014-02-11,22:00:00,82.04,82.3,81.82,81.91,548834,0
2014-02-12,16:00:00,82.7,83.57,82.51,82.86,263222,0
2014-02-12,17:00:00,82.87,82.97,81.91,82.07,223004,0
2014-02-12,18:00:00,82.08,82.68,82,82.6,276025,0
2014-02-12,19:00:00,82.66,83.05,82.57,82.9,113674,0
2014-02-12,20:00:00,82.92,83.21,82.64,82.97,117035,0
2014-02-12,21:00:00,82.97,83,82.27,82.3,116626,0
2014-02-12,22:00:00,82.3,82.73,82.29,82.63,331415,0
2014-02-13,16:00:00,81.37,81.99,81.22,81.59,108374,0
2014-02-13,17:00:00,81.59,83.13,81.49,83.05,197810,0
2014-02-13,18:00:00,83.05,83.13,82.69,82.79,141147,0
2014-02-13,19:00:00,82.8,82.85,82.6,82.76,87377,0
2014-02-13,20:00:00,82.79,83.2,82.73,83.12,131894,0
2014-02-13,21:00:00,83.17,83.42,83.11,83.23,193544,0
2014-02-13,22:00:00,83.23,83.25,82.6,82.71,728724,0
2014-02-14,16:00:00,82.49,83.29,82.45,82.64,92317,0
2014-02-14,17:00:00,82.68,83.01,82.32,82.32,211603,0
2014-02-14,18:00:00,82.36,83,82.32,82.86,132685,0
2014-02-14,19:00:00,82.91,82.95,82.8,82.88,132189,0
2014-02-14,20:00:00,82.88,83.18,82.85,83.17,79291,0
2014-02-14,21:00:00,83.18,83.7,83.17,83.51,148504,0
2014-02-14,22:00:00,83.51,83.6,83.13,83.31,362957,0
2014-02-18,16:00:00,83.99,84.79,83.99,84.53,186706,0
2014-02-18,17:00:00,84.48,85.5,84.14,85.35,336094,0
2014-02-18,18:00:00,85.42,85.55,85.12,85.12,233556,0
2014-02-18,19:00:00,85.11,85.6,85.1,85.56,149468,0
2014-02-18,20:00:00,85.54,85.57,85.14,85.47,169669,0
2014-02-18,21:00:00,85.45,85.55,85.2,85.32,129428,0
2014-02-18,22:00:00,85.32,85.43,85.01,85.11,455549,0
2014-02-19,16:00:00,85.36,85.71,84.27,84.78,154526,0
2014-02-19,17:00:00,84.78,85.13,84.51,84.94,311493,0
2014-02-19,18:00:00,84.98,85.12,84.63,84.66,217194,0
2014-02-19,19:00:00,84.54,84.9,84.32,84.64,152654,0
2014-02-19,20:00:00,84.68,85.01,84.56,84.87,153033,0
2014-02-19,21:00:00,84.84,85.53,84.64,85.25,211710,0
2014-02-19,22:00:00,85.23,85.34,84.31,84.59,482385,0
2014-02-20,16:00:00,84.77,85.02,84.01,84.73,127386,0
2014-02-20,17:00:00,84.59,86.31,84.38,86.22,387116,0
2014-02-20,18:00:00,86.24,86.4,85.48,85.82,182009,0
2014-02-20,19:00:00,85.81,86.48,85.66,86.48,114833,0
2014-02-20,20:00:00,86.45,86.65,86.34,86.55,154117,0
2014-02-20,21:00:00,86.55,87.08,86.32,86.86,280203,0
2014-02-20,22:00:00,86.82,87.25,86.73,86.78,531647,0
2014-02-21,16:00:00,86.75,87.43,86.75,87.39,134894,0
2014-02-21,17:00:00,87.39,87.82,86.87,86.93,350248,0
2014-02-21,18:00:00,86.99,87.53,86.96,87.15,191020,0
2014-02-21,19:00:00,87.11,87.55,87.03,87.08,93027,0
2014-02-21,20:00:00,87.07,87.44,87.01,87.34,147459,0
2014-02-21,21:00:00,87.33,87.35,86.8,86.92,134476,0
2014-02-21,22:00:00,86.93,87.14,86.55,86.59,291751,0
2014-02-24,16:00:00,87.09,87.88,87.01,87.51,144454,0
2014-02-24,17:00:00,87.63,88.31,87.19,88.15,261767,0
