Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,21:00:00,763.01,763.01,763.01,763.01,309,0
2014-02-11,20:00:00,765.96,765.96,765.96,765.96,202,0
2014-02-13,20:00:00,770.47,770.47,770.47,770.47,1011,0
2014-02-13,22:00:00,767.99,767.99,767.99,767.99,4043,0
2014-02-14,17:00:00,767.43,767.43,767.43,767.43,202,0
2014-02-14,22:00:00,776.65,776.65,776.65,776.65,303,0
2014-02-21,19:00:00,769.72,769.72,769.72,769.72,552,0
2014-02-24,19:00:00,785.55,785.55,785.55,785.55,404,0
2014-03-03,18:00:00,781.6,781.6,781.6,781.6,303,0
2014-03-18,16:00:00,791.48,803.35,787.52,787.52,1550,0
2014-03-18,19:00:00,801.36,801.38,801.36,801.38,404,0
2014-03-19,16:00:00,795.88,796.54,786.62,788.14,2123,0
2014-03-20,18:00:00,811.52,816.22,811.41,811.41,35376,0
2014-03-25,15:00:00,807.37,810.28,807.37,808.31,808,0
2014-03-25,16:00:00,811.28,811.36,809.97,811.28,4447,0
2014-03-25,19:00:00,813.75,813.75,811.28,811.28,2123,0
2014-03-26,21:00:00,811.28,813.75,811.28,813.75,2632,0
2014-03-28,15:00:00,815.75,815.75,815.75,815.75,122,0
2014-03-28,19:00:00,815,815,815,815,600,0
2014-04-03,21:00:00,809.82,820,809.82,820,200,0
2014-04-08,17:00:00,820,820,820,820,1080,0
2014-04-09,21:00:00,815,825,815,825,940,0
2014-04-11,17:00:00,825,825,825,825,300,0
2014-04-25,21:00:00,827,827,827,827,100,0
2014-04-29,22:00:00,830,830,830,830,200,0
2014-04-30,18:00:00,830,830,830,830,600,0
2014-04-30,19:00:00,844.99,845,843.63,844.43,1300,0
2014-04-30,20:00:00,841.1,844.48,841.1,842,600,0
2014-04-30,21:00:00,836.45,836.45,836.45,836.45,1080,0
2014-04-30,22:00:00,844.83,845,844.83,845,200,0
2014-05-01,20:00:00,824.16,824.16,824.16,824.16,500,0
