Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,138.2,139.74,137.91,138.58,172878,0
2014-02-10,17:00:00,138.54,138.57,137.01,137.47,177847,0
2014-02-10,18:00:00,137.5,138.47,137.24,138.43,152170,0
2014-02-10,19:00:00,138.38,138.85,138,138.41,88187,0
2014-02-10,20:00:00,138.44,138.45,137.33,137.59,139869,0
2014-02-10,21:00:00,137.59,138.2,137.41,138.13,197389,0
2014-02-10,22:00:00,138.16,138.31,137.68,138.13,386629,0
2014-02-11,16:00:00,138.36,140.21,138.36,138.95,167316,0
2014-02-11,17:00:00,139.16,140,138.8,139.65,239552,0
2014-02-11,18:00:00,139.7,141.14,139.5,140.9,262258,0
2014-02-11,19:00:00,140.94,141.66,140.54,141.12,214120,0
2014-02-11,20:00:00,141.11,141.8,141.08,141.69,161019,0
2014-02-11,21:00:00,141.69,142.2,141.66,141.97,158177,0
2014-02-11,22:00:00,141.97,142.45,141.2,141.31,437887,0
2014-02-12,16:00:00,141.7,142.74,140.3,140.48,229155,0
2014-02-12,17:00:00,140.52,141.07,140.29,140.96,250750,0
2014-02-12,18:00:00,140.96,141.05,140.65,140.85,181642,0
2014-02-12,19:00:00,140.87,141.55,140.8,141.41,151862,0
2014-02-12,20:00:00,141.35,141.5,140.67,140.76,116260,0
2014-02-12,21:00:00,140.8,141.25,140.45,141.21,149488,0
2014-02-12,22:00:00,141.2,141.27,140.08,140.77,420766,0
2014-02-13,16:00:00,140.53,141.58,140,140.55,190319,0
2014-02-13,17:00:00,140.68,141.55,140.3,141.55,349930,0
2014-02-13,18:00:00,141.55,141.82,141.18,141.77,142841,0
2014-02-13,19:00:00,141.76,142.41,141.5,142.14,154494,0
2014-02-13,20:00:00,142.09,142.33,141.9,142.11,198561,0
2014-02-13,21:00:00,142.11,142.18,141.31,141.47,133609,0
2014-02-13,22:00:00,141.45,141.83,141.33,141.79,266184,0
2014-02-14,16:00:00,141.62,142.24,140.8,141,78674,0
2014-02-14,17:00:00,141.17,141.19,140.41,140.71,242314,0
2014-02-14,18:00:00,140.72,140.75,139.52,139.61,176743,0
2014-02-14,19:00:00,139.67,140.02,139.43,139.48,149274,0
2014-02-14,20:00:00,139.5,139.69,139.32,139.51,124543,0
2014-02-14,21:00:00,139.54,139.82,139.28,139.82,142765,0
2014-02-14,22:00:00,139.83,139.83,139.45,139.57,322419,0
2014-02-18,16:00:00,141.05,144,140.83,142.91,567203,0
2014-02-18,17:00:00,142.72,144.86,141.94,144.75,445917,0
2014-02-18,18:00:00,144.82,146.75,144.75,146.6,281048,0
2014-02-18,19:00:00,146.6,146.98,146.32,146.83,239977,0
2014-02-18,20:00:00,146.87,147.19,146.38,146.48,222128,0
2014-02-18,21:00:00,146.49,147.2,146.37,146.4,153439,0
2014-02-18,22:00:00,146.44,146.66,146.23,146.47,375850,0
2014-02-19,16:00:00,145.9,146.76,145.72,146.21,251972,0
2014-02-19,17:00:00,146.25,147.41,145.75,147.07,332721,0
2014-02-19,18:00:00,147.09,147.09,145.89,145.91,227192,0
2014-02-19,19:00:00,145.94,145.99,145.31,145.66,216942,0
2014-02-19,20:00:00,145.72,146.25,145.65,145.65,204844,0
2014-02-19,21:00:00,145.68,145.93,145.37,145.79,114521,0
2014-02-19,22:00:00,145.81,145.98,144.66,145.02,455809,0
2014-02-20,16:00:00,146.59,146.59,145.13,145.67,162386,0
