Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,12.765,12.794,12.765,12.794,2202,0
2014-02-10,17:00:00,12.775,12.794,12.745,12.765,13738,0
2014-02-10,18:00:00,12.775,12.775,12.765,12.765,12155,0
2014-02-10,19:00:00,12.765,12.775,12.755,12.755,13405,0
2014-02-10,20:00:00,12.755,12.765,12.745,12.745,10376,0
2014-02-10,21:00:00,12.745,12.755,12.735,12.735,14855,0
2014-02-10,22:00:00,12.745,12.804,12.735,12.775,40199,0
2014-02-11,16:00:00,12.735,12.735,12.716,12.735,30630,0
2014-02-11,17:00:00,12.735,12.745,12.735,12.735,36970,0
2014-02-11,18:00:00,12.745,12.775,12.735,12.775,45220,0
2014-02-11,19:00:00,12.765,12.775,12.755,12.755,27150,0
2014-02-11,20:00:00,12.765,12.765,12.755,12.765,13873,0
2014-02-11,21:00:00,12.765,12.814,12.755,12.794,68408,0
2014-02-11,22:00:00,12.804,12.853,12.794,12.814,61153,0
2014-02-12,16:00:00,12.858,12.878,12.819,12.819,12740,0
2014-02-12,17:00:00,12.839,12.839,12.769,12.799,30750,0
2014-02-12,18:00:00,12.779,12.799,12.76,12.779,31431,0
2014-02-12,19:00:00,12.779,12.779,12.73,12.75,12125,0
2014-02-12,20:00:00,12.74,12.75,12.72,12.73,42415,0
2014-02-12,21:00:00,12.73,12.75,12.72,12.73,26586,0
2014-02-12,22:00:00,12.74,12.75,12.73,12.74,35289,0
2014-02-13,16:00:00,12.71,12.74,12.7,12.74,4358,0
2014-02-13,17:00:00,12.73,12.74,12.72,12.72,19191,0
2014-02-13,18:00:00,12.72,12.73,12.71,12.71,16986,0
2014-02-13,19:00:00,12.7,12.72,12.69,12.71,37791,0
2014-02-13,20:00:00,12.7,12.72,12.68,12.7,40482,0
2014-02-13,21:00:00,12.71,12.73,12.69,12.7,19945,0
2014-02-13,22:00:00,12.72,12.72,12.68,12.71,47926,0
2014-02-14,16:00:00,12.71,12.72,12.7,12.71,14337,0
2014-02-14,17:00:00,12.72,12.75,12.72,12.73,30233,0
2014-02-14,18:00:00,12.74,12.75,12.73,12.73,27626,0
2014-02-14,19:00:00,12.73,12.74,12.72,12.72,15828,0
2014-02-14,20:00:00,12.72,12.75,12.72,12.74,15837,0
2014-02-14,21:00:00,12.75,12.789,12.74,12.779,23540,0
2014-02-14,22:00:00,12.789,12.799,12.769,12.799,29131,0
2014-02-18,16:00:00,12.779,12.799,12.779,12.789,30296,0
2014-02-18,17:00:00,12.799,12.809,12.75,12.809,14236,0
2014-02-18,18:00:00,12.799,12.819,12.769,12.769,18395,0
2014-02-18,19:00:00,12.789,12.799,12.74,12.769,15183,0
2014-02-18,20:00:00,12.76,12.76,12.73,12.75,26887,0
2014-02-18,21:00:00,12.75,12.769,12.72,12.74,55440,0
2014-02-18,22:00:00,12.76,12.779,12.71,12.74,46050,0
2014-02-19,16:00:00,12.75,12.76,12.75,12.76,9474,0
2014-02-19,17:00:00,12.76,12.769,12.75,12.76,19089,0
2014-02-19,18:00:00,12.769,12.789,12.76,12.76,22995,0
