Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,60.4674,60.4973,59.8504,60.2883,1471553,0
2014-02-10,17:00:00,60.2883,60.4973,60.1689,60.3779,802673,0
2014-02-10,18:00:00,60.3779,60.6366,60.2584,60.5869,561753,0
2014-02-10,19:00:00,60.5869,60.5968,60.3779,60.4575,633675,0
2014-02-10,20:00:00,60.4575,60.4674,60.3779,60.4077,259483,0
2014-02-10,21:00:00,60.4077,60.4575,60.2784,60.2883,438634,0
2014-02-10,22:00:00,60.2784,60.3878,60.1689,60.358,1459887,0
2014-02-11,16:00:00,60.7262,62.8957,60.7063,61.9005,2609602,0
2014-02-11,17:00:00,61.9105,62.209,61.4427,61.4825,2013690,0
2014-02-11,18:00:00,61.4925,62.1891,61.3631,62.1394,1060598,0
2014-02-11,19:00:00,62.1394,62.1592,61.9005,62.0398,618994,0
2014-02-11,20:00:00,62.0498,62.3284,61.9801,62.1792,671465,0
2014-02-11,21:00:00,62.1891,63.6222,62.1891,63.5625,1844599,0
2014-02-11,22:00:00,63.5625,64.3984,63.2141,63.8909,7487165,0
2014-02-12,16:00:00,63.7914,66.6774,63.7018,65.3239,6709863,0
2014-02-12,17:00:00,65.3239,65.7618,62.9255,64.07,6400875,0
2014-02-12,18:00:00,64.0601,64.8463,63.9406,64.3288,2534631,0
2014-02-12,19:00:00,64.3387,64.6472,64.2591,64.488,1611710,0
2014-02-12,20:00:00,64.488,64.7169,64.2292,64.5377,928970,0
2014-02-12,21:00:00,64.5377,65.1647,64.478,65.105,1870520,0
2014-02-12,22:00:00,65.105,65.2642,64.7666,65.105,11842128,0
2014-02-13,16:00:00,64.48,65.59,64.36,65.41,1164190,0
2014-02-13,17:00:00,65.42,65.78,65.25,65.62,1417703,0
2014-02-13,18:00:00,65.62,65.94,65.46,65.75,1020338,0
2014-02-13,19:00:00,65.75,66.2,65.6,66.17,1020572,0
2014-02-13,20:00:00,66.16,66.84,66.16,66.84,1504207,0
2014-02-13,21:00:00,66.85,67.16,66.71,67.14,2331921,0
2014-02-13,22:00:00,67.15,67.16,66.29,66.39,4123793,0
2014-02-14,16:00:00,66.09,66.56,65.72,66.44,628682,0
2014-02-14,17:00:00,66.48,66.81,66.3,66.49,835862,0
2014-02-14,18:00:00,66.5,66.51,66.08,66.13,713586,0
2014-02-14,19:00:00,66.13,66.18,65.62,65.64,928660,0
2014-02-14,20:00:00,65.64,65.76,65.39,65.69,912771,0
2014-02-14,21:00:00,65.7,65.77,65.11,65.12,1382072,0
2014-02-14,22:00:00,65.11,65.15,64.58,64.78,4103612,0
2014-02-18,16:00:00,64.86,65.35,64.62,65.1,848551,0
2014-02-18,17:00:00,65.05,65.34,64.9,65.13,1029786,0
2014-02-18,18:00:00,65.13,65.14,64.51,64.68,641046,0
2014-02-18,19:00:00,64.68,64.77,64.25,64.51,1314098,0
2014-02-18,20:00:00,64.51,64.6,64.41,64.5,850366,0
2014-02-18,21:00:00,64.5,64.79,64.4,64.69,1119940,0
2014-02-18,22:00:00,64.7,64.71,64.49,64.54,2398563,0
2014-02-19,16:00:00,64.38,64.93,64.34,64.82,310513,0
2014-02-19,17:00:00,64.83,65.45,64.83,65.41,804212,0
2014-02-19,18:00:00,65.41,66,65.38,65.76,1090717,0
2014-02-19,19:00:00,65.76,66.03,65.7,65.93,985858,0
2014-02-19,20:00:00,65.95,66,65.82,65.9,521929,0
2014-02-19,21:00:00,65.9,66,65.5,65.59,511203,0
2014-02-19,22:00:00,65.6,65.63,65.35,65.51,1579651,0
2014-02-20,16:00:00,65.46,65.95,65.43,65.8,417032,0
2014-02-20,17:00:00,65.75,66.8,65.61,66.78,1413914,0
2014-02-20,18:00:00,66.78,67.24,66.53,66.99,1705812,0
2014-02-20,19:00:00,67,67,66.28,66.37,570256,0
2014-02-20,20:00:00,66.38,66.44,66.03,66.39,560122,0
2014-02-20,21:00:00,66.39,66.4,66.22,66.36,490942,0
2014-02-20,22:00:00,66.36,66.65,66.34,66.55,2266063,0
2014-02-21,16:00:00,66.61,66.75,66.17,66.52,711692,0
2014-02-21,17:00:00,66.49,66.66,65.78,66.23,578196,0
2014-02-21,18:00:00,66.24,66.54,66.18,66.39,472174,0
2014-02-21,19:00:00,66.4,66.6,66.36,66.52,273934,0
2014-02-21,20:00:00,66.52,66.6,66.35,66.35,306410,0
2014-02-21,21:00:00,66.36,66.43,66.15,66.31,441896,0
2014-02-21,22:00:00,66.31,66.44,66.22,66.32,1161986,0
2014-02-24,16:00:00,66.46,66.93,66.41,66.83,175353,0
2014-02-24,17:00:00,66.85,67.12,66.78,66.99,446216,0
2014-02-24,18:00:00,66.98,67.25,66.95,66.99,487875,0
2014-02-24,19:00:00,67,67.06,66.68,66.77,527089,0
2014-02-24,20:00:00,66.78,66.85,66.7,66.72,230358,0
2014-02-24,21:00:00,66.71,66.8,66.64,66.66,369792,0
2014-02-24,22:00:00,66.66,66.71,66.49,66.52,3720255,0
2014-02-25,16:00:00,66.45,66.7,65.97,66.3,364232,0
2014-02-25,17:00:00,66.31,67.61,66.23,67.48,909574,0
2014-02-25,18:00:00,67.48,68.24,67.37,67.66,1642096,0
2014-02-25,19:00:00,67.67,67.68,67.2,67.37,898815,0
2014-02-25,20:00:00,67.37,67.42,66.76,66.85,725462,0
2014-02-25,21:00:00,66.85,67.11,66.65,67.08,636988,0
2014-02-25,22:00:00,67.09,67.11,66.81,66.95,1434735,0
2014-02-26,16:00:00,66.86,67.49,66.58,66.64,749037,0
2014-02-26,17:00:00,66.66,66.93,66.19,66.25,829438,0
2014-02-26,18:00:00,66.25,66.3,66.02,66.21,894058,0
2014-02-26,19:00:00,66.22,66.75,66.18,66.71,466174,0
2014-02-26,20:00:00,66.7,66.7,66.48,66.51,326538,0
