Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,12.84,12.84,12.77,12.83,30672,0
2014-02-10,17:00:00,12.8,12.89,12.78,12.83,41879,0
2014-02-10,18:00:00,12.83,12.89,12.82,12.88,31304,0
2014-02-10,19:00:00,12.87,12.9,12.82,12.9,36284,0
2014-02-10,20:00:00,12.9,12.91,12.87,12.89,26819,0
2014-02-10,21:00:00,12.89,12.89,12.84,12.85,33996,0
2014-02-10,22:00:00,12.84,12.86,12.81,12.85,101883,0
2014-02-11,16:00:00,12.94,12.98,12.89,12.9,21795,0
2014-02-11,17:00:00,12.92,12.95,12.8,12.83,163753,0
2014-02-11,18:00:00,12.83,12.84,12.81,12.83,153897,0
2014-02-11,19:00:00,12.83,12.84,12.79,12.8,136980,0
2014-02-11,20:00:00,12.81,12.86,12.8,12.8,133964,0
2014-02-11,21:00:00,12.81,12.88,12.78,12.85,172481,0
2014-02-11,22:00:00,12.85,12.86,12.8,12.85,401558,0
2014-02-12,16:00:00,12.85,12.87,12.81,12.83,14085,0
2014-02-12,17:00:00,12.84,12.85,12.81,12.82,49973,0
2014-02-12,18:00:00,12.82,12.84,12.76,12.79,138500,0
2014-02-12,19:00:00,12.79,12.83,12.78,12.78,37077,0
2014-02-12,20:00:00,12.79,12.8,12.77,12.78,38520,0
2014-02-12,21:00:00,12.79,12.79,12.75,12.76,79736,0
2014-02-12,22:00:00,12.77,12.81,12.76,12.79,124781,0
2014-02-13,16:00:00,12.53,12.79,12.53,12.73,20397,0
2014-02-13,17:00:00,12.73,12.84,12.72,12.83,26540,0
2014-02-13,18:00:00,12.84,12.85,12.79,12.82,51800,0
2014-02-13,19:00:00,12.81,12.87,12.8,12.86,108182,0
2014-02-13,20:00:00,12.86,12.9,12.85,12.86,101143,0
2014-02-13,21:00:00,12.86,12.87,12.83,12.87,73480,0
2014-02-13,22:00:00,12.87,12.89,12.83,12.89,148506,0
2014-02-14,16:00:00,12.88,12.91,12.87,12.9,8675,0
2014-02-14,17:00:00,12.91,13,12.89,12.98,32900,0
2014-02-14,18:00:00,12.99,13.02,12.97,13.02,33936,0
2014-02-14,19:00:00,13.02,13.02,12.96,12.97,13162,0
2014-02-14,20:00:00,12.98,13,12.97,12.99,16827,0
2014-02-14,21:00:00,12.99,13,12.98,13,30564,0
2014-02-14,22:00:00,13,13,12.95,12.97,185078,0
2014-02-18,16:00:00,13,13.1,12.98,12.98,19765,0
2014-02-18,17:00:00,12.99,13.07,12.96,13.03,30377,0
2014-02-18,18:00:00,13.04,13.05,13.02,13.03,22481,0
2014-02-18,19:00:00,13.03,13.06,13.02,13.04,13882,0
2014-02-18,20:00:00,13.05,13.05,13.02,13.04,15229,0
2014-02-18,21:00:00,13.04,13.07,13.04,13.06,12400,0
2014-02-18,22:00:00,13.05,13.07,13.01,13.02,112075,0
2014-02-19,16:00:00,13.03,13.15,13.01,13.12,40756,0
2014-02-19,17:00:00,13.12,13.23,13.05,13.07,70142,0
2014-02-19,18:00:00,13.05,13.08,13.01,13.01,54953,0
2014-02-19,19:00:00,13,13.03,12.99,13.01,73281,0
2014-02-19,20:00:00,13.01,13.09,13,13.03,38847,0
2014-02-19,21:00:00,13.02,13.11,13.02,13.07,66734,0
2014-02-19,22:00:00,13.08,13.08,12.99,13.02,237993,0
2014-02-20,16:00:00,13.06,13.07,12.93,13.01,92609,0
2014-02-20,17:00:00,12.99,13.05,12.98,13,90281,0
2014-02-20,18:00:00,13,13.02,12.95,12.99,56587,0
2014-02-20,19:00:00,12.99,13.04,12.99,13.03,54200,0
2014-02-20,20:00:00,13.04,13.06,13.02,13.06,42793,0
2014-02-20,21:00:00,13.04,13.12,13.03,13.1,60259,0
2014-02-20,22:00:00,13.1,13.13,13.07,13.11,142426,0
2014-02-21,16:00:00,13.15,13.3,13.11,13.3,20050,0
2014-02-21,17:00:00,13.3,13.31,13.21,13.23,23845,0
2014-02-21,18:00:00,13.24,13.26,13.2,13.22,20710,0
2014-02-21,19:00:00,13.2,13.25,13.2,13.22,19992,0
2014-02-21,20:00:00,13.23,13.29,13.23,13.28,19463,0
2014-02-21,21:00:00,13.28,13.28,13.22,13.25,18125,0
2014-02-21,22:00:00,13.24,13.28,13.24,13.28,90336,0
2014-02-24,16:00:00,13.35,13.75,13.33,13.72,80016,0
2014-02-24,17:00:00,13.73,13.75,13.69,13.7,142222,0
2014-02-24,18:00:00,13.7,13.74,13.59,13.68,173118,0
2014-02-24,19:00:00,13.68,13.74,13.68,13.72,60241,0
2014-02-24,20:00:00,13.73,13.81,13.72,13.75,63978,0
2014-02-24,21:00:00,13.75,13.78,13.71,13.71,28056,0
2014-02-24,22:00:00,13.71,13.75,13.69,13.7,191232,0
2014-02-25,16:00:00,13.75,13.8,13.74,13.76,53348,0
2014-02-25,17:00:00,13.76,13.81,13.73,13.77,80318,0
2014-02-25,18:00:00,13.78,13.8,13.75,13.75,52176,0
2014-02-25,19:00:00,13.75,13.79,13.75,13.76,54196,0
2014-02-25,20:00:00,13.76,13.78,13.7,13.72,39483,0
2014-02-25,21:00:00,13.71,13.74,13.7,13.72,82386,0
2014-02-25,22:00:00,13.73,13.77,13.7,13.76,179682,0
2014-02-26,16:00:00,13.78,14.07,13.72,14.07,72773,0
2014-02-26,17:00:00,14.07,14.18,14.05,14.13,155869,0
2014-02-26,18:00:00,14.12,14.26,14.12,14.2,99902,0
2014-02-26,19:00:00,14.22,14.25,14.21,14.23,32013,0
2014-02-26,20:00:00,14.23,14.23,14.17,14.19,41196,0
2014-02-26,21:00:00,14.18,14.2,14.13,14.16,49136,0
2014-02-26,22:00:00,14.15,14.19,14.14,14.18,111449,0
2014-02-27,16:00:00,14.2,14.23,14.09,14.1,28536,0
2014-02-27,17:00:00,14.1,14.11,13.98,14,49414,0
2014-02-27,18:00:00,14.02,14.14,13.99,14.08,25753,0
2014-02-27,19:00:00,14.09,14.18,14.07,14.16,38795,0
2014-02-27,20:00:00,14.15,14.22,14.14,14.21,22143,0
2014-02-27,21:00:00,14.21,14.23,14.14,14.17,48633,0
2014-02-27,22:00:00,14.17,14.18,14.13,14.18,120454,0
2014-02-28,16:00:00,14.18,14.18,13.85,14.02,86773,0
2014-02-28,17:00:00,14.02,14.13,13.92,13.95,105757,0
2014-02-28,18:00:00,13.96,14.04,13.96,13.99,95283,0
2014-02-28,19:00:00,13.99,14.03,13.99,14,65540,0
2014-02-28,20:00:00,13.99,14,13.86,13.87,80342,0
2014-02-28,21:00:00,13.87,13.89,13.77,13.8,108757,0
2014-02-28,22:00:00,13.8,13.83,13.69,13.8,392569,0
2014-03-03,16:00:00,13.41,13.65,13.28,13.59,50780,0
2014-03-03,17:00:00,13.6,13.66,13.56,13.6,42151,0
2014-03-03,18:00:00,13.6,13.68,13.56,13.58,70544,0
2014-03-03,19:00:00,13.57,13.59,13.51,13.59,72900,0
2014-03-03,20:00:00,13.58,13.63,13.54,13.6,35093,0
2014-03-03,21:00:00,13.59,13.68,13.57,13.63,38620,0
2014-03-03,22:00:00,13.64,13.7,13.6,13.7,170508,0
2014-03-04,16:00:00,13.82,14.05,13.82,14.03,38758,0
2014-03-04,17:00:00,14.03,14.12,14.01,14.05,82729,0
2014-03-04,18:00:00,14.02,14.06,14,14.04,40393,0
2014-03-04,19:00:00,14.05,14.1,14.02,14.08,62292,0
2014-03-04,20:00:00,14.08,14.16,14.08,14.1,114652,0
2014-03-04,21:00:00,14.1,14.14,14.08,14.12,45268,0
2014-03-04,22:00:00,14.13,14.16,14.09,14.13,211012,0
2014-03-05,16:00:00,14.15,14.2,13.92,14.04,50500,0
2014-03-05,17:00:00,14,14.12,14,14.04,53161,0
2014-03-05,18:00:00,14.05,14.1,14.04,14.09,100748,0
2014-03-05,19:00:00,14.1,14.1,14.08,14.1,90424,0
2014-03-05,20:00:00,14.09,14.11,14.08,14.09,65876,0
2014-03-05,21:00:00,14.09,14.11,14.09,14.11,47437,0
2014-03-05,22:00:00,14.11,14.13,14.07,14.12,338449,0
2014-03-06,16:00:00,14.1,14.2,14.05,14.18,32602,0
2014-03-06,17:00:00,14.17,14.2,14.11,14.19,75359,0
2014-03-06,18:00:00,14.18,14.19,14.1,14.14,111159,0
2014-03-06,19:00:00,14.14,14.19,14.13,14.14,62631,0
