Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,38.1676,38.1975,37.4304,37.6894,24848,0
2014-02-10,17:00:00,37.6595,37.6595,37.1116,37.1514,60915,0
2014-02-10,18:00:00,37.1315,37.2112,36.9521,37.1913,63603,0
2014-02-10,19:00:00,37.1913,37.3307,37.1514,37.3108,44296,0
2014-02-10,20:00:00,37.2809,37.5997,37.2112,37.5699,127122,0
2014-02-10,21:00:00,37.5699,37.5798,37.4702,37.4702,39033,0
2014-02-10,22:00:00,37.4902,37.52,37.3905,37.4304,127765,0
2014-02-11,16:00:00,37.7392,37.9385,37.5699,37.5699,19213,0
2014-02-11,17:00:00,37.6097,38.0182,37.4603,37.9385,113059,0
2014-02-11,18:00:00,37.9484,38.1477,37.789,38.1477,44168,0
2014-02-11,19:00:00,38.1078,38.1078,37.8986,37.9484,41429,0
2014-02-11,20:00:00,37.9584,38.0979,37.9584,38.058,31154,0
2014-02-11,21:00:00,38.0481,38.1078,38.0381,38.058,55817,0
2014-02-11,22:00:00,38.058,38.0779,37.9883,38.0481,154778,0
2014-02-12,16:00:00,38.2075,38.4765,38.2075,38.3868,21609,0
2014-02-12,17:00:00,38.3768,38.7753,38.0879,38.4466,119618,0
2014-02-12,18:00:00,38.4366,38.606,38.3968,38.4565,32889,0
2014-02-12,19:00:00,38.4665,38.5761,38.4565,38.5163,31270,0
2014-02-12,20:00:00,38.5263,38.596,38.4864,38.5263,36214,0
2014-02-12,21:00:00,38.5064,38.5761,38.347,38.4067,40089,0
2014-02-12,22:00:00,38.4067,38.4565,38.2772,38.4167,132110,0
2014-02-13,16:00:00,37.9783,38.3071,37.9684,38.0481,55245,0
2014-02-13,17:00:00,38.0381,38.4864,37.9185,38.4366,88428,0
2014-02-13,18:00:00,38.4565,38.6259,38.4565,38.5263,36141,0
2014-02-13,19:00:00,38.5163,38.5263,38.2772,38.4964,35665,0
2014-02-13,20:00:00,38.4964,38.7554,38.4466,38.7554,36491,0
2014-02-13,21:00:00,38.7654,38.8451,38.5761,38.7355,36394,0
2014-02-13,22:00:00,38.7355,38.7753,38.6956,38.7355,137692,0
2014-02-14,16:00:00,38.6159,38.9049,38.6159,38.9049,16214,0
2014-02-14,17:00:00,38.9049,39.2934,38.6757,39.1141,63845,0
2014-02-14,18:00:00,39.1141,39.1838,39.0543,39.1539,47737,0
2014-02-14,19:00:00,39.1639,39.2735,39.0643,39.1838,25655,0
2014-02-14,20:00:00,39.1838,39.3133,39.1739,39.2934,44579,0
2014-02-14,21:00:00,39.3034,39.403,39.3034,39.3731,39596,0
2014-02-14,22:00:00,39.3731,39.3731,39.2336,39.3034,114158,0
2014-02-18,16:00:00,39.403,39.682,39.134,39.1938,17071,0
2014-02-18,17:00:00,39.0842,39.2835,38.8849,39.1539,131787,0
2014-02-18,18:00:00,39.2137,39.4827,39.1639,39.3532,28573,0
2014-02-18,19:00:00,39.3432,39.403,39.2436,39.2934,16522,0
2014-02-18,20:00:00,39.3133,39.3233,39.0842,39.1041,26004,0
2014-02-18,21:00:00,39.1241,39.1838,39.0443,39.144,27329,0
2014-02-18,22:00:00,39.134,39.2436,39.0942,39.144,296946,0
2014-02-19,16:00:00,39.0344,39.1739,38.8949,39.1639,33201,0
2014-02-19,17:00:00,39.1141,39.5724,39.0344,39.2137,130140,0
2014-02-19,18:00:00,39.2137,39.2137,39.0045,39.0045,32309,0
2014-02-19,19:00:00,39.0045,39.0344,38.6458,38.7554,23202,0
2014-02-19,20:00:00,38.6956,38.9248,38.6458,38.865,28520,0
2014-02-19,21:00:00,38.865,38.9148,38.5761,38.606,32654,0
2014-02-19,22:00:00,38.6159,38.6359,38.347,38.4067,118960,0
2014-02-20,16:00:00,38.4466,38.7355,38.4466,38.7056,44480,0
2014-02-20,17:00:00,38.6857,39.144,38.6658,38.9348,113711,0
2014-02-20,18:00:00,38.9348,39.0443,38.8052,38.9447,27843,0
2014-02-20,19:00:00,38.8949,39.0344,38.855,38.9846,16949,0
2014-02-20,20:00:00,38.9846,39.0344,38.865,38.865,10965,0
2014-02-20,21:00:00,38.9049,38.9646,38.8252,38.9248,27834,0
2014-02-20,22:00:00,38.9148,39.1241,38.9148,39.1041,92773,0
2014-02-21,16:00:00,39.3034,39.3034,39.0543,39.1639,91199,0
2014-02-21,17:00:00,39.134,39.1639,38.865,39.144,22421,0
2014-02-21,18:00:00,39.144,39.3632,39.0543,39.2735,107076,0
2014-02-21,19:00:00,39.2835,39.3532,39.2336,39.2934,19131,0
2014-02-21,20:00:00,39.2934,39.3333,39.1041,39.1041,24918,0
2014-02-21,21:00:00,39.1041,39.1141,38.9447,38.9746,30624,0
2014-02-21,22:00:00,38.9646,38.9646,38.6159,38.6956,192043,0
2014-02-24,16:00:00,38.6956,38.8351,38.4366,38.8351,30273,0
2014-02-24,17:00:00,38.8351,39.0543,38.6956,38.7156,138724,0
2014-02-24,18:00:00,38.7156,39.2436,38.7156,39.1938,29108,0
2014-02-24,19:00:00,39.2038,39.2436,39.134,39.2237,13611,0
2014-02-24,20:00:00,39.2237,39.2237,38.9945,39.0145,20587,0
2014-02-24,21:00:00,39.0145,39.0443,38.855,38.865,29353,0
2014-02-24,22:00:00,38.8451,38.8451,38.4466,38.4565,251811,0
2014-02-25,16:00:00,38.4665,38.5761,37.799,37.8687,35601,0
2014-02-25,17:00:00,37.8687,38.2573,37.7293,38.1776,40456,0
2014-02-25,18:00:00,38.2174,38.4267,37.9684,37.9783,77960,0
2014-02-25,19:00:00,38.0082,38.3071,37.8887,38.2971,97139,0
2014-02-25,20:00:00,38.2673,38.3669,38.2374,38.3071,34744,0
2014-02-25,21:00:00,38.3071,38.3171,37.9584,37.9883,61905,0
2014-02-25,22:00:00,37.9783,38.1776,37.9385,38.1676,120851,0
2014-02-26,16:00:00,38.337,38.5761,38.2673,38.3669,23490,0
2014-02-26,17:00:00,38.4565,38.9049,38.2872,38.9049,95171,0
2014-02-26,18:00:00,38.9049,39.413,38.8849,39.2934,218763,0
2014-02-26,19:00:00,39.2835,39.3632,39.1141,39.2835,26900,0
2014-02-26,20:00:00,39.2336,39.3233,39.2038,39.2735,25344,0
2014-02-26,21:00:00,39.3233,39.3233,39.0742,39.2336,43530,0
2014-02-26,22:00:00,39.2336,39.2336,38.9746,39.1539,107418,0
2014-02-27,16:00:00,39.0443,39.5624,38.875,39.2835,95331,0
2014-02-27,17:00:00,39.3233,39.3432,39.0942,39.2137,48531,0
2014-02-27,18:00:00,39.1838,39.4827,39.1639,39.403,72867,0
2014-02-27,19:00:00,39.4229,39.5026,39.3432,39.5026,35632,0
2014-02-27,20:00:00,39.5026,39.5325,39.4429,39.4429,27366,0
2014-02-27,21:00:00,39.4329,39.5524,39.3233,39.5226,100392,0
2014-02-27,22:00:00,39.4827,39.6023,39.4329,39.5923,109591,0
2014-02-28,16:00:00,39.7218,39.8214,39.5226,39.5226,26651,0
2014-02-28,17:00:00,39.6023,39.8314,39.5325,39.6321,37133,0
2014-02-28,18:00:00,39.6321,39.8115,39.5026,39.7617,132362,0
2014-02-28,19:00:00,39.7417,40.0506,39.7218,40.0008,42309,0
2014-02-28,20:00:00,39.9809,40.1303,39.9809,40.0307,39999,0
2014-02-28,21:00:00,40.0307,40.1502,39.9211,39.9211,63673,0
2014-02-28,22:00:00,39.931,39.931,39.6023,39.7119,181027,0
2014-03-03,16:00:00,39.2038,39.4229,38.9248,39.3133,18459,0
2014-03-03,17:00:00,39.3432,39.7716,39.2137,39.4229,198794,0
2014-03-03,18:00:00,39.3931,39.4229,39.0643,39.134,53690,0
2014-03-03,19:00:00,39.134,39.1838,38.9148,39.144,38181,0
2014-03-03,20:00:00,39.1639,39.4429,39.1639,39.413,22422,0
2014-03-03,21:00:00,39.4528,39.4528,39.2835,39.3432,32988,0
2014-03-03,22:00:00,39.3432,39.3731,39.1241,39.2735,222876,0
2014-03-04,16:00:00,39.7916,40.3395,39.7019,40.2997,44475,0
2014-03-04,17:00:00,40.4093,40.9473,40.3395,40.8875,147051,0
2014-03-04,18:00:00,40.8974,40.8974,40.6484,40.7679,52935,0
2014-03-04,19:00:00,40.7679,40.8476,40.6484,40.7281,29330,0
2014-03-04,20:00:00,40.748,40.758,40.3694,40.4192,53973,0
2014-03-04,21:00:00,40.3694,40.4093,40.2299,40.3694,39036,0
2014-03-04,22:00:00,40.3694,40.5886,40.3495,40.5388,508930,0
2014-03-05,16:00:00,40.3993,40.6384,40.1004,40.3096,103731,0
2014-03-05,17:00:00,40.3594,40.6683,40.2997,40.489,92707,0
2014-03-05,18:00:00,40.5388,40.5687,40.3196,40.3993,36047,0
2014-03-05,19:00:00,40.3993,40.469,40.3196,40.3594,22189,0
2014-03-05,20:00:00,40.3495,40.5089,40.2997,40.2997,19826,0
2014-03-05,21:00:00,40.3296,40.3594,40.2399,40.2698,19480,0
2014-03-05,22:00:00,40.2598,40.4989,40.2499,40.4491,228595,0
2014-03-06,16:00:00,40.479,41.1266,40.479,40.9373,91700,0
2014-03-06,17:00:00,40.7978,41.1963,40.6683,41.1963,31696,0
2014-03-06,18:00:00,41.1764,41.2362,40.8974,40.9971,38538,0
2014-03-06,19:00:00,40.9672,41.0768,40.9174,41.0668,21409,0
2014-03-06,20:00:00,41.0568,41.0967,40.8476,40.9074,25330,0
2014-03-06,21:00:00,40.9074,41.0469,40.8875,41.0469,16883,0
2014-03-06,22:00:00,41.0369,41.1067,40.9373,41.027,111061,0
2014-03-07,16:00:00,41.017,41.3059,40.4292,40.4989,23108,0
2014-03-07,17:00:00,40.3993,40.8775,40.3594,40.8277,86572,0
2014-03-07,18:00:00,40.8078,40.8775,40.5288,40.8177,17467,0
2014-03-07,19:00:00,40.8177,40.8675,40.6882,40.8675,11579,0
2014-03-07,20:00:00,40.8775,40.9373,40.7978,40.8875,14466,0
2014-03-07,21:00:00,40.9373,40.9771,40.7978,40.9174,23409,0
2014-03-07,22:00:00,40.9373,41.017,40.8974,40.9971,86256,0
2014-03-10,15:00:00,40.9174,40.9174,40.3096,40.6683,117670,0
2014-03-10,16:00:00,40.6683,40.8576,40.4491,40.6882,33814,0
2014-03-10,17:00:00,40.6683,40.9273,40.6085,40.8675,25262,0
2014-03-10,18:00:00,40.8775,40.9273,40.748,40.8675,15897,0
2014-03-10,19:00:00,40.8576,40.9074,40.7181,40.748,18628,0
2014-03-10,20:00:00,40.738,40.9273,40.738,40.9074,41717,0
2014-03-10,21:00:00,40.8974,41.296,40.8875,41.1864,312013,0
2014-03-11,15:00:00,41.4255,41.4255,40.7281,40.7281,13635,0
2014-03-11,16:00:00,40.738,40.9971,40.6284,40.9771,41261,0
2014-03-11,17:00:00,40.9473,40.9771,40.5188,40.5587,44559,0
