Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,92.874,92.874,91.938,92.107,18265,0
2014-02-10,17:00:00,92.476,92.705,91.808,91.868,77334,0
2014-02-10,18:00:00,91.848,91.968,91.539,91.609,29302,0
2014-02-10,19:00:00,91.579,91.719,91.36,91.649,23507,0
2014-02-10,20:00:00,91.609,91.948,91.609,91.858,35759,0
2014-02-10,21:00:00,91.868,92.585,91.868,92.366,34909,0
2014-02-10,22:00:00,92.416,92.675,92.306,92.595,58773,0
2014-02-11,16:00:00,92.595,93.073,92.157,92.794,7310,0
2014-02-11,17:00:00,92.764,93.272,92.585,92.764,29592,0
2014-02-11,18:00:00,92.894,93.75,92.705,93.511,29519,0
2014-02-11,19:00:00,93.432,93.92,93.292,93.84,26474,0
2014-02-11,20:00:00,93.88,94.099,93.651,93.8,45164,0
2014-02-11,21:00:00,93.96,94.229,93.671,94.159,34519,0
2014-02-11,22:00:00,94.179,94.398,93.9,93.98,149920,0
2014-02-12,16:00:00,94.129,94.527,93.999,94.527,26651,0
2014-02-12,17:00:00,94.398,94.468,93.97,94.169,49020,0
2014-02-12,18:00:00,94.119,94.677,94.069,94.527,72050,0
2014-02-12,19:00:00,94.487,95.055,94.408,95.005,39890,0
2014-02-12,20:00:00,95.065,95.424,94.836,95.414,39839,0
2014-02-12,21:00:00,95.354,95.603,95.035,95.224,65138,0
2014-02-12,22:00:00,95.145,95.394,94.856,95.175,123665,0
2014-02-13,16:00:00,95.364,95.364,92.844,93.681,42566,0
2014-02-13,17:00:00,93.82,94.846,93.76,94.736,93431,0
2014-02-13,18:00:00,94.736,95.523,93.093,93.093,111501,0
2014-02-13,19:00:00,93.073,93.731,92.515,92.874,56812,0
2014-02-13,20:00:00,92.874,93.521,92.824,92.974,135943,0
2014-02-13,21:00:00,92.984,93.691,92.924,93.133,71313,0
2014-02-13,22:00:00,93.053,93.193,92.406,92.924,268947,0
2014-02-14,16:00:00,93.382,94.328,92.934,94.328,45794,0
2014-02-14,17:00:00,94.278,95.464,94.278,95.055,67039,0
2014-02-14,18:00:00,95.035,95.294,94.906,94.906,106635,0
2014-02-14,19:00:00,94.906,95.344,94.697,95.185,44742,0
2014-02-14,20:00:00,95.175,95.244,95.065,95.155,44907,0
