Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,90.45,90.53,89.7,89.74,1484198,0
2014-02-10,17:00:00,89.74,90.13,89.68,89.78,1554313,0
2014-02-10,18:00:00,89.78,89.8,89.57,89.63,1175293,0
2014-02-10,19:00:00,89.62,89.78,89.56,89.65,931266,0
2014-02-10,20:00:00,89.66,89.75,89.58,89.68,1079948,0
2014-02-10,21:00:00,89.68,89.81,89.56,89.56,1451205,0
2014-02-10,22:00:00,89.57,89.61,89.36,89.52,4310917,0
2014-02-11,16:00:00,89.57,89.99,89.4,89.8,1735014,0
2014-02-11,17:00:00,89.8,90.21,89.66,90.2,2178668,0
2014-02-11,18:00:00,90.2,90.73,90.2,90.56,1898098,0
2014-02-11,19:00:00,90.55,90.59,90.32,90.52,1018223,0
2014-02-11,20:00:00,90.51,90.9,90.5,90.72,1141581,0
2014-02-11,21:00:00,90.73,90.95,90.65,90.91,1310305,0
2014-02-11,22:00:00,90.9,91,90.69,90.84,9818838,0
2014-02-12,16:00:00,91.01,91.79,90.9,91.79,1297822,0
2014-02-12,17:00:00,91.79,91.86,91.15,91.3,1969678,0
2014-02-12,18:00:00,91.3,91.37,90.64,90.76,1598019,0
2014-02-12,19:00:00,90.75,91.18,90.69,91.06,946093,0
2014-02-12,20:00:00,91.07,91.24,90.96,91.14,810501,0
2014-02-12,21:00:00,91.14,91.24,90.73,90.84,1390261,0
2014-02-12,22:00:00,90.84,91.13,90.8,91.08,2310042,0
2014-02-13,16:00:00,90.58,90.74,90.4,90.74,1729278,0
2014-02-13,17:00:00,90.75,91.4,90.73,91.3,1257742,0
2014-02-13,18:00:00,91.3,91.36,91.1,91.16,987994,0
2014-02-13,19:00:00,91.15,91.43,91.07,91.4,863702,0
2014-02-13,20:00:00,91.4,91.63,91.29,91.6,943211,0
2014-02-13,21:00:00,91.6,91.65,91.32,91.41,1268240,0
2014-02-13,22:00:00,91.4,91.5,91.27,91.43,5218388,0
2014-02-14,16:00:00,91.81,93.17,91.6,92.89,2236104,0
2014-02-14,17:00:00,92.9,93.42,92.9,93.32,3109435,0
2014-02-14,18:00:00,93.33,93.79,93.23,93.71,2669915,0
2014-02-14,19:00:00,93.71,94.12,93.69,93.83,2055792,0
2014-02-14,20:00:00,93.83,93.89,93.53,93.86,1451221,0
2014-02-14,21:00:00,93.86,94.43,93.85,94.31,2003500,0
2014-02-14,22:00:00,94.31,94.31,93.8,94.11,16261671,0
2014-02-18,16:00:00,94.3,94.72,93.8,94.13,2026577,0
2014-02-18,17:00:00,94.1,94.11,93.36,93.49,2028163,0
2014-02-18,18:00:00,93.5,94.32,93.49,94.12,1690415,0
2014-02-18,19:00:00,94.13,94.15,93.86,94.13,1049764,0
2014-02-18,20:00:00,94.13,94.27,93.82,93.91,1217274,0
2014-02-18,21:00:00,93.91,94.17,93.86,93.99,1289170,0
2014-02-18,22:00:00,93.99,94.19,93.88,94.07,7237902,0
2014-02-19,16:00:00,93.8,94.96,93.8,94.48,1355445,0
2014-02-19,17:00:00,94.49,95.29,94.48,94.68,2309846,0
2014-02-19,18:00:00,94.67,94.9,94.5,94.5,1642745,0
2014-02-19,19:00:00,94.5,94.71,94.45,94.67,1424999,0
2014-02-19,20:00:00,94.68,94.82,94.65,94.72,833119,0
2014-02-19,21:00:00,94.73,94.89,94.5,94.64,1454402,0
2014-02-19,22:00:00,94.63,94.65,93.89,93.95,8043306,0
2014-02-20,16:00:00,93.85,94.59,93.75,94.48,2132510,0
2014-02-20,17:00:00,94.48,94.97,94.27,94.9,1864554,0
2014-02-20,18:00:00,94.91,95.77,94.88,95.61,2503150,0
2014-02-20,19:00:00,95.61,95.67,95.37,95.4,1666194,0
2014-02-20,20:00:00,95.4,95.49,95.3,95.45,1028163,0
2014-02-20,21:00:00,95.46,95.67,95.27,95.65,1576041,0
2014-02-20,22:00:00,95.66,95.73,95.36,95.37,5390167,0
2014-02-21,16:00:00,95.48,95.51,95,95.27,6159457,0
2014-02-21,17:00:00,95.28,95.42,94.94,95.12,1139662,0
2014-02-21,18:00:00,95.13,95.41,95.11,95.34,1158997,0
2014-02-21,19:00:00,95.33,95.58,95.31,95.47,922989,0
2014-02-21,20:00:00,95.47,95.53,95.38,95.39,886131,0
2014-02-21,21:00:00,95.4,95.47,95.08,95.34,1730042,0
2014-02-21,22:00:00,95.35,95.48,94.99,95.03,3459930,0
2014-02-24,16:00:00,95.61,96.66,95.41,96.63,2599884,0
2014-02-24,17:00:00,96.63,96.83,96.35,96.76,2472926,0
2014-02-24,18:00:00,96.76,97.16,96.63,96.97,2072177,0
2014-02-24,19:00:00,96.97,97.24,96.96,96.97,1286173,0
2014-02-24,20:00:00,96.97,97.1,96.92,96.93,1041917,0
2014-02-24,21:00:00,96.93,97.1,96.8,97,2030180,0
2014-02-24,22:00:00,97.01,97.01,96.39,96.44,6199151,0
2014-02-25,16:00:00,96.54,96.68,95.96,96.18,1237109,0
2014-02-25,17:00:00,96.15,96.56,96.09,96.38,1514592,0
2014-02-25,18:00:00,96.38,96.78,96.33,96.4,1214034,0
2014-02-25,19:00:00,96.39,96.75,96.39,96.73,753179,0
2014-02-25,20:00:00,96.73,96.97,96.7,96.84,868081,0
2014-02-25,21:00:00,96.83,96.87,96.43,96.5,1021373,0
2014-02-25,22:00:00,96.51,96.51,96.12,96.31,6217992,0
2014-02-26,16:00:00,96.56,96.86,95.98,96.03,801969,0
2014-02-26,17:00:00,96.02,96.65,96.02,96.21,1405938,0
2014-02-26,18:00:00,96.22,96.42,96.01,96.15,951444,0
2014-02-26,19:00:00,96.16,96.36,96.11,96.3,703366,0
2014-02-26,20:00:00,96.3,96.3,95.89,95.89,973116,0
2014-02-26,21:00:00,95.9,95.99,95.54,95.84,1169869,0
2014-02-26,22:00:00,95.85,95.99,95.53,95.79,8217211,0
2014-02-27,16:00:00,95.58,95.99,95.51,95.57,775959,0
2014-02-27,17:00:00,95.59,95.96,95.51,95.52,1090632,0
2014-02-27,18:00:00,95.52,95.78,95.18,95.25,1029079,0
2014-02-27,19:00:00,95.26,95.39,95.16,95.37,971201,0
2014-02-27,20:00:00,95.37,95.68,95.29,95.63,903901,0
2014-02-27,21:00:00,95.63,95.84,95.5,95.78,866647,0
2014-02-27,22:00:00,95.79,96.05,95.66,95.84,3724333,0
2014-02-28,16:00:00,95.96,96.74,95.78,96.73,775167,0
2014-02-28,17:00:00,96.72,96.83,96.48,96.7,1466924,0
2014-02-28,18:00:00,96.69,96.72,96.27,96.53,1051466,0
2014-02-28,19:00:00,96.54,96.58,96.37,96.52,601054,0
2014-02-28,20:00:00,96.52,96.57,96.39,96.53,761813,0
2014-02-28,21:00:00,96.52,96.57,96.23,96.4,1303301,0
2014-02-28,22:00:00,96.4,96.41,95.85,96.27,39869334,0
2014-03-03,16:00:00,95.81,96.53,95.58,96.17,1105578,0
2014-03-03,17:00:00,96.18,96.37,95.83,96.16,1771240,0
2014-03-03,18:00:00,96.17,96.18,95.37,95.39,1206729,0
2014-03-03,19:00:00,95.38,95.64,95.11,95.24,1306498,0
2014-03-03,20:00:00,95.23,95.44,95.13,95.37,905680,0
2014-03-03,21:00:00,95.38,95.45,94.94,95.06,1558798,0
2014-03-03,22:00:00,95.06,95.51,94.83,95.5,4948843,0
2014-03-04,16:00:00,96.44,96.68,96.01,96.24,1028471,0
2014-03-04,17:00:00,96.25,96.31,95.87,96.07,1440231,0
2014-03-04,18:00:00,96.07,96.38,96.05,96.28,968153,0
2014-03-04,19:00:00,96.27,96.57,96.22,96.52,1288149,0
2014-03-04,20:00:00,96.51,96.65,96.2,96.42,1369368,0
2014-03-04,21:00:00,96.43,96.64,96.31,96.55,1390885,0
2014-03-04,22:00:00,96.55,96.86,96.38,96.52,12688656,0
2014-03-05,16:00:00,95.2,95.29,94.25,94.56,3716858,0
2014-03-05,17:00:00,94.57,94.82,93.8,94.11,4045904,0
2014-03-05,18:00:00,94.11,94.27,93.8,93.86,2629916,0
2014-03-05,19:00:00,93.87,93.94,93.4,93.66,2254710,0
2014-03-05,20:00:00,93.64,93.98,93.62,93.79,1580558,0
2014-03-05,21:00:00,93.79,93.9,93.52,93.64,1660394,0
2014-03-05,22:00:00,93.64,93.91,93.52,93.8,6261959,0
2014-03-06,16:00:00,93.67,93.92,93.27,93.9,1493893,0
2014-03-06,17:00:00,93.9,93.94,93.42,93.63,2054285,0
2014-03-06,18:00:00,93.63,93.69,93.46,93.53,1375130,0
2014-03-06,19:00:00,93.53,93.69,93.35,93.45,1106159,0
2014-03-06,20:00:00,93.46,93.51,93.28,93.36,1134236,0
2014-03-06,21:00:00,93.37,93.76,93.32,93.63,1476991,0
2014-03-06,22:00:00,93.64,93.78,93.49,93.76,8128577,0
2014-03-07,16:00:00,94.43,94.67,93.99,94.56,1550360,0
2014-03-07,17:00:00,94.55,94.99,94.33,94.73,2361236,0
2014-03-07,18:00:00,94.74,94.74,94.39,94.64,1449716,0
2014-03-07,19:00:00,94.64,94.87,94.56,94.78,964639,0
2014-03-07,20:00:00,94.77,94.82,94.59,94.77,967596,0
2014-03-07,21:00:00,94.77,94.8,94.52,94.65,1339341,0
2014-03-07,22:00:00,94.65,95.06,94.63,94.99,3819545,0
2014-03-10,15:00:00,95.14,95.25,94.83,95.01,1691379,0
2014-03-10,16:00:00,95,95.01,94.66,94.89,1587000,0
2014-03-10,17:00:00,94.88,95.14,94.81,95.01,1195942,0
2014-03-10,18:00:00,95.02,95.22,94.92,95.19,875082,0
2014-03-10,19:00:00,95.19,95.25,94.95,95.11,822295,0
2014-03-10,20:00:00,95.11,95.28,95.01,95.21,1010794,0
2014-03-10,21:00:00,95.21,95.55,95.19,95.5,3428164,0
2014-03-11,15:00:00,95.36,95.59,94.86,94.86,1233997,0
2014-03-11,16:00:00,94.86,95.13,94.78,94.87,1507099,0
2014-03-11,17:00:00,94.87,94.91,94.31,94.33,1436262,0
2014-03-11,18:00:00,94.34,94.35,93.56,93.78,2082266,0
2014-03-11,19:00:00,93.76,94.2,93.52,94.16,1531266,0
2014-03-11,20:00:00,94.15,94.2,93.8,93.9,1190418,0
2014-03-11,21:00:00,93.9,94.12,93.73,94.01,3781503,0
2014-03-12,15:00:00,93.64,94.05,93.6,93.92,1040193,0
2014-03-12,16:00:00,93.91,94.14,93.58,94,1541412,0
2014-03-12,17:00:00,94,94.47,93.92,93.96,1189967,0
2014-03-12,18:00:00,93.96,94.08,93.79,94.07,810947,0
2014-03-12,19:00:00,94.08,94.08,93.82,93.98,617928,0
2014-03-12,20:00:00,93.98,94.11,93.84,93.84,811549,0
2014-03-12,21:00:00,93.84,94.22,93.68,94.21,4529811,0
2014-03-13,15:00:00,94.44,94.57,93.8,93.82,1020609,0
2014-03-13,16:00:00,93.84,94.06,93.6,93.61,1578456,0
2014-03-13,17:00:00,93.63,93.75,93.51,93.63,943893,0
2014-03-13,18:00:00,93.64,93.73,93.41,93.59,1033335,0
2014-03-13,19:00:00,93.58,93.82,93.33,93.77,1117610,0
2014-03-13,20:00:00,93.77,93.81,93.42,93.55,975154,0
2014-03-13,21:00:00,93.56,93.87,93.47,93.64,4113033,0
2014-03-14,15:00:00,93.58,93.9,93.41,93.73,1729609,0
2014-03-14,16:00:00,93.73,94.22,93.71,93.99,1714686,0
2014-03-14,17:00:00,93.99,94.04,93.41,93.88,1794912,0
2014-03-14,18:00:00,93.88,93.98,93.59,93.78,1212501,0
2014-03-14,19:00:00,93.79,93.84,93.54,93.72,830635,0
2014-03-14,20:00:00,93.72,93.77,93.29,93.33,1184969,0
2014-03-14,21:00:00,93.33,93.71,93.32,93.47,10000874,0
2014-03-17,15:00:00,93.95,94.49,93.75,94.38,1118347,0
2014-03-17,16:00:00,94.38,94.53,94.03,94.2,1300515,0
2014-03-17,17:00:00,94.2,94.36,93.88,94.01,1134105,0
2014-03-17,18:00:00,94,94.09,93.82,93.93,945935,0
2014-03-17,19:00:00,93.93,94.1,93.8,94.05,721389,0
2014-03-17,20:00:00,94.05,94.21,93.99,94.1,881203,0
2014-03-17,21:00:00,94.1,94.33,94.07,94.32,9388598,0
2014-03-18,15:00:00,94.41,94.99,94.07,94.98,912760,0
2014-03-18,16:00:00,94.99,95.25,94.8,94.83,1430477,0
2014-03-18,17:00:00,94.84,95.02,94.73,95,802489,0
2014-03-18,18:00:00,95,95.11,94.85,94.98,910341,0
2014-03-18,19:00:00,94.98,95.22,94.92,95.08,697447,0
2014-03-18,20:00:00,95.08,95.12,94.73,94.76,1110122,0
2014-03-18,21:00:00,94.76,94.8,94.57,94.71,3878774,0
2014-03-19,15:00:00,94.65,94.75,94.16,94.49,820861,0
