Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,6.80168,6.86015,6.73347,6.82117,36146,0
2014-02-10,17:00:00,6.81142,6.81142,6.66526,6.73347,3787,0
2014-02-10,18:00:00,6.72372,6.72372,6.59704,6.64577,12315,0
2014-02-10,19:00:00,6.59704,6.66526,6.59704,6.60679,7209,0
2014-02-10,20:00:00,6.62628,6.66526,6.53858,6.53858,9941,0
2014-02-10,21:00:00,6.57755,6.62628,6.52883,6.5873,15267,0
2014-02-10,22:00:00,6.61653,6.61653,6.45088,6.54832,70531,0
2014-02-11,16:00:00,6.4996,6.55807,6.4996,6.4996,1642,0
2014-02-11,17:00:00,6.50934,6.55807,6.45088,6.55807,6833,0
2014-02-11,18:00:00,6.48985,6.51909,6.36318,6.48011,9714,0
2014-02-11,19:00:00,6.52883,6.54832,6.43139,6.54832,3672,0
2014-02-11,20:00:00,6.4996,6.59704,6.4996,6.54832,4139,0
2014-02-11,21:00:00,6.57755,6.62628,6.53858,6.59704,8107,0
2014-02-11,22:00:00,6.61653,6.65551,6.55807,6.63602,10953,0
2014-02-12,16:00:00,6.62628,6.66526,6.54832,6.55807,4926,0
2014-02-12,17:00:00,6.64577,6.68474,6.54832,6.64577,8928,0
2014-02-12,18:00:00,6.64577,6.72372,6.5873,6.69449,8210,0
2014-02-12,19:00:00,6.69449,6.82117,6.65551,6.80168,19825,0
2014-02-12,20:00:00,6.81142,6.81142,6.66526,6.66526,9236,0
2014-02-12,21:00:00,6.73347,6.77245,6.65551,6.65551,4002,0
2014-02-12,22:00:00,6.675,6.69449,6.60679,6.62628,11004,0
2014-02-13,16:00:00,6.68474,6.68474,6.56781,6.675,5901,0
2014-02-13,17:00:00,6.59704,6.62628,6.56781,6.57755,20786,0
2014-02-13,18:00:00,6.57755,6.5873,6.4996,6.55807,32652,0
2014-02-13,19:00:00,6.57755,6.59704,6.51909,6.56781,10057,0
2014-02-13,20:00:00,6.57755,6.57755,6.56781,6.56781,5542,0
2014-02-13,21:00:00,6.55807,6.57755,6.55807,6.56781,13706,0
2014-02-13,22:00:00,6.57755,6.59704,6.53858,6.54832,43885,0
2014-02-14,16:00:00,6.60679,6.62628,6.51909,6.53858,6052,0
2014-02-14,17:00:00,6.54832,6.57755,6.48985,6.51909,4105,0
2014-02-14,18:00:00,6.51909,6.59704,6.48985,6.57755,14264,0
2014-02-14,19:00:00,6.57755,6.5873,6.54832,6.55807,10399,0
2014-02-14,20:00:00,6.55807,6.5873,6.54832,6.54832,1437,0
2014-02-14,21:00:00,6.57755,6.57755,6.54832,6.56781,8210,0
2014-02-14,22:00:00,6.56781,6.57755,6.50934,6.56781,2873,0
2014-02-18,16:00:00,6.53858,6.55807,6.52883,6.55807,3233,0
2014-02-18,17:00:00,6.57755,6.57755,6.53858,6.53858,8620,0
2014-02-18,18:00:00,6.53858,6.53858,6.34369,6.43139,31765,0
2014-02-18,19:00:00,6.43139,6.4996,6.39241,6.4119,52712,0
2014-02-18,20:00:00,6.4119,6.46062,6.38266,6.4119,9595,0
2014-02-18,21:00:00,6.43139,6.43139,6.38266,6.38266,1905,0
2014-02-18,22:00:00,6.39241,6.50934,6.39241,6.4119,51305,0
2014-02-19,16:00:00,6.43139,6.4996,6.33394,6.33394,5049,0
2014-02-19,17:00:00,6.38266,6.43139,6.33394,6.37292,5542,0
2014-02-19,18:00:00,6.35343,6.40215,6.35343,6.36318,3900,0
2014-02-19,19:00:00,6.35343,6.36318,6.33394,6.34369,4823,0
2014-02-19,20:00:00,6.38266,6.40215,6.34369,6.34369,410,0
2014-02-19,21:00:00,6.37292,6.37292,6.36318,6.36318,1642,0
2014-02-19,22:00:00,6.37292,6.40215,6.35343,6.39241,7315,0
2014-02-20,16:00:00,6.37292,6.39241,6.2365,6.3242,2822,0
2014-02-20,17:00:00,6.28522,6.28522,6.2365,6.24624,5623,0
2014-02-20,18:00:00,6.24624,6.24624,6.11956,6.16828,13997,0
2014-02-20,19:00:00,6.16828,6.20726,6.10007,6.1488,8543,0
2014-02-20,20:00:00,6.17803,6.22675,6.16828,6.22675,4133,0
2014-02-20,21:00:00,6.2365,6.2365,6.21701,6.2365,9441,0
2014-02-20,22:00:00,6.20726,6.2365,6.18777,6.21701,8921,0
2014-02-21,16:00:00,6.09033,6.12931,6.03186,6.05135,12607,0
2014-02-21,17:00:00,6.05135,6.05135,5.99288,6.04161,24699,0
