Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,107.23,107.25,107.21,107.24,53000,0
2014-02-10,17:00:00,107.24,107.3,107.23,107.28,106219,0
2014-02-10,18:00:00,107.29,107.3,107.26,107.26,104256,0
2014-02-10,19:00:00,107.26,107.27,107.23,107.23,86881,0
2014-02-10,20:00:00,107.22,107.25,107.22,107.24,75719,0
2014-02-10,21:00:00,107.23,107.26,107.22,107.26,98046,0
2014-02-10,22:00:00,107.26,107.37,107.24,107.33,736710,0
2014-02-11,16:00:00,107.1,107.16,107.05,107.13,374792,0
2014-02-11,17:00:00,107.13,107.18,107.11,107.16,163140,0
2014-02-11,18:00:00,107.16,107.18,107.11,107.15,438235,0
2014-02-11,19:00:00,107.15,107.15,107.06,107.07,181010,0
2014-02-11,20:00:00,107.07,107.11,107.03,107.09,145512,0
2014-02-11,21:00:00,107.09,107.12,107.06,107.12,123457,0
2014-02-11,22:00:00,107.11,107.12,107.06,107.12,281871,0
2014-02-12,16:00:00,106.98,107.01,106.95,107.01,100317,0
2014-02-12,17:00:00,106.98,107,106.92,106.95,91805,0
2014-02-12,18:00:00,106.95,106.96,106.9,106.96,209301,0
2014-02-12,19:00:00,106.96,106.96,106.87,106.87,113180,0
2014-02-12,20:00:00,106.89,106.91,106.85,106.9,127864,0
2014-02-12,21:00:00,106.9,106.94,106.89,106.91,79550,0
2014-02-12,22:00:00,106.91,106.95,106.89,106.94,160203,0
2014-02-13,16:00:00,107.11,107.18,107.11,107.14,111602,0
2014-02-13,17:00:00,107.14,107.17,107.09,107.1,51558,0
2014-02-13,18:00:00,107.1,107.15,107.1,107.12,74038,0
2014-02-13,19:00:00,107.12,107.16,107.09,107.16,76165,0
2014-02-13,20:00:00,107.16,107.22,107.14,107.21,175422,0
2014-02-13,21:00:00,107.2,107.2,107.15,107.17,247463,0
2014-02-13,22:00:00,107.16,107.18,107.12,107.17,382015,0
2014-02-14,16:00:00,107.13,107.18,107.12,107.15,78777,0
2014-02-14,17:00:00,107.15,107.16,107.09,107.11,266731,0
2014-02-14,18:00:00,107.1,107.15,107.06,107.11,157855,0
2014-02-14,19:00:00,107.12,107.16,107.12,107.16,56136,0
2014-02-14,20:00:00,107.16,107.17,107.11,107.11,90312,0
2014-02-14,21:00:00,107.12,107.15,107.1,107.11,121100,0
2014-02-14,22:00:00,107.12,107.17,107.12,107.17,112402,0
2014-02-18,16:00:00,107.16,107.22,107.14,107.18,217035,0
2014-02-18,17:00:00,107.21,107.24,107.17,107.24,148768,0
2014-02-18,18:00:00,107.23,107.3,107.22,107.28,91819,0
2014-02-18,19:00:00,107.3,107.34,107.28,107.32,86959,0
2014-02-18,20:00:00,107.32,107.34,107.29,107.31,206020,0
2014-02-18,21:00:00,107.31,107.31,107.26,107.28,244283,0
2014-02-18,22:00:00,107.28,107.29,107.24,107.24,256229,0
2014-02-19,16:00:00,107.37,107.46,107.36,107.4,97115,0
2014-02-19,17:00:00,107.41,107.41,107.34,107.36,338123,0
2014-02-19,18:00:00,107.36,107.37,107.31,107.33,122378,0
2014-02-19,19:00:00,107.34,107.36,107.31,107.31,111634,0
2014-02-19,20:00:00,107.32,107.33,107.25,107.26,171993,0
2014-02-19,21:00:00,107.26,107.28,107.15,107.18,122649,0
2014-02-19,22:00:00,107.17,107.18,107.13,107.16,365703,0
2014-02-20,16:00:00,107.11,107.13,107.07,107.1,56835,0
2014-02-20,17:00:00,107.13,107.16,107,107,162237,0
2014-02-20,18:00:00,107,107.04,106.99,107.04,121837,0
2014-02-20,19:00:00,107.04,107.05,107,107,66379,0
2014-02-20,20:00:00,107.02,107.04,106.97,107.04,140075,0
2014-02-20,21:00:00,107.03,107.07,107,107.07,187855,0
2014-02-20,22:00:00,107.08,107.1,107.05,107.1,267883,0
2014-02-21,16:00:00,107.02,107.06,107.01,107.05,38996,0
2014-02-21,17:00:00,107.06,107.1,107.04,107.07,71011,0
2014-02-21,18:00:00,107.07,107.11,107.07,107.1,105195,0
2014-02-21,19:00:00,107.1,107.16,107.1,107.16,52744,0
2014-02-21,20:00:00,107.15,107.18,107.13,107.15,130524,0
2014-02-21,21:00:00,107.17,107.2,107.16,107.18,89100,0
2014-02-21,22:00:00,107.18,107.2,107.17,107.2,90289,0
2014-02-24,16:00:00,107.2,107.2,107.14,107.15,57483,0
2014-02-24,17:00:00,107.14,107.15,107.12,107.13,116723,0
2014-02-24,18:00:00,107.13,107.16,107.11,107.15,195205,0
2014-02-24,19:00:00,107.14,107.15,107.08,107.09,120320,0
2014-02-24,20:00:00,107.1,107.13,107.09,107.12,200365,0
2014-02-24,21:00:00,107.11,107.13,107.1,107.12,136582,0
2014-02-24,22:00:00,107.13,107.15,107.1,107.1,209188,0
2014-02-25,16:00:00,107.25,107.33,107.25,107.33,92844,0
2014-02-25,17:00:00,107.33,107.36,107.31,107.33,201549,0
