Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,48.867,48.867,48.867,48.867,503,0
2014-02-10,19:00:00,48.896,48.896,48.896,48.896,253,0
2014-02-11,17:00:00,48.847,48.847,48.847,48.847,226,0
2014-02-11,18:00:00,48.808,48.808,48.808,48.808,203,0
2014-02-11,20:00:00,48.798,48.847,48.798,48.847,1412,0
2014-02-12,20:00:00,48.689,48.689,48.689,48.689,606,0
2014-02-12,22:00:00,48.589,48.589,48.589,48.589,333,0
2014-02-13,17:00:00,48.837,48.837,48.837,48.837,202,0
2014-02-13,18:00:00,48.916,48.916,48.896,48.896,4930,0
2014-02-13,19:00:00,48.896,48.916,48.876,48.916,3027,0
2014-02-13,20:00:00,48.946,48.946,48.936,48.946,4134,0
2014-02-14,19:00:00,48.857,48.857,48.589,48.589,1171,0
2014-02-14,22:00:00,48.876,48.876,48.51,48.876,907,0
2014-02-18,16:00:00,48.867,48.867,48.639,48.679,7245,0
2014-02-18,19:00:00,49.125,49.125,49.125,49.125,145,0
2014-02-18,21:00:00,49.055,49.055,49.055,49.055,302,0
2014-02-19,22:00:00,48.976,48.976,48.916,48.946,2924,0
2014-02-21,20:00:00,48.698,48.698,48.698,48.698,1330,0
2014-02-24,17:00:00,49.026,49.026,48.956,48.956,1912,0
2014-02-24,19:00:00,48.659,48.659,48.659,48.659,203,0
2014-02-24,20:00:00,48.996,49.016,48.996,49.016,696,0
2014-02-25,22:00:00,49.204,49.204,49.204,49.204,1373,0
2014-02-26,16:00:00,49.006,49.006,49.006,49.006,204,0
2014-02-26,17:00:00,48.996,48.996,48.996,48.996,302,0
2014-02-26,22:00:00,49.343,49.343,49.343,49.343,202,0
2014-02-27,20:00:00,49.373,49.373,49.353,49.353,441,0
2014-02-27,21:00:00,49.373,49.373,49.373,49.373,606,0
2014-02-28,18:00:00,49.194,49.194,49.194,49.194,302,0
2014-02-28,21:00:00,49.293,49.293,49.293,49.293,408,0
2014-03-03,16:00:00,49.215,49.215,49.215,49.215,604,0
2014-03-04,17:00:00,49.127,49.195,49.127,49.195,402,0
2014-03-04,21:00:00,49.275,49.275,49.275,49.275,302,0
2014-03-04,22:00:00,49.077,49.077,49.077,49.077,100,0
2014-03-05,16:00:00,48.917,49.225,48.917,48.997,929,0
2014-03-07,16:00:00,48.927,48.927,48.739,48.779,3078,0
2014-03-07,17:00:00,48.779,48.937,48.729,48.937,402,0
2014-03-07,19:00:00,48.809,48.809,48.809,48.809,6098,0
2014-03-11,17:00:00,48.739,48.739,48.739,48.739,510,0
2014-03-11,20:00:00,48.729,48.729,48.709,48.709,958,0
2014-03-11,21:00:00,48.739,48.739,48.739,48.739,502,0
2014-03-12,15:00:00,49.097,49.097,49.097,49.097,202,0
2014-03-12,21:00:00,49.157,49.157,49.157,49.157,435,0
2014-03-13,15:00:00,48.729,48.729,48.709,48.709,640,0
2014-03-17,17:00:00,49.157,49.157,49.107,49.107,402,0
2014-03-17,18:00:00,49.097,49.205,49.077,49.205,1608,0
