Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.88,27.89,27.851,27.87,6452,0
2014-02-10,17:00:00,27.88,27.9,27.87,27.89,18218,0
2014-02-10,18:00:00,27.9,27.91,27.861,27.861,6292,0
2014-02-10,19:00:00,27.91,27.92,27.861,27.87,62038,0
2014-02-10,20:00:00,27.87,27.949,27.861,27.87,20069,0
2014-02-10,21:00:00,27.89,27.93,27.861,27.91,19244,0
2014-02-10,22:00:00,27.91,27.949,27.91,27.93,30435,0
2014-02-11,16:00:00,27.851,27.851,27.782,27.782,6887,0
2014-02-11,17:00:00,27.801,27.87,27.782,27.851,22249,0
2014-02-11,18:00:00,27.87,27.9,27.801,27.841,91980,0
2014-02-11,19:00:00,27.851,27.861,27.801,27.821,52927,0
2014-02-11,20:00:00,27.821,27.861,27.811,27.831,13391,0
2014-02-11,21:00:00,27.831,27.88,27.821,27.861,9184,0
2014-02-11,22:00:00,27.841,27.89,27.811,27.811,27140,0
2014-02-12,16:00:00,27.811,27.811,27.801,27.801,3026,0
2014-02-12,17:00:00,27.811,27.821,27.801,27.821,9205,0
2014-02-12,18:00:00,27.821,27.821,27.772,27.791,6532,0
2014-02-12,19:00:00,27.801,27.811,27.791,27.801,2174,0
2014-02-12,20:00:00,27.811,27.811,27.772,27.772,17839,0
2014-02-12,21:00:00,27.782,27.782,27.772,27.772,8750,0
2014-02-12,22:00:00,27.772,27.801,27.772,27.782,22011,0
2014-02-13,16:00:00,27.861,28.028,27.861,27.988,22820,0
2014-02-13,17:00:00,28.028,28.028,27.87,27.88,8261,0
2014-02-13,18:00:00,27.88,27.88,27.861,27.88,8902,0
2014-02-13,19:00:00,27.88,27.88,27.851,27.88,8900,0
2014-02-13,20:00:00,27.88,27.949,27.841,27.94,32662,0
2014-02-13,21:00:00,27.93,27.959,27.88,27.959,37274,0
2014-02-13,22:00:00,27.959,27.959,27.89,27.89,41239,0
2014-02-14,16:00:00,27.889,27.889,27.889,27.889,1073,0
2014-02-14,17:00:00,27.949,27.978,27.889,27.889,34177,0
2014-02-14,18:00:00,27.939,27.949,27.889,27.909,20019,0
2014-02-14,19:00:00,27.959,27.959,27.919,27.949,3815,0
2014-02-14,20:00:00,27.959,27.969,27.919,27.969,11813,0
2014-02-14,21:00:00,27.949,27.969,27.919,27.969,37514,0
2014-02-14,22:00:00,27.969,27.978,27.909,27.969,110935,0
2014-02-18,16:00:00,28.088,28.088,28.018,28.078,18434,0
2014-02-18,17:00:00,28.078,28.097,28.058,28.097,43616,0
2014-02-18,18:00:00,28.097,28.117,28.088,28.107,18558,0
2014-02-18,19:00:00,28.117,28.167,28.097,28.157,18632,0
2014-02-18,20:00:00,28.127,28.137,28.107,28.117,12623,0
2014-02-18,21:00:00,28.137,28.137,28.097,28.097,19004,0
2014-02-18,22:00:00,28.117,28.117,28.068,28.107,25631,0
2014-02-19,16:00:00,28.127,28.137,28.097,28.097,8269,0
2014-02-19,17:00:00,28.097,28.107,28.078,28.107,3303,0
2014-02-19,18:00:00,28.097,28.107,28.088,28.097,34931,0
2014-02-19,19:00:00,28.097,28.117,28.088,28.088,33720,0
2014-02-19,20:00:00,28.107,28.117,28.068,28.068,20990,0
2014-02-19,21:00:00,28.058,28.058,27.998,28.028,16242,0
2014-02-19,22:00:00,28.008,28.048,27.998,28.048,32072,0
2014-02-20,16:00:00,27.978,28.028,27.978,28.028,2647,0
2014-02-20,17:00:00,28.048,28.058,27.988,28.018,18825,0
2014-02-20,18:00:00,28.038,28.038,27.998,28.028,3098,0
2014-02-20,19:00:00,28.028,28.038,28.008,28.028,13533,0
2014-02-20,20:00:00,28.008,28.008,27.988,28.008,17084,0
2014-02-20,21:00:00,28.008,28.058,27.998,28.048,35973,0
2014-02-20,22:00:00,28.058,28.078,28.038,28.068,57649,0
2014-02-21,16:00:00,28.008,28.058,27.998,28.058,3687,0
2014-02-21,17:00:00,28.048,28.088,28.048,28.078,8167,0
2014-02-21,18:00:00,28.048,28.088,28.048,28.058,15761,0
2014-02-21,19:00:00,28.068,28.088,28.068,28.088,7242,0
2014-02-21,20:00:00,28.088,28.117,28.078,28.088,8023,0
2014-02-21,21:00:00,28.117,28.117,28.078,28.117,8924,0
2014-02-21,22:00:00,28.088,28.137,28.078,28.127,89448,0
2014-02-24,16:00:00,28.127,28.157,28.078,28.147,4996,0
2014-02-24,17:00:00,28.127,28.137,28.078,28.117,6197,0
2014-02-24,18:00:00,28.078,28.127,28.078,28.088,7896,0
2014-02-24,19:00:00,28.117,28.117,28.078,28.078,9124,0
2014-02-24,20:00:00,28.107,28.107,28.097,28.107,9327,0
2014-02-24,21:00:00,28.068,28.107,28.068,28.078,8794,0
2014-02-24,22:00:00,28.078,28.117,28.078,28.107,51585,0
2014-02-25,16:00:00,28.187,28.217,28.187,28.217,16092,0
2014-02-25,17:00:00,28.217,28.226,28.177,28.217,70143,0
2014-02-25,18:00:00,28.217,28.226,28.217,28.226,112713,0
2014-02-25,19:00:00,28.226,28.226,28.217,28.226,36284,0
2014-02-25,20:00:00,28.217,28.236,28.217,28.236,11984,0
2014-02-25,21:00:00,28.217,28.236,28.207,28.217,22816,0
2014-02-25,22:00:00,28.236,28.236,28.217,28.236,20086,0
2014-02-26,16:00:00,28.217,28.256,28.217,28.256,31593,0
2014-02-26,17:00:00,28.266,28.276,28.217,28.276,61144,0
2014-02-26,18:00:00,28.266,28.276,28.226,28.256,18529,0
2014-02-26,19:00:00,28.236,28.256,28.197,28.226,12040,0
2014-02-26,20:00:00,28.236,28.276,28.226,28.236,18486,0
2014-02-26,21:00:00,28.236,28.296,28.226,28.276,33806,0
2014-02-26,22:00:00,28.276,28.306,28.276,28.306,45139,0
2014-02-27,16:00:00,28.355,28.375,28.296,28.306,39107,0
2014-02-27,17:00:00,28.345,28.355,28.316,28.336,8530,0
2014-02-27,18:00:00,28.336,28.355,28.316,28.355,17965,0
2014-02-27,19:00:00,28.355,28.365,28.336,28.365,2576,0
2014-02-27,20:00:00,28.365,28.375,28.345,28.365,16521,0
2014-02-27,21:00:00,28.365,28.365,28.336,28.365,29283,0
2014-02-27,22:00:00,28.365,28.375,28.345,28.375,21037,0
2014-02-28,16:00:00,28.345,28.345,28.276,28.276,34023,0
2014-02-28,17:00:00,28.286,28.306,28.266,28.306,14274,0
2014-02-28,18:00:00,28.296,28.326,28.296,28.326,8302,0
2014-02-28,19:00:00,28.306,28.355,28.306,28.345,39748,0
2014-02-28,20:00:00,28.316,28.355,28.316,28.355,4193,0
2014-02-28,21:00:00,28.336,28.375,28.336,28.345,13098,0
2014-02-28,22:00:00,28.336,28.405,28.336,28.375,46578,0
2014-03-03,16:00:00,28.405,28.435,28.385,28.395,26685,0
2014-03-03,17:00:00,28.425,28.445,28.415,28.415,11887,0
2014-03-03,18:00:00,28.415,28.435,28.395,28.435,16058,0
2014-03-03,19:00:00,28.425,28.484,28.415,28.435,8732,0
2014-03-03,20:00:00,28.425,28.474,28.405,28.405,21112,0
2014-03-03,21:00:00,28.405,28.464,28.395,28.395,33940,0
2014-03-03,22:00:00,28.395,28.464,28.395,28.435,6852,0
2014-03-04,16:00:00,28.405,28.405,28.336,28.336,5544,0
2014-03-04,17:00:00,28.336,28.375,28.336,28.355,97402,0
2014-03-04,18:00:00,28.355,28.385,28.336,28.336,41470,0
2014-03-04,19:00:00,28.336,28.355,28.316,28.345,32832,0
2014-03-04,20:00:00,28.326,28.345,28.326,28.345,15459,0
2014-03-04,21:00:00,28.326,28.345,28.276,28.276,26096,0
2014-03-04,22:00:00,28.276,28.336,28.256,28.306,45235,0
2014-03-05,16:00:00,28.365,28.365,28.276,28.316,14615,0
2014-03-05,17:00:00,28.296,28.365,28.296,28.326,38056,0
2014-03-05,18:00:00,28.355,28.365,28.326,28.355,35557,0
2014-03-05,19:00:00,28.345,28.365,28.345,28.365,15962,0
2014-03-05,20:00:00,28.365,28.385,28.336,28.336,41183,0
2014-03-05,21:00:00,28.375,28.375,28.336,28.355,9449,0
2014-03-05,22:00:00,28.365,28.395,28.355,28.395,10604,0
2014-03-06,16:00:00,28.276,28.395,28.236,28.266,8014,0
2014-03-06,17:00:00,28.266,28.296,28.266,28.276,15614,0
2014-03-06,18:00:00,28.266,28.286,28.236,28.276,11574,0
2014-03-06,19:00:00,28.286,28.286,28.266,28.276,16703,0
2014-03-06,20:00:00,28.276,28.286,28.266,28.266,45461,0
2014-03-06,21:00:00,28.266,28.276,28.246,28.246,8995,0
2014-03-06,22:00:00,28.246,28.266,28.236,28.236,15027,0
2014-03-07,16:00:00,28.276,28.276,28.117,28.187,20677,0
2014-03-07,17:00:00,28.187,28.197,28.157,28.187,18414,0
